Condition,PLV,Subject,Pair
Intra,0.161429239845461,6,1
Intra,0.154792872026184,6,2
Intra,0.156582246541154,20,1
Intra,0.160287385476819,20,2
Intra,0.13913888986774,20,3
Intra,0.166722742492903,6,1
Intra,0.150562303269596,6,2
Intra,0.156618440262097,6,1
Intra,0.163572159642451,6,2
Intra,0.158290160846425,6,3
Intra,0.161222516016984,6,4
Intra,0.14944546363667,6,5
Intra,0.164823449190907,6,6
Intra,0.152836551888174,6,7
Intra,0.155877769826982,6,8
Intra,0.165022516376024,6,9
Intra,0.159192189547202,6,10
Intra,0.158919178693844,6,11
Intra,0.16027438593768,6,12
Intra,0.156276480214074,6,13
Intra,0.157282546110238,6,14
Intra,0.161605672562093,6,15
Intra,0.157230582171678,6,16
Intra,0.154627554894067,6,17
Intra,0.155570064467161,6,18
Intra,0.157363571024631,6,19
Intra,0.146742771396727,6,20
Intra,0.155916644056779,27,1
Intra,0.171155700972223,27,2
Intra,0.173441416610767,27,3
Intra,0.167267923984365,5,1
Intra,0.167529564970661,5,2
Intra,0.197968838047187,5,3
Intra,0.165639881633226,5,4
Intra,0.224832956547194,5,5
Intra,0.171063960922068,5,6
Intra,0.165918171367277,6,1
Intra,0.158310944007465,6,2
Intra,0.158246616031932,6,3
Intra,0.155817564081594,6,4
Intra,0.152204211749207,6,5
Intra,0.162157933803292,6,6
Intra,0.166144720214358,20,1
Intra,0.166734613008257,20,2
Intra,0.17032910328031,20,3
Intra,0.163819727587844,20,4
Intra,0.163926927245407,20,5
Intra,0.161771837622973,20,6
Intra,0.157825012996342,26,1
Intra,0.15630984988777,26,2
Intra,0.158282311045211,26,3
Intra,0.166093833506638,26,4
Intra,0.159000000624995,26,5
Intra,0.156930937479023,26,6
Intra,0.152872678627836,26,7
Intra,0.157224715389934,26,8
Intra,0.154642835539576,26,9
Intra,0.16413429780363,26,10
Intra,0.157151543009389,26,11
Intra,0.162657195554629,26,12
Intra,0.181302558022258,26,13
Intra,0.174162228694102,26,14
Intra,0.175294061302806,26,15
Intra,0.173990725039062,26,16
Intra,0.183487342222007,26,17
Intra,0.178060144911846,26,18
Intra,0.174863881075573,26,19
Intra,0.170954282169519,26,20
Intra,0.173179049368341,26,21
Intra,0.177897667323014,26,22
Intra,0.159799645833723,6,1
Intra,0.162663823751877,6,2
Intra,0.159084564834664,6,3
