Condition,PLV,Subject,Pair
Intra,0.328601281795689,6,1
Intra,0.33392662558535,6,2
Intra,0.317146610932427,6,3
Intra,0.311983999218213,6,4
Intra,0.324031802689273,6,5
Intra,0.324573596823168,6,6
Intra,0.341306715068737,15,1
Intra,0.33161572994734,15,2
Intra,0.320402300344448,15,3
Intra,0.342295753367522,15,4
Intra,0.321695005304043,15,5
Intra,0.322260128278486,20,1
Intra,0.313725534109814,20,2
Intra,0.28640035535079,20,3
Intra,0.282292594255065,20,4
Intra,0.30656337447219,20,5
Intra,0.320657338072217,20,6
Intra,0.314129368870407,20,7
Intra,0.314775036941012,20,8
Intra,0.329727295613914,20,9
Intra,0.323522844799931,6,1
Intra,0.311018234243307,6,2
Intra,0.318449376035212,6,3
Intra,0.323561342141984,18,1
Intra,0.304812289451735,18,2
Intra,0.31556835514684,18,3
Intra,0.306657115719589,20,1
Intra,0.318451075376939,20,2
Intra,0.339554994413909,20,3
Intra,0.314837798325285,6,1
Intra,0.33295547836118,6,2
Intra,0.312752100759767,6,3
Intra,0.306081993745775,23,1
Intra,0.307361244587949,3,1
Intra,0.314351478184693,3,2
Intra,0.311710196676412,6,1
Intra,0.302263666519693,6,2
Intra,0.321321445853975,6,3
Intra,0.320295469604024,6,4
Intra,0.319326659910838,6,5
Intra,0.31266350125188,6,6
Intra,0.305416189886123,6,7
Intra,0.311260314294055,6,8
Intra,0.319009110607427,6,9
Intra,0.315839028422364,6,10
Intra,0.306548910148892,6,11
Intra,0.338046235371294,6,12
Intra,0.320680302758469,6,13
Intra,0.326402716983645,6,14
Intra,0.317558345290907,6,15
Intra,0.323282399050494,6,16
Intra,0.295982682285519,6,17
Intra,0.301554646080529,6,18
Intra,0.314234963929353,6,19
Intra,0.322819448365433,6,20
Intra,0.315959048768418,6,21
Intra,0.315813403908921,6,22
Intra,0.317142433690544,6,23
Intra,0.307558454422285,6,24
Intra,0.294992825380858,6,25
Intra,0.305312391626684,6,26
Intra,0.304924719064659,6,27
Intra,0.307059210538984,6,28
Intra,0.321051606952251,6,29
Intra,0.326544793941281,6,30
Intra,0.329461614034723,18,1
Intra,0.34213480482195,18,2
Intra,0.314980015686149,18,3
Intra,0.319017431467997,18,4
Intra,0.317339266531796,18,5
Intra,0.308195908267696,18,6
Intra,0.311999898938359,18,7
Intra,0.311292436586339,18,8
Intra,0.308601947203082,18,9
Intra,0.314367062576869,21,1
Intra,0.329011186382694,21,2
Intra,0.310994921013252,23,1
Intra,0.317509950025475,23,2
Intra,0.325609940600345,23,3
Intra,0.324451527215296,23,4
Intra,0.320844868587871,24,1
Intra,0.278155899725099,24,2
Intra,0.340814870347317,24,3
Intra,0.280594366058877,24,4
Intra,0.307634406670405,24,5
Intra,0.291366725818968,24,6
Intra,0.331930512585657,24,7
Intra,0.290173202378137,24,8
Intra,0.323850163261906,24,9
Intra,0.301718868261374,24,10
Intra,0.296707584277855,24,11
Intra,0.281388204370074,24,12
Intra,0.307497464186912,24,13
Intra,0.28153079696751,24,14
Intra,0.306216627179465,24,15
Intra,0.280867458745899,24,16
Intra,0.318297525178384,24,17
Intra,0.283567747244364,24,18
Intra,0.311350887648834,24,19
Intra,0.279469923162768,24,20
Intra,0.298795082857547,24,21
Intra,0.301181664993329,24,22
Intra,0.314520871830758,25,1
Intra,0.310397973054864,25,2
Intra,0.331337745602343,25,3
Intra,0.304887474117193,25,4
Intra,0.312069103559496,25,5
Intra,0.307809152181907,25,6
Intra,0.322859895122296,25,7
Intra,0.315864699059206,25,8
Intra,0.302923966473727,25,9
Intra,0.313894312843416,25,10
Intra,0.309529111476671,25,11
Intra,0.296400303035535,25,12
Intra,0.311480503855137,25,13
Intra,0.312375896088275,25,14
Intra,0.31939340953055,25,15
Intra,0.311181683935487,25,16
Intra,0.315550109665111,25,17
Intra,0.32349269509459,25,18
Intra,0.307665429356005,25,19
Intra,0.315444951146991,25,20
Intra,0.319127306956721,25,21
Intra,0.31401195919101,25,22
Intra,0.327907688067792,25,23
Intra,0.323772258926756,25,24
Intra,0.314587639546644,25,25
Intra,0.311003139625164,6,1
Intra,0.303769638218544,6,2
Intra,0.324203209792439,6,3
Intra,0.309101464462982,6,4
Intra,0.301016934683632,6,5
Intra,0.310388119277083,6,6
Intra,0.314218682785606,6,7
Intra,0.301524431261461,6,8
Intra,0.327423921498755,6,9
Intra,0.307163694181059,10,1
Intra,0.327129893140446,10,2
Intra,0.315554674079899,10,3
Intra,0.366113937940776,10,4
Intra,0.318001821203964,10,5
Intra,0.31827408305787,10,6
Intra,0.355672832976235,10,7
Intra,0.313933150581947,20,1
Intra,0.314407991994943,20,2
Intra,0.30531688588287,20,3
Intra,0.298521447598443,20,4
