Condition,PLV,Subject,Pair
Intra,0.325809579463898,6,1
Intra,0.318344771427684,6,2
Intra,0.308975788991168,6,3
Intra,0.311657479337874,6,4
Intra,0.318075230458986,6,5
Intra,0.30827149676131,6,6
Intra,0.295991983321863,15,1
Intra,0.311777603680093,15,2
Intra,0.310898615972217,15,3
Intra,0.323223283084197,15,4
Intra,0.307607464444503,15,5
Intra,0.293104328503181,20,1
Intra,0.2952971152364,20,2
Intra,0.350058498242167,20,3
Intra,0.288016553358358,20,4
Intra,0.299357138151106,20,5
Intra,0.310473416278823,20,6
Intra,0.313255263237181,20,7
Intra,0.310384885391899,20,8
Intra,0.310963662341018,20,9
Intra,0.309913995121722,6,1
Intra,0.314452268008332,6,2
Intra,0.312464525454529,6,3
Intra,0.319018741955927,18,1
Intra,0.338495807871433,18,2
Intra,0.318557093449417,18,3
Intra,0.315753981677384,20,1
Intra,0.309016737504384,20,2
Intra,0.315781222671004,20,3
Intra,0.298845431142759,6,1
Intra,0.307827867123679,6,2
Intra,0.318292983522733,6,3
Intra,0.298287267229913,23,1
Intra,0.326295825537523,3,1
Intra,0.328156837403866,3,2
Intra,0.296564094646876,6,1
Intra,0.320064584941614,6,2
Intra,0.317909933708332,6,3
Intra,0.326772734468187,6,4
Intra,0.321732072298732,6,5
Intra,0.342927912810461,6,6
Intra,0.286993373931154,6,7
Intra,0.283874791165343,6,8
Intra,0.311334620588623,6,9
Intra,0.304994013330494,6,10
Intra,0.303343060931249,6,11
Intra,0.307846754914234,6,12
Intra,0.316288265533831,6,13
Intra,0.290874862029557,6,14
Intra,0.30179072642024,6,15
Intra,0.322422954851203,6,16
Intra,0.295960755909314,6,17
Intra,0.292855531150948,6,18
Intra,0.312106862710619,6,19
Intra,0.311837932494133,6,20
Intra,0.314160914095547,6,21
Intra,0.320122931404762,6,22
Intra,0.315591214836187,6,23
Intra,0.319801641983883,6,24
Intra,0.315539109679168,6,25
Intra,0.313582422380924,6,26
Intra,0.298382911430907,6,27
Intra,0.291819776967249,6,28
Intra,0.306154604982472,6,29
Intra,0.330018346469927,6,30
Intra,0.333702320282145,18,1
