Condition,PLV,Subject,Pair
Encode,0.151855862935059,6,1
Encode,0.158721390329949,6,2
Encode,0.165516303189803,6,3
Encode,0.157638192290871,6,4
Encode,0.158422421940808,6,5
Encode,0.161263624706106,6,6
Encode,0.176332406711068,15,1
Encode,0.170585335046479,15,2
Encode,0.173004600907474,15,3
Encode,0.172986041572616,15,4
Encode,0.175203000776765,15,5
Encode,0.157373916701763,20,1
Encode,0.150703955060092,20,2
Encode,0.159318889309382,20,3
Encode,0.161874936989923,20,4
Encode,0.147892222403083,20,5
Encode,0.14435075233119,20,6
Encode,0.157048457965542,20,7
Encode,0.161731547299099,20,8
Encode,0.155324092809494,20,9
Encode,0.164499765257176,6,1
Encode,0.151232826224253,6,2
Encode,0.153593088162892,6,3
Encode,0.168455920666216,18,1
Encode,0.153981184437524,18,2
Encode,0.154277886973934,18,3
Encode,0.153622125297857,20,1
Encode,0.161078993099239,20,2
Encode,0.16375351816054,20,3
Encode,0.158838496150761,6,1
Encode,0.153695841437331,6,2
Encode,0.163874182393762,6,3
Encode,0.149804786481133,23,1
Encode,0.163430032771956,3,1
Encode,0.169571104076771,3,2
Encode,0.154449485821941,6,1
Encode,0.1570108065801,6,2
Encode,0.160436159806642,6,3
Encode,0.151114905404684,6,4
Encode,0.162650208896886,6,5
Encode,0.168302137263926,6,6
Encode,0.165208031621191,6,7
Encode,0.162759930007692,6,8
Encode,0.162972029153755,6,9
Encode,0.161255995591885,6,10
Encode,0.159883678056839,6,11
Encode,0.162307211386244,6,12
Encode,0.160627450190083,6,13
Encode,0.162769625445256,6,14
Encode,0.168199835830798,6,15
Encode,0.165548400334573,6,16
Encode,0.156529023088478,6,17
Encode,0.153468714077684,6,18
Encode,0.163884870167148,6,19
Encode,0.159075870201669,6,20
Encode,0.159864151733239,6,21
Encode,0.169759555104606,6,22
Encode,0.157422942390062,6,23
Encode,0.160494915049591,6,24
Encode,0.169512478082398,6,25
Encode,0.157419696989751,6,26
Encode,0.157924218820975,6,27
Encode,0.158963655904863,6,28
Encode,0.159076821056786,6,29
Encode,0.155411642557754,6,30
Encode,0.15817764829994,18,1
Encode,0.15491926842454,18,2
Encode,0.157711980433849,18,3
Encode,0.154341013154265,18,4
Encode,0.158126817454301,18,5
Encode,0.164513385174824,18,6
Encode,0.157474977456447,18,7
Encode,0.158958975176051,18,8
Encode,0.175510116767261,18,9
Encode,0.169012346654215,21,1
Encode,0.172697645410688,21,2
Encode,0.155274307500231,23,1
Encode,0.161163903991613,23,2
Encode,0.151233445964636,23,3
Encode,0.160855558719184,23,4
Encode,0.168737458198533,24,1
Encode,0.162570784423886,24,2
Encode,0.18469348604624,24,3
Encode,0.159482462720208,24,4
Encode,0.17019247840038,24,5
Encode,0.149858232843506,24,6
Encode,0.190588835317209,24,7
Encode,0.152991090189754,24,8
Encode,0.168610423048566,24,9
Encode,0.150339183489459,24,10
Encode,0.171303661737169,24,11
Encode,0.164724302681845,24,12
Encode,0.164814243336311,24,13
Encode,0.157834860472829,24,14
Encode,0.163531991518712,24,15
Encode,0.159422435827832,24,16
Encode,0.166175374930068,24,17
Encode,0.153691040205513,24,18
Encode,0.15531393169375,24,19
Encode,0.14265818499609,24,20
Encode,0.173098446561012,24,21
Encode,0.145975563053053,24,22
Encode,0.177072437275094,25,1
Encode,0.157156997104144,25,2
Encode,0.173134750105319,25,3
Encode,0.164700493245196,25,4
Encode,0.177131360429393,25,5
Encode,0.166278187874234,25,6
Encode,0.15806907409675,25,7
Encode,0.167004307001027,25,8
Encode,0.157877346148583,25,9
Encode,0.163113024519467,25,10
Encode,0.179198119006663,25,11
Encode,0.161535432471954,25,12
Encode,0.17693556184091,25,13
Encode,0.165923002552394,25,14
Encode,0.169408064922736,25,15
Encode,0.158214011678292,25,16
Encode,0.162435179233735,25,17
Encode,0.161300325293196,25,18
Encode,0.165686046743758,25,19
Encode,0.173925930245101,25,20
Encode,0.168180114824634,25,21
Encode,0.161203675511072,25,22
Encode,0.160773236463733,25,23
Encode,0.172170976615348,25,24
Encode,0.172165923896897,25,25
Encode,0.158552369690489,6,1
Encode,0.159825390146266,6,2
Encode,0.162869649160394,6,3
Encode,0.155289587997867,6,4
Encode,0.152646885220098,6,5
Encode,0.160153083680484,6,6
Encode,0.160700082342,6,7
Encode,0.152425402927258,6,8
Encode,0.16810978611445,6,9
Encode,0.167672412667246,10,1
Encode,0.154227429679011,10,2
Encode,0.153520760356703,10,3
Encode,0.152313587628181,10,4
Encode,0.163736972505082,10,5
Encode,0.162538678334346,10,6
Encode,0.165680216576169,10,7
Encode,0.157142173256808,20,1
Encode,0.154839445733923,20,2
Encode,0.167771352462866,20,3
Encode,0.165688872990664,20,4
Encode,0.174017691775757,20,5
Encode,0.165327650819005,20,6
Encode,0.156463175129863,25,1
Encode,0.157181260973637,25,2
Encode,0.158538702884691,25,3
Encode,0.154939275979975,25,4
Encode,0.160840683320558,25,5
Encode,0.16670317698896,3,1
Encode,0.162167828397726,3,2
Encode,0.159247506968087,3,3
Encode,0.171564565359293,3,4
Encode,0.174452790991098,3,5
Encode,0.16365030996801,3,6
Encode,0.166954614488329,3,7
Encode,0.161287642523436,3,8
Encode,0.163954503090673,3,9
Encode,0.161187283952457,3,10
Encode,0.156965621570959,3,11
Encode,0.160371205714137,3,12
Encode,0.16955545056268,3,13
Encode,0.170355810505362,3,14
Encode,0.167374777963714,3,15
Encode,0.171827546106623,3,16
Encode,0.16747053664451,3,17
Encode,0.157146897644268,3,18
Encode,0.178059255118553,3,19
Encode,0.160846573055576,3,20
Encode,0.157119569245038,6,1
Encode,0.157498494388504,6,2
Encode,0.15715679237196,6,3
Encode,0.154828805690399,6,4
Encode,0.156517417626944,6,5
Encode,0.156665518825404,6,6
Encode,0.151921356650941,6,7
Encode,0.15242710084709,6,8
Encode,0.149797574375356,6,9
Encode,0.15533450737195,6,10
Encode,0.151381047104687,6,11
Encode,0.156727743315711,6,12
Encode,0.16073716428285,6,13
Encode,0.160814697753919,6,14
Encode,0.168292388921666,6,15
Encode,0.163235992939273,6,16
Encode,0.161394670161388,6,17
Encode,0.163107644472227,6,18
Encode,0.162028065068729,6,19
Encode,0.170521943460753,6,20
Encode,0.161288268221708,6,21
Encode,0.167391987594534,6,22
Encode,0.165685553607219,6,23
Encode,0.153582609025547,6,24
Encode,0.156440642781273,6,25
Encode,0.170881602992285,6,26
Encode,0.158044698618974,6,27
Encode,0.160943175840568,6,28
Encode,0.157452290636868,6,29
Encode,0.155423815360033,6,30
Encode,0.192794765217264,8,1
Encode,0.188731094993453,8,2
Encode,0.192832653568596,8,3
Encode,0.191061069314125,8,4
Encode,0.184975684930654,8,5
Encode,0.179893295435701,8,6
Encode,0.187162703236682,8,7
Encode,0.181107181638629,8,8
Encode,0.190257592985029,9,1
Encode,0.173772222593685,9,2
Encode,0.194616007099593,10,1
Encode,0.179481868034085,10,2
Encode,0.168631386043272,10,3
Encode,0.17840348443006,10,4
Encode,0.157973009021129,10,5
Encode,0.17099803587498,10,6
Encode,0.173143005486551,10,7
Encode,0.181045455154921,10,8
Encode,0.173707320061052,10,9
Encode,0.165868629882072,10,10
Encode,0.16366578899203,10,11
Encode,0.159293904423386,10,12
Encode,0.168629845212781,10,13
Encode,0.169503777015307,10,14
Encode,0.181434154262396,10,15
Encode,0.175642872267296,10,16
Encode,0.163931292732476,10,17
Encode,0.16760551669953,10,18
Encode,0.177894493605254,10,19
Encode,0.172854711172222,10,20
Encode,0.169941632759711,10,21
Encode,0.175035183246445,10,22
Encode,0.16603703964743,10,23
Encode,0.168883143055789,10,24
Encode,0.175440882663977,10,25
Encode,0.191203455101179,10,26
Encode,0.173136224850424,10,27
Encode,0.174527182595052,10,28
Encode,0.185536247149252,10,29
Encode,0.171016983647308,10,30
Encode,0.161067597349543,10,31
Encode,0.167855877267635,10,32
Encode,0.161458029537971,10,33
Encode,0.171228627933727,10,34
Encode,0.185692471253629,10,35
Encode,0.182598956521009,10,36
Encode,0.170722843207153,10,37
Encode,0.159456320499633,10,38
Encode,0.167254022829571,10,39
Encode,0.157581264166158,10,40
Encode,0.172220934859944,10,41
Encode,0.182950578920288,10,42
Encode,0.191257945866577,10,43
Encode,0.17442261157891,10,44
Encode,0.17062144363142,10,45
Encode,0.18331538755002,10,46
Encode,0.150700335962851,10,47
Encode,0.168643140904718,10,48
Encode,0.174453152913327,10,49
Encode,0.162433068090635,11,1
Encode,0.167602506349597,11,2
Encode,0.163295067201125,11,3
Encode,0.175649086579362,11,4
Encode,0.208234033914126,11,5
Encode,0.1457547895235,12,1
Encode,0.157409504857362,12,2
Encode,0.160499389023297,12,3
Encode,0.171292540555819,12,4
Encode,0.157329037980492,12,5
Encode,0.170213961644961,12,6
Encode,0.175303017832594,12,7
Encode,0.159157863414786,12,8
Encode,0.159713362731562,12,9
Encode,0.156053746463079,12,10
Encode,0.172057335156983,12,11
Encode,0.159080184301368,12,12
Encode,0.177666228212139,12,13
Encode,0.177424928884581,12,14
Encode,0.152517933185346,12,15
Encode,0.160016176898281,12,16
Encode,0.152420275124463,12,17
Encode,0.16435755965143,12,18
Encode,0.148427389262657,12,19
Encode,0.164687175460394,12,20
Encode,0.174562314819738,12,21
Encode,0.164876900493322,13,1
Encode,0.177456704358888,13,2
Encode,0.167852848779276,13,3
Encode,0.166133522020692,13,4
Encode,0.159394878892032,13,5
Encode,0.162577094396825,13,6
Encode,0.170787585325727,13,7
Encode,0.165961259141279,13,8
Encode,0.165861767088046,13,9
Encode,0.168653133021252,13,10
Encode,0.156461493369682,13,11
Encode,0.172447354815852,13,12
Encode,0.160552016890965,13,13
Encode,0.179060822664415,13,14
Encode,0.167288127496649,13,15
Encode,0.167595380926298,13,16
Encode,0.15813431242946,13,17
Encode,0.172349972305432,13,18
Encode,0.170279481071616,13,19
Encode,0.18759139990435,13,20
Encode,0.172906042186206,13,21
Encode,0.182353478037493,13,22
Encode,0.175667466324151,13,23
Encode,0.176773622820206,13,24
Encode,0.17823331812496,13,25
Encode,0.185530105665896,13,26
Encode,0.165287604215259,13,27
Encode,0.171888296591631,13,28
Encode,0.174188792615296,13,29
Encode,0.167498980052318,13,30
Encode,0.173589133599604,13,31
Encode,0.175228156380182,13,32
Encode,0.166672032688761,13,33
Encode,0.176223792398113,13,34
Encode,0.174203310318232,13,35
Encode,0.173872525738884,13,36
Encode,0.159666795347464,13,37
Encode,0.17279984179552,13,38
Encode,0.163670844263532,13,39
Encode,0.177885043852551,13,40
Encode,0.174098784247266,13,41
Encode,0.175369776583917,13,42
Encode,0.171486256505932,13,43
Encode,0.162831726936089,13,44
Encode,0.159101695993525,13,45
Encode,0.164551875951816,13,46
Encode,0.157742675248469,13,47
Encode,0.172933782072362,13,48
Encode,0.164010890217729,13,49
Encode,0.168545300320178,13,50
Encode,0.168833759447176,13,51
Encode,0.166181091855523,13,52
Encode,0.165120540350222,13,53
Encode,0.182954055197749,13,54
Encode,0.179488647980432,17,1
Encode,0.159818401307548,17,2
Encode,0.1508877030286,17,3
Encode,0.169162125258447,17,4
Encode,0.161755387593296,17,5
Encode,0.161454752831975,17,6
Encode,0.169215597292761,17,7
Encode,0.154244941316653,17,8
Encode,0.159537929234062,17,9
Encode,0.16755125276062,17,10
Encode,0.158126862773886,17,11
Encode,0.146706419354093,17,12
Encode,0.15246217005359,18,1
Encode,0.164059196633856,18,2
Encode,0.159624394364872,18,3
Encode,0.159998559077637,18,4
Encode,0.160385539125153,18,5
Encode,0.164704687793361,18,6
Encode,0.161399282059487,18,7
Encode,0.158169354022602,18,8
Encode,0.163134508381286,18,9
Encode,0.163238523237572,18,10
Encode,0.16170456883478,18,11
Encode,0.156684659894758,18,12
Encode,0.155387903299139,22,1
Encode,0.151085186577451,22,2
Encode,0.152023430727642,22,3
Encode,0.156569120353304,22,4
Encode,0.165994144701458,22,5
Encode,0.155470022756408,22,6
Encode,0.152261462072208,22,7
Encode,0.156526079601279,22,8
Encode,0.160864985850539,22,9
Encode,0.169210438031234,22,10
Encode,0.156950032178163,22,11
Encode,0.158094580480124,22,12
Encode,0.161574866350272,22,13
Encode,0.157228236695888,22,14
Encode,0.152630600031243,22,15
Encode,0.157337694270429,22,16
Encode,0.177669739745832,22,17
Encode,0.165872598531291,22,18
Encode,0.155183734124956,22,19
Encode,0.153605058404255,22,20
Encode,0.16930160322848,23,1
Encode,0.159914657772797,23,2
Encode,0.180012181458033,23,3
Encode,0.159772568983678,23,4
Encode,0.165077292693857,24,1
Encode,0.166770551711265,24,2
Encode,0.161589641188437,24,3
Encode,0.161991966542964,24,4
Encode,0.165977870048232,24,5
Encode,0.155751005510469,24,6
Encode,0.160440813816083,24,7
Encode,0.163288884493011,24,8
Encode,0.156505100249352,24,9
Encode,0.151921655338309,24,10
Encode,0.154930881348778,24,11
Encode,0.16622878894642,24,12
Encode,0.15911294119479,24,13
Encode,0.156959121342249,24,14
Encode,0.160503668029924,24,15
Encode,0.15973969515357,24,16
Encode,0.148239610315665,24,17
Encode,0.158089822461065,24,18
Encode,0.161234524854722,24,19
Encode,0.167279707259417,24,20
Encode,0.167251957069011,24,21
Encode,0.166395379814208,24,22
Encode,0.160543972139875,24,23
Encode,0.16104032226473,24,24
Encode,0.161820928422255,24,25
Encode,0.165709665240616,24,26
Encode,0.175097253436098,24,27
Encode,0.164351921402643,24,28
Encode,0.165553336643263,24,29
Encode,0.157666667008227,24,30
Encode,0.158500496559281,24,31
Encode,0.154475736003897,24,32
Encode,0.161898735291966,24,33
Encode,0.158149981802567,24,34
Encode,0.159841821261975,24,35
Encode,0.183618110501364,24,36
Encode,0.165929495073576,24,37
Encode,0.165210431948848,24,38
Encode,0.163219476777206,24,39
Encode,0.169331537260786,24,40
Encode,0.161077332078265,24,41
Encode,0.185169500976509,24,42
Encode,0.180626373196195,24,43
Encode,0.167424115023896,24,44
Encode,0.164156646383916,24,45
Encode,0.161553772459848,24,46
Encode,0.164347465365888,24,47
Encode,0.163276701544608,24,48
Encode,0.181239867262667,24,49
Encode,0.175935509503991,24,50
Encode,0.159836794451619,24,51
Encode,0.162837255573297,24,52
Encode,0.16384579891486,24,53
Encode,0.159971346285742,24,54
Encode,0.157549884027529,24,55
Encode,0.172694198117625,24,56
Encode,0.168884977656511,24,57
Encode,0.170781053408163,24,58
Encode,0.163961291064221,24,59
Encode,0.167406903877971,24,60
Encode,0.159913295202516,24,61
Encode,0.158672382348134,24,62
Encode,0.163278355181989,24,63
Encode,0.149244495333384,24,64
Encode,0.154948137939947,24,65
Encode,0.161000628020871,24,66
Encode,0.152412073844948,24,67
Encode,0.153461769075595,24,68
Encode,0.15370798624328,24,69
Encode,0.160020778701446,24,70
Encode,0.160837994016571,24,71
Encode,0.161188899984724,24,72
Encode,0.158403168913775,24,73
Encode,0.164868162460082,24,74
Encode,0.15853782281766,24,75
Encode,0.159741750750303,24,76
Encode,0.167682220293626,24,77
Encode,0.170335552040126,25,1
Encode,0.167795100722521,25,2
Encode,0.169522318894797,25,3
Encode,0.165893199273162,25,4
Encode,0.167720013648738,25,5
Encode,0.172731108370634,25,6
Encode,0.1669102857447,25,7
Encode,0.169263664133141,25,8
Encode,0.166412861955041,25,9
Encode,0.167898919950437,25,10
Encode,0.162888544603537,25,11
Encode,0.171172011946782,25,12
Encode,0.166978445370757,25,13
Encode,0.169838150979218,25,14
Encode,0.174166106866524,25,15
Encode,0.175523031204869,25,16
Encode,0.172533685679647,25,17
Encode,0.172343082465136,25,18
Encode,0.165973696660432,25,19
Encode,0.168793540743733,25,20
Encode,0.176823480505288,25,21
Encode,0.178590981747818,25,22
Encode,0.171729114207359,25,23
Encode,0.179183228228815,25,24
Encode,0.171502244276114,25,25
Encode,0.17547213779661,25,26
Encode,0.173764298652155,25,27
Encode,0.174624021000314,25,28
Encode,0.172682579349441,25,29
Encode,0.178212305124009,25,30
Encode,0.164098456816883,3,1
Encode,0.165213899074509,3,2
Encode,0.17801377830934,8,1
Encode,0.1653435076885,8,2
Encode,0.157578625223428,8,3
Encode,0.175563972108591,8,4
Encode,0.159737298373959,8,5
Encode,0.157038957555488,8,6
Encode,0.163500573934321,8,7
Encode,0.180429497410421,9,1
Encode,0.169917149985967,10,1
Encode,0.168462981600382,10,2
Encode,0.157135064523026,10,3
Encode,0.159262479472135,10,4
Encode,0.165971896062313,10,5
Encode,0.170406889877497,10,6
Encode,0.161055608176987,10,7
Encode,0.168503887675887,10,8
Encode,0.162847153108692,10,9
Encode,0.15783787894513,10,10
Encode,0.168583814840781,10,11
Encode,0.16223300744846,10,12
Encode,0.153033690530036,10,13
Encode,0.158891515612236,10,14
Encode,0.154896368513078,10,15
Encode,0.162410239272637,10,16
Encode,0.160692252339463,10,17
Encode,0.160054967976898,10,18
Encode,0.155671901515886,10,19
Encode,0.172129768017926,10,20
Encode,0.152468379373717,10,21
Encode,0.163388835243276,10,22
Encode,0.167060136241677,10,23
Encode,0.149764121835571,10,24
Encode,0.159824136686599,10,25
Encode,0.155407778395331,10,26
Encode,0.1564525383766,10,27
Encode,0.171595369868421,10,28
Encode,0.15366337940913,10,29
Encode,0.175422663966395,10,30
Encode,0.154851971194723,10,31
Encode,0.166939151763377,10,32
Encode,0.159669044806507,10,33
Encode,0.16310940251321,10,34
Encode,0.162239607342045,10,35
Encode,0.150861853637007,10,36
Encode,0.150473327153849,10,37
Encode,0.149713788504861,10,38
Encode,0.161087783410543,10,39
Encode,0.17223548683033,10,40
Encode,0.161653009760989,10,41
Encode,0.189594776452136,10,42
Encode,0.170924177601863,10,43
Encode,0.159007999177657,10,44
Encode,0.163985702761093,10,45
Encode,0.15446071347876,10,46
Encode,0.158727604207921,10,47
Encode,0.155126393561504,10,48
Encode,0.164359192779439,10,49
Encode,0.170489606285175,10,50
Encode,0.16771755476526,10,51
Encode,0.16427470503808,10,52
Encode,0.167361940642387,10,53
Encode,0.175939597216335,10,54
Encode,0.159153363683062,10,55
Encode,0.169158099084492,10,56
Encode,0.162273087023185,10,57
Encode,0.161149796426976,10,58
Encode,0.170605358127856,10,59
Encode,0.165942394666848,10,60
Encode,0.165900921827116,10,61
Encode,0.171513824520983,10,62
Encode,0.168181299424178,10,63
Encode,0.164293718514315,10,64
Encode,0.166722448072332,10,65
Encode,0.172409785675067,10,66
Encode,0.158244654057636,10,67
Encode,0.171273112036198,10,68
Encode,0.160402725322932,10,69
Encode,0.162736414072696,10,70
Encode,0.171629700194628,10,71
Encode,0.167084492568358,10,72
Encode,0.167269020997065,10,73
Encode,0.16443785040102,10,74
Encode,0.15825441479012,10,75
Encode,0.169278743476051,10,76
Encode,0.158206976800616,10,77
Encode,0.164807991759042,10,78
Encode,0.1602600051219,10,79
Encode,0.16802576356418,10,80
Encode,0.146018691592394,10,81
Encode,0.152186911176055,10,82
Encode,0.179438161287348,10,83
Encode,0.15451776947998,10,84
Encode,0.167088727399883,11,1
Encode,0.175890432315181,11,2
Encode,0.16901242448219,11,3
Encode,0.168310401860116,11,4
Encode,0.169884210986075,11,5
Encode,0.182337183273238,11,6
Encode,0.40840501583408,11,7
Encode,0.176745862266111,11,8
Encode,0.167663992711502,11,9
Encode,0.180919795073878,11,10
Encode,0.177476066491181,11,11
Encode,0.178878627154877,11,12
Encode,0.16372064214938,11,13
Encode,0.165692702238286,11,14
Encode,0.388429391559826,11,15
Encode,0.174849916496111,11,16
Encode,0.158460542664723,11,17
Encode,0.171727531152652,11,18
Encode,0.169986878906723,11,19
Encode,0.162330251086061,11,20
Encode,0.159787588240028,11,21
Encode,0.165744667115908,11,22
Encode,0.171631968483446,11,23
Encode,0.167512932839416,11,24
Encode,0.168393332642296,11,25
Encode,0.18825853269447,11,26
Encode,0.178526496207096,11,27
Encode,0.18056554987784,11,28
Encode,0.172823229923826,11,29
Encode,0.183272772182199,11,30
Encode,0.21310910071372,11,31
Encode,0.171357679586495,11,32
Encode,0.15845674125507,11,33
Encode,0.17627704032978,11,34
Encode,0.178752182714143,11,35
Encode,0.163129107539496,11,36
Encode,0.163019753419221,11,37
Encode,0.179447345759924,11,38
Encode,0.184766711303235,11,39
Encode,0.171704344549075,11,40
Encode,0.166262950831136,12,1
Encode,0.18254191773279,12,2
Encode,0.173178224236131,12,3
Encode,0.171608544488144,13,1
Encode,0.161154002687227,13,2
Encode,0.16341912415286,13,3
Encode,0.162343125890949,13,4
Encode,0.164028647325546,13,5
Encode,0.15100117068663,13,6
Encode,0.160455138938174,13,7
Encode,0.162616314449427,13,8
Encode,0.17552798487104,13,9
Encode,0.15494184418258,13,10
Encode,0.167036831203974,13,11
Encode,0.163013130631861,13,12
Encode,0.170429602668439,13,13
Encode,0.154332963586483,13,14
Encode,0.159241007581904,13,15
Encode,0.162639316750409,13,16
Encode,0.171677059947365,13,17
Encode,0.168850874347085,13,18
Encode,0.161637058615104,13,19
Encode,0.165963384639054,13,20
Encode,0.172218189447918,13,21
Encode,0.165852500979897,13,22
Encode,0.161076349220361,13,23
Encode,0.165455890152663,13,24
Encode,0.171888054707746,13,25
Encode,0.16388520752725,13,26
Encode,0.16441738708584,13,27
Encode,0.162297874306727,13,28
Encode,0.160396422850026,13,29
Encode,0.154071799489763,13,30
Encode,0.166024235284219,13,31
Encode,0.161915948980099,13,32
Encode,0.157020113665456,13,33
Encode,0.167764584029353,13,34
Encode,0.152546143284944,13,35
Encode,0.153251148842562,13,36
Encode,0.153775704900522,23,1
Encode,0.161115911406714,24,1
Encode,0.15639483336775,24,2
Encode,0.162446268783388,24,3
Encode,0.155081342711964,24,4
Encode,0.158594171034615,24,5
Encode,0.162699181709008,24,6
Encode,0.154770254143658,24,7
Encode,0.160669869174408,24,8
Encode,0.152153772867117,24,9
Encode,0.159394674980805,24,10
Encode,0.161771370404233,24,11
Encode,0.152189284835343,24,12
Encode,0.151619268261988,24,13
Encode,0.166396877824913,24,14
Encode,0.162447196919328,24,15
Encode,0.157181598574247,24,16
Encode,0.152984816411688,24,17
Encode,0.147459150475172,24,18
Encode,0.160931908478882,24,19
Encode,0.153755452889665,24,20
Encode,0.154382792984007,24,21
Encode,0.157242594411248,24,22
Encode,0.163904451125183,24,23
Encode,0.156381214911159,24,24
Encode,0.164202999215146,24,25
Encode,0.15681693906714,24,26
Encode,0.16593996498041,24,27
Encode,0.160771750366536,24,28
Encode,0.15908070656827,24,29
Encode,0.154343139987509,24,30
Encode,0.156869008188653,24,31
Encode,0.159143881605613,24,32
Encode,0.151632416972342,24,33
Encode,0.15569774864702,24,34
Encode,0.16060293932477,24,35
Encode,0.158821635101808,24,36
Encode,0.154216669506808,24,37
Encode,0.158752543253279,24,38
Encode,0.160314967240328,24,39
Encode,0.155449071886412,24,40
Encode,0.157829714838394,24,41
Encode,0.158700496243762,24,42
Encode,0.162663621295535,24,43
Encode,0.151303074245472,24,44
Encode,0.160245217791446,25,1
Encode,0.169949808366494,25,2
Encode,0.162701461998892,25,3
Encode,0.155608576666946,25,4
Encode,0.165458520477066,25,5
Encode,0.160495032987224,25,6
Encode,0.156581934682793,25,7
Encode,0.163618204504646,25,8
Encode,0.16501207627002,25,9
Encode,0.176806055512531,25,10
Encode,0.161429239845461,6,1
Encode,0.154792872026184,6,2
Encode,0.156582246541154,20,1
Encode,0.160287385476819,20,2
Encode,0.13913888986774,20,3
Encode,0.166722742492903,6,1
Encode,0.150562303269596,6,2
Encode,0.156618440262097,6,1
Encode,0.163572159642451,6,2
Encode,0.158290160846425,6,3
Encode,0.161222516016984,6,4
Encode,0.14944546363667,6,5
Encode,0.164823449190907,6,6
Encode,0.152836551888174,6,7
Encode,0.155877769826982,6,8
Encode,0.165022516376024,6,9
Encode,0.159192189547202,6,10
Encode,0.158919178693844,6,11
Encode,0.16027438593768,6,12
Encode,0.156276480214074,6,13
Encode,0.157282546110238,6,14
Encode,0.161605672562093,6,15
Encode,0.157230582171678,6,16
Encode,0.154627554894067,6,17
Encode,0.155570064467161,6,18
Encode,0.157363571024631,6,19
Encode,0.146742771396727,6,20
Encode,0.155916644056779,27,1
Encode,0.171155700972223,27,2
Encode,0.173441416610767,27,3
Encode,0.167267923984365,5,1
Encode,0.167529564970661,5,2
Encode,0.197968838047187,5,3
Encode,0.165639881633226,5,4
Encode,0.224832956547194,5,5
Encode,0.171063960922068,5,6
Encode,0.165918171367277,6,1
Encode,0.158310944007465,6,2
Encode,0.158246616031932,6,3
Encode,0.155817564081594,6,4
Encode,0.152204211749207,6,5
Encode,0.162157933803292,6,6
Encode,0.166144720214358,20,1
Encode,0.166734613008257,20,2
Encode,0.17032910328031,20,3
Encode,0.163819727587844,20,4
Encode,0.163926927245407,20,5
Encode,0.161771837622973,20,6
Encode,0.157825012996342,26,1
Encode,0.15630984988777,26,2
Encode,0.158282311045211,26,3
Encode,0.166093833506638,26,4
Encode,0.159000000624995,26,5
Encode,0.156930937479023,26,6
Encode,0.152872678627836,26,7
Encode,0.157224715389934,26,8
Encode,0.154642835539576,26,9
Encode,0.16413429780363,26,10
Encode,0.157151543009389,26,11
Encode,0.162657195554629,26,12
Encode,0.181302558022258,26,13
Encode,0.174162228694102,26,14
Encode,0.175294061302806,26,15
Encode,0.173990725039062,26,16
Encode,0.183487342222007,26,17
Encode,0.178060144911846,26,18
Encode,0.174863881075573,26,19
Encode,0.170954282169519,26,20
Encode,0.173179049368341,26,21
Encode,0.177897667323014,26,22
Encode,0.159799645833723,6,1
Encode,0.162663823751877,6,2
