Condition,PLV,Subject,Pair
Encode,0.420145224754639,6,1
Encode,0.449301191973644,6,2
Encode,0.393989923273488,6,3
Encode,0.425100198549478,6,4
Encode,0.418888884809638,6,5
Encode,0.452958049778134,6,6
Encode,0.360118987016516,15,1
Encode,0.351656919142085,15,2
Encode,0.358575321426212,15,3
Encode,0.378793250853583,15,4
Encode,0.365635610859296,15,5
Encode,0.378905299843395,20,1
Encode,0.437870118193743,20,2
Encode,0.454629455184755,20,3
Encode,0.371237197894617,20,4
Encode,0.430701632685267,20,5
Encode,0.427134989468834,20,6
Encode,0.377458760996727,20,7
Encode,0.430299899574799,20,8
Encode,0.443015933318286,20,9
Encode,0.47837869339514,6,1
Encode,0.423259903083309,6,2
Encode,0.47686783993323,6,3
Encode,0.368640695409224,18,1
Encode,0.392278089831152,18,2
Encode,0.330332549762397,18,3
Encode,0.400081943491977,20,1
Encode,0.391221705562144,20,2
Encode,0.390798325701301,20,3
Encode,0.412788146858369,6,1
Encode,0.386875062383925,6,2
Encode,0.413165191658105,6,3
Encode,0.314921172851699,23,1
Encode,0.366312448227127,3,1
Encode,0.39913926287719,3,2
Encode,0.437322932359921,6,1
Encode,0.417951646202944,6,2
Encode,0.429790401863346,6,3
Encode,0.433938882340405,6,4
Encode,0.393478951126166,6,5
Encode,0.426678584707329,6,6
Encode,0.32506850672018,6,7
Encode,0.335389153159218,6,8
Encode,0.390678336654805,6,9
Encode,0.406410469327381,6,10
Encode,0.40524210553087,6,11
Encode,0.385525598973942,6,12
Encode,0.414185063265669,6,13
Encode,0.397516200575535,6,14
Encode,0.385739061187341,6,15
Encode,0.414975971958787,6,16
Encode,0.328300593237162,6,17
Encode,0.324378940822669,6,18
Encode,0.383557375188546,6,19
Encode,0.420904649165297,6,20
Encode,0.450319817724548,6,21
Encode,0.416138571366984,6,22
Encode,0.456546759853846,6,23
Encode,0.421850996408154,6,24
Encode,0.406005601722745,6,25
Encode,0.434017337286189,6,26
Encode,0.326424129534918,6,27
Encode,0.333640565541763,6,28
Encode,0.419197028678818,6,29
Encode,0.411189688677956,6,30
Encode,0.431627694213292,18,1
Encode,0.332478115655499,18,2
Encode,0.270077792697209,18,3
Encode,0.404336046167366,18,4
Encode,0.396324088370778,18,5
Encode,0.384016146720238,18,6
Encode,0.406509963899315,18,7
Encode,0.372892411282022,18,8
Encode,0.325486059691677,18,9
Encode,0.355217546737406,21,1
Encode,0.372290628143226,21,2
Encode,0.330491968574544,23,1
Encode,0.341110532601107,23,2
Encode,0.336571477165749,23,3
Encode,0.359565761303565,23,4
Encode,0.35962927422869,24,1
Encode,0.350377183502323,24,2
Encode,0.462294559655376,24,3
Encode,0.35327590627101,24,4
Encode,0.377991901163193,24,5
Encode,0.365736747483479,24,6
Encode,0.417437531252494,24,7
Encode,0.367823843802915,24,8
Encode,0.349613045397094,24,9
Encode,0.331197501351336,24,10
