Condition,PLV,Subject,Pair
Intra,0.160216744013618,6,1
Intra,0.145696078286221,6,2
Intra,0.177072725421946,6,3
Intra,0.149874016744854,6,4
Intra,0.152006997221787,6,5
Intra,0.160561452291952,6,6
Intra,0.17192033046352,15,1
Intra,0.17336828394666,15,2
Intra,0.173385706362542,15,3
Intra,0.189945930643376,15,4
Intra,0.185700782286491,15,5
Intra,0.146756593369788,20,1
Intra,0.150957779039221,20,2
Intra,0.152811419389428,20,3
Intra,0.160550104940316,20,4
Intra,0.149777274763685,20,5
Intra,0.153609038513411,20,6
Intra,0.173648866607485,20,7
Intra,0.138738298849872,20,8
Intra,0.154137796473429,20,9
Intra,0.163040951515593,6,1
Intra,0.179001492549299,6,2
Intra,0.173250138485903,6,3
Intra,0.152827501340882,18,1
Intra,0.174416876724222,18,2
Intra,0.167333884859404,18,3
Intra,0.161368919220111,20,1
Intra,0.166145637400908,20,2
Intra,0.144916712665761,20,3
Intra,0.153165525854741,6,1
Intra,0.172609442462815,6,2
Intra,0.156146345293816,6,3
Intra,0.170908784433369,23,1
Intra,0.173688802885078,3,1
Intra,0.16034264125422,3,2
Intra,0.168204023634992,6,1
Intra,0.160007885122234,6,2
Intra,0.161031242565483,6,3
Intra,0.162107255956868,6,4
Intra,0.153762366597126,6,5
Intra,0.178853257322512,6,6
Intra,0.158134107251656,6,7
Intra,0.165876552340651,6,8
Intra,0.169561584896058,6,9
Intra,0.170411192128456,6,10
Intra,0.147591073082591,6,11
Intra,0.161332023312927,6,12
Intra,0.164097375714107,6,13
Intra,0.154623135530531,6,14
Intra,0.168194230543236,6,15
Intra,0.164175724282485,6,16
Intra,0.155892593626471,6,17
Intra,0.156274255743307,6,18
Intra,0.17046637753942,6,19
Intra,0.144368036861734,6,20
Intra,0.169181572731607,6,21
Intra,0.165920396370397,6,22
Intra,0.166356494488126,6,23
Intra,0.1595626458445,6,24
Intra,0.173876950794552,6,25
Intra,0.172115885142568,6,26
Intra,0.166350586339161,6,27
Intra,0.171880877621329,6,28
Intra,0.176399648669227,6,29
Intra,0.165838414323061,6,30
Intra,0.156500349508013,18,1
Intra,0.16617111396343,18,2
Intra,0.14113325798057,18,3
Intra,0.164112045961225,18,4
Intra,0.153937727455916,18,5
Intra,0.17453663052977,18,6
Intra,0.138095312587367,18,7
Intra,0.156268883315672,18,8
Intra,0.161915211376138,18,9
Intra,0.16668298550782,21,1
Intra,0.161199961494169,21,2
Intra,0.165716668610426,23,1
Intra,0.163477611719165,23,2
Intra,0.158601498289004,23,3
Intra,0.160068600958372,23,4
Intra,0.161167157699933,24,1
Intra,0.154588135189317,24,2
Intra,0.169294450203219,24,3
Intra,0.156322461865375,24,4
Intra,0.158705016595265,24,5
Intra,0.149003795905326,24,6
Intra,0.164728250686635,24,7
Intra,0.152486752087121,24,8
Intra,0.146676810938811,24,9
Intra,0.149152343015721,24,10
Intra,0.180985068466301,24,11
Intra,0.155335646086097,24,12
Intra,0.156669187453836,24,13
Intra,0.163878488567931,24,14
Intra,0.148824959242986,24,15
Intra,0.156652491569927,24,16
Intra,0.159327858807909,24,17
Intra,0.163039514970708,24,18
Intra,0.154196388676713,24,19
Intra,0.164497510404949,24,20
Intra,0.14888186466436,24,21
Intra,0.147612620204152,24,22
Intra,0.168219761696399,25,1
Intra,0.153622238471777,25,2
Intra,0.14905350841323,25,3
Intra,0.165264360188421,25,4
Intra,0.153497340617649,25,5
Intra,0.16373288454646,25,6
Intra,0.164871519631167,25,7
Intra,0.167171991448698,25,8
Intra,0.168370178932829,25,9
Intra,0.160408584316248,25,10
Intra,0.186389786950202,25,11
Intra,0.182963281520975,25,12
Intra,0.179468026836204,25,13
Intra,0.18920536573359,25,14
Intra,0.17428476553271,25,15
Intra,0.180109606486178,25,16
Intra,0.151181105015993,25,17
Intra,0.1807419915024,25,18
Intra,0.166710611512761,25,19
Intra,0.183150002804004,25,20
Intra,0.161581555342202,25,21
Intra,0.151520504756271,25,22
Intra,0.154804880108607,25,23
Intra,0.159931181998354,25,24
Intra,0.1563581529842,25,25
Intra,0.177328103663302,6,1
Intra,0.146882594881986,6,2
