Condition,PLV,Subject,Pair
Intra,0.121258984815898,6,1
Intra,0.0950329093674406,6,2
Intra,0.108023794304789,6,3
Intra,0.100799506701058,6,4
Intra,0.113069589925158,6,5
Intra,0.111967449391818,6,6
Intra,0.094224858363827,15,1
Intra,0.116893264275742,15,2
Intra,0.10500730520918,15,3
Intra,0.101370147907599,15,4
Intra,0.102566627224894,15,5
Intra,0.119718306306024,20,1
Intra,0.107207041507477,20,2
Intra,0.114819450400355,20,3
Intra,0.11549555330953,20,4
Intra,0.118886600348571,20,5
Intra,0.0964864412874597,20,6
Intra,0.112045989409059,20,7
Intra,0.111139780618123,20,8
Intra,0.10449914431498,20,9
Intra,0.0983388433840083,6,1
Intra,0.106846965674754,6,2
Intra,0.110816334564235,6,3
Intra,0.10298926517046,18,1
Intra,0.104813617023348,18,2
Intra,0.102869545354265,18,3
Intra,0.1087226736731,20,1
Intra,0.0991989904916653,20,2
Intra,0.109085476118999,20,3
Intra,0.0959192457243526,6,1
Intra,0.115233300376766,6,2
Intra,0.104716992938201,6,3
Intra,0.089199547142857,23,1
Intra,0.10266911658184,3,1
Intra,0.0968921298633952,3,2
Intra,0.106837578696972,6,1
Intra,0.113557137094242,6,2
Intra,0.0982731112190003,6,3
Intra,0.106034340896116,6,4
Intra,0.0922683288165175,6,5
Intra,0.0922926717078976,6,6
Intra,0.0969221447230487,6,7
Intra,0.0963845042598089,6,8
Intra,0.105502340830624,6,9
Intra,0.0997364384653396,6,10
Intra,0.108396156270898,6,11
Intra,0.116294767329642,6,12
Intra,0.102989432860989,6,13
Intra,0.0966661021118763,6,14
Intra,0.101306029595809,6,15
Intra,0.0971744841357047,6,16
Intra,0.103084018126935,6,17
Intra,0.0994764883323538,6,18
Intra,0.105291780000199,6,19
Intra,0.0896406640656288,6,20
Intra,0.100778773417196,6,21
Intra,0.107648331922954,6,22
Intra,0.0911012452111784,6,23
Intra,0.0913388499210852,6,24
Intra,0.101166390159406,6,25
Intra,0.103185568006124,6,26
Intra,0.094659923184889,6,27
Intra,0.0907075094420373,6,28
Intra,0.10146528059706,6,29
Intra,0.0951981939254307,6,30
Intra,0.117680508761544,18,1
Intra,0.108474213564434,18,2
Intra,0.11014971577451,18,3
Intra,0.0984968021118355,18,4
Intra,0.106870352290452,18,5
Intra,0.109445234813567,18,6
Intra,0.0961793671456857,18,7
Intra,0.110550768794105,18,8
Intra,0.10503805314991,18,9
Intra,0.0944824174908444,21,1
Intra,0.0942574571877279,21,2
Intra,0.102751203256956,23,1
Intra,0.105951180813166,23,2
Intra,0.0914897934588541,23,3
Intra,0.0830670704701768,23,4
Intra,0.0994068966989615,24,1
Intra,0.095279313383638,24,2
Intra,0.107156840294813,24,3
Intra,0.0976684867910733,24,4
Intra,0.0993805804880772,24,5
Intra,0.102669576858707,24,6
Intra,0.109802679663155,24,7
Intra,0.0998782132547038,24,8
Intra,0.109323239664488,24,9
Intra,0.0955659703286995,24,10
Intra,0.10980558421127,24,11
Intra,0.100042671338339,24,12
Intra,0.101936472608936,24,13
Intra,0.111616733953304,24,14
Intra,0.102390806937684,24,15
Intra,0.0995774277845909,24,16
Intra,0.107854519700477,24,17
Intra,0.103791486405995,24,18
Intra,0.103054494490157,24,19
Intra,0.107067318237457,24,20
Intra,0.105959199315661,24,21
Intra,0.104439870532602,24,22
Intra,0.107770085280679,25,1
Intra,0.120025806082729,25,2
Intra,0.101587852722355,25,3
Intra,0.109027142049746,25,4
Intra,0.11694795540432,25,5
Intra,0.0977062923558948,25,6
Intra,0.103402853767634,25,7
Intra,0.110767117816621,25,8
Intra,0.116949039532036,25,9
Intra,0.107161825068051,25,10
Intra,0.119093671094763,25,11
Intra,0.102876262144357,25,12
Intra,0.0954239171612451,25,13
Intra,0.115772539854241,25,14
Intra,0.108472949442548,25,15
Intra,0.102262380801928,25,16
Intra,0.107425236906495,25,17
Intra,0.104554958719413,25,18
Intra,0.113674092008982,25,19
Intra,0.102169665531463,25,20
Intra,0.107780633458189,25,21
Intra,0.113825761288792,25,22
Intra,0.114499265307631,25,23
Intra,0.1003388541018,25,24
Intra,0.102900000097915,25,25
Intra,0.108065848778394,6,1
Intra,0.0979633311154219,6,2
Intra,0.097940807467248,6,3
Intra,0.100592829843657,6,4
Intra,0.0899644321926571,6,5
Intra,0.0987057646501212,6,6
Intra,0.100006805563833,6,7
Intra,0.0985209760426321,6,8
Intra,0.106517027357475,6,9
Intra,0.0958136402097142,10,1
Intra,0.1066628402787,10,2
Intra,0.103546136632947,10,3
Intra,0.0799919631338209,10,4
Intra,0.0925181424154768,10,5
Intra,0.091660057244927,10,6
Intra,0.109448877172705,10,7
Intra,0.135417062614517,20,1
Intra,0.122425954629975,20,2
Intra,0.0950258977106296,20,3
Intra,0.0905036975679955,20,4
Intra,0.0992539257249048,20,5
Intra,0.110092766387599,20,6
Intra,0.105456433349944,25,1
Intra,0.107725374111765,25,2
Intra,0.118312521553653,25,3
Intra,0.111866800080015,25,4
Intra,0.10224337243463,25,5
Intra,0.111681167017032,3,1
Intra,0.102753384138593,3,2
Intra,0.106924735360235,3,3
Intra,0.103346587468792,3,4
Intra,0.0966175260125345,3,5
Intra,0.10500348221258,3,6
Intra,0.111807287296429,3,7
Intra,0.105534356889638,3,8
Intra,0.103539616816475,3,9
Intra,0.0982133681352693,3,10
Intra,0.104951949292648,3,11
Intra,0.0885565806973033,3,12
Intra,0.101249863950136,3,13
Intra,0.101852136548446,3,14
