Condition,PLV,Subject,Pair
Intra,0.301774008789684,6,1
Intra,0.338168614956893,6,2
Intra,0.299470486303862,6,3
Intra,0.299637183841745,6,4
Intra,0.322274251740026,6,5
Intra,0.32555245841237,6,6
Intra,0.32741147778126,15,1
Intra,0.325207072937845,15,2
Intra,0.28343540803571,15,3
Intra,0.348769808537975,15,4
Intra,0.35658779768053,15,5
Intra,0.323623087137462,20,1
Intra,0.302508054602771,20,2
Intra,0.327795324910686,20,3
Intra,0.298131395968277,20,4
Intra,0.269412091738488,20,5
Intra,0.321509963379097,20,6
Intra,0.29432192328818,20,7
Intra,0.297483816477664,20,8
Intra,0.360215600908757,20,9
Intra,0.299799020432064,6,1
Intra,0.312306244794476,6,2
Intra,0.30509351777232,6,3
Intra,0.305036013120032,18,1
Intra,0.357183774683216,18,2
Intra,0.312628300628731,18,3
Intra,0.3004616674357,20,1
Intra,0.31745381868254,20,2
Intra,0.30668750044671,20,3
Intra,0.318728788545485,6,1
Intra,0.337192307058601,6,2
Intra,0.376828261802457,6,3
Intra,0.309609264085814,23,1
Intra,0.308838062560767,3,1
Intra,0.320229480926525,3,2
Intra,0.302772517982073,6,1
Intra,0.311398299699139,6,2
Intra,0.306461044489588,6,3
Intra,0.295267135059881,6,4
Intra,0.321390485525042,6,5
Intra,0.309222683881402,6,6
Intra,0.291820592613483,6,7
Intra,0.304269366825742,6,8
Intra,0.293144890317361,6,9
Intra,0.313524533542787,6,10
Intra,0.337337934401355,6,11
Intra,0.287609378903666,6,12
Intra,0.349596558374648,6,13
Intra,0.271807027970224,6,14
Intra,0.304948865155467,6,15
Intra,0.303630485022768,6,16
Intra,0.297838368979406,6,17
Intra,0.297803939569687,6,18
Intra,0.32115649802406,6,19
Intra,0.324433402995986,6,20
Intra,0.28421418724328,6,21
Intra,0.329364133284777,6,22
Intra,0.332440781968456,6,23
Intra,0.338571732889798,6,24
Intra,0.322292486271489,6,25
Intra,0.294990225366203,6,26
Intra,0.268675834021195,6,27
Intra,0.268819411654059,6,28
Intra,0.333221569952162,6,29
Intra,0.343338902627839,6,30
Intra,0.393023453962381,18,1
Intra,0.325266189392422,18,2
Intra,0.313765966623731,18,3
Intra,0.398597113598795,18,4
Intra,0.294015651393627,18,5
Intra,0.314099137328034,18,6
Intra,0.371820513434952,18,7
Intra,0.292940570553446,18,8
Intra,0.291456373563979,18,9
Intra,0.313692704233527,21,1
Intra,0.364407098456702,21,2
Intra,0.305251760012114,23,1
Intra,0.291566328130746,23,2
Intra,0.333563120620208,23,3
Intra,0.315436507768843,23,4
Intra,0.329157818973759,24,1
Intra,0.294523268673867,24,2
Intra,0.390423451477411,24,3
Intra,0.30544733345806,24,4
Intra,0.323241612840428,24,5
Intra,0.299646460571442,24,6
Intra,0.359509210441375,24,7
Intra,0.352884681369308,24,8
Intra,0.365798432705086,24,9
Intra,0.340376464550698,24,10
Intra,0.355128497914974,24,11
Intra,0.279134243387238,24,12
Intra,0.32801642137993,24,13
Intra,0.336740747787567,24,14
Intra,0.322588390207457,24,15
Intra,0.291335093559394,24,16
Intra,0.322416670407029,24,17
Intra,0.322303726398228,24,18
Intra,0.32145491724377,24,19
Intra,0.298944216158841,24,20
Intra,0.347175646836669,24,21
Intra,0.299116716035006,24,22
Intra,0.329368730111322,25,1
Intra,0.315667441398823,25,2
Intra,0.347562424793244,25,3
Intra,0.309622937878025,25,4
Intra,0.336757056650521,25,5
Intra,0.36955269284435,25,6
Intra,0.326131234472681,25,7
Intra,0.314477506413027,25,8
Intra,0.316446093483329,25,9
Intra,0.332784891333632,25,10
Intra,0.304545631769995,25,11
Intra,0.301764531707243,25,12
Intra,0.296799521594124,25,13
Intra,0.298289946450697,25,14
Intra,0.321380130473152,25,15
Intra,0.328554269982787,25,16
Intra,0.302130727776787,25,17
Intra,0.318189761315656,25,18
Intra,0.336821084667556,25,19
Intra,0.315535520349313,25,20
Intra,0.305685365316306,25,21
Intra,0.335508064913102,25,22
Intra,0.316886565821502,25,23
Intra,0.340483427684508,25,24
Intra,0.293227159005241,25,25
Intra,0.347609115181446,6,1
Intra,0.329118374135521,6,2
Intra,0.326293113949854,6,3
Intra,0.320153002533794,6,4
Intra,0.294519767935727,6,5
Intra,0.308272676157779,6,6
Intra,0.292196074395182,6,7
Intra,0.325161713276614,6,8
Intra,0.349341661236639,6,9
Intra,0.331841138681589,10,1
Intra,0.318044299532226,10,2
Intra,0.287919244829445,10,3
Intra,0.301895457703354,10,4
Intra,0.291576763629456,10,5
Intra,0.286150457209172,10,6
Intra,0.301626702822615,10,7
Intra,0.2612802199226,20,1
Intra,0.263243583822387,20,2
Intra,0.285058785713949,20,3
Intra,0.269228680559874,20,4
Intra,0.29295797898244,20,5
Intra,0.287938903380285,20,6
Intra,0.321806577149768,25,1
Intra,0.340791653815789,25,2
Intra,0.316907124189022,25,3
Intra,0.332492412307121,25,4
Intra,0.317694911526109,25,5
Intra,0.312853360411161,3,1
Intra,0.326955259200524,3,2
Intra,0.310343304444816,3,3
Intra,0.336560402792281,3,4
Intra,0.313667763626849,3,5
Intra,0.297927310208589,3,6
Intra,0.319318748032694,3,7
Intra,0.284643825474341,3,8
Intra,0.316010261329645,3,9
Intra,0.309745769872173,3,10
Intra,0.317719680806326,3,11
Intra,0.334472823825032,3,12
Intra,0.29003549764536,3,13
Intra,0.337016425623035,3,14
Intra,0.304566478128289,3,15
Intra,0.32688951713708,3,16
Intra,0.303956372402302,3,17
Intra,0.296120477516713,3,18
Intra,0.308473368301215,3,19
Intra,0.305070233855869,3,20
Intra,0.292008990079629,6,1
Intra,0.289718364213672,6,2
Intra,0.345629688184297,6,3
Intra,0.304843657199515,6,4
Intra,0.306694370386507,6,5
Intra,0.300293955952506,6,6
Intra,0.315981980613083,6,7
Intra,0.321538846858655,6,8
Intra,0.308964010314047,6,9
Intra,0.302756785433221,6,10
Intra,0.310698578447523,6,11
Intra,0.328794669795559,6,12
Intra,0.321554055896059,6,13
Intra,0.291144031461957,6,14
Intra,0.334476333921198,6,15
Intra,0.326388509146427,6,16
Intra,0.341875992886778,6,17
Intra,0.33570658620342,6,18
Intra,0.341502209731519,6,19
Intra,0.293733734504813,6,20
Intra,0.2862808109905,6,21
Intra,0.337067679937099,6,22
Intra,0.310813332592318,6,23
Intra,0.332322789244736,6,24
Intra,0.33294809925719,6,25
Intra,0.337415229542387,6,26
Intra,0.315393187892778,6,27
Intra,0.311999040626524,6,28
Intra,0.294181776077129,6,29
Intra,0.308809142980299,6,30
Intra,0.330602032616284,8,1
Intra,0.345905121020021,8,2
Intra,0.324171257402003,8,3
Intra,0.35907595767052,8,4
Intra,0.34032027424816,8,5
Intra,0.331975775095218,8,6
Intra,0.325285327048478,8,7
Intra,0.335330007709795,8,8
Intra,0.302086400618563,9,1
Intra,0.323507725513706,9,2
Intra,0.304857709522089,10,1
Intra,0.318941005658584,10,2
Intra,0.295856631991215,10,3
Intra,0.342478933416311,10,4
Intra,0.329578589939891,10,5
Intra,0.308644747891605,10,6
Intra,0.306524806884765,10,7
Intra,0.322180682929972,10,8
Intra,0.319561814327861,10,9
Intra,0.311511504584075,10,10
Intra,0.297743166250653,10,11
Intra,0.313896662839221,10,12
Intra,0.304047380555103,10,13
Intra,0.327642993504752,10,14
Intra,0.299813532194975,10,15
Intra,0.30853535044808,10,16
Intra,0.297439312233201,10,17
Intra,0.322298947675369,10,18
Intra,0.308195973380605,10,19
Intra,0.318657190615327,10,20
Intra,0.297544738044254,10,21
Intra,0.330539207795559,10,22
Intra,0.322576523454575,10,23
Intra,0.293136046788969,10,24
Intra,0.329660464234581,10,25
Intra,0.316027655294472,10,26
Intra,0.325759206080463,10,27
Intra,0.305318401612853,10,28
Intra,0.310293844737308,10,29
Intra,0.316193822471347,10,30
Intra,0.346667516019044,10,31
Intra,0.350283051548383,10,32
Intra,0.376983891566356,10,33
Intra,0.304244189220538,10,34
Intra,0.318239938107312,10,35
Intra,0.310831497949311,10,36
Intra,0.291214988385801,10,37
Intra,0.325623353441233,10,38
Intra,0.352661470172568,10,39
Intra,0.350656079583319,10,40
Intra,0.320008216655549,10,41
Intra,0.314884914363632,10,42
Intra,0.342283071936117,10,43
Intra,0.360687079582472,10,44
Intra,0.302363346127222,10,45
Intra,0.337593672297822,10,46
Intra,0.316049551916318,10,47
Intra,0.326520580459441,10,48
Intra,0.329048072010291,10,49
Intra,0.327086963966644,11,1
Intra,0.331969908695523,11,2
Intra,0.328088277312633,11,3
Intra,0.300017636169103,11,4
Intra,0.37284163661465,11,5
Intra,0.309622942762096,12,1
Intra,0.336841267319319,12,2
Intra,0.332350594288895,12,3
Intra,0.294115762108606,12,4
Intra,0.283854725034795,12,5
Intra,0.297188200665958,12,6
Intra,0.312428167575013,12,7
Intra,0.284776229385263,12,8
Intra,0.340818690323724,12,9
Intra,0.393094334262506,12,10
Intra,0.276258774975627,12,11
Intra,0.311481068403928,12,12
Intra,0.289319233875671,12,13
Intra,0.306638971258482,12,14
Intra,0.271504368936443,12,15
Intra,0.323978165728768,12,16
Intra,0.374736736255261,12,17
Intra,0.270663022791648,12,18
Intra,0.285092753432373,12,19
Intra,0.291545701637462,12,20
Intra,0.311467433900586,12,21
Intra,0.292846383845624,13,1
Intra,0.284635481627616,13,2
Intra,0.27895293809252,13,3
Intra,0.291950714291315,13,4
Intra,0.33253466309598,13,5
Intra,0.305594145433365,13,6
Intra,0.315864235073781,13,7
Intra,0.287680118119527,13,8
Intra,0.289556483345189,13,9
Intra,0.289947503052443,13,10
Intra,0.295803482611326,13,11
Intra,0.299062390225033,13,12
Intra,0.314620837940038,13,13
Intra,0.301218349031691,13,14
Intra,0.279785425283261,13,15
Intra,0.311286540414775,13,16
Intra,0.293464943821979,13,17
Intra,0.312573374289232,13,18
Intra,0.310302759910891,13,19
Intra,0.328320774486279,13,20
Intra,0.322946321283594,13,21
Intra,0.310344018813316,13,22
Intra,0.338976230228223,13,23
Intra,0.327918419121992,13,24
Intra,0.309686907295596,13,25
Intra,0.342881452744187,13,26
Intra,0.298359748791043,13,27
Intra,0.328406667964253,13,28
Intra,0.328549228772924,13,29
Intra,0.304256816552955,13,30
Intra,0.293727721466997,13,31
Intra,0.294780640020057,13,32
Intra,0.303383376608034,13,33
Intra,0.320517690470204,13,34
Intra,0.322533627139326,13,35
Intra,0.307042537561098,13,36
Intra,0.316949025738891,13,37
Intra,0.299230731596939,13,38
Intra,0.302938013901888,13,39
Intra,0.335069366556445,13,40
Intra,0.320005438869812,13,41
Intra,0.319491099404088,13,42
Intra,0.307841877216969,13,43
Intra,0.302126897640657,13,44
Intra,0.286740826094887,13,45
Intra,0.31992444387056,13,46
Intra,0.345021786015412,13,47
Intra,0.356957129068819,13,48
Intra,0.324800605103375,13,49
Intra,0.360405758813659,13,50
Intra,0.310679518912111,13,51
Intra,0.349073641561436,13,52
Intra,0.348479494917679,13,53
Intra,0.309854826493126,13,54
Intra,0.300387939312643,17,1
Intra,0.264061468307008,17,2
Intra,0.306226218384947,17,3
Intra,0.309449904916906,17,4
Intra,0.265530436738758,17,5
Intra,0.268915096509485,17,6
Intra,0.306672986507788,17,7
Intra,0.277785521349839,17,8
Intra,0.320564867310364,17,9
Intra,0.325838653638683,17,10
Intra,0.269885036457252,17,11
Intra,0.293111310075374,17,12
Intra,0.291123986928989,18,1
Intra,0.299660975338855,18,2
Intra,0.323960676327041,18,3
Intra,0.407239199795634,18,4
Intra,0.361275572737599,18,5
Intra,0.298759602546113,18,6
Intra,0.2952047892562,18,7
Intra,0.346726164693124,18,8
Intra,0.321004558984763,18,9
Intra,0.298158534560022,18,10
Intra,0.313556835225016,18,11
Intra,0.316215099618561,18,12
Intra,0.349532539562612,22,1
Intra,0.309521333039418,22,2
Intra,0.284599204031944,22,3
Intra,0.278470361924047,22,4
Intra,0.308471122220282,22,5
Intra,0.31400591748464,22,6
Intra,0.313214916260596,22,7
Intra,0.305171424153745,22,8
Intra,0.274707442287051,22,9
Intra,0.339281947234167,22,10
Intra,0.328036555936877,22,11
Intra,0.309173097425069,22,12
Intra,0.29940768589496,22,13
Intra,0.310220324620809,22,14
Intra,0.347233961214401,22,15
Intra,0.299687488524853,22,16
Intra,0.358422822299845,22,17
Intra,0.296805510541203,22,18
Intra,0.273030575487633,22,19
Intra,0.263593893400223,22,20
Intra,0.368054621205315,23,1
Intra,0.346033399663103,23,2
Intra,0.312823248115253,23,3
Intra,0.287991632395619,23,4
Intra,0.321803360414395,24,1
Intra,0.33200729791051,24,2
Intra,0.353506649479031,24,3
Intra,0.365952437134178,24,4
Intra,0.362634441494614,24,5
Intra,0.352570273363998,24,6
Intra,0.3400973136525,24,7
Intra,0.335891194380127,24,8
Intra,0.340153071585654,24,9
Intra,0.307278371740071,24,10
Intra,0.34482239747437,24,11
Intra,0.358734549825924,24,12
Intra,0.33778984508234,24,13
Intra,0.3279110303401,24,14
Intra,0.288580143529951,24,15
Intra,0.324009777826901,24,16
Intra,0.313959691558254,24,17
Intra,0.356416807281128,24,18
Intra,0.33592850772003,24,19
Intra,0.325587667818411,24,20
Intra,0.328516754500851,24,21
Intra,0.333201976701621,24,22
Intra,0.318102514939537,24,23
Intra,0.305902003794792,24,24
Intra,0.371881851061284,24,25
Intra,0.368435017937885,24,26
Intra,0.333020350743243,24,27
Intra,0.319939066285667,24,28
Intra,0.306631742538812,24,29
Intra,0.342191328903062,24,30
Intra,0.329511707782517,24,31
Intra,0.37533230209059,24,32
Intra,0.345515342176741,24,33
Intra,0.324388946807909,24,34
Intra,0.31639543419875,24,35
Intra,0.384279914528745,24,36
Intra,0.339136815391457,24,37
Intra,0.320262693237334,24,38
Intra,0.3339024085956,24,39
Intra,0.313562810737978,24,40
Intra,0.324363009001047,24,41
Intra,0.312661693041802,24,42
Intra,0.375959417829419,24,43
Intra,0.371683773528704,24,44
Intra,0.317660274178845,24,45
Intra,0.322910755097165,24,46
Intra,0.341381422424772,24,47
Intra,0.312614524986826,24,48
Intra,0.335582763368547,24,49
Intra,0.437516103143666,24,50
Intra,0.385756310062215,24,51
Intra,0.31982224239189,24,52
Intra,0.283450345587236,24,53
Intra,0.332978670232107,24,54
Intra,0.293079875158059,24,55
Intra,0.343834818080969,24,56
Intra,0.316891760303588,24,57
Intra,0.401703792070788,24,58
Intra,0.321369494398691,24,59
Intra,0.357397058548021,24,60
Intra,0.339553855623086,24,61
Intra,0.355346851148964,24,62
Intra,0.32453137794956,24,63
Intra,0.310515013284307,24,64
Intra,0.336589408418116,24,65
Intra,0.351698181497458,24,66
Intra,0.347060596893818,24,67
Intra,0.35588373406615,24,68
Intra,0.308386713889917,24,69
Intra,0.332071972262977,24,70
Intra,0.352310738688602,24,71
Intra,0.355128934797783,24,72
Intra,0.346766086098452,24,73
Intra,0.321719430530567,24,74
Intra,0.343085036646815,24,75
Intra,0.315727759081361,24,76
Intra,0.333172817095533,24,77
Intra,0.3170529646108,25,1
Intra,0.291624095284066,25,2
Intra,0.309049936926628,25,3
Intra,0.319896477859123,25,4
Intra,0.327053203144845,25,5
Intra,0.324775218312069,25,6
Intra,0.307681049593305,25,7
Intra,0.289869113158992,25,8
Intra,0.294475098473583,25,9
Intra,0.308635329292907,25,10
Intra,0.318871585125785,25,11
Intra,0.318846162669036,25,12
Intra,0.302652641449169,25,13
Intra,0.3290672925936,25,14
Intra,0.30126930366849,25,15
Intra,0.313899023733957,25,16
Intra,0.318118462349102,25,17
Intra,0.328455774890733,25,18
Intra,0.300206406680467,25,19
Intra,0.277975135778007,25,20
Intra,0.318956850049079,25,21
Intra,0.330479828288583,25,22
Intra,0.323042070852252,25,23
Intra,0.326446687879945,25,24
Intra,0.32086248502983,25,25
Intra,0.31581513215175,25,26
Intra,0.287867733545755,25,27
Intra,0.293593875909869,25,28
Intra,0.320701139310936,25,29
Intra,0.320382974091893,25,30
Intra,0.304262701159385,3,1
Intra,0.285398456101926,3,2
Intra,0.284112299982496,8,1
Intra,0.340209817571907,8,2
Intra,0.351167814722374,8,3
Intra,0.315687655638373,8,4
Intra,0.341272399777574,8,5
Intra,0.324704419823698,8,6
Intra,0.357115640720643,8,7
Intra,0.314135470842841,9,1
Intra,0.276426791237355,10,1
Intra,0.314332191840654,10,2
Intra,0.289980173384146,10,3
Intra,0.331445489842205,10,4
Intra,0.348753202297908,10,5
Intra,0.320860401291952,10,6
Intra,0.326041710597964,10,7
Intra,0.294876568446612,10,8
Intra,0.333779194218294,10,9
Intra,0.294623444572738,10,10
Intra,0.333413793935491,10,11
Intra,0.330133061454824,10,12
Intra,0.316089908824038,10,13
Intra,0.333536302050844,10,14
Intra,0.295052486463602,10,15
Intra,0.329266039360452,10,16
Intra,0.29873138633517,10,17
Intra,0.290113758999384,10,18
Intra,0.324325545256552,10,19
Intra,0.302837847091574,10,20
Intra,0.303909867712141,10,21
Intra,0.325584948337332,10,22
Intra,0.356095120430082,10,23
Intra,0.358071785564606,10,24
Intra,0.284975012531115,10,25
Intra,0.310483369020757,10,26
Intra,0.28841069961733,10,27
Intra,0.321653608743941,10,28
Intra,0.292483718622737,10,29
Intra,0.307586561212067,10,30
