Condition,PLV,Subject,Pair
Intra,0.366484284321496,6,1
Intra,0.393615007925864,6,2
Intra,0.338568640560848,6,3
Intra,0.340392859671846,6,4
Intra,0.350042629122132,6,5
Intra,0.352939166983242,6,6
Intra,0.259265121407995,15,1
Intra,0.255254977705884,15,2
Intra,0.280055038585227,15,3
Intra,0.26989921422629,15,4
Intra,0.269513833294191,15,5
Intra,0.281054434571344,20,1
Intra,0.322375415401952,20,2
Intra,0.375828914965684,20,3
Intra,0.283575500897569,20,4
Intra,0.326034233113923,20,5
Intra,0.353700578944424,20,6
Intra,0.302552454168124,20,7
Intra,0.350620517667087,20,8
Intra,0.385031370112506,20,9
Intra,0.429894383187106,6,1
Intra,0.329117437983077,6,2
Intra,0.33996947513429,6,3
Intra,0.311551846855114,18,1
Intra,0.38674953239497,18,2
Intra,0.306089993975034,18,3
Intra,0.336248154202328,20,1
Intra,0.338182374903005,20,2
Intra,0.362201559118587,20,3
Intra,0.360927123502211,6,1
Intra,0.325741347981459,6,2
Intra,0.317780139934266,6,3
Intra,0.286155150351217,23,1
Intra,0.273705429958232,3,1
Intra,0.295733142400528,3,2
Intra,0.342155514223587,6,1
Intra,0.3453719918732,6,2
Intra,0.378428806053616,6,3
Intra,0.344150298270801,6,4
Intra,0.379311615934503,6,5
Intra,0.395195806709969,6,6
Intra,0.3169984323531,6,7
Intra,0.328565283010446,6,8
Intra,0.363520996449669,6,9
Intra,0.368778874042706,6,10
Intra,0.335861852469582,6,11
Intra,0.342678018878142,6,12
Intra,0.339701289539464,6,13
Intra,0.340274344250824,6,14
Intra,0.339521087477153,6,15
Intra,0.314652817318686,6,16
Intra,0.278614300260042,6,17
Intra,0.286950270643702,6,18
Intra,0.335091217231427,6,19
Intra,0.322528041192006,6,20
Intra,0.303340872714834,6,21
Intra,0.33487994058552,6,22
Intra,0.355543629412213,6,23
Intra,0.302255664758803,6,24
Intra,0.321841413458942,6,25
Intra,0.334615743236589,6,26
Intra,0.275661666656156,6,27
Intra,0.293501476581509,6,28
Intra,0.343180203739034,6,29
Intra,0.332835961072793,6,30
Intra,0.306826092108377,18,1
Intra,0.278291723129584,18,2
Intra,0.287517104324895,18,3
Intra,0.372745538612941,18,4
Intra,0.363850646410909,18,5
Intra,0.335313174502411,18,6
Intra,0.336960387038882,18,7
Intra,0.291881099688717,18,8
Intra,0.292640795883582,18,9
Intra,0.296351060979799,21,1
Intra,0.310463033506493,21,2
Intra,0.257903205641311,23,1
Intra,0.281206061345696,23,2
Intra,0.280051089957039,23,3
Intra,0.277198725183601,23,4
Intra,0.314425506616341,24,1
Intra,0.278623863211907,24,2
Intra,0.414946364862149,24,3
Intra,0.271487344733005,24,4
Intra,0.256257822798703,24,5
Intra,0.305837193637536,24,6
Intra,0.356398754095004,24,7
Intra,0.281305848638402,24,8
Intra,0.322222139955227,24,9
Intra,0.287144800905251,24,10
Intra,0.318394545567496,24,11
Intra,0.310507622222428,24,12
Intra,0.316078345032552,24,13
Intra,0.310606160004485,24,14
Intra,0.253729595485594,24,15
Intra,0.263301850520523,24,16
Intra,0.301547080966234,24,17
Intra,0.287602943583466,24,18
Intra,0.270511726758086,24,19
Intra,0.27581743709607,24,20
Intra,0.276754162761678,24,21
Intra,0.297270986620618,24,22
Intra,0.311256008311759,25,1
Intra,0.286842170606906,25,2
Intra,0.267163151928673,25,3
Intra,0.30188609053586,25,4
Intra,0.302842111086375,25,5
Intra,0.303372121402537,25,6
Intra,0.269102882717355,25,7
Intra,0.281296704891499,25,8
Intra,0.286775828644533,25,9
Intra,0.28878230931124,25,10
Intra,0.349618561813144,25,11
Intra,0.283604620088944,25,12
Intra,0.278260322180628,25,13
Intra,0.293259710505788,25,14
Intra,0.307417731426841,25,15
Intra,0.282364483931402,25,16
Intra,0.265541166513093,25,17
Intra,0.278169803080672,25,18
Intra,0.30791695424313,25,19
Intra,0.283623890731512,25,20
Intra,0.303937652431215,25,21
Intra,0.273771106773831,25,22
Intra,0.288526001271298,25,23
Intra,0.279360302919191,25,24
Intra,0.2672602328923,25,25
Intra,0.366388410771443,6,1
Intra,0.333426755787589,6,2
Intra,0.318710981442967,6,3
Intra,0.343595556926838,6,4
Intra,0.28748374557521,6,5
Intra,0.333690211698177,6,6
Intra,0.321530345769811,6,7
Intra,0.284012439326993,6,8
Intra,0.290289011982437,6,9
Intra,0.359919746834205,10,1
Intra,0.323652433735662,10,2
Intra,0.338010482166318,10,3
Intra,0.289029616213724,10,4
Intra,0.295818436237183,10,5
Intra,0.304435549845622,10,6
Intra,0.318166622811091,10,7
Intra,0.329461777137639,20,1
Intra,0.300530188705527,20,2
Intra,0.360381970150152,20,3
Intra,0.34308505089555,20,4
Intra,0.338577115893945,20,5
Intra,0.320095259942322,20,6
Intra,0.311402814149906,25,1
Intra,0.312359229032073,25,2
Intra,0.31434300775259,25,3
Intra,0.318331507845302,25,4
Intra,0.30546786148485,25,5
Intra,0.253461117905643,3,1
Intra,0.261755642951092,3,2
Intra,0.290020470253483,3,3
Intra,0.306655175011771,3,4
Intra,0.29470465013515,3,5
Intra,0.274271095406841,3,6
Intra,0.264621214005007,3,7
Intra,0.29176253245862,3,8
Intra,0.270092448902652,3,9
Intra,0.298997833356948,3,10
Intra,0.287374398272932,3,11
Intra,0.290497227447122,3,12
Intra,0.331311822686463,3,13
Intra,0.359737636910166,3,14
Intra,0.339439516748003,3,15
Intra,0.284901940442249,3,16
Intra,0.33657513340919,3,17
Intra,0.346899230371849,3,18
Intra,0.289723943038269,3,19
Intra,0.369721623109061,3,20
Intra,0.317318829154766,6,1
Intra,0.324981105277895,6,2
Intra,0.464756872804558,6,3
Intra,0.344259192549661,6,4
Intra,0.402153075741913,6,5
Intra,0.367508996983711,6,6
Intra,0.380353889528158,6,7
Intra,0.367555658220771,6,8
Intra,0.379271634544662,6,9
Intra,0.351561016693588,6,10
Intra,0.305465705669683,6,11
Intra,0.340830944176047,6,12
Intra,0.325483446519574,6,13
Intra,0.322856821140293,6,14
Intra,0.32403741143824,6,15
Intra,0.337807323838914,6,16
Intra,0.370053963222587,6,17
Intra,0.306320905449742,6,18
Intra,0.380643571897792,6,19
Intra,0.299723715293123,6,20
Intra,0.280525282995099,6,21
Intra,0.34677286324566,6,22
Intra,0.308923447182559,6,23
Intra,0.335745884439595,6,24
Intra,0.31421841750503,6,25
Intra,0.349969385468412,6,26
Intra,0.354355274802274,6,27
Intra,0.325936280613386,6,28
Intra,0.359573926733121,6,29
Intra,0.317211036410455,6,30
Intra,0.284336255166922,8,1
Intra,0.283569881715964,8,2
Intra,0.314359259772822,8,3
Intra,0.331460876259231,8,4
Intra,0.293257040511193,8,5
Intra,0.306189698472543,8,6
Intra,0.321891821782514,8,7
Intra,0.366435349211998,8,8
Intra,0.24548430335376,9,1
Intra,0.296276945169578,9,2
Intra,0.397050116126635,10,1
Intra,0.35393958512401,10,2
Intra,0.299678706054547,10,3
Intra,0.330152459448948,10,4
Intra,0.328244262436943,10,5
Intra,0.330739820870742,10,6
Intra,0.306534902210902,10,7
Intra,0.325940117386689,10,8
Intra,0.330400525907267,10,9
Intra,0.324199600207752,10,10
Intra,0.341495800187204,10,11
Intra,0.306846745076174,10,12
Intra,0.345501444270189,10,13
Intra,0.273319978502513,10,14
Intra,0.323682427469621,10,15
Intra,0.333724780583442,10,16
Intra,0.318324348320093,10,17
Intra,0.310200777046428,10,18
Intra,0.306604816509183,10,19
Intra,0.326808504491059,10,20
Intra,0.266282152554741,10,21
Intra,0.388089592741954,10,22
Intra,0.343216427736284,10,23
Intra,0.316154419918211,10,24
Intra,0.385259211637798,10,25
Intra,0.359307722096426,10,26
Intra,0.336172788526848,10,27
Intra,0.300410814412191,10,28
Intra,0.35670362452791,10,29
Intra,0.330372082660434,10,30
Intra,0.313424652050205,10,31
Intra,0.320122912755867,10,32
Intra,0.333271565591687,10,33
Intra,0.314627367684127,10,34
Intra,0.303455350405363,10,35
Intra,0.350183313192334,10,36
Intra,0.340549969513391,10,37
