Condition,PLV,Subject,Pair
Recall,0.301774008789684,6,1
Recall,0.338168614956893,6,2
Recall,0.299470486303862,6,3
Recall,0.299637183841745,6,4
Recall,0.322274251740026,6,5
Recall,0.32555245841237,6,6
Recall,0.32741147778126,15,1
Recall,0.325207072937845,15,2
Recall,0.28343540803571,15,3
Recall,0.348769808537975,15,4
Recall,0.35658779768053,15,5
Recall,0.323623087137462,20,1
Recall,0.302508054602771,20,2
Recall,0.327795324910686,20,3
Recall,0.298131395968277,20,4
Recall,0.269412091738488,20,5
Recall,0.321509963379097,20,6
Recall,0.29432192328818,20,7
Recall,0.297483816477664,20,8
Recall,0.360215600908757,20,9
Recall,0.299799020432064,6,1
Recall,0.312306244794476,6,2
Recall,0.30509351777232,6,3
Recall,0.305036013120032,18,1
Recall,0.357183774683216,18,2
Recall,0.312628300628731,18,3
Recall,0.3004616674357,20,1
Recall,0.31745381868254,20,2
Recall,0.30668750044671,20,3
Recall,0.318728788545485,6,1
Recall,0.337192307058601,6,2
Recall,0.376828261802457,6,3
Recall,0.309609264085814,23,1
Recall,0.308838062560767,3,1
Recall,0.320229480926525,3,2
Recall,0.302772517982073,6,1
Recall,0.311398299699139,6,2
Recall,0.306461044489588,6,3
Recall,0.295267135059881,6,4
Recall,0.321390485525042,6,5
Recall,0.309222683881402,6,6
Recall,0.291820592613483,6,7
Recall,0.304269366825742,6,8
Recall,0.293144890317361,6,9
Recall,0.313524533542787,6,10
Recall,0.337337934401355,6,11
Recall,0.287609378903666,6,12
Recall,0.349596558374648,6,13
Recall,0.271807027970224,6,14
Recall,0.304948865155467,6,15
Recall,0.303630485022768,6,16
Recall,0.297838368979406,6,17
Recall,0.297803939569687,6,18
Recall,0.32115649802406,6,19
Recall,0.324433402995986,6,20
Recall,0.28421418724328,6,21
Recall,0.329364133284777,6,22
Recall,0.332440781968456,6,23
Recall,0.338571732889798,6,24
Recall,0.322292486271489,6,25
Recall,0.294990225366203,6,26
Recall,0.268675834021195,6,27
Recall,0.268819411654059,6,28
Recall,0.333221569952162,6,29
Recall,0.343338902627839,6,30
Recall,0.393023453962381,18,1
Recall,0.325266189392422,18,2
Recall,0.313765966623731,18,3
Recall,0.398597113598795,18,4
Recall,0.294015651393627,18,5
Recall,0.314099137328034,18,6
Recall,0.371820513434952,18,7
Recall,0.292940570553446,18,8
Recall,0.291456373563979,18,9
Recall,0.313692704233527,21,1
Recall,0.364407098456702,21,2
Recall,0.305251760012114,23,1
Recall,0.291566328130746,23,2
Recall,0.333563120620208,23,3
Recall,0.315436507768843,23,4
Recall,0.329157818973759,24,1
Recall,0.294523268673867,24,2
Recall,0.390423451477411,24,3
Recall,0.30544733345806,24,4
Recall,0.323241612840428,24,5
Recall,0.299646460571442,24,6
Recall,0.359509210441375,24,7
Recall,0.352884681369308,24,8
Recall,0.365798432705086,24,9
Recall,0.340376464550698,24,10
Recall,0.355128497914974,24,11
Recall,0.279134243387238,24,12
Recall,0.32801642137993,24,13
Recall,0.336740747787567,24,14
Recall,0.322588390207457,24,15
Recall,0.291335093559394,24,16
Recall,0.322416670407029,24,17
Recall,0.322303726398228,24,18
Recall,0.32145491724377,24,19
Recall,0.298944216158841,24,20
Recall,0.347175646836669,24,21
Recall,0.299116716035006,24,22
Recall,0.329368730111322,25,1
Recall,0.315667441398823,25,2
Recall,0.347562424793244,25,3
Recall,0.309622937878025,25,4
Recall,0.336757056650521,25,5
Recall,0.36955269284435,25,6
Recall,0.326131234472681,25,7
Recall,0.314477506413027,25,8
Recall,0.316446093483329,25,9
Recall,0.332784891333632,25,10
Recall,0.304545631769995,25,11
Recall,0.301764531707243,25,12
Recall,0.296799521594124,25,13
Recall,0.298289946450697,25,14
Recall,0.321380130473152,25,15
Recall,0.328554269982787,25,16
Recall,0.302130727776787,25,17
Recall,0.318189761315656,25,18
Recall,0.336821084667556,25,19
Recall,0.315535520349313,25,20
Recall,0.305685365316306,25,21
Recall,0.335508064913102,25,22
Recall,0.316886565821502,25,23
Recall,0.340483427684508,25,24
Recall,0.293227159005241,25,25
Recall,0.347609115181446,6,1
Recall,0.329118374135521,6,2
Recall,0.326293113949854,6,3
Recall,0.320153002533794,6,4
Recall,0.294519767935727,6,5
Recall,0.308272676157779,6,6
Recall,0.292196074395182,6,7
Recall,0.325161713276614,6,8
Recall,0.349341661236639,6,9
Recall,0.331841138681589,10,1
Recall,0.318044299532226,10,2
Recall,0.287919244829445,10,3
Recall,0.301895457703354,10,4
Recall,0.291576763629456,10,5
Recall,0.286150457209172,10,6
Recall,0.301626702822615,10,7
Recall,0.2612802199226,20,1
Recall,0.263243583822387,20,2
Recall,0.285058785713949,20,3
Recall,0.269228680559874,20,4
Recall,0.29295797898244,20,5
Recall,0.287938903380285,20,6
Recall,0.321806577149768,25,1
Recall,0.340791653815789,25,2
Recall,0.316907124189022,25,3
Recall,0.332492412307121,25,4
Recall,0.317694911526109,25,5
Recall,0.312853360411161,3,1
Recall,0.326955259200524,3,2
Recall,0.310343304444816,3,3
Recall,0.336560402792281,3,4
Recall,0.313667763626849,3,5
Recall,0.297927310208589,3,6
Recall,0.319318748032694,3,7
Recall,0.284643825474341,3,8
Recall,0.316010261329645,3,9
Recall,0.309745769872173,3,10
Recall,0.317719680806326,3,11
Recall,0.334472823825032,3,12
Recall,0.29003549764536,3,13
Recall,0.337016425623035,3,14
Recall,0.304566478128289,3,15
Recall,0.32688951713708,3,16
Recall,0.303956372402302,3,17
Recall,0.296120477516713,3,18
Recall,0.308473368301215,3,19
Recall,0.305070233855869,3,20
Recall,0.292008990079629,6,1
Recall,0.289718364213672,6,2
Recall,0.345629688184297,6,3
Recall,0.304843657199515,6,4
Recall,0.306694370386507,6,5
Recall,0.300293955952506,6,6
Recall,0.315981980613083,6,7
Recall,0.321538846858655,6,8
Recall,0.308964010314047,6,9
Recall,0.302756785433221,6,10
Recall,0.310698578447523,6,11
Recall,0.328794669795559,6,12
Recall,0.321554055896059,6,13
Recall,0.291144031461957,6,14
Recall,0.334476333921198,6,15
Recall,0.326388509146427,6,16
Recall,0.341875992886778,6,17
Recall,0.33570658620342,6,18
Recall,0.341502209731519,6,19
Recall,0.293733734504813,6,20
Recall,0.2862808109905,6,21
Recall,0.337067679937099,6,22
Recall,0.310813332592318,6,23
Recall,0.332322789244736,6,24
Recall,0.33294809925719,6,25
Recall,0.337415229542387,6,26
Recall,0.315393187892778,6,27
Recall,0.311999040626524,6,28
Recall,0.294181776077129,6,29
Recall,0.308809142980299,6,30
Recall,0.330602032616284,8,1
Recall,0.345905121020021,8,2
Recall,0.324171257402003,8,3
Recall,0.35907595767052,8,4
Recall,0.34032027424816,8,5
Recall,0.331975775095218,8,6
Recall,0.325285327048478,8,7
Recall,0.335330007709795,8,8
Recall,0.302086400618563,9,1
Recall,0.323507725513706,9,2
Recall,0.304857709522089,10,1
Recall,0.318941005658584,10,2
Recall,0.295856631991215,10,3
Recall,0.342478933416311,10,4
Recall,0.329578589939891,10,5
