Condition,PLV,Subject,Pair
Recall,0.421529051643657,6,1
Recall,0.466824192120179,6,2
Recall,0.410007347356262,6,3
Recall,0.39417058987443,6,4
Recall,0.445283425474229,6,5
Recall,0.432975429567206,6,6
Recall,0.366049959839682,15,1
Recall,0.340092268773104,15,2
Recall,0.402372662317125,15,3
Recall,0.379041153192198,15,4
Recall,0.364239762937763,15,5
Recall,0.381596862685757,20,1
Recall,0.398889504269734,20,2
Recall,0.474167528921007,20,3
Recall,0.385271883582936,20,4
Recall,0.423959211587547,20,5
Recall,0.438363063663778,20,6
Recall,0.391322867904316,20,7
Recall,0.429222272623429,20,8
Recall,0.464949567581255,20,9
Recall,0.518520308975609,6,1
Recall,0.403824222235535,6,2
Recall,0.414430632714372,6,3
Recall,0.346146015594483,18,1
Recall,0.43597389718546,18,2
Recall,0.347503052409653,18,3
Recall,0.417987213952881,20,1
Recall,0.411153044674193,20,2
Recall,0.435704593008132,20,3
Recall,0.428028443004209,6,1
Recall,0.41514574352096,6,2
Recall,0.381581502172885,6,3
Recall,0.289902784106562,23,1
Recall,0.350472050870144,3,1
Recall,0.374041211596611,3,2
Recall,0.405328930988291,6,1
Recall,0.394878894811867,6,2
Recall,0.415566730182267,6,3
Recall,0.401581332543756,6,4
Recall,0.420281352810344,6,5
Recall,0.43026956499284,6,6
Recall,0.39302137971388,6,7
Recall,0.396841076578686,6,8
Recall,0.416781378239452,6,9
Recall,0.429699021126414,6,10
Recall,0.405864344591634,6,11
Recall,0.396183702386822,6,12
Recall,0.387707881250472,6,13
Recall,0.400931828120198,6,14
Recall,0.396352475575005,6,15
Recall,0.364680073654034,6,16
Recall,0.334930490530543,6,17
Recall,0.357192650389625,6,18
Recall,0.403359430213752,6,19
Recall,0.374964582749557,6,20
Recall,0.373176027335802,6,21
Recall,0.406032446732337,6,22
Recall,0.426094590210167,6,23
Recall,0.375145002064311,6,24
Recall,0.400671784344277,6,25
Recall,0.397177193151908,6,26
Recall,0.368095312857353,6,27
Recall,0.382142446685656,6,28
Recall,0.410103002411143,6,29
Recall,0.395301594305427,6,30
Recall,0.324127113482725,18,1
Recall,0.310011245585637,18,2
Recall,0.305686843468423,18,3
Recall,0.404911057528421,18,4
Recall,0.382329039085349,18,5
Recall,0.395150425062378,18,6
Recall,0.393618052847801,18,7
Recall,0.340305356239689,18,8
Recall,0.347541284560543,18,9
Recall,0.353396836900719,21,1
Recall,0.378338930788661,21,2
Recall,0.32473725496558,23,1
Recall,0.37037073566091,23,2
Recall,0.327186593959242,23,3
Recall,0.378043050087572,23,4
Recall,0.378312723498594,24,1
Recall,0.337364639736265,24,2
Recall,0.476729732789215,24,3
Recall,0.330690122467743,24,4
Recall,0.355268212516236,24,5
Recall,0.366337690901971,24,6
Recall,0.423442318768951,24,7
Recall,0.337478914656918,24,8
Recall,0.412926967433853,24,9
Recall,0.356173718322621,24,10
Recall,0.396795319359081,24,11
Recall,0.373238224084721,24,12
Recall,0.395826350588182,24,13
Recall,0.377041818230251,24,14
Recall,0.343789174725565,24,15
Recall,0.339077700073082,24,16
Recall,0.38819288413031,24,17
Recall,0.342762052913786,24,18
Recall,0.33901082058041,24,19
Recall,0.366975275096368,24,20
Recall,0.364315738738036,24,21
Recall,0.392511040466568,24,22
Recall,0.386131082087571,25,1
Recall,0.357127642856496,25,2
Recall,0.351317265483303,25,3
Recall,0.371203879783613,25,4
Recall,0.387059170051545,25,5
Recall,0.369250370298547,25,6
Recall,0.323457124642283,25,7
Recall,0.34898923727818,25,8
Recall,0.374431893102091,25,9
Recall,0.374259089735205,25,10
Recall,0.417228945875399,25,11
Recall,0.369941157185615,25,12
Recall,0.365841454500746,25,13
Recall,0.366026488734321,25,14
Recall,0.37742264447495,25,15
Recall,0.364250992848033,25,16
Recall,0.318043930734987,25,17
Recall,0.355361173913944,25,18
Recall,0.366220744418597,25,19
Recall,0.347612228738514,25,20
Recall,0.399201906109464,25,21
Recall,0.367859099225614,25,22
Recall,0.387422179097924,25,23
Recall,0.34864519967801,25,24
Recall,0.355678463322097,25,25
Recall,0.41377103636183,6,1
Recall,0.385502578838655,6,2
Recall,0.363260966822647,6,3
Recall,0.39823417626412,6,4
Recall,0.364918333501027,6,5
Recall,0.384809163324821,6,6
Recall,0.395336157036151,6,7
Recall,0.356003355642519,6,8
Recall,0.345291457894224,6,9
Recall,0.426052980651918,10,1
Recall,0.392312089467895,10,2
Recall,0.418290184087511,10,3
Recall,0.34982360209394,10,4
Recall,0.37387183272009,10,5
Recall,0.366288728000377,10,6
Recall,0.403651923503043,10,7
Recall,0.391568992857554,20,1
Recall,0.401465613237869,20,2
Recall,0.444068146463031,20,3
Recall,0.435823015643889,20,4
Recall,0.419112693688262,20,5
Recall,0.409910913192927,20,6
Recall,0.378864945712282,25,1
Recall,0.380598475811396,25,2
Recall,0.386386128000176,25,3
Recall,0.373551918295396,25,4
Recall,0.374650868113088,25,5
Recall,0.353306039490739,3,1
Recall,0.33559319738793,3,2
Recall,0.355908169186663,3,3
