Condition,PLV,Subject,Pair
Intra,0.169412531184023,6,1
Intra,0.153240149488847,6,2
Intra,0.159072309101452,20,1
Intra,0.154551739190203,20,2
Intra,0.150955586806547,20,3
Intra,0.164592549081676,6,1
Intra,0.148512788832272,6,2
Intra,0.157481020681588,6,1
Intra,0.17396599607659,6,2
Intra,0.177660723583105,6,3
Intra,0.166746190291089,6,4
Intra,0.160240752100483,6,5
Intra,0.168560820946747,6,6
Intra,0.158619808155579,6,7
Intra,0.166039897524764,6,8
Intra,0.156585249578595,6,9
Intra,0.155601147846169,6,10
Intra,0.157357096708889,6,11
Intra,0.154879485587461,6,12
Intra,0.178736413311551,6,13
Intra,0.158385061539421,6,14
Intra,0.150966034045121,6,15
Intra,0.16543019776567,6,16
Intra,0.157217273029967,6,17
Intra,0.152471366188425,6,18
Intra,0.156706207637065,6,19
Intra,0.178962628054838,6,20
Intra,0.159116971557685,27,1
Intra,0.169785385281121,27,2
Intra,0.176868059198396,27,3
Intra,0.173142435377976,5,1
Intra,0.174301492791777,5,2
Intra,0.195600670138307,5,3
Intra,0.168577892549101,5,4
Intra,0.2226805399813,5,5
Intra,0.180259730925197,5,6
Intra,0.164225243645251,6,1
Intra,0.147875516647488,6,2
Intra,0.163263059131389,6,3
Intra,0.156341574885446,6,4
Intra,0.161691201403062,6,5
Intra,0.155161007538041,6,6
Intra,0.17307035550724,20,1
Intra,0.164380762979754,20,2
Intra,0.155622949684938,20,3
Intra,0.165482256412418,20,4
Intra,0.170751018829942,20,5
Intra,0.16659483973213,20,6
Intra,0.151759532269903,26,1
Intra,0.153014299348555,26,2
Intra,0.156801707617163,26,3
Intra,0.156981047511428,26,4
Intra,0.167744212660179,26,5
Intra,0.17703414799806,26,6
Intra,0.170927414501637,26,7
Intra,0.164282905456923,26,8
Intra,0.166628852812187,26,9
Intra,0.164663047566298,26,10
Intra,0.154724188060283,26,11
Intra,0.166875237538666,26,12
Intra,0.168708018067269,26,13
Intra,0.156349379206224,26,14
Intra,0.16517340953099,26,15
Intra,0.161337331135572,26,16
Intra,0.164463486564016,26,17
Intra,0.164574149231669,26,18
Intra,0.173102951054337,26,19
Intra,0.170983182485413,26,20
Intra,0.164157061206451,26,21
Intra,0.1485971905003,26,22
Intra,0.165358987990848,6,1
Intra,0.173533415992731,6,2
Intra,0.158865568631518,6,3
Intra,0.154747707101662,6,4
Intra,0.158753173129215,6,5
Intra,0.169776208847336,6,6
Intra,0.156466221222117,6,7
Intra,0.145665470542882,6,8
Intra,0.167655024333196,6,9
Intra,0.154198428149378,6,10
Intra,0.145889222979498,6,11
Intra,0.156381525284394,6,12
Intra,0.161351770247811,6,13
Intra,0.151975740754767,6,14
Intra,0.16204038729814,6,15
Intra,0.140697939346093,6,16
Intra,0.16517699164553,6,17
Intra,0.157281172349116,6,18
Intra,0.163216065647545,6,19
Intra,0.155118890608283,6,20
Intra,0.168917833297981,5,1
Intra,0.163293894994944,5,2
Intra,0.150406449172225,5,3
Intra,0.174175362864658,5,4
Intra,0.149941391556441,5,5
Intra,0.174598010511765,5,6
Intra,0.157765597013329,5,7
Intra,0.164162111732111,5,8
Intra,0.151057989800779,5,9
Intra,0.165677050845266,5,10
Intra,0.167884531345853,5,11
Intra,0.147992002829449,5,12
Intra,0.16045842126899,5,13
Intra,0.16443044231618,5,14
Intra,0.15205632372506,5,15
Intra,0.160566070334719,5,16
Intra,0.151259849682244,5,17
Intra,0.185980972714513,5,18
Intra,0.151784493622116,5,19
Intra,0.1623684129066,5,20
Intra,0.143863245137858,5,21
Intra,0.162437296901833,26,1
Intra,0.154869284562108,26,2
Intra,0.1842507499947,26,3
Intra,0.194418060018527,26,4
Intra,0.160866972091358,2,1
Intra,0.168219592574529,2,2
Intra,0.166292408352266,6,1
Intra,0.155226779272588,6,1
Intra,0.152232825933512,6,2
Intra,0.161618843017774,6,3
Intra,0.16822538266066,6,4
Intra,0.158093665912429,6,5
Intra,0.152865952935627,6,6
Intra,0.143315203717742,6,7
Intra,0.143843595437167,6,8
Intra,0.154798833061228,6,9
Intra,0.144953100120231,6,10
Intra,0.165171362836822,18,1
Intra,0.17701378728291,18,2
Intra,0.182050053462077,18,3
Intra,0.17400146505986,2,1
Intra,0.135448095522989,2,2
Intra,0.148123068800691,6,1
Intra,0.160618451506766,6,2
Intra,0.163765995060215,6,3
Intra,0.153044777052985,20,1
Intra,0.190787996503086,20,2
Intra,0.143469661005942,6,1
Intra,0.171114795208625,6,2
Intra,0.169275916449312,6,3
Intra,0.165885162775875,6,4
Intra,0.1628988752932,6,5
Intra,0.150937659303648,6,6
Intra,0.168557966021312,6,7
Intra,0.166185859170586,6,8
Intra,0.16594795528497,6,9
Intra,0.154544889027966,6,10
Intra,0.194550105017205,18,1
Intra,0.152572111358552,18,2
Intra,0.183645573671968,18,3
Intra,0.181921511255462,18,4
Intra,0.158762285799923,2,1
Intra,0.174687997870005,2,2
Intra,0.175745038340418,2,3
Intra,0.18151545927773,2,4
Intra,0.151119287086084,6,1
Intra,0.159267006387814,6,2
Intra,0.159454230096275,6,3
Intra,0.165287777827153,6,4
Intra,0.173825935628996,6,5
Intra,0.175649641446947,6,6
Intra,0.168193587157758,6,7
Intra,0.167910843855923,6,8
Intra,0.178034076753756,6,9
Intra,0.165913413215735,6,10
Intra,0.15154099793547,23,1
Intra,0.139989931682153,23,2
Intra,0.172420394176788,23,3
Intra,0.169665867133576,23,4
Intra,0.188560550840666,2,1
Intra,0.174007017388943,6,1
Intra,0.153010488462182,6,2
Intra,0.150217715092786,6,3
Intra,0.167955984491526,4,1
Intra,0.173841836719327,4,2
Intra,0.165304652134086,4,3
Intra,0.17996434137071,4,4
Intra,0.168081607086602,4,5
Intra,0.154856248165014,4,6
Intra,0.169441373750588,4,7
