Condition,PLV,Subject,Pair
Intra,0.117925621052694,6,1
Intra,0.105127438127047,6,2
Intra,0.105087806067555,20,1
Intra,0.0926806549999655,20,2
Intra,0.106150964409211,20,3
Intra,0.110482480478791,6,1
Intra,0.0954708855074074,6,2
Intra,0.10524101607412,6,1
Intra,0.0999086779076802,6,2
Intra,0.10358558749641,6,3
Intra,0.113070348758363,6,4
Intra,0.100337155715023,6,5
Intra,0.0950221402052334,6,6
Intra,0.0949191187473832,6,7
Intra,0.0948786128270134,6,8
Intra,0.110543831766692,6,9
Intra,0.0991833444522039,6,10
Intra,0.108080224185909,6,11
Intra,0.107767180267301,6,12
Intra,0.0961954639804069,6,13
Intra,0.0885211217178936,6,14
Intra,0.0919237341599077,6,15
Intra,0.100416335465653,6,16
Intra,0.0962093957238094,6,17
Intra,0.0912135854774761,6,18
Intra,0.115164582226893,6,19
Intra,0.100893262860665,6,20
Intra,0.0879337157198148,27,1
Intra,0.102040829886179,27,2
Intra,0.107342674576515,27,3
Intra,0.105480441033915,5,1
Intra,0.105845899533791,5,2
Intra,0.142395292655826,5,3
Intra,0.114480961098332,5,4
Intra,0.114453894292683,5,5
Intra,0.140908100194829,5,6
Intra,0.113642453743137,6,1
Intra,0.0984507236540613,6,2
Intra,0.112616591792087,6,3
Intra,0.103786147840238,6,4
Intra,0.0969757912957719,6,5
Intra,0.100326576042799,6,6
Intra,0.111692844043363,20,1
Intra,0.126643784489581,20,2
Intra,0.112318574626282,20,3
Intra,0.123994004581051,20,4
Intra,0.100419274067936,20,5
Intra,0.0946652640160848,20,6
Intra,0.0998469005824572,26,1
Intra,0.103956226061724,26,2
Intra,0.10067034364904,26,3
Intra,0.0984089091781735,26,4
Intra,0.109142496026458,26,5
Intra,0.105897694697522,26,6
Intra,0.112188980927179,26,7
Intra,0.107447665592255,26,8
Intra,0.114905886785762,26,9
Intra,0.104353180577756,26,10
Intra,0.116884974347705,26,11
Intra,0.0923090728581772,26,12
Intra,0.0927516518720168,26,13
Intra,0.103891582774864,26,14
Intra,0.102068185847883,26,15
Intra,0.119228547392287,26,16
Intra,0.107673875273122,26,17
Intra,0.103925498997537,26,18
Intra,0.0976429578796066,26,19
Intra,0.108247702076596,26,20
Intra,0.100791119264514,26,21
Intra,0.100452393142292,26,22
Intra,0.0973830771054743,6,1
Intra,0.115328843207083,6,2
Intra,0.107765766866876,6,3
Intra,0.112492370175767,6,4
Intra,0.121688923085317,6,5
Intra,0.10698425923567,6,6
Intra,0.107512828576299,6,7
Intra,0.102831730388899,6,8
Intra,0.104008050973863,6,9
Intra,0.101909566124128,6,10
Intra,0.0932601825701148,6,11
Intra,0.107134049142834,6,12
Intra,0.101380470400423,6,13
Intra,0.105520806675336,6,14
Intra,0.115161140068798,6,15
Intra,0.105128469778667,6,16
Intra,0.0997418104732502,6,17
Intra,0.102448208591779,6,18
Intra,0.109158237489199,6,19
Intra,0.102370326904264,6,20
Intra,0.113097758798465,5,1
Intra,0.11675759356098,5,2
Intra,0.110616844574822,5,3
Intra,0.107898087414363,5,4
Intra,0.118369245286837,5,5
Intra,0.11328397046522,5,6
Intra,0.0923607395328665,5,7
Intra,0.0930554358511545,5,8
Intra,0.0978557570185709,5,9
Intra,0.105850727032387,5,10
Intra,0.113811814989588,5,11
Intra,0.117935821131493,5,12
Intra,0.0952154844222509,5,13
Intra,0.0739376875918132,5,14
Intra,0.101416494875517,5,15
Intra,0.102344206922622,5,16
Intra,0.104350550815611,5,17
Intra,0.110891057656377,5,18
Intra,0.109156000303506,5,19
Intra,0.101501978291138,5,20
Intra,0.0891889874270829,5,21
Intra,0.120915716150315,26,1
Intra,0.104100543266287,26,2
Intra,0.114578637549445,26,3
Intra,0.0964039064366475,26,4
Intra,0.0996608820448469,2,1
Intra,0.0895483326779554,2,2
Intra,0.106953672702306,6,1
Intra,0.0898661901744508,6,1
Intra,0.104291743208376,6,2
Intra,0.102534433403686,6,3
Intra,0.0963549178277333,6,4
Intra,0.101340313502883,6,5
Intra,0.0868733510539911,6,6
Intra,0.0872500511858377,6,7
Intra,0.0814987873616979,6,8
Intra,0.0964498323370363,6,9
Intra,0.102858210086198,6,10
Intra,0.112754514033917,18,1
Intra,0.101227330642638,18,2
Intra,0.0969794494660418,18,3
Intra,0.0915877812916121,2,1
Intra,0.109485856429447,2,2
Intra,0.106756527515624,6,1
Intra,0.0833364146148049,6,2
Intra,0.108104593925364,6,3
Intra,0.114787364328945,20,1
Intra,0.0957645903423783,20,2
Intra,0.0867680079450904,6,1
Intra,0.0938281488106372,6,2
Intra,0.101710454720243,6,3
Intra,0.0934327093195932,6,4
Intra,0.10771387476123,6,5
Intra,0.105782405843851,6,6
Intra,0.100495027125782,6,7
Intra,0.103986693731521,6,8
Intra,0.10962450541393,6,9
Intra,0.101501489004714,6,10
Intra,0.112533675934824,18,1
Intra,0.0870410749978306,18,2
Intra,0.0922311606255497,18,3
Intra,0.0948147532863503,18,4
Intra,0.130761924896117,2,1
