Condition,PLV,Subject,Pair
Intra,0.122654914829423,6,1
Intra,0.119178776123861,6,2
Intra,0.112450544984579,20,1
Intra,0.100259556012213,20,2
Intra,0.10844903823033,20,3
Intra,0.101581045844884,6,1
Intra,0.100002064411068,6,2
Intra,0.101266563915086,6,1
Intra,0.102872371876738,6,2
Intra,0.100012103988871,6,3
Intra,0.0983186144580499,6,4
Intra,0.0940537092796196,6,5
Intra,0.0992304087715903,6,6
Intra,0.0878983470417241,6,7
Intra,0.0871882813100024,6,8
Intra,0.111937136215456,6,9
Intra,0.103846522078326,6,10
Intra,0.120655929288325,6,11
Intra,0.104531353213166,6,12
Intra,0.102405645460245,6,13
Intra,0.0983965029800788,6,14
Intra,0.0898440199122836,6,15
Intra,0.0911042360491509,6,16
Intra,0.10273840269432,6,17
Intra,0.0969475890664347,6,18
Intra,0.100961801080271,6,19
Intra,0.10562763576911,6,20
Intra,0.0894565924984192,27,1
Intra,0.108821088703845,27,2
Intra,0.11100883947973,27,3
Intra,0.105867338251962,5,1
Intra,0.101538895884102,5,2
Intra,0.124997647909507,5,3
Intra,0.110149413628703,5,4
Intra,0.0946561422636293,5,5
Intra,0.139074838086155,5,6
Intra,0.0933876834710118,6,1
Intra,0.0762054001820044,6,2
Intra,0.123488332005953,6,3
Intra,0.105124432726845,6,4
Intra,0.0946626855319651,6,5
Intra,0.102824399191444,6,6
Intra,0.107249628645824,20,1
Intra,0.1154606087557,20,2
Intra,0.119755043663709,20,3
Intra,0.109326146303814,20,4
Intra,0.125263063399129,20,5
Intra,0.123359770999424,20,6
Intra,0.100764633833928,26,1
Intra,0.0974785947296751,26,2
Intra,0.104104392515424,26,3
Intra,0.107717574415118,26,4
Intra,0.116147351467875,26,5
Intra,0.107747715921605,26,6
Intra,0.117101472597761,26,7
Intra,0.107410575425536,26,8
Intra,0.107437021597589,26,9
Intra,0.105319286144171,26,10
Intra,0.120888859827481,26,11
Intra,0.105229760522701,26,12
Intra,0.107594367859725,26,13
Intra,0.11174608014832,26,14
Intra,0.103434801118058,26,15
Intra,0.103090317984604,26,16
Intra,0.102335391821182,26,17
Intra,0.104173269508177,26,18
Intra,0.10963706924445,26,19
Intra,0.0963223564334518,26,20
Intra,0.103391302114717,26,21
