Condition,PTE,Subject,Pair
Encode,1.15884406257869,2,1
Encode,1.11406577749349,2,2
Encode,1.0563626503828,2,3
Encode,1.14608166765628,2,4
Encode,1.2258840220746,2,5
Encode,1.32112560573902,16,1
Encode,1.26801328339442,16,2
Encode,1.1877242630381,16,3
Encode,1.19109033304284,16,4
Encode,1.23857248204995,16,5
Encode,1.28047021384911,16,6
Encode,1.21537737520996,16,7
Encode,1.25700812690186,16,8
Encode,1.21917021092236,16,9
Encode,1.12254884372571,16,10
Encode,1.13260475623857,16,11
Encode,1.19265249069288,16,12
Encode,1.2311005527419,16,13
Encode,1.16312021372406,16,14
Encode,1.34442166432228,16,15
Encode,1.28280616553632,16,16
Encode,1.2129087404322,16,17
Encode,1.20789691904472,16,18
Encode,1.25225920039917,16,19
Encode,1.30253204280652,16,20
Encode,1.24591455856124,16,21
Encode,1.24397887920143,16,22
Encode,1.20693464646112,16,23
Encode,1.10472370357935,16,24
Encode,1.11465631891572,16,25
Encode,1.17390797595561,16,26
Encode,1.22744598176017,16,27
Encode,1.14888121424323,16,28
Encode,1.18568114602295,19,1
Encode,1.17035445995098,19,2
Encode,1.2094047675608,19,3
Encode,1.18210871684412,19,4
Encode,1.07932075469823,19,5
Encode,1.07061672449829,19,6
Encode,1.14735734225504,19,7
Encode,1.13139668112835,19,8
Encode,1.05188449430087,19,9
Encode,1.0485819171713,19,10
Encode,1.23908099655271,19,11
Encode,1.2070386143349,19,12
Encode,1.17627956116242,19,13
Encode,1.15257032931269,19,14
Encode,0.949129598929193,20,1
Encode,0.793563590435263,20,2
Encode,0.906235205955913,20,3
Encode,0.806389147786757,20,4
Encode,0.896408690389004,20,5
Encode,0.789619303036089,20,6
Encode,0.966884189993945,20,7
Encode,0.873415165852638,20,8
Encode,0.901715393280553,20,9
Encode,0.869833419332811,20,10
Encode,0.827238538003014,20,11
Encode,0.746918754707448,20,12
Encode,0.88198864941255,20,13
Encode,0.793263662810286,20,14
Encode,1.00298892016883,20,15
Encode,0.902477488311074,20,16
Encode,0.829778621675609,20,17
Encode,0.770220092906214,20,18
Encode,1.02859269981565,20,19
Encode,0.934669456762242,20,20
Encode,0.830804647042626,20,21
Encode,0.737005759757559,20,22
Encode,1.46286001371512,23,1
Encode,1.3695703667859,23,2
Encode,1.11890687609386,23,3
Encode,1.33325666244397,26,1
Encode,1.1034409383342,26,2
Encode,1.29748824470134,26,3
Encode,1.34084057384012,26,4
Encode,1.11574809350123,26,5
Encode,1.10932041676243,26,6
Encode,1.28687927961846,26,7
Encode,1.1701279187287,26,8
Encode,1.18196763332474,26,9
Encode,1.26002398324894,26,10
Encode,1.1772990967407,26,11
Encode,1.10694863685453,1,1
Encode,1.16734989019282,1,2
Encode,1.1017096544714,1,3
Encode,1.1138470781361,1,4
Encode,1.17859307799203,1,5
Encode,1.20762772912777,1,6
Encode,1.21040068209568,1,7
Encode,1.2097593203331,1,8
Encode,1.1998708980753,1,9
Encode,1.10574919756021,1,10
Encode,1.14590011077865,1,11
Encode,1.08897581555435,1,12
Encode,1.11745771111215,1,13
Encode,1.17747973184853,1,14
Encode,1.2062969163608,1,15
Encode,1.20784506304184,1,16
Encode,1.21049909033533,1,17
Encode,1.1915959015336,1,18
Encode,1.14259140105978,3,1
Encode,1.15009045421873,3,2
Encode,1.12381181032248,3,3
Encode,0.910096147441571,3,4
Encode,1.08431483010515,3,5
Encode,1.05791778149546,3,6
Encode,1.1250052404186,3,7
Encode,1.10647626460832,3,8
Encode,1.1238657070781,3,9
Encode,1.09888918517744,3,10
Encode,0.900545532973314,3,11
Encode,1.04220647085472,3,12
Encode,1.00525267954006,3,13
Encode,1.11864590808271,3,14
Encode,1.10385827872706,3,15
Encode,1.11747286290506,3,16
Encode,1.08913697798415,3,17
Encode,0.91099728887081,3,18
Encode,1.05524681473847,3,19
Encode,1.02534060011727,3,20
Encode,1.08671183540763,3,21
Encode,1.14479001688605,3,22
Encode,1.1598391422092,3,23
Encode,1.13815328618293,3,24
Encode,0.923591458510092,3,25
Encode,1.08849557636967,3,26
Encode,1.05900108486558,3,27
Encode,1.13422020934528,3,28
Encode,1.13601346637123,3,29
Encode,1.15289772463195,3,30
Encode,1.12604818018686,3,31
Encode,0.920576863466386,3,32
Encode,1.0853759481487,3,33
Encode,1.05308970520138,3,34
Encode,1.12347958791488,3,35
Encode,1.17254130907665,3,36
Encode,1.18302860941449,3,37
Encode,1.18238954942159,3,38
Encode,0.987406985243837,3,39
Encode,1.13107011043176,3,40
Encode,1.11430194360919,3,41
Encode,1.16695544099251,3,42
Encode,1.05688111682834,4,1
Encode,1.06396849147812,4,2
Encode,1.06669492471538,4,3
Encode,1.05641857591585,4,4
Encode,0.981925674576802,4,5
Encode,1.06214673259498,4,6
Encode,1.02345769148459,4,7
Encode,1.06131079654357,4,8
Encode,1.07347905684419,4,9
Encode,1.07080769393753,4,10
Encode,1.06942098711381,4,11
Encode,0.99561078864087,4,12
Encode,1.07260171282442,4,13
Encode,1.0366639598284,4,14
Encode,1.12033216412584,4,15
Encode,1.14324057231119,4,16
Encode,1.11478239668586,4,17
Encode,1.11093389349416,4,18
Encode,1.06896943685126,4,19
Encode,1.12641065396918,4,20
Encode,1.07752969718717,4,21
Encode,1.13743713441528,4,22
Encode,1.16861050853765,4,23
Encode,1.12195073659118,4,24
Encode,1.12018068521992,4,25
Encode,1.09859682132532,4,26
Encode,1.14144118739735,4,27
Encode,1.08537871004078,4,28
Encode,1.16540778909574,4,29
Encode,1.21013001584023,4,30
Encode,1.15227991392926,4,31
Encode,1.14999016667102,4,32
Encode,1.15116346346154,4,33
Encode,1.18050871501453,4,34
Encode,1.11861211281918,4,35
Encode,1.12424944387371,4,36
Encode,1.1467369743595,4,37
Encode,1.11560010925095,4,38
Encode,1.11070288096159,4,39
Encode,1.07324367796136,4,40
Encode,1.12758426162861,4,41
Encode,1.07928365732376,4,42
Encode,1.11002411361128,4,43
Encode,1.13251189658762,4,44
Encode,1.10010116968277,4,45
Encode,1.09694342559265,4,46
Encode,1.05737168243946,4,47
Encode,1.11291010013201,4,48
Encode,1.06146517231312,4,49
Encode,1.10633605048592,4,50
Encode,1.13359109214027,4,51
Encode,1.10487440596582,4,52
Encode,1.10086008342788,4,53
Encode,1.06023116234389,4,54
Encode,1.11190030130415,4,55
Encode,1.06514131929807,4,56
Encode,1.09193372753569,4,57
Encode,1.11166721571539,4,58
Encode,1.09115848292555,4,59
Encode,1.08371422283201,4,60
Encode,1.03563479886513,4,61
Encode,1.09334746174422,4,62
Encode,1.05267799417293,4,63
Encode,1.08037253680639,4,64
Encode,1.09813397711409,4,65
Encode,1.0857690265701,4,66
Encode,1.08198424181726,4,67
Encode,1.02617943648545,4,68
Encode,1.09345122263308,4,69
Encode,1.05108806786458,4,70
Encode,1.12915234380634,4,71
Encode,1.15119840363652,4,72
Encode,1.1176218706489,4,73
Encode,1.10853279219648,4,74
Encode,1.08469742088742,4,75
Encode,1.13190097268236,4,76
Encode,1.07811052828311,4,77
Encode,1.12381999599164,4,78
Encode,1.15363279117141,4,79
Encode,1.11084040896879,4,80
Encode,1.10978004731266,4,81
Encode,1.08647030527496,4,82
Encode,1.13000767932738,4,83
Encode,1.07576474870155,4,84
Encode,1.05168080162946,4,85
Encode,1.05700546416243,4,86
Encode,1.0622023283285,4,87
Encode,1.04955845767186,4,88
Encode,0.988599247731398,4,89
Encode,1.05764981900886,4,90
Encode,1.01652494981996,4,91
Encode,1.23033120468289,4,92
Encode,1.30326005877112,4,93
Encode,1.20031236151076,4,94
Encode,1.18951684205903,4,95
Encode,1.26565234116256,4,96
Encode,1.23353263125956,4,97
Encode,1.17349307638634,4,98
Encode,0.656760555336543,6,1
Encode,0.82227271783206,6,2
Encode,1.06084860407766,6,3
Encode,0.722610714962134,6,4
Encode,0.639380827638639,6,5
Encode,0.826310739812415,6,6
Encode,1.06522870444068,6,7
Encode,0.712849763241846,6,8
Encode,0.701148209162964,6,9
Encode,0.877197013438596,6,10
Encode,1.09340247504474,6,11
Encode,0.770863781362408,6,12
Encode,0.735319119516139,6,13
Encode,0.917353208099913,6,14
Encode,1.12598098119239,6,15
Encode,0.805152176816141,6,16
Encode,0.642528505760344,6,17
Encode,0.807863128609176,6,18
Encode,1.05134873049902,6,19
Encode,0.711209163390516,6,20
Encode,0.637996543684428,6,21
Encode,0.817029739097194,6,22
Encode,1.0532400353093,6,23
Encode,0.702321988655574,6,24
Encode,0.497507112389032,6,25
Encode,0.885380190453573,6,26
Encode,1.08383325242253,6,27
Encode,0.644854980789623,6,28
Encode,0.467309057206112,6,29
Encode,0.659636527006936,6,30
Encode,0.925001769542643,6,31
Encode,0.530230980445432,6,32
Encode,0.662290566141553,6,33
Encode,0.827814476287886,6,34
Encode,1.06398052812509,6,35
Encode,0.729985104605587,6,36
Encode,0.661803745907722,6,37
Encode,0.839696485586743,6,38
Encode,1.07437815289372,6,39
Encode,0.728516060730555,6,40
Encode,0.637680105098512,6,41
Encode,0.805633227530562,6,42
Encode,1.04251932869531,6,43
Encode,0.701219170360595,6,44
Encode,0.663327621993661,6,45
Encode,0.82892584348262,6,46
Encode,1.06256532616448,6,47
Encode,0.729724195368002,6,48
Encode,1.13581660178053,7,1
Encode,1.20166564029402,7,2
Encode,1.07394215939473,7,3
Encode,1.09851794509538,7,4
Encode,1.10091446838467,7,5
Encode,1.13649286141074,7,6
Encode,1.08341925181034,7,7
Encode,1.12481040413085,7,8
Encode,1.06491583348107,7,9
Encode,1.07883884431057,7,10
Encode,1.10336016734011,7,11
Encode,1.1442663557997,7,12
Encode,1.05103921517662,7,13
Encode,1.05898628122401,7,14
Encode,1.02068684926104,7,15
Encode,1.01148891215266,7,16
Encode,1.03682725097332,7,17
Encode,1.03297253231793,7,18
Encode,1.06937049334641,7,19
Encode,1.08243110216955,7,20
Encode,1.09188711409024,7,21
Encode,1.11918928375388,7,22
Encode,1.02525188848645,7,23
Encode,1.01629321803447,7,24
Encode,1.07950339613927,7,25
Encode,1.09803244083383,7,26
Encode,1.02707331379143,7,27
Encode,1.02974696717166,7,28
Encode,1.08873423867568,7,29
Encode,1.11725398419921,7,30
Encode,1.09741157724047,7,31
Encode,1.12090460978073,7,32
Encode,1.12655420954231,7,33
Encode,1.17770827095601,7,34
Encode,1.03980956935288,7,35
Encode,1.03475940935619,7,36
Encode,1.06356362760929,7,37
Encode,1.0793394450869,7,38
Encode,1.15572850351989,7,39
Encode,1.21790926718317,7,40
Encode,1.12429898795257,7,41
Encode,1.19226983095747,7,42
Encode,1.08773578414355,7,43
Encode,1.15810086131192,7,44
Encode,1.14453821089424,7,45
Encode,1.18720525557073,7,46
Encode,0.990447300112365,7,47
Encode,0.978039715254171,7,48
Encode,1.07992453751501,7,49
Encode,1.10844891911583,7,50
Encode,0.830342318665168,7,51
Encode,0.792497520719949,7,52
Encode,1.19135412981707,7,53
Encode,1.26472033227009,7,54
Encode,1.08998811572035,7,55
Encode,1.1148261812154,7,56
Encode,1.04988578844269,7,57
Encode,1.04654349044354,7,58
Encode,1.08541441639703,7,59
Encode,1.11899034348005,7,60
Encode,1.22337975717662,8,1
Encode,1.20761054537072,8,2
Encode,1.23493096216556,8,3
Encode,1.20662552325799,8,4
Encode,1.19332132719955,8,5
Encode,1.25717485878021,8,6
Encode,1.2910475875482,8,7
Encode,1.28107518159613,8,8
Encode,1.22258751978425,8,9
Encode,1.19451082856977,8,10
Encode,1.17521719158067,8,11
Encode,1.2148250204017,8,12
Encode,1.19914491082819,8,13
Encode,1.19763380205606,8,14
Encode,1.21751368091257,8,15
Encode,1.17900305154089,8,16
Encode,1.17354360485133,8,17
Encode,1.24005910056144,8,18
Encode,1.25799427673032,8,19
Encode,1.25275756183966,8,20
Encode,1.20269442226712,8,21
Encode,1.18194002506196,8,22
Encode,1.14938502030858,8,23
Encode,1.18754574777834,8,24
Encode,1.1601375530822,8,25
Encode,1.15692590574174,8,26
Encode,1.17722737281328,8,27
Encode,1.12608896754336,8,28
Encode,1.13059832686784,8,29
Encode,1.1854983775497,8,30
Encode,1.22583496186826,8,31
Encode,1.20704058003363,8,32
Encode,1.16044589910033,8,33
Encode,1.12664671053373,8,34
Encode,1.0972677604269,8,35
Encode,1.14815894799227,8,36
Encode,1.10808286040953,8,37
Encode,1.09746334368368,8,38
Encode,1.12665244568802,8,39
Encode,0.998028613604739,8,40
Encode,1.03989976347949,8,41
Encode,1.0959649114638,8,42
Encode,1.10811334893623,8,43
Encode,1.10158449208639,8,44
Encode,1.08704593608268,8,45
Encode,1.06506247232053,8,46
Encode,0.957811601438842,8,47
Encode,1.02400336901798,8,48
Encode,1.17971383763239,8,49
Encode,1.15541221529338,8,50
Encode,1.18924397428434,8,51
Encode,1.13366468329289,8,52
Encode,1.14085369116185,8,53
Encode,1.21187330333148,8,54
Encode,1.23162252305567,8,55
Encode,1.20404407353153,8,56
Encode,1.17145240353083,8,57
Encode,1.14739747521016,8,58
Encode,1.11495588939648,8,59
Encode,1.15267982915683,8,60
Encode,1.07939333474592,8,61
Encode,1.06025426262747,8,62
Encode,1.08806450118801,8,63
Encode,0.949963887989847,8,64
Encode,0.998146327044025,8,65
Encode,1.06189338304474,8,66
Encode,1.06186831101578,8,67
Encode,1.04842806118694,8,68
Encode,1.05311021335918,8,69
Encode,1.03632236485159,8,70
Encode,0.896665629586629,8,71
Encode,0.963218884816134,8,72
Encode,1.2115599547995,8,73
Encode,1.19464960304555,8,74
Encode,1.22299929116215,8,75
Encode,1.17036841620325,8,76
Encode,1.16610417628348,8,77
Encode,1.23153424619478,8,78
