Condition,PLV,Subject,Pair
Intra,0.110334251886077,6,1
Intra,0.0768113564983001,6,2
Intra,0.0689143206619594,20,1
Intra,0.0679966341063357,20,2
Intra,0.0767410633230819,20,3
Intra,0.0811114707820176,6,1
Intra,0.0807693539117677,6,2
Intra,0.0849504587678315,6,1
Intra,0.0836368218596691,6,2
Intra,0.0883366210743403,6,3
Intra,0.0613227854014776,6,4
Intra,0.0707834991133744,6,5
Intra,0.0877100782524794,6,6
Intra,0.0829425181520632,6,7
Intra,0.0768014932385051,6,8
Intra,0.0819151664567507,6,9
Intra,0.0735276392296357,6,10
Intra,0.0719999057252511,6,11
Intra,0.0658292605534821,6,12
Intra,0.0688422730000847,6,13
Intra,0.0763742830547644,6,14
Intra,0.0830632488942783,6,15
Intra,0.088546749851618,6,16
Intra,0.0779028463422022,6,17
Intra,0.0727743018324514,6,18
Intra,0.0768433760407512,6,19
Intra,0.0728187451229604,6,20
Intra,0.0808570358005027,27,1
Intra,0.173859759498754,27,2
Intra,0.161451143579278,27,3
Intra,0.0812170217851506,5,1
Intra,0.0601445801127346,5,2
Intra,0.1008686647926,5,3
Intra,0.0909302456223052,5,4
Intra,0.184727777299315,5,5
Intra,0.0846207333997132,5,6
Intra,0.0934358078139424,6,1
Intra,0.0711829102104706,6,2
Intra,0.0768427422718003,6,3
Intra,0.0885930196312457,6,4
Intra,0.071909794876017,6,5
Intra,0.0683122402470551,6,6
Intra,0.0663460165939985,20,1
Intra,0.104873917026729,20,2
Intra,0.0761721601955063,20,3
Intra,0.0895056307847325,20,4
Intra,0.0716327184960339,20,5
Intra,0.0604236376927218,20,6
Intra,0.090097543657322,26,1
Intra,0.0517082406703234,26,2
Intra,0.0789225165265173,26,3
Intra,0.0478885930264621,26,4
Intra,0.034089254544392,26,5
Intra,0.121451553503982,26,6
Intra,0.0436279925600916,26,7
Intra,0.0413454209268594,26,8
Intra,0.0526254034968081,26,9
Intra,0.0592967861084742,26,10
Intra,0.0317892179246967,26,11
Intra,0.277410021585018,26,12
Intra,0.243481504460659,26,13
Intra,0.185030931904539,26,14
Intra,0.161311919710565,26,15
Intra,0.181245022418806,26,16
Intra,0.176445835845938,26,17
Intra,0.133429481476464,26,18
Intra,0.165128435173264,26,19
Intra,0.229847305866934,26,20
Intra,0.115438425131453,26,21
Intra,0.0979969352029037,26,22
Intra,0.0795756651495532,6,1
Intra,0.0747997673946621,6,2
Intra,0.0582146177287685,6,3
Intra,0.0707981815554325,6,4
Intra,0.0780447473484708,6,5
Intra,0.0808168958779701,6,6
Intra,0.079735703854096,6,7
Intra,0.0710588151918896,6,8
Intra,0.0731351141272741,6,9
Intra,0.0760249943025202,6,10
Intra,0.0723058484537449,6,11
Intra,0.0600164412007444,6,12
Intra,0.0734187290513855,6,13
Intra,0.0658083296418539,6,14
Intra,0.0700513829130839,6,15
Intra,0.0737211542218101,6,16
Intra,0.0704103316343541,6,17
Intra,0.0834164220759942,6,18
Intra,0.074127978010764,6,19
Intra,0.0913772316349999,6,20
Intra,0.0856606004397662,5,1
Intra,0.100617194255296,5,2
Intra,0.0903158836053659,5,3
Intra,0.0595937044175366,5,4
Intra,0.0798815244777997,5,5
Intra,0.0875498025722437,5,6
Intra,0.0830547651195113,5,7
Intra,0.0747971474343356,5,8
Intra,0.0773300036756332,5,9
Intra,0.0874239509598943,5,10
Intra,0.0962105975612304,5,11
Intra,0.0704232311692002,5,12
Intra,0.0793021922454669,5,13
Intra,0.0772228818872905,5,14
Intra,0.0849693043051893,5,15
Intra,0.0852481415041124,5,16
Intra,0.0834563981160975,5,17
Intra,0.0850339056889026,5,18
Intra,0.0866181537761431,5,19
