Condition,PLV,Subject,Pair
Intra,0.0904764273657995,6,1
Intra,0.08395212922458,6,2
Intra,0.129003973357434,20,1
Intra,0.137964788359968,20,2
Intra,0.0941022796589211,20,3
Intra,0.0747728365965789,6,1
Intra,0.0791187032485327,6,2
Intra,0.0677814192218895,6,1
Intra,0.0767432917419548,6,2
Intra,0.0918365576141421,6,3
Intra,0.0782842903596446,6,4
Intra,0.0893694997899104,6,5
Intra,0.0832569553940934,6,6
Intra,0.0866992015534306,6,7
Intra,0.0892451802274954,6,8
Intra,0.0725520177700728,6,9
Intra,0.0704699115854202,6,10
Intra,0.0744681583395432,6,11
Intra,0.0835476826239782,6,12
Intra,0.0737040522468098,6,13
Intra,0.0729449062508201,6,14
Intra,0.0769652099900102,6,15
Intra,0.0953819757408534,6,16
Intra,0.0915670013559202,6,17
Intra,0.086260738370303,6,18
Intra,0.0679123635411547,6,19
Intra,0.0871941996499642,6,20
Intra,0.0732586818713869,27,1
Intra,0.117762036443901,27,2
Intra,0.10441593136742,27,3
Intra,0.153529918516518,5,1
Intra,0.0946799764635337,5,2
Intra,0.152487529663722,5,3
Intra,0.13411312208258,5,4
Intra,0.263699770750974,5,5
Intra,0.146687689344047,5,6
Intra,0.0990811288580872,6,1
Intra,0.066692915162027,6,2
Intra,0.0986305360240743,6,3
Intra,0.0692825538338111,6,4
Intra,0.0658636382670824,6,5
Intra,0.0834669469923218,6,6
Intra,0.103179599475294,20,1
Intra,0.0769776056270086,20,2
Intra,0.235428178962447,20,3
Intra,0.178812213426154,20,4
Intra,0.17409283658502,20,5
Intra,0.152466331818263,20,6
Intra,0.133771134850945,26,1
Intra,0.0333135870589324,26,2
Intra,0.122815134710181,26,3
Intra,0.0881967806071497,26,4
Intra,0.139001619870078,26,5
Intra,0.0718202786045641,26,6
Intra,0.0899580207432288,26,7
Intra,0.0892087156843566,26,8
Intra,0.0538051872680493,26,9
Intra,0.0910421245389252,26,10
Intra,0.0438743062073251,26,11
Intra,0.422149273245993,26,12
Intra,0.205094982418732,26,13
Intra,0.355369523682582,26,14
Intra,0.270972715556498,26,15
Intra,0.0298886714961371,26,16
Intra,0.149557348710235,26,17
Intra,0.159566406149626,26,18
Intra,0.280694276435134,26,19
Intra,0.343160879158773,26,20
Intra,0.294553883029483,26,21
Intra,0.135175774193071,26,22
Intra,0.0762266149372407,6,1
Intra,0.0652719259759964,6,2
Intra,0.078977068888744,6,3
Intra,0.0898236189466242,6,4
Intra,0.0708271860774119,6,5
Intra,0.0833938086967907,6,6
Intra,0.0616639515923543,6,7
Intra,0.0782842736960617,6,8
Intra,0.0756580918773728,6,9
Intra,0.0822284786233253,6,10
Intra,0.071503502851044,6,11
Intra,0.0848327093369585,6,12
Intra,0.0733517521544733,6,13
Intra,0.0819871831565635,6,14
Intra,0.0905601504841245,6,15
Intra,0.0859863674218673,6,16
Intra,0.0923042170116377,6,17
Intra,0.0789683333625431,6,18
Intra,0.0730466860592218,6,19
Intra,0.0749209801603408,6,20
Intra,0.105801219790993,5,1
Intra,0.0815360360104118,5,2
Intra,0.123574598188063,5,3
Intra,0.114408204888578,5,4
Intra,0.09599573074304,5,5
Intra,0.104393084818982,5,6
Intra,0.0822505303383972,5,7
Intra,0.121003789994946,5,8
Intra,0.081531044951176,5,9
Intra,0.135567265547327,5,10
Intra,0.146353203047132,5,11
Intra,0.0754008807109953,5,12
Intra,0.101096979214054,5,13
Intra,0.100241112549604,5,14
Intra,0.115304448780359,5,15
Intra,0.0951128156827677,5,16
Intra,0.135251307353149,5,17
Intra,0.162294029111619,5,18
Intra,0.0895889941713255,5,19
Intra,0.0837193742616465,5,20
Intra,0.0971997876840142,5,21
Intra,0.10128217558415,26,1
Intra,0.0749464759991575,26,2
Intra,0.270740426817657,26,3
Intra,0.308801675233335,26,4
Intra,0.292760119465971,2,1
Intra,0.247887950066733,2,2
Intra,0.0675057044039307,6,1
Intra,0.0769146066049706,6,1
Intra,0.0983783476383422,6,2
Intra,0.0747134489560836,6,3
Intra,0.102885082195689,6,4
Intra,0.100140695821278,6,5
Intra,0.106114486932909,6,6
Intra,0.0738904540373675,6,7
Intra,0.0794570787021959,6,8
Intra,0.0883895260160038,6,9
Intra,0.0643717015340562,6,10
Intra,0.0726304032427398,18,1
Intra,0.110921732358867,18,2
Intra,0.136468600374037,18,3
Intra,0.221887384162431,2,1
Intra,0.175751407586523,2,2
Intra,0.0899521672115064,6,1
Intra,0.0846677890225432,6,2
Intra,0.087413198195666,6,3
Intra,0.0980387451707199,20,1
Intra,0.103523727825115,20,2
Intra,0.0700818520388016,6,1
Intra,0.0791452749223783,6,2
Intra,0.0649801318456556,6,3
Intra,0.0984445831148985,6,4
Intra,0.11385491447767,6,5
Intra,0.09763954038766,6,6
Intra,0.0771158319142944,6,7
Intra,0.0926546508714451,6,8
Intra,0.0813051361254538,6,9
Intra,0.0842821252010792,6,10
Intra,0.0736281039647318,18,1
Intra,0.0667211425079496,18,2
Intra,0.0760431134818569,18,3
Intra,0.0925451441751616,18,4
Intra,0.120235416006993,2,1
Intra,0.106131389656447,2,2
Intra,0.114192364595666,2,3
Intra,0.102972336787552,2,4
Intra,0.0666283473530382,6,1
Intra,0.0763689409451599,6,2
Intra,0.079859720177788,6,3
Intra,0.0828072690329222,6,4
Intra,0.0948302917225751,6,5
Intra,0.095070831227235,6,6
Intra,0.0724255041563708,6,7
Intra,0.0769699789508967,6,8
Intra,0.0733103429265512,6,9
Intra,0.0761008980065536,6,10
Intra,0.0743044071032723,23,1
Intra,0.0781695286982346,23,2
Intra,0.0619998995827468,23,3
Intra,0.068229333515055,23,4
Intra,0.136877055764113,2,1
Intra,0.0882445221954457,6,1
Intra,0.0715420132621759,6,2
Intra,0.0846163103796061,6,3
Intra,0.0765784695345041,4,1
Intra,0.0923165763850276,4,2
Intra,0.0799607927744218,4,3
Intra,0.0698757848053298,4,4
Intra,0.0993731867687644,4,5
Intra,0.0781725128125715,4,6
Intra,0.0977942090223327,4,7
Intra,0.0696646421235483,4,8
Intra,0.0805258745111096,4,9
Intra,0.081313263575421,4,10
Intra,0.062078909306997,6,1
Intra,0.0801281291332069,6,2
Intra,0.0778919132468726,6,3
Intra,0.0848991770162717,6,4
Intra,0.0729292796296828,6,5
Intra,0.0647480210953187,6,6
Intra,0.0685019591876763,6,7
Intra,0.0757038160832622,6,8
Intra,0.0864374504977531,6,9
Intra,0.0826765137199916,6,10
Intra,0.080900538062374,23,1
Intra,0.0785933584789425,23,2
Intra,0.0923581458210197,23,3
Intra,0.0756233598793307,23,4
Intra,0.0873735373599835,2,1
Intra,0.07251956650332,2,2
Intra,0.0706539109679031,4,1
Intra,0.0842682137332129,4,2
Intra,0.0780296785843492,4,3
Intra,0.0948957747251989,4,4
Intra,0.08980700438268,4,5
Intra,0.0872313169571103,4,6
Intra,0.0871832964951968,4,7
Intra,0.075414357173306,4,8
Intra,0.0921298553993646,4,9
Intra,0.0872322844100478,4,10
Intra,0.0724855741517656,4,11
Intra,0.0927802499863838,4,12
Intra,0.0841593553253007,4,13
Intra,0.0786119264700092,4,14
Intra,0.0762708480336117,4,15
Intra,0.0957264122439559,23,1
Intra,0.0839829758623268,6,1
Intra,0.0875988279549157,6,2
Intra,0.090463419665925,6,3
Intra,0.074552733742347,6,4
Intra,0.0728807541992043,6,5
Intra,0.0893566514158556,6,6
Intra,0.0771753784932392,6,7
Intra,0.0809245344798633,6,8
Intra,0.160539459933614,6,9
Intra,0.0900970786912642,6,10
Intra,0.0817072206745436,6,11
Intra,0.0936170358682326,6,12
Intra,0.0797760925525689,6,13
Intra,0.0806505653015262,6,14
Intra,0.153916222330514,6,15
Intra,0.0874588418403258,6,16
Intra,0.0758453060150183,6,17
Intra,0.187825361622001,6,18
Intra,0.0852135768072642,6,19
Intra,0.0974896583287914,6,20
Intra,0.0832094722307912,6,21
Intra,0.086643911907713,6,22
Intra,0.0994239265080226,6,23
Intra,0.0918021035815743,6,24
Intra,0.0884609996563053,6,25
Intra,0.0745079066818179,6,26
Intra,0.0922693411649116,6,27
Intra,0.0638324011387663,6,28
Intra,0.116874324094566,6,29
Intra,0.0836712754020041,6,30
Intra,0.0622509854363097,19,1
Intra,0.083154783910416,19,2
Intra,0.0933837837299158,25,1
Intra,0.0798823890674891,25,2
Intra,0.0957982022418182,25,3
Intra,0.100532683802079,25,4
Intra,0.0786310284828361,25,5
Intra,0.0645752815850097,3,1
Intra,0.062788105537203,3,2
Intra,0.0939480638586842,3,3
Intra,0.0758482010524951,3,4
Intra,0.0929006360265277,3,5
Intra,0.0939296984726647,3,6
Intra,0.0944804363981959,3,7
Intra,0.0771332695666554,3,8
Intra,0.0847302101293,3,9
Intra,0.0986093230715524,3,10
Intra,0.0850073569215402,6,1
Intra,0.0784750045319844,6,2
Intra,0.0579643050187039,6,3
Intra,0.0616561103912195,6,4
Intra,0.0769700289875431,6,5
Intra,0.0689721502245662,6,6
Intra,0.0757321017580253,6,7
Intra,0.0720948894109638,6,8
Intra,0.0760086700278228,6,9
Intra,0.0713162425255684,6,10
Intra,0.074487087836471,6,11
Intra,0.0761803046585648,6,12
Intra,0.0826876114969369,6,13
Intra,0.0826700321329111,6,14
Intra,0.0774331121740836,6,15
Intra,0.0902673834628274,6,16
Intra,0.0733745092243442,6,17
Intra,0.101390595586406,6,18
Intra,0.0624866013522062,6,19
Intra,0.0710947843542118,6,20
Intra,0.0846299807679036,6,21
Intra,0.105635835941901,6,22
Intra,0.0771475048972532,6,23
Intra,0.104307618021351,6,24
Intra,0.0671804075371082,6,25
Intra,0.0958503192144559,6,26
Intra,0.072297121320831,6,27
Intra,0.0740156554817522,6,28
Intra,0.0772068024813109,6,29
Intra,0.0807093046985478,6,30
Intra,0.0878069527179674,6,31
Intra,0.0918329808013139,6,32
Intra,0.0671138879347278,6,33
Intra,0.0910174898757462,6,34
Intra,0.0784136405247095,6,35
Intra,0.0876989439948349,6,36
Intra,0.0654892135510447,6,37
Intra,0.0719130777355135,6,38
Intra,0.0817733688752684,6,39
Intra,0.0659970763876963,6,40
Intra,0.0817115330271651,6,41
Intra,0.127562149367103,6,42
Intra,0.0769349904824137,6,43
Intra,0.101729491915302,6,44
Intra,0.0872896644476672,6,45
Intra,0.104986459793102,6,46
Intra,0.0708725005978888,6,47
Intra,0.0699952687899716,6,48
Intra,0.0654438827176528,6,49
Intra,0.0842885110544744,6,50
Intra,0.0886026649010334,6,51
Intra,0.115596700560184,6,52
Intra,0.0803544543883885,6,53
Intra,0.122035152292772,6,54
Intra,0.0924113019879005,6,55
Intra,0.111394095345763,6,56
Intra,0.0756803022455839,6,57
Intra,0.0850797437303266,6,58
Intra,0.0751234935455247,6,59
Intra,0.0972618361187782,6,60
Intra,0.735313192744469,6,61
Intra,0.113238389312488,6,62
Intra,0.0722745436836934,6,63
Intra,0.0845027340989477,6,64
Intra,0.062342782923108,6,65
Intra,0.080386112197963,6,66
Intra,0.0689630025615181,6,67
Intra,0.0805476712821794,6,68
Intra,0.0820082459093458,6,69
Intra,0.0762060795669221,6,70
Intra,0.728686128052308,6,71
Intra,0.118287108543982,6,72
Intra,0.0761212696613053,6,73
Intra,0.0922052871448343,6,74
Intra,0.0630918006851068,6,75
Intra,0.0806355848293014,6,76
Intra,0.0743275433771305,6,77
Intra,0.0827893942503547,6,78
Intra,0.0825401759327202,6,79
Intra,0.0810948822274812,6,80
Intra,0.0860772436470253,6,81
Intra,0.106178332283649,6,82
Intra,0.0780401154324587,6,83
Intra,0.081636893641283,6,84
Intra,0.07868870350255,6,85
Intra,0.109631983517808,6,86
Intra,0.0801460574613005,6,87
Intra,0.0750815019556924,6,88
Intra,0.0711794050371689,6,89
Intra,0.0695497793080884,6,90
Intra,0.0700071801761139,6,91
Intra,0.0789082429443297,6,92
Intra,0.0791708199755973,6,93
Intra,0.0786091983235464,6,94
Intra,0.0801363114425243,6,95
Intra,0.0668138011358297,6,96
Intra,0.0710413029162481,6,97
Intra,0.0792299230988531,6,98
Intra,0.0794355096329832,6,99
Intra,0.0912652560041163,6,100
Intra,0.270634205621726,7,1
Intra,0.172039424734531,7,2
Intra,0.280463244788693,7,3
Intra,0.150253643364214,7,4
Intra,0.154008377044101,7,5
Intra,0.106945598269276,7,6
Intra,0.0743154260647498,14,1
Intra,0.0723499373046875,14,2
Intra,0.0676082393204057,14,3
Intra,0.0718414740396427,18,1
Intra,0.0758088231794754,18,2
Intra,0.0695025234451495,18,3
Intra,0.0734650961910202,18,4
Intra,0.0671113945749487,18,5
Intra,0.0811999651548633,18,6
Intra,0.0848178323403123,18,7
Intra,0.083593842285003,18,8
Intra,0.295277870255131,18,9
Intra,0.0985116584486916,18,10
Intra,0.0895483765987971,18,11
Intra,0.105602080304166,18,12
Intra,0.12498193937557,19,1
Intra,0.115121636357856,19,2
Intra,0.101538944117889,19,3
Intra,0.0918136231670726,19,4
Intra,0.0889975896549254,23,1
Intra,0.0757612486708282,23,2
Intra,0.074721251853676,23,3
Intra,0.0821015389868539,23,4
Intra,0.0674474713967865,23,5
Intra,0.0802642864020017,23,6
Intra,0.0569715304095461,23,7
Intra,0.0742345584674655,23,8
Intra,0.0788304294963976,23,9
Intra,0.0873460834321648,23,10
Intra,0.0845048878240547,23,11
Intra,0.0769596816627002,23,12
Intra,0.0926669634031528,23,13
Intra,0.0690815978003733,23,14
Intra,0.0705049003433603,23,15
Intra,0.0781563712641827,23,16
Intra,0.148676603027776,24,1
Intra,0.171772637858394,24,2
Intra,0.0721761969129969,24,3
Intra,0.0816669528011118,24,4
Intra,0.0785183276257895,24,5
Intra,0.0970926731167687,24,6
Intra,0.0908192878112241,24,7
Intra,0.0730015320528185,24,8
Intra,0.0852065543024181,24,9
Intra,0.0834666022173458,24,10
Intra,0.0816720209694249,24,11
Intra,0.0658785545706937,24,12
Intra,0.0719516118223551,24,13
Intra,0.0617429438711046,24,14
Intra,0.0730780185415785,25,1
Intra,0.144208934057712,25,2
Intra,0.0595555194476744,25,3
Intra,0.0826975985846765,25,4
Intra,0.0827085749301694,25,5
Intra,0.161561527766996,25,6
Intra,0.0718371982632815,25,7
Intra,0.0851617653485385,25,8
Intra,0.0787182260729044,25,9
Intra,0.0705277404653716,25,10
Intra,0.130460789434731,25,11
Intra,0.125693969332052,25,12
Intra,0.0821149173526302,25,13
Intra,0.0864042067839589,25,14
Intra,0.0691344958911,25,15
Intra,0.0420230479819371,25,16
Intra,0.0943060491363474,25,17
Intra,0.0821848188585998,25,18
Intra,0.0466659835417991,25,19
Intra,0.0588740210945844,25,20
Intra,0.0652260068378924,25,21
Intra,0.0493850614134461,25,22
Intra,0.0888611086034847,25,23
Intra,0.0917090087351957,25,24
Intra,0.0705208066601436,25,25
Intra,0.0423169556199253,25,26
Intra,0.0319095560549196,25,27
Intra,0.0820947525296279,25,28
Intra,0.070066043721441,25,29
Intra,0.0793472517929876,25,30
Intra,0.0699667161013361,3,1
Intra,0.0822127740889287,7,1
Intra,0.0844148409609276,7,2
Intra,0.0713815258313867,7,3
Intra,0.0839599668978561,7,4
Intra,0.0980067598256689,7,5
Intra,0.123711182531946,7,6
Intra,0.112393831185349,7,7
Intra,0.082214721322582,7,8
Intra,0.0768533866234715,7,9
Intra,0.115697026256136,7,10
Intra,0.115618103450386,7,11
Intra,0.115735497836605,7,12
Intra,0.0801712939423777,23,1
Intra,0.0768120412664708,23,2
Intra,0.0941949041722316,23,3
Intra,0.0750680128647483,23,4
Intra,0.0601675820276587,24,1
Intra,0.103498983026921,24,2
Intra,0.0996262557063996,24,3
Intra,0.0690670104377406,24,4
Intra,0.0661663546434535,24,5
Intra,0.0795738243420528,24,6
Intra,0.0781444792418381,24,7
Intra,0.0758646568919022,24,8
Intra,0.0849256937834229,25,1
Intra,0.139068758400842,25,2
Intra,0.115964056948993,25,3
Intra,0.0511746895774727,25,4
Intra,0.0711327869580645,25,5
Intra,0.10626946886167,25,6
Intra,0.0851731574658519,25,7
Intra,0.0645237901387648,25,8
Intra,0.104291693284477,25,9
Intra,0.0894375823801907,25,10
Intra,0.0769435629948601,6,1
Intra,0.0836892121621935,6,2
Intra,0.0805725596578185,6,3
Intra,0.0796821825735672,6,4
Intra,0.0934037361120397,6,5
Intra,0.070553947644244,6,6
Intra,0.0722853184361451,6,7
Intra,0.0700341900172957,6,8
Intra,0.0769056045590849,6,9
Intra,0.0784808348296407,6,10
Intra,0.082390134209012,6,11
Intra,0.133090181505126,6,12
Intra,0.0819004119196938,6,13
Intra,0.0742578530762725,6,14
Intra,0.0798046299541379,6,15
Intra,0.0867362957223335,6,16
Intra,0.0884129323230143,6,17
Intra,0.0731252056303485,6,18
Intra,0.0831609667093707,6,19
Intra,0.0701037461382,6,20
Intra,0.0688688980417144,6,21
Intra,0.0990434687084227,6,22
Intra,0.079928319830862,6,23
Intra,0.0917565724872791,6,24
Intra,0.0695443082222794,6,25
Intra,0.0981131414174395,6,26
Intra,0.083909073957852,6,27
Intra,0.0682435735689352,6,28
Intra,0.0867314788888813,6,29
Intra,0.0862496445528425,6,30
Intra,0.070742499996484,10,1
Intra,0.0734842988614327,10,2
Intra,0.0646990351144967,10,3
Intra,0.0767876253851983,10,4
Intra,0.0855243250825453,10,5
Intra,0.0825492798005706,10,6
Intra,0.0770239930865342,10,7
Intra,0.0794039316923666,19,1
Intra,0.0694158905477511,19,2
Intra,0.05808916618426,19,3
Intra,0.0740614655777904,19,4
Intra,0.0623672015491093,19,5
Intra,0.0769449616826046,19,6
Intra,0.0795431803607739,19,7
Intra,0.0616287650457953,19,8
Intra,0.0652440750481533,25,1
Intra,0.0926021569160483,25,2
Intra,0.0819219936678452,25,3
Intra,0.101171645817198,25,4
Intra,0.101657765991563,25,5
Intra,0.0471962649130147,25,6
Intra,0.105283470313935,2,1
Intra,0.0848437562189815,2,2
Intra,0.0990126642035302,5,1
Intra,0.0818639670247502,5,2
Intra,0.143521188381322,5,3
Intra,0.133335032708172,5,4
Intra,0.0700643687921982,5,5
Intra,0.0891133875107229,5,6
Intra,0.14317912131136,5,7
Intra,0.129685147297414,5,8
Intra,0.0650651700951428,5,9
Intra,0.196546202200056,5,10
Intra,0.204765081183704,5,11
Intra,0.074286765155397,5,12
Intra,0.0944368676327205,5,13
Intra,0.155683250315206,5,14
Intra,0.0804622237332525,10,1
Intra,0.0866883136948603,10,2
Intra,0.0843386460359047,10,3
Intra,0.165718217717573,10,4
Intra,0.131931048843618,10,5
Intra,0.146980178330956,10,6
Intra,0.195431470302296,10,7
Intra,0.0838469624536168,10,8
Intra,0.122388250420585,10,9
Intra,0.0968509386994062,10,10
Intra,0.0764609468132567,10,11
Intra,0.101098321675039,10,12
Intra,0.0886102324850975,25,1
Intra,0.147506228301964,25,2
