Condition,PLV,Subject,Pair
Intra,0.179260501000175,6,1
Intra,0.120355479770495,6,2
Intra,0.0786983079350202,20,1
Intra,0.0964273084258456,20,2
Intra,0.103706435939733,20,3
Intra,0.107895720104682,6,1
Intra,0.0918414499903447,6,2
Intra,0.100839764949511,6,1
Intra,0.13367405339697,6,2
Intra,0.156777668254396,6,3
Intra,0.0899829712990238,6,4
Intra,0.182980573236521,6,5
Intra,0.176889214132431,6,6
Intra,0.106590385118305,6,7
Intra,0.117462330154144,6,8
Intra,0.113677152979338,6,9
Intra,0.0969349961386504,6,10
Intra,0.129786071164665,6,11
Intra,0.103589164457268,6,12
Intra,0.147872691171684,6,13
Intra,0.106204124429081,6,14
Intra,0.0952828711115838,6,15
Intra,0.112026233892156,6,16
Intra,0.0841923278100394,6,17
Intra,0.0829871358240454,6,18
Intra,0.109918013313913,6,19
Intra,0.104478439557856,6,20
Intra,0.0815787616556433,27,1
Intra,0.151013789479892,27,2
Intra,0.0806765309007091,27,3
Intra,0.119801563015481,5,1
Intra,0.128304708678021,5,2
Intra,0.144087004919096,5,3
Intra,0.116484041084087,5,4
Intra,0.136803189227645,5,5
Intra,0.124838133372868,5,6
Intra,0.120700969452594,6,1
Intra,0.095179465085098,6,2
Intra,0.14619867639421,6,3
Intra,0.131150251343615,6,4
Intra,0.136412847667482,6,5
Intra,0.132960037420445,6,6
Intra,0.103608213120761,20,1
Intra,0.135832807776547,20,2
Intra,0.37415621567351,20,3
Intra,0.310052012869546,20,4
Intra,0.272556451674727,20,5
Intra,0.377894571173738,20,6
Intra,0.0986799891533929,26,1
Intra,0.0972130546583353,26,2
Intra,0.0807317264643421,26,3
Intra,0.111060891883913,26,4
Intra,0.155104099245158,26,5
Intra,0.14801871611301,26,6
Intra,0.0991592175246748,26,7
Intra,0.102071930631133,26,8
Intra,0.0941107044570871,26,9
Intra,0.11422754899359,26,10
Intra,0.142263157543299,26,11
Intra,0.304388650092007,26,12
Intra,0.104042698774763,26,13
Intra,0.315233001892138,26,14
Intra,0.368541716312959,26,15
Intra,0.234478056053069,26,16
Intra,0.227399878563791,26,17
Intra,0.294703616505673,26,18
Intra,0.321957200394593,26,19
Intra,0.206730904372446,26,20
Intra,0.266447859573882,26,21
Intra,0.148443768201727,26,22
Intra,0.100865063736565,6,1
Intra,0.164369814781132,6,2
Intra,0.0821951938640634,6,3
Intra,0.0964761965299577,6,4
Intra,0.111241798399786,6,5
Intra,0.0997133298921325,6,6
Intra,0.103436392843914,6,7
Intra,0.0862093690683145,6,8
Intra,0.0929237622735476,6,9
Intra,0.0876733521106963,6,10
Intra,0.0760360495778354,6,11
Intra,0.136998889967642,6,12
Intra,0.102893499657232,6,13
Intra,0.14030424312175,6,14
Intra,0.105709941294487,6,15
Intra,0.11652134724499,6,16
Intra,0.118868065685156,6,17
Intra,0.109283350011818,6,18
Intra,0.0921848997092211,6,19
Intra,0.0913021300272961,6,20
Intra,0.184980096926153,5,1
Intra,0.14194545425764,5,2
Intra,0.157055440652893,5,3
Intra,0.16066852272795,5,4
Intra,0.12760081081512,5,5
Intra,0.169418898597911,5,6
Intra,0.120465883439227,5,7
Intra,0.266486338476754,5,8
Intra,0.154834259278032,5,9
Intra,0.161756893476173,5,10
Intra,0.188565225606931,5,11
Intra,0.132436857537285,5,12
Intra,0.156981456933849,5,13
Intra,0.156427344186988,5,14
Intra,0.114644280637627,5,15
Intra,0.126110063797138,5,16
Intra,0.19821478915977,5,17
Intra,0.130377522023656,5,18
