Condition,PLV,Subject,Pair
Correct,0.431393851917179,6,1
Correct,0.432037287807282,6,2
Correct,0.405356452884309,6,3
Correct,0.427899395298822,6,4
Correct,0.406545281668801,6,5
Correct,0.474082277639113,6,6
Correct,0.343717586643951,15,1
Correct,0.345940269982307,15,2
Correct,0.350230631449179,15,3
Correct,0.355171627159631,15,4
Correct,0.348347417582546,15,5
Correct,0.320878747808111,20,1
Correct,0.484307725195016,20,2
Correct,0.407865551116384,20,3
Correct,0.382463376871508,20,4
Correct,0.456108987170279,20,5
Correct,0.392640105460707,20,6
Correct,0.361852891350747,20,7
Correct,0.434848934728102,20,8
Correct,0.36774018451449,20,9
Correct,0.473812806460023,6,1
Correct,0.447203138013244,6,2
Correct,0.458046716142375,6,3
Correct,0.374705939801374,18,1
Correct,0.395152753363538,18,2
Correct,0.299538579337165,18,3
Correct,0.428157117957883,20,1
Correct,0.36686294190029,20,2
Correct,0.356659312075614,20,3
Correct,0.43815782242318,6,1
Correct,0.404939373753049,6,2
Correct,0.410334076178179,6,3
Correct,0.316614841599178,23,1
Correct,0.364621679854118,3,1
Correct,0.423631143319153,3,2
Correct,0.40375833635132,6,1
Correct,0.403693449705365,6,2
Correct,0.425475128932516,6,3
Correct,0.444987338358118,6,4
Correct,0.376931049481506,6,5
Correct,0.417683085058407,6,6
Correct,0.34872182096251,6,7
Correct,0.352676157904645,6,8
Correct,0.404023083990563,6,9
Correct,0.330968644266048,6,10
Correct,0.411449815713969,6,11
Correct,0.37572614486414,6,12
Correct,0.384738526421282,6,13
Correct,0.398611541403176,6,14
Correct,0.389449048335171,6,15
Correct,0.385452270842395,6,16
Correct,0.314310614246924,6,17
Correct,0.325371986006002,6,18
Correct,0.363830895746608,6,19
Correct,0.379884768952547,6,20
Correct,0.420754765941827,6,21
Correct,0.415184769564346,6,22
Correct,0.486989566086874,6,23
Correct,0.469313899481022,6,24
Correct,0.410353079912774,6,25
Correct,0.443341858244733,6,26
Correct,0.335760476974034,6,27
Correct,0.348164809238121,6,28
Correct,0.438036844476441,6,29
Correct,0.409154624767952,6,30
Correct,0.428384696612538,18,1
Correct,0.347591021706608,18,2
Correct,0.280151718871258,18,3
Correct,0.414593484635743,18,4
Correct,0.394784365808672,18,5
Correct,0.371970163414936,18,6
Correct,0.376149691634068,18,7
Correct,0.340230220747945,18,8
Correct,0.327347277824403,18,9
Correct,0.352192609921466,21,1
Correct,0.410131043177832,21,2
Correct,0.321265383273571,23,1
Correct,0.34345414026697,23,2
Correct,0.333738215122263,23,3
Correct,0.351632052384989,23,4
Correct,0.367416255030842,24,1
Correct,0.34160034582924,24,2
Correct,0.510859559900723,24,3
Correct,0.328265263150476,24,4
Correct,0.356031710300614,24,5
Correct,0.358917142413137,24,6
Correct,0.422983144987623,24,7
Correct,0.350163235270129,24,8
Correct,0.342359061640882,24,9
Correct,0.322775114655217,24,10
Correct,0.380997535979824,24,11
Correct,0.376979796148744,24,12
Correct,0.362828938478723,24,13
Correct,0.371404434077789,24,14
Correct,0.358020427422441,24,15
Correct,0.345218969524084,24,16
Correct,0.355402163171735,24,17
Correct,0.352674094792758,24,18
Correct,0.346763982204342,24,19
Correct,0.362217067446873,24,20
Correct,0.392720780692682,24,21
Correct,0.341680628412747,24,22
Correct,0.318864922067637,25,1
Correct,0.328067537376782,25,2
Correct,0.32982162084597,25,3
Correct,0.356149524289531,25,4
Correct,0.359111094814233,25,5
Correct,0.382013797080268,25,6
Correct,0.31440364463945,25,7
Correct,0.374391940012206,25,8
Correct,0.350170704036703,25,9
Correct,0.351352204949816,25,10
Correct,0.330971273128379,25,11
Correct,0.325046391152158,25,12
Correct,0.342774452705896,25,13
Correct,0.372782109917896,25,14
Correct,0.363807338369424,25,15
Correct,0.355185988936858,25,16
Correct,0.349842092565697,25,17
Correct,0.359318594557839,25,18
Correct,0.426187435811814,25,19
Correct,0.35370889669789,25,20
Correct,0.35548925747209,25,21
Correct,0.368448108214763,25,22
Correct,0.328412514614008,25,23
Correct,0.363351937890191,25,24
