Condition,PLV,Subject,Pair
Intra,0.0330103739015296,6,1
Intra,0.0326059133814566,6,2
Intra,0.0356777633266344,6,3
Intra,0.0356029167013023,6,4
Intra,0.0476045145556184,6,5
Intra,0.0344856524314416,6,6
Intra,0.0451246096346257,15,1
Intra,0.0460199228173616,15,2
Intra,0.0507553412463558,15,3
Intra,0.0343093740204182,15,4
Intra,0.0425153914094264,15,5
Intra,0.0290890257111882,20,1
Intra,0.036501130945375,20,2
Intra,0.0377347681496098,20,3
Intra,0.0347192733785712,20,4
Intra,0.0314728757107795,20,5
Intra,0.0428690071460434,20,6
Intra,0.0390169755594201,20,7
Intra,0.0421076405886535,20,8
Intra,0.0353621166768518,20,9
Intra,0.039262236992887,6,1
Intra,0.0439227323387754,6,2
Intra,0.0387504396780857,6,3
Intra,0.030634855392566,18,1
Intra,0.041480359402423,18,2
Intra,0.0324340192561933,18,3
Intra,0.0327011420086782,20,1
Intra,0.0337833221371735,20,2
Intra,0.0272944070519926,20,3
Intra,0.0378893046556554,6,1
Intra,0.0339622204382313,6,2
Intra,0.0364635134220173,6,3
Intra,0.0342863513659837,23,1
Intra,0.0376216926296276,3,1
Intra,0.0383662983946053,3,2
Intra,0.0308632550727549,6,1
Intra,0.0322548409217333,6,2
Intra,0.0414749049768043,6,3
Intra,0.0377156220110391,6,4
Intra,0.0371386459126893,6,5
Intra,0.0405968184952035,6,6
Intra,0.0421621626128934,6,7
Intra,0.0386874175416387,6,8
Intra,0.0370320655981734,6,9
Intra,0.042388538231176,6,10
Intra,0.0347587171117214,6,11
Intra,0.0364881470929443,6,12
Intra,0.0390592918230342,6,13
Intra,0.0365769046291245,6,14
Intra,0.0360055301542261,6,15
Intra,0.039261472866715,6,16
Intra,0.0387686336053063,6,17
Intra,0.0359732191462928,6,18
Intra,0.0413204497471953,6,19
Intra,0.0374989153918823,6,20
Intra,0.034196053308038,6,21
Intra,0.0393624690821345,6,22
Intra,0.0356320127686979,6,23
Intra,0.0394479122097054,6,24
Intra,0.034123616910457,6,25
Intra,0.0342626230690578,6,26
Intra,0.0479328204124592,6,27
Intra,0.0468794814057448,6,28
Intra,0.0402000536434172,6,29
Intra,0.0416448497877644,6,30
Intra,0.0406272093035546,18,1
Intra,0.0275790024795908,18,2
Intra,0.0400399517543171,18,3
Intra,0.0410694799592255,18,4
Intra,0.0440263597131703,18,5
Intra,0.0500894654318264,18,6
Intra,0.0396563039210533,18,7
Intra,0.0504643909229828,18,8
Intra,0.0569558675916616,18,9
Intra,0.0543222061065691,21,1
Intra,0.0509677585727353,21,2
Intra,0.039429348482653,23,1
Intra,0.035637461352608,23,2
Intra,0.0344936583349904,23,3
Intra,0.0341088697631748,23,4
Intra,0.0446513834997979,24,1
Intra,0.0500012562504576,24,2
Intra,0.0823346072673741,24,3
Intra,0.0420538220091794,24,4
Intra,0.0426241761094698,24,5
Intra,0.0363256965035145,24,6
Intra,0.0906431088893027,24,7
Intra,0.0462994881694222,24,8
Intra,0.0471383334861955,24,9
Intra,0.0387685185737676,24,10
Intra,0.0487764084208875,24,11
Intra,0.0385344388346774,24,12
Intra,0.0426066868767927,24,13
Intra,0.0431659298775406,24,14
Intra,0.0517717073165753,24,15
Intra,0.0417913552529346,24,16
Intra,0.0463009673189671,24,17
Intra,0.0441128602776904,24,18
Intra,0.0313514676205405,24,19
Intra,0.0412368755274541,24,20
Intra,0.0458878150775288,24,21
Intra,0.0404641727586434,24,22
Intra,0.0270075820334457,25,1
Intra,0.0379048016713791,25,2
Intra,0.0297956647893798,25,3
Intra,0.0448762055846919,25,4
Intra,0.0395205852993704,25,5
Intra,0.0218563555369886,25,6
Intra,0.0254489645720162,25,7
Intra,0.0321819399452029,25,8
Intra,0.0226135352042203,25,9
Intra,0.0429523448342957,25,10
Intra,0.028124283709258,25,11
Intra,0.0369336143092083,25,12
Intra,0.0558563751427821,25,13
Intra,0.0288900290636377,25,14
Intra,0.0294342318860729,25,15
Intra,0.0215083898358911,25,16
Intra,0.0460639014272649,25,17
Intra,0.0339441078132592,25,18
Intra,0.0458957116160443,25,19
Intra,0.0442497319290292,25,20
Intra,0.0338765759989742,25,21
Intra,0.0263199616365131,25,22
Intra,0.03017883990572,25,23
Intra,0.0380848207898575,25,24
Intra,0.0478179690754416,25,25
Intra,0.0346026670587079,6,1
Intra,0.0399789586675045,6,2
Intra,0.0334642497528564,6,3
Intra,0.0365024905262435,6,4
Intra,0.0351200287008985,6,5
Intra,0.0450804312468723,6,6
Intra,0.0353530353102733,6,7
Intra,0.0430528473362552,6,8
Intra,0.0418435667292631,6,9
Intra,0.0368910779170258,10,1
Intra,0.039603490468416,10,2
Intra,0.0386296612856691,10,3
Intra,0.0481241633452401,10,4
Intra,0.0389955490357997,10,5
Intra,0.0399429640303898,10,6
Intra,0.0446534273899802,10,7
Intra,0.0415476277186522,20,1
Intra,0.0359802954748498,20,2
Intra,0.0377087413262,20,3
Intra,0.0516097167990648,20,4
Intra,0.0415785993018716,20,5
Intra,0.0469732656914324,20,6
