Condition,PLV,Subject,Pair
Intra,0.0783820531787379,6,1
Intra,0.0839414821522527,6,2
Intra,0.0679587643683812,6,3
Intra,0.0826266814649209,6,4
Intra,0.0731771341071539,6,5
Intra,0.0773679470059141,6,6
Intra,0.0664248349414027,15,1
Intra,0.0723631018369453,15,2
Intra,0.0698964090163005,15,3
Intra,0.0813600869842763,15,4
Intra,0.0751605009440159,15,5
Intra,0.068996469740118,20,1
Intra,0.071047112009226,20,2
Intra,0.0606858842159524,20,3
Intra,0.0669108516655454,20,4
Intra,0.0726451364735894,20,5
Intra,0.0792757128064406,20,6
Intra,0.0922538385956371,20,7
Intra,0.0873185219088632,20,8
Intra,0.0538382476940095,20,9
Intra,0.0937702563589395,6,1
Intra,0.07591977631726,6,2
Intra,0.0854690235194039,6,3
Intra,0.0910293083557648,18,1
Intra,0.0983959036580349,18,2
Intra,0.0838083006138518,18,3
Intra,0.0672954411278325,20,1
Intra,0.0957368659915198,20,2
Intra,0.0678547896094995,20,3
Intra,0.0733371967075593,6,1
Intra,0.079056875142053,6,2
Intra,0.0717946425644802,6,3
Intra,0.0656190945103126,23,1
Intra,0.0770482478798703,3,1
Intra,0.0806612134627366,3,2
Intra,0.0785579216101726,6,1
Intra,0.0798376758949862,6,2
Intra,0.066228735768788,6,3
Intra,0.0711491154219061,6,4
Intra,0.077389725427826,6,5
Intra,0.0715273924888383,6,6
Intra,0.0735687058291462,6,7
Intra,0.0729001670430119,6,8
Intra,0.0767836008563497,6,9
Intra,0.0668958740629719,6,10
Intra,0.0756217373276361,6,11
Intra,0.0703600539862873,6,12
Intra,0.0752487333066187,6,13
Intra,0.0799674137289947,6,14
Intra,0.0933380983065284,6,15
Intra,0.0895017534011074,6,16
Intra,0.066898010526631,6,17
Intra,0.0686506633630936,6,18
Intra,0.0870046385391411,6,19
Intra,0.074591296737792,6,20
Intra,0.0784590742533342,6,21
Intra,0.0797830235281416,6,22
Intra,0.0697519553140116,6,23
Intra,0.089495548092245,6,24
Intra,0.0776474271380076,6,25
Intra,0.0812538313695189,6,26
Intra,0.082954314511181,6,27
Intra,0.0818552648316755,6,28
Intra,0.0862829018703673,6,29
Intra,0.087864710034241,6,30
Intra,0.130586812479996,18,1
Intra,0.139000788002871,18,2
Intra,0.117361212547772,18,3
Intra,0.0993009814395263,18,4
Intra,0.145349597264941,18,5
Intra,0.0955994117501629,18,6
