Condition,PLV,Subject,Pair
Intra,0.117864392279095,6,1
Intra,0.129818330821974,6,2
Intra,0.0987017578948156,6,3
Intra,0.118179812019761,6,4
Intra,0.0912804455638748,6,5
Intra,0.114902416066504,6,6
Intra,0.0993231259186712,15,1
Intra,0.101395352058649,15,2
Intra,0.0945278166642107,15,3
Intra,0.0907589533208012,15,4
Intra,0.0912958718855967,15,5
Intra,0.140620526328721,20,1
Intra,0.203363603681495,20,2
Intra,0.237347430322095,20,3
Intra,0.0901789749185521,20,4
Intra,0.171859286162341,20,5
Intra,0.140963075669082,20,6
Intra,0.114957381134696,20,7
Intra,0.165703322665556,20,8
Intra,0.169660130440464,20,9
Intra,0.108343733082895,6,1
Intra,0.126160990896326,6,2
Intra,0.127688961646524,6,3
Intra,0.210066387747318,18,1
Intra,0.179778773414238,18,2
Intra,0.146979882260249,18,3
Intra,0.0978034869259707,20,1
Intra,0.0765358418936984,20,2
Intra,0.0791932372338209,20,3
Intra,0.128923857247654,6,1
Intra,0.113184767914584,6,2
Intra,0.131140732075781,6,3
Intra,0.107112472629756,23,1
Intra,0.0795331882233562,3,1
Intra,0.119234832100761,3,2
Intra,0.126137869066935,6,1
Intra,0.125111210035174,6,2
Intra,0.1272923589774,6,3
Intra,0.133705245705951,6,4
Intra,0.119330907389416,6,5
Intra,0.103472312537236,6,6
Intra,0.123131430884021,6,7
Intra,0.121257202874571,6,8
Intra,0.103666526959712,6,9
Intra,0.0980173528775068,6,10
Intra,0.0789554634564462,6,11
Intra,0.108501385468033,6,12
Intra,0.113516811331707,6,13
Intra,0.0993995914333443,6,14
Intra,0.0990286027100369,6,15
Intra,0.107032953595968,6,16
Intra,0.0955175221460094,6,17
Intra,0.0886891159745757,6,18
Intra,0.0862311393692708,6,19
Intra,0.0987503485881349,6,20
Intra,0.169596804907032,6,21
Intra,0.144734825087306,6,22
Intra,0.145008036222769,6,23
Intra,0.160575832152814,6,24
Intra,0.115639594296857,6,25
Intra,0.134322368575767,6,26
Intra,0.111493989590716,6,27
Intra,0.111776121247164,6,28
Intra,0.119012565313875,6,29
Intra,0.0857896328091728,6,30
Intra,0.265940965827483,18,1
Intra,0.133862756317281,18,2
Intra,0.0425573294113238,18,3
Intra,0.125296103260127,18,4
Intra,0.17567229789956,18,5
Intra,0.0837215255898232,18,6
Intra,0.191095716888624,18,7
Intra,0.0881128858215115,18,8
Intra,0.0678468027043593,18,9
Intra,0.112753744625811,21,1
Intra,0.14317343354367,21,2
Intra,0.0946483726769287,23,1
Intra,0.0864180800260292,23,2
Intra,0.111357595687846,23,3
Intra,0.083988751886006,23,4
Intra,0.199287017068889,24,1
Intra,0.0899274592612865,24,2
Intra,0.351034212412053,24,3
Intra,0.0863924087248795,24,4
Intra,0.159442376474828,24,5
Intra,0.0854281014167755,24,6
Intra,0.264958887368681,24,7
Intra,0.087344374042021,24,8
Intra,0.123354812622547,24,9
Intra,0.0810776150244193,24,10
Intra,0.205191485065896,24,11
Intra,0.0911872338158267,24,12
Intra,0.233999455131833,24,13
Intra,0.0954388479178023,24,14
Intra,0.0959373662780321,24,15
Intra,0.071506151814914,24,16
Intra,0.164821116007419,24,17
Intra,0.0713104880517897,24,18
Intra,0.140069701599042,24,19
Intra,0.0659644560116244,24,20
Intra,0.138182167688015,24,21
Intra,0.0886745567417246,24,22
Intra,0.0907861535914489,25,1
Intra,0.104709400179048,25,2
Intra,0.0848128202152221,25,3
Intra,0.0627189930826762,25,4
Intra,0.0606331007361673,25,5
Intra,0.112348951236081,25,6
Intra,0.127440782708535,25,7
Intra,0.142737546022424,25,8
Intra,0.0849778586188029,25,9
Intra,0.0804606509424242,25,10
Intra,0.185249411772692,25,11
Intra,0.056448091849365,25,12
Intra,0.116965282555458,25,13
Intra,0.101533382331697,25,14
Intra,0.124163398133257,25,15
Intra,0.0574936309863925,25,16
Intra,0.174981057363957,25,17
Intra,0.0832977872932122,25,18
Intra,0.0877492431472444,25,19
Intra,0.103475988539225,25,20
Intra,0.0946138109245118,25,21
Intra,0.0959552100743154,25,22
Intra,0.045780489367218,25,23
Intra,0.0997142933717231,25,24
Intra,0.127799880809268,25,25
Intra,0.128962438583367,6,1
Intra,0.0982222847413458,6,2
