Condition,PLV,Subject,Pair
Intra,0.104732409165649,6,1
Intra,0.118006372133874,6,2
Intra,0.0822022199481833,6,3
Intra,0.0991500266319954,6,4
Intra,0.0792017210313297,6,5
Intra,0.09689307679393,6,6
Intra,0.0612013689685631,15,1
Intra,0.0675084178558258,15,2
Intra,0.0705064168587673,15,3
Intra,0.0756890697995419,15,4
Intra,0.062437315107441,15,5
Intra,0.0862996845335779,20,1
Intra,0.162153109094329,20,2
Intra,0.195918454343531,20,3
Intra,0.0561767510561007,20,4
Intra,0.141147822923035,20,5
Intra,0.118833901996591,20,6
Intra,0.0692906478746065,20,7
Intra,0.13492851902024,20,8
Intra,0.14540422236852,20,9
Intra,0.098842376691629,6,1
Intra,0.107402708434238,6,2
Intra,0.114648122202494,6,3
Intra,0.192460040414252,18,1
Intra,0.155946712940406,18,2
Intra,0.125392199739598,18,3
Intra,0.0748832607904209,20,1
Intra,0.0714734028623208,20,2
Intra,0.0675196925884408,20,3
Intra,0.105392223876378,6,1
Intra,0.0912109558399394,6,2
Intra,0.107969504897524,6,3
Intra,0.0740317647577662,23,1
Intra,0.0602801184513188,3,1
Intra,0.0914627891682307,3,2
Intra,0.107432324148383,6,1
Intra,0.110101396174549,6,2
Intra,0.119939947506447,6,3
Intra,0.115151164720225,6,4
Intra,0.108181394916167,6,5
Intra,0.0985548773855347,6,6
Intra,0.104019720304749,6,7
Intra,0.104147505761331,6,8
Intra,0.0936332512995772,6,9
Intra,0.0860073295621386,6,10
Intra,0.065211844914813,6,11
Intra,0.0955672673228929,6,12
Intra,0.0961615171491607,6,13
Intra,0.0900866532129888,6,14
Intra,0.091058418185644,6,15
Intra,0.0901197145677547,6,16
Intra,0.081176435864173,6,17
Intra,0.0796310899586641,6,18
Intra,0.073091975900153,6,19
Intra,0.0833100893900903,6,20
Intra,0.145514388883081,6,21
Intra,0.116468919844162,6,22
Intra,0.128528668742705,6,23
Intra,0.147361640330647,6,24
Intra,0.0997168738503021,6,25
Intra,0.121755003767956,6,26
Intra,0.102827905258337,6,27
Intra,0.100899394346124,6,28
Intra,0.100552122536858,6,29
Intra,0.074133400271548,6,30
Intra,0.265258117935463,18,1
Intra,0.111129309405935,18,2
Intra,0.039343035861315,18,3
Intra,0.117627054312172,18,4
Intra,0.170454457469877,18,5
Intra,0.0787088104255386,18,6
Intra,0.183564439525517,18,7
Intra,0.077001478696909,18,8
Intra,0.0604404983048204,18,9
Intra,0.0958558433302231,21,1
Intra,0.136837841752814,21,2
Intra,0.0736260075201508,23,1
Intra,0.0667987254462969,23,2
Intra,0.0838401937701512,23,3
Intra,0.0758316425276382,23,4
Intra,0.173543550601246,24,1
Intra,0.0677724214637375,24,2
Intra,0.330701384591388,24,3
Intra,0.0661165395309452,24,4
Intra,0.115947211311638,24,5
Intra,0.0645776090275384,24,6
