Condition,PLV,Subject,Pair
Encode,0.238510441320073,6,1
Encode,0.230922023805595,6,2
Encode,0.234183103235213,6,3
Encode,0.225368770197218,6,4
Encode,0.239609417839454,6,5
Encode,0.224894177931698,6,6
Encode,0.2383111094678,15,1
Encode,0.238538428716489,15,2
Encode,0.233177113652495,15,3
Encode,0.232848274224203,15,4
Encode,0.242107875819408,15,5
Encode,0.224749829082221,20,1
Encode,0.243844185248419,20,2
Encode,0.230781307391518,20,3
Encode,0.20672203096882,20,4
Encode,0.218252196808104,20,5
Encode,0.239545456679017,20,6
Encode,0.231890377191382,20,7
Encode,0.229687496238865,20,8
Encode,0.244275403357616,20,9
Encode,0.229688067055502,6,1
Encode,0.220844218917431,6,2
Encode,0.220583119187579,6,3
Encode,0.242748496875124,18,1
Encode,0.216249348923549,18,2
Encode,0.225144403983921,18,3
Encode,0.239248578250064,20,1
Encode,0.235316931991119,20,2
Encode,0.261465516689376,20,3
Encode,0.231609375821656,6,1
Encode,0.219545753507181,6,2
Encode,0.22369072591183,6,3
Encode,0.236245222136165,23,1
Encode,0.225358478842671,3,1
Encode,0.217081106481538,3,2
Encode,0.229272541770419,6,1
Encode,0.221894545293017,6,2
Encode,0.231855035461115,6,3
Encode,0.228038628820567,6,4
Encode,0.235293970244678,6,5
Encode,0.224742548472683,6,6
Encode,0.227568578799258,6,7
Encode,0.228647121337072,6,8
Encode,0.220041652279506,6,9
Encode,0.225133501014053,6,10
Encode,0.222546713083887,6,11
Encode,0.233368574808573,6,12
Encode,0.22700014296598,6,13
Encode,0.237818607067845,6,14
Encode,0.229308945393236,6,15
Encode,0.225937987316018,6,16
Encode,0.228540546754076,6,17
Encode,0.225985592735134,6,18
Encode,0.23414770740626,6,19
Encode,0.23178509901095,6,20
Encode,0.226436525439651,6,21
Encode,0.217133542786716,6,22
Encode,0.225077150149877,6,23
Encode,0.217730979070365,6,24
Encode,0.223942796816936,6,25
Encode,0.22691193110859,6,26
Encode,0.219864002937812,6,27
Encode,0.22365342560581,6,28
Encode,0.231473225495705,6,29
Encode,0.228141130013221,6,30
Encode,0.217423506748011,18,1
Encode,0.232902852158434,18,2
Encode,0.245769987288508,18,3
Encode,0.235775930382132,18,4
Encode,0.221118326629596,18,5
Encode,0.219951134251528,18,6
Encode,0.240448080700134,18,7
Encode,0.241674590818971,18,8
Encode,0.231523475219917,18,9
Encode,0.225131376538832,21,1
Encode,0.233007748256454,21,2
Encode,0.221673266476656,23,1
Encode,0.219530408051759,23,2
Encode,0.228363999827351,23,3
Encode,0.235473059272689,23,4
Encode,0.226306208227242,24,1
Encode,0.203220212949897,24,2
Encode,0.264461162626581,24,3
Encode,0.199032116004407,24,4
Encode,0.222989253581738,24,5
Encode,0.200573628019149,24,6
Encode,0.250440913571564,24,7
Encode,0.20246750524124,24,8
Encode,0.225102651857734,24,9
Encode,0.193359084801032,24,10
Encode,0.228181444151509,24,11
Encode,0.208847481017707,24,12
Encode,0.228619645875787,24,13
Encode,0.207715782836245,24,14
Encode,0.227731949762702,24,15
Encode,0.193261571349137,24,16
Encode,0.247043610828685,24,17
Encode,0.200588542735867,24,18
Encode,0.208593935164281,24,19
Encode,0.206489866501858,24,20
Encode,0.214652429610307,24,21
Encode,0.211241258637291,24,22
Encode,0.244075444484766,25,1
Encode,0.210132350505803,25,2
Encode,0.216869748942699,25,3
Encode,0.255444930930195,25,4
Encode,0.235472178181624,25,5
Encode,0.241333306820923,25,6
Encode,0.227040269032643,25,7
Encode,0.223020158179988,25,8
Encode,0.215467688871578,25,9
Encode,0.24518230882036,25,10
Encode,0.219183567647377,25,11
Encode,0.232525441861614,25,12
Encode,0.207705111190977,25,13
Encode,0.216368237037698,25,14
Encode,0.228030043263806,25,15
Encode,0.249960354351835,25,16
Encode,0.257147830936382,25,17
Encode,0.199199045705259,25,18
Encode,0.22826186382805,25,19
Encode,0.19375256942829,25,20
Encode,0.236355210495108,25,21
Encode,0.199994166481962,25,22
Encode,0.222256065027435,25,23
Encode,0.213605955060433,25,24
Encode,0.267378965361544,25,25
Encode,0.224362000790466,6,1
Encode,0.236506337386546,6,2
Encode,0.233834443525763,6,3
Encode,0.222830222295637,6,4
Encode,0.222329355024626,6,5
