Condition,PLV,Subject,Pair
Encode,0.109628370285036,6,1
Encode,0.10314882372625,6,2
Encode,0.110829301358149,6,3
Encode,0.106846873180228,6,4
Encode,0.112364424632172,6,5
Encode,0.111586852098195,6,6
Encode,0.128218460557675,15,1
Encode,0.130581384452339,15,2
Encode,0.13150168938348,15,3
Encode,0.124902188914095,15,4
Encode,0.124355731196215,15,5
Encode,0.105651891318987,20,1
Encode,0.104226455559494,20,2
Encode,0.107905647447504,20,3
Encode,0.111520101271926,20,4
Encode,0.114136984367113,20,5
Encode,0.106209310594237,20,6
Encode,0.113204894050198,20,7
Encode,0.118004556022541,20,8
Encode,0.111953043185122,20,9
Encode,0.116762800313943,6,1
Encode,0.114564763038468,6,2
Encode,0.114335640068689,6,3
Encode,0.106923225782298,18,1
Encode,0.108916537163951,18,2
Encode,0.120157367909801,18,3
Encode,0.105491117372181,20,1
Encode,0.106825383295187,20,2
Encode,0.113634876383445,20,3
Encode,0.114096275962138,6,1
Encode,0.115871565260417,6,2
Encode,0.11568448639321,6,3
Encode,0.105727784503773,23,1
Encode,0.115698564075772,3,1
Encode,0.116145334004357,3,2
Encode,0.108215212364839,6,1
Encode,0.112516024305704,6,2
Encode,0.113620009671374,6,3
Encode,0.107203948315171,6,4
Encode,0.114745055956682,6,5
Encode,0.110724539973922,6,6
Encode,0.117527917876573,6,7
Encode,0.114301074210215,6,8
Encode,0.112643122697828,6,9
Encode,0.1145579825728,6,10
Encode,0.108697038536707,6,11
Encode,0.116438832450121,6,12
Encode,0.11412953502556,6,13
Encode,0.114346008822268,6,14
Encode,0.120839369780423,6,15
Encode,0.113094061432206,6,16
Encode,0.107137381536222,6,17
Encode,0.108103731042944,6,18
Encode,0.116224804834158,6,19
Encode,0.112397491911708,6,20
Encode,0.110463775107157,6,21
Encode,0.123049078632065,6,22
Encode,0.116540169138232,6,23
Encode,0.116299723600878,6,24
Encode,0.118489029821669,6,25
Encode,0.115865370437719,6,26
Encode,0.118516653368908,6,27
Encode,0.119491298860895,6,28
Encode,0.121395789776899,6,29
Encode,0.114676715791285,6,30
Encode,0.118595707197985,18,1
Encode,0.10730238950106,18,2
Encode,0.115327119930966,18,3
Encode,0.118817529228988,18,4
Encode,0.105148681762735,18,5
Encode,0.123844444490188,18,6
Encode,0.112753877116841,18,7
Encode,0.121972517504685,18,8
Encode,0.133004423691675,18,9
Encode,0.123611143649894,21,1
Encode,0.12874849475981,21,2
Encode,0.118748625091374,23,1
Encode,0.115809965119722,23,2
Encode,0.111748461326275,23,3
Encode,0.113331862163726,23,4
Encode,0.123376085885447,24,1
Encode,0.12727262165173,24,2
Encode,0.137469898170874,24,3
Encode,0.124172495755386,24,4
Encode,0.119775065532186,24,5
Encode,0.111875983608195,24,6
Encode,0.154525672929115,24,7
Encode,0.118033278460567,24,8
Encode,0.12738519375238,24,9
Encode,0.120178725155585,24,10
Encode,0.123482234883174,24,11
Encode,0.118417308630808,24,12
Encode,0.114844736574897,24,13
Encode,0.119970296723789,24,14
Encode,0.112919906100006,24,15
Encode,0.119749751152407,24,16
Encode,0.107433458991796,24,17
Encode,0.115913996405245,24,18
Encode,0.106040592052855,24,19
Encode,0.103465673643583,24,20
Encode,0.126490081460561,24,21
Encode,0.122154873581994,24,22
Encode,0.107137723975177,25,1
Encode,0.129354884576643,25,2
Encode,0.122729729386352,25,3
Encode,0.0993969356806534,25,4
Encode,0.118557406554095,25,5
Encode,0.121479650063638,25,6
Encode,0.100292911027762,25,7
Encode,0.107226698259886,25,8
Encode,0.0954268232790011,25,9
Encode,0.136691847105781,25,10
Encode,0.0952196197711892,25,11
Encode,0.140136410315522,25,12
Encode,0.137502065257209,25,13
Encode,0.113087788614124,25,14
Encode,0.119840517652156,25,15
Encode,0.112720399752766,25,16
Encode,0.114133405898465,25,17
Encode,0.131142355692918,25,18
Encode,0.119584323762207,25,19
Encode,0.112082834911691,25,20
Encode,0.107426009231865,25,21
Encode,0.118961615991335,25,22
Encode,0.111723684660176,25,23
Encode,0.110120935590054,25,24
Encode,0.119914286236614,25,25
Encode,0.113406233971328,6,1
Encode,0.113971323728753,6,2
Encode,0.113580662160195,6,3
Encode,0.11049572118032,6,4
Encode,0.109897081967038,6,5
Encode,0.113754970356522,6,6
Encode,0.114846907019494,6,7
Encode,0.112345922097383,6,8
Encode,0.1219868417727,6,9
Encode,0.117127410519225,10,1
Encode,0.110252330821097,10,2
Encode,0.110518023688503,10,3
Encode,0.116989884189621,10,4
Encode,0.120431432716901,10,5
Encode,0.115743378539988,10,6
Encode,0.11641825566441,10,7
Encode,0.11037874392755,20,1
Encode,0.111544893897405,20,2
Encode,0.125877590108473,20,3
Encode,0.133127344607922,20,4
Encode,0.120827599002189,20,5
Encode,0.128609683121307,20,6
Encode,0.116366174311921,25,1
Encode,0.111370099281298,25,2
Encode,0.110335892261889,25,3
Encode,0.108010583772506,25,4
Encode,0.108105832068168,25,5
Encode,0.117959271992469,3,1
Encode,0.115135757092672,3,2
Encode,0.115919077073734,3,3
Encode,0.122059571605028,3,4
Encode,0.116902793182749,3,5
Encode,0.118104679968907,3,6
Encode,0.121511637130432,3,7
Encode,0.116447475435146,3,8
Encode,0.120920217978443,3,9
Encode,0.1182870052025,3,10
Encode,0.11618278455619,3,11
Encode,0.117160006035871,3,12
Encode,0.118946059166738,3,13
Encode,0.12193632896355,3,14
Encode,0.119633135815992,3,15
Encode,0.122905952622872,3,16
Encode,0.125090574919934,3,17
Encode,0.113733611333709,3,18
Encode,0.132994340722563,3,19
Encode,0.124699408807754,3,20
Encode,0.116686562767252,6,1
Encode,0.108422303652907,6,2
Encode,0.113903427341097,6,3
Encode,0.105310421151785,6,4
Encode,0.112133975843977,6,5
Encode,0.113635573096495,6,6
Encode,0.108793663126524,6,7
Encode,0.119552600989105,6,8
Encode,0.117421949355158,6,9
Encode,0.112595335748186,6,10
Encode,0.111935690385685,6,11
Encode,0.114968286393093,6,12
Encode,0.117485358099103,6,13
Encode,0.108744473130708,6,14
Encode,0.114005476298242,6,15
Encode,0.118454456841514,6,16
Encode,0.109865103760204,6,17
Encode,0.121129175682051,6,18
Encode,0.116207535063285,6,19
Encode,0.124044621085453,6,20
Encode,0.120023606286899,6,21
Encode,0.112987206030653,6,22
Encode,0.117094918212381,6,23
Encode,0.113764445436779,6,24
Encode,0.114058443296824,6,25
Encode,0.127461499267104,6,26
Encode,0.111852424671598,6,27
Encode,0.11503378705948,6,28
Encode,0.113940025028627,6,29
Encode,0.109579706920788,6,30
Encode,0.141856940773732,8,1
Encode,0.130952278036599,8,2
Encode,0.132059721605916,8,3
Encode,0.140544507806348,8,4
Encode,0.129463038188573,8,5
Encode,0.128968909884547,8,6
Encode,0.137614401976749,8,7
Encode,0.135794820301428,8,8
Encode,0.135969938538305,9,1
