Condition,PLV,Subject,Pair
Encode,0.291329743822867,6,1
Encode,0.305440303043528,6,2
Encode,0.266170566368408,6,3
Encode,0.278041841883521,6,4
Encode,0.275797823017631,6,5
Encode,0.283218221775851,6,6
Encode,0.25318672791013,15,1
Encode,0.246375477380245,15,2
Encode,0.24215726940029,15,3
Encode,0.265387776618466,15,4
Encode,0.263274056314331,15,5
Encode,0.277774048796261,20,1
Encode,0.368438841256029,20,2
Encode,0.356886729190514,20,3
Encode,0.263736874509452,20,4
Encode,0.284331923505241,20,5
Encode,0.299799962152795,20,6
Encode,0.271506753317139,20,7
Encode,0.289095105897179,20,8
Encode,0.339685162366213,20,9
Encode,0.307353071281803,6,1
Encode,0.297757855299078,6,2
Encode,0.319720685365258,6,3
Encode,0.292434522772255,18,1
Encode,0.288629312793066,18,2
Encode,0.258524584080726,18,3
Encode,0.238764969379886,20,1
Encode,0.218964679543635,20,2
Encode,0.2360364969851,20,3
Encode,0.283039050579241,6,1
Encode,0.260365354262669,6,2
Encode,0.276933237519845,6,3
Encode,0.242165171989762,23,1
Encode,0.258780410759418,3,1
Encode,0.279356847312111,3,2
Encode,0.301709289959159,6,1
Encode,0.300660285566136,6,2
Encode,0.304415471684558,6,3
Encode,0.291435882250968,6,4
Encode,0.275230823183867,6,5
Encode,0.295056614385826,6,6
Encode,0.238376940614838,6,7
Encode,0.24555816561906,6,8
Encode,0.279367166911174,6,9
Encode,0.283605025269383,6,10
Encode,0.265563346710346,6,11
Encode,0.277376037896238,6,12
Encode,0.300268230673785,6,13
Encode,0.26466397017062,6,14
Encode,0.278100350587096,6,15
Encode,0.287629597715477,6,16
Encode,0.230408999241811,6,17
Encode,0.242467890430427,6,18
Encode,0.255698793246433,6,19
Encode,0.280210661136712,6,20
Encode,0.311300222751685,6,21
Encode,0.289030524730454,6,22
Encode,0.310898981148523,6,23
Encode,0.301085990313799,6,24
Encode,0.284309995796695,6,25
Encode,0.296322605133291,6,26
Encode,0.246617537266948,6,27
Encode,0.252456374627874,6,28
Encode,0.286679092839624,6,29
Encode,0.27472451220396,6,30
Encode,0.344360757670781,18,1
Encode,0.244574970749116,18,2
Encode,0.176360528927011,18,3
Encode,0.274906504220251,18,4
Encode,0.281724279204732,18,5
Encode,0.225128721411603,18,6
Encode,0.307694589064358,18,7
Encode,0.252262761911008,18,8
Encode,0.205215542701919,18,9
Encode,0.255201866251288,21,1
Encode,0.27347239462238,21,2
Encode,0.243530057574057,23,1
Encode,0.244235955771946,23,2
Encode,0.230196499596063,23,3
Encode,0.249858579355396,23,4
Encode,0.284000216590092,24,1
Encode,0.241022647141708,24,2
Encode,0.380518945031603,24,3
Encode,0.246414806242095,24,4
Encode,0.261630895620526,24,5
Encode,0.252899310359984,24,6
Encode,0.311236727756364,24,7
Encode,0.264264379162808,24,8
Encode,0.235439273353172,24,9
Encode,0.225554670258164,24,10
Encode,0.291964537079089,24,11
Encode,0.270412710448638,24,12
Encode,0.310139016351973,24,13
Encode,0.275770025202957,24,14
Encode,0.241271366579236,24,15
Encode,0.220077709527133,24,16
Encode,0.269366487911673,24,17
Encode,0.252904627957437,24,18
Encode,0.248793203732965,24,19
Encode,0.22813806854841,24,20
Encode,0.255608138727262,24,21
Encode,0.256780166439862,24,22
Encode,0.249771758806077,25,1
Encode,0.3073602464126,25,2
Encode,0.267647456176217,25,3
Encode,0.208533497868509,25,4
Encode,0.271282551722748,25,5
Encode,0.283269712727585,25,6
Encode,0.275040611848149,25,7
Encode,0.263942177493825,25,8
Encode,0.238795695366279,25,9
Encode,0.294987137153598,25,10
Encode,0.317781654711967,25,11
Encode,0.265054945504577,25,12
Encode,0.261584702746572,25,13
Encode,0.238931454151262,25,14
Encode,0.307487184694391,25,15
Encode,0.242705980149579,25,16
Encode,0.26220079430416,25,17
Encode,0.268821390441631,25,18
Encode,0.266811528763085,25,19
Encode,0.258945606342357,25,20
Encode,0.251901427040818,25,21
Encode,0.250903913836306,25,22
Encode,0.241661437184401,25,23
Encode,0.239403387115873,25,24
Encode,0.267430605872452,25,25
Encode,0.300714578651827,6,1
Encode,0.271375977398159,6,2
Encode,0.272395719334937,6,3
Encode,0.286657468541965,6,4
Encode,0.261369478357261,6,5
Encode,0.274979044486742,6,6
Encode,0.29015757593014,6,7
Encode,0.267325659259681,6,8
Encode,0.280330645057186,6,9
Encode,0.278750320573271,10,1
Encode,0.230710372628138,10,2
Encode,0.244939396659284,10,3
Encode,0.266275428444153,10,4
Encode,0.274045288805574,10,5
Encode,0.266708602860738,10,6
Encode,0.236739172708931,10,7
Encode,0.328647596847585,20,1
Encode,0.323572035541863,20,2
Encode,0.329031812212912,20,3
Encode,0.307053561168749,20,4
Encode,0.307764519657904,20,5
Encode,0.316261263130145,20,6
Encode,0.283068095693609,25,1
Encode,0.268817682458701,25,2
Encode,0.360824681633331,25,3
Encode,0.270919671200624,25,4
Encode,0.309505598278407,25,5
Encode,0.240535364090423,3,1
Encode,0.257836940557311,3,2
Encode,0.251253929149774,3,3
Encode,0.274626350701098,3,4
Encode,0.258138478981459,3,5
Encode,0.277564546838107,3,6
Encode,0.245386724192813,3,7
Encode,0.261784171420957,3,8
Encode,0.275649408695266,3,9
Encode,0.291746513966763,3,10
Encode,0.27960956834144,3,11
Encode,0.27600214467394,3,12
Encode,0.268360943218121,3,13
Encode,0.320145667929879,3,14
Encode,0.282241442535676,3,15
Encode,0.288891151895728,3,16
Encode,0.285112419029825,3,17
Encode,0.314457866048423,3,18
Encode,0.270969881619206,3,19
Encode,0.312515917020821,3,20
Encode,0.227928915575972,6,1
Encode,0.281444886296459,6,2
Encode,0.397336531182206,6,3
Encode,0.28961655871279,6,4
Encode,0.313837326963378,6,5
Encode,0.282978270036286,6,6
Encode,0.296619973621906,6,7
Encode,0.294630129212578,6,8
Encode,0.304745347294742,6,9
Encode,0.2823841469472,6,10
Encode,0.221713706554982,6,11
Encode,0.273061682691108,6,12
Encode,0.293305633991714,6,13
Encode,0.274173707664904,6,14
Encode,0.292137070487722,6,15
Encode,0.26441271932065,6,16
Encode,0.282037596152428,6,17
Encode,0.281335758896704,6,18
Encode,0.285394237756527,6,19
Encode,0.258739155844883,6,20
Encode,0.237452753830801,6,21
Encode,0.286056223215611,6,22
Encode,0.32140331662183,6,23
Encode,0.296773376762411,6,24
Encode,0.303614240663988,6,25
Encode,0.286280252745358,6,26
Encode,0.317979173483218,6,27
Encode,0.292030976003133,6,28
Encode,0.313614732468002,6,29
Encode,0.269593900873014,6,30
Encode,0.270279516853485,8,1
Encode,0.29657802316519,8,2
Encode,0.30338127143589,8,3
Encode,0.345411036563449,8,4
Encode,0.282476086528864,8,5
Encode,0.274380620607153,8,6
Encode,0.292345823009726,8,7
Encode,0.365125007970632,8,8
Encode,0.239288553795421,9,1
Encode,0.242419898203392,9,2
Encode,0.271970934595628,10,1
Encode,0.255757735862251,10,2
Encode,0.271693297465217,10,3
Encode,0.274101966693702,10,4
Encode,0.272010755371988,10,5
Encode,0.274275458337489,10,6
Encode,0.244031337624554,10,7
Encode,0.262879296325149,10,8
Encode,0.263025970789145,10,9
Encode,0.258291353492949,10,10
Encode,0.280517065625853,10,11
Encode,0.258210641616507,10,12
Encode,0.259105880501133,10,13
Encode,0.246719330736117,10,14
Encode,0.26516536433667,10,15
Encode,0.265376530797344,10,16
Encode,0.250312114771524,10,17
Encode,0.263845095171504,10,18
Encode,0.254858073063845,10,19
Encode,0.260608177002454,10,20
Encode,0.247437747100462,10,21
Encode,0.329745020462755,10,22
Encode,0.314318101643211,10,23
Encode,0.268119069002406,10,24
Encode,0.344081257797632,10,25
Encode,0.269005766966896,10,26
Encode,0.286107294558086,10,27
Encode,0.242105243936695,10,28
Encode,0.276221177724827,10,29
Encode,0.278934756185382,10,30
Encode,0.250078392149576,10,31
Encode,0.271830705710457,10,32
Encode,0.280021242232834,10,33
Encode,0.251297216189589,10,34
Encode,0.242937983936632,10,35
Encode,0.278177371482308,10,36
Encode,0.265041196027812,10,37
Encode,0.264468162142168,10,38
Encode,0.27486875535441,10,39
Encode,0.265382164626028,10,40
Encode,0.258974135871644,10,41
Encode,0.244396619714122,10,42
Encode,0.257459196112217,10,43
Encode,0.246792328675798,10,44
Encode,0.243174960475279,10,45
Encode,0.255501668962293,10,46
Encode,0.251443160967239,10,47
Encode,0.258508948639166,10,48
Encode,0.256728390557289,10,49
Encode,0.340693267183797,11,1
Encode,0.247464959307455,11,2
Encode,0.309473087962933,11,3
Encode,0.247820441388337,11,4
Encode,0.314322748227214,11,5
Encode,0.249307065655861,12,1
Encode,0.274623289443845,12,2
Encode,0.259308238474212,12,3
Encode,0.268259783841724,12,4
Encode,0.233827210624611,12,5
Encode,0.258061396659375,12,6
Encode,0.251018241673873,12,7
Encode,0.233413863939877,12,8
Encode,0.249221558142383,12,9
Encode,0.236958151719744,12,10
Encode,0.248411580250559,12,11
Encode,0.235582999685344,12,12
Encode,0.268601834235612,12,13
