Condition,PLV,Subject,Pair
Encode,0.235874220724564,6,1
Encode,0.221141047791849,6,2
Encode,0.230871039824405,6,3
Encode,0.222603874536927,6,4
Encode,0.225775035818561,6,5
Encode,0.226383850529406,6,6
Encode,0.2085917250602,15,1
Encode,0.225632100303541,15,2
Encode,0.223905891984475,15,3
Encode,0.221813797138475,15,4
Encode,0.218117495862028,15,5
Encode,0.216252469856823,20,1
Encode,0.232681229486437,20,2
Encode,0.23781168763957,20,3
Encode,0.20097164714473,20,4
Encode,0.22194377688082,20,5
Encode,0.235930887250274,20,6
Encode,0.21565959587756,20,7
Encode,0.227360471227932,20,8
Encode,0.21571894963454,20,9
Encode,0.237640101210072,6,1
Encode,0.22676678133143,6,2
Encode,0.222424263833598,6,3
Encode,0.225807570095263,18,1
Encode,0.23043858115725,18,2
Encode,0.236453082532304,18,3
Encode,0.231916209365659,20,1
Encode,0.224354125488521,20,2
Encode,0.220208526746175,20,3
Encode,0.22593792297671,6,1
Encode,0.234673965063706,6,2
Encode,0.229847498771133,6,3
Encode,0.220916732723965,23,1
Encode,0.222224114449425,3,1
Encode,0.225596126585451,3,2
Encode,0.223410649837257,6,1
Encode,0.228225200254698,6,2
Encode,0.231029842340079,6,3
Encode,0.226833813873053,6,4
Encode,0.231539867949594,6,5
Encode,0.237141657637129,6,6
Encode,0.205669426984023,6,7
Encode,0.210328758733974,6,8
Encode,0.218713721462855,6,9
Encode,0.228999006901882,6,10
Encode,0.211784687546327,6,11
Encode,0.212044150750589,6,12
Encode,0.216523251865229,6,13
Encode,0.214009012914721,6,14
Encode,0.228761699689727,6,15
Encode,0.223718826272778,6,16
Encode,0.221005595957966,6,17
Encode,0.221641351500951,6,18
Encode,0.213378896790731,6,19
Encode,0.222189056270016,6,20
Encode,0.232495117228774,6,21
Encode,0.229034733520021,6,22
Encode,0.223399863430423,6,23
Encode,0.232983600141805,6,24
Encode,0.23700811788726,6,25
Encode,0.219400802656871,6,26
Encode,0.228133284721041,6,27
Encode,0.222359296571715,6,28
Encode,0.23237255336702,6,29
Encode,0.237991854225925,6,30
Encode,0.260841493986302,18,1
Encode,0.271705090407684,18,2
Encode,0.25355611622906,18,3
Encode,0.261711518872934,18,4
Encode,0.262972739205061,18,5
Encode,0.240362854530992,18,6
Encode,0.27348433593605,18,7
Encode,0.264892290473418,18,8
Encode,0.239936107482158,18,9
Encode,0.242024252978592,21,1
Encode,0.262314016013227,21,2
Encode,0.220026800636563,23,1
Encode,0.231677175030502,23,2
Encode,0.249279719142199,23,3
Encode,0.211403951575592,23,4
Encode,0.242082274777572,24,1
Encode,0.219831615578259,24,2
Encode,0.348524387944563,24,3
Encode,0.21064396822648,24,4
Encode,0.225863474154605,24,5
Encode,0.225672049452598,24,6
Encode,0.278760379037794,24,7
Encode,0.234109271060011,24,8
Encode,0.227866739887617,24,9
Encode,0.206533680951628,24,10
Encode,0.25905648062788,24,11
Encode,0.208825585359097,24,12
Encode,0.250162266330765,24,13
Encode,0.207016097346336,24,14
Encode,0.237389644560389,24,15
Encode,0.207334824506807,24,16
Encode,0.258420930497823,24,17
Encode,0.21632614463259,24,18
Encode,0.229604504713414,24,19
Encode,0.213855675008855,24,20
Encode,0.258280777490717,24,21
Encode,0.215814069142786,24,22
