Condition,PLV,Subject,Pair
Correct,0.408320353859809,6,1
Correct,0.464479217587259,6,2
Correct,0.47038783163333,6,3
Correct,0.414162255807462,6,4
Correct,0.43664507676181,6,5
Correct,0.365520795310885,6,6
Correct,0.357336942174505,15,1
Correct,0.344684541103016,15,2
Correct,0.378253907381249,15,3
Correct,0.38301054816158,15,4
Correct,0.339461718694001,15,5
Correct,0.43319654538722,20,1
Correct,0.398431395019115,20,2
Correct,0.52915435453432,20,3
Correct,0.426099853456298,20,4
Correct,0.499759702447616,20,5
Correct,0.508051268566172,20,6
Correct,0.419519596283306,20,7
Correct,0.471019205235771,20,8
Correct,0.515138582572707,20,9
Correct,0.50379233536396,6,1
Correct,0.42776928520859,6,2
Correct,0.39451019143684,6,3
Correct,0.392509516458025,18,1
Correct,0.44998085615684,18,2
Correct,0.378319120193134,18,3
Correct,0.441929313521865,20,1
Correct,0.427326663799224,20,2
Correct,0.47666849237776,20,3
Correct,0.380301316591511,6,1
Correct,0.431482012832355,6,2
Correct,0.324240165519613,6,3
Correct,0.3113279898469,23,1
Correct,0.341286535788158,3,1
Correct,0.371440220138482,3,2
Correct,0.437016303159335,6,1
Correct,0.409456657955671,6,2
Correct,0.38222814358119,6,3
Correct,0.394613433548332,6,4
Correct,0.442156710537809,6,5
Correct,0.434645762482557,6,6
Correct,0.339065113693086,6,7
Correct,0.344076222954518,6,8
Correct,0.438252597603102,6,9
Correct,0.376436225507346,6,10
Correct,0.435211460839956,6,11
Correct,0.390812054333956,6,12
Correct,0.39131626827138,6,13
Correct,0.365356664045168,6,14
Correct,0.424324794448305,6,15
Correct,0.381726890386729,6,16
Correct,0.352215800601656,6,17
Correct,0.362825970526845,6,18
Correct,0.392555691719917,6,19
Correct,0.335872450329605,6,20
Correct,0.377759144118925,6,21
Correct,0.416812223175202,6,22
Correct,0.443962599185913,6,23
Correct,0.30369222479783,6,24
Correct,0.447793186146021,6,25
Correct,0.335604014409519,6,26
Correct,0.369543215334771,6,27
Correct,0.383310681078854,6,28
Correct,0.454575768785858,6,29
Correct,0.401023929507143,6,30
Correct,0.343474599297842,18,1
Correct,0.293633185422899,18,2
Correct,0.30192139855998,18,3
Correct,0.424960164409352,18,4
Correct,0.420583017003344,18,5
Correct,0.379781600516471,18,6
Correct,0.370394625069497,18,7
Correct,0.342857347561306,18,8
Correct,0.376253516530203,18,9
Correct,0.363467843344048,21,1
Correct,0.378274401391322,21,2
Correct,0.331137920104655,23,1
Correct,0.361274304567044,23,2
Correct,0.323750878622767,23,3
Correct,0.336674579260499,23,4
Correct,0.401464334304613,24,1
Correct,0.329902299881622,24,2
Correct,0.498550296626,24,3
Correct,0.33544853972901,24,4
Correct,0.373452535013922,24,5
Correct,0.36781044393793,24,6
Correct,0.443658419942987,24,7
Correct,0.346009094896402,24,8
Correct,0.431186216962372,24,9
Correct,0.368566778531412,24,10
Correct,0.405226047319735,24,11
Correct,0.382881269251276,24,12
Correct,0.404328516675439,24,13
Correct,0.381340146368954,24,14
Correct,0.347074373515017,24,15
Correct,0.354658110412356,24,16
Correct,0.399527566599014,24,17
Correct,0.338178805374907,24,18
Correct,0.341313953556347,24,19
Correct,0.371214152558643,24,20
Correct,0.359942485352781,24,21
Correct,0.411336858769537,24,22
Correct,0.391191202865323,25,1
Correct,0.353704489289083,25,2
Correct,0.337337081239397,25,3
Correct,0.354150619909325,25,4
Correct,0.386385686967763,25,5
Correct,0.397747720244014,25,6
Correct,0.34225693906902,25,7
Correct,0.312418889139104,25,8
Correct,0.359541756994093,25,9
Correct,0.397917009757651,25,10
