Condition,PLV,Subject,Pair
Correct,0.359255659849948,6,1
Correct,0.38782603657084,6,2
Correct,0.377396379937132,6,3
Correct,0.359850106190372,6,4
Correct,0.359399329261141,6,5
Correct,0.290458797729289,6,6
Correct,0.242333090533353,15,1
Correct,0.267804564289724,15,2
Correct,0.276556208812398,15,3
Correct,0.252692397493253,15,4
Correct,0.257271375374133,15,5
Correct,0.341669512870548,20,1
Correct,0.332715929788944,20,2
Correct,0.443350946163107,20,3
Correct,0.319310996573917,20,4
Correct,0.373424660915494,20,5
Correct,0.404791864070317,20,6
Correct,0.345502334053955,20,7
Correct,0.39306184188307,20,8
Correct,0.442710459476545,20,9
Correct,0.414507589689238,6,1
Correct,0.367114230863558,6,2
Correct,0.320971155397198,6,3
Correct,0.366667230838037,18,1
Correct,0.413089166445606,18,2
Correct,0.329120161405262,18,3
Correct,0.374690119252527,20,1
Correct,0.358540945140632,20,2
Correct,0.414203580057152,20,3
Correct,0.335068734372029,6,1
Correct,0.326325937087028,6,2
Correct,0.278229105402978,6,3
Correct,0.303632754408894,23,1
Correct,0.272818809126439,3,1
Correct,0.29762682372627,3,2
Correct,0.388096627018574,6,1
Correct,0.380700944285495,6,2
Correct,0.344472347525277,6,3
Correct,0.333580274957306,6,4
Correct,0.385083932222137,6,5
Correct,0.415930926501921,6,6
Correct,0.285621724337327,6,7
Correct,0.293924694062576,6,8
Correct,0.365674320593447,6,9
Correct,0.315861268962559,6,10
Correct,0.385431742222302,6,11
Correct,0.33775253686827,6,12
Correct,0.356310070226498,6,13
Correct,0.313962492299435,6,14
Correct,0.360772039224674,6,15
Correct,0.3357900618863,6,16
Correct,0.289326790312926,6,17
Correct,0.30625254695521,6,18
Correct,0.33448473979054,6,19
Correct,0.308601840915139,6,20
Correct,0.312926448929286,6,21
Correct,0.337326913956459,6,22
Correct,0.37025054186739,6,23
Correct,0.251935209923125,6,24
Correct,0.353254526351074,6,25
Correct,0.284390832031593,6,26
Correct,0.260518294409684,6,27
Correct,0.282509650309173,6,28
Correct,0.361315125634663,6,29
Correct,0.356743816113474,6,30
Correct,0.319667798979469,18,1
Correct,0.275761029617626,18,2
Correct,0.281818667267465,18,3
Correct,0.413080335677937,18,4
Correct,0.398695518954938,18,5
Correct,0.321774746902759,18,6
Correct,0.322633001267564,18,7
Correct,0.299788326975262,18,8
Correct,0.316649822932571,18,9
Correct,0.300025931947706,21,1
Correct,0.311546813471871,21,2
Correct,0.253485882540511,23,1
Correct,0.278343373435097,23,2
Correct,0.279534374160157,23,3
Correct,0.256166485145978,23,4
Correct,0.324713525268677,24,1
Correct,0.267454156511386,24,2
Correct,0.429402520252629,24,3
Correct,0.274828788523531,24,4
Correct,0.267748693667239,24,5
Correct,0.30877462607101,24,6
Correct,0.370929576631814,24,7
Correct,0.281443096077754,24,8
Correct,0.336770119569784,24,9
Correct,0.295190776511089,24,10
Correct,0.331038607561125,24,11
Correct,0.321227911548376,24,12
Correct,0.319679614973789,24,13
Correct,0.309362470340897,24,14
Correct,0.251076842754392,24,15
Correct,0.268886569232365,24,16
Correct,0.312676703798061,24,17
Correct,0.278639663384811,24,18
Correct,0.266691619491002,24,19
Correct,0.275050760782483,24,20
Correct,0.269547177179443,24,21
Correct,0.308474064257116,24,22
Correct,0.307998841589456,25,1
Correct,0.300562754798603,25,2
Correct,0.255014943302024,25,3
Correct,0.306122008160339,25,4
Correct,0.302692581537136,25,5
Correct,0.31606944469001,25,6
Correct,0.292925668131195,25,7
Correct,0.24883289299119,25,8
Correct,0.287602356061639,25,9
Correct,0.319197223629004,25,10
Correct,0.360554078007666,25,11
Correct,0.296386083120167,25,12
Correct,0.265605344073467,25,13
Correct,0.289849570081756,25,14
Correct,0.308112409907838,25,15
Correct,0.274225184496151,25,16
Correct,0.296046504333967,25,17
Correct,0.26250052050271,25,18
Correct,0.310538298302871,25,19
Correct,0.278231812338654,25,20
Correct,0.322047174818997,25,21
Correct,0.27590161682951,25,22
Correct,0.279894504354043,25,23
Correct,0.290622108059164,25,24
Correct,0.241995267011839,25,25
Correct,0.3100119618582,6,1
Correct,0.297375501474773,6,2
Correct,0.32098562172761,6,3
Correct,0.331957176217577,6,4
Correct,0.280536437238199,6,5
Correct,0.36998873275232,6,6
Correct,0.360338835467429,6,7
Correct,0.319950149266896,6,8
Correct,0.302887369835131,6,9
Correct,0.344716244460348,10,1
Correct,0.328162227615398,10,2
Correct,0.334731283939029,10,3
Correct,0.292812795265927,10,4
Correct,0.302279006710626,10,5
Correct,0.313471002120508,10,6
Correct,0.299883017521902,10,7
Correct,0.334874278340317,20,1
Correct,0.29003534675819,20,2
Correct,0.345673716976144,20,3
Correct,0.28755796052999,20,4
Correct,0.351095025072748,20,5
Correct,0.296019064438058,20,6
Correct,0.322424734730111,25,1
Correct,0.298615667283834,25,2
Correct,0.339104480232817,25,3
Correct,0.319218231349434,25,4
Correct,0.288311247809072,25,5
Correct,0.26624218434353,3,1
Correct,0.259637771503425,3,2
Correct,0.299544553980743,3,3
Correct,0.298928879695695,3,4
Correct,0.282358691989448,3,5
Correct,0.269409358501973,3,6
Correct,0.238435735316581,3,7
Correct,0.301911640806817,3,8
Correct,0.272417698468564,3,9
Correct,0.297934291214842,3,10
Correct,0.30434750197,3,11
Correct,0.300510419001507,3,12
Correct,0.360587523689823,3,13
Correct,0.352718165527016,3,14
Correct,0.344447031949727,3,15
Correct,0.295365704760303,3,16
Correct,0.345003899203522,3,17
Correct,0.349100050581016,3,18
Correct,0.287123711748164,3,19
Correct,0.371628011635151,3,20
Correct,0.331545645216507,6,1
Correct,0.304701403103558,6,2
Correct,0.525921792276841,6,3
Correct,0.346022734438994,6,4
Correct,0.417080712808105,6,5
Correct,0.390900161470034,6,6
Correct,0.371526536193355,6,7
Correct,0.339156084524411,6,8
Correct,0.375634279448869,6,9
Correct,0.345510967585007,6,10
Correct,0.342583945423556,6,11
Correct,0.347168771647254,6,12
Correct,0.364909652198219,6,13
Correct,0.352631955936765,6,14
Correct,0.344989687935253,6,15
Correct,0.331497471209935,6,16
Correct,0.390539984206613,6,17
Correct,0.312182627722521,6,18
Correct,0.37794236753671,6,19
Correct,0.311336976056777,6,20
Correct,0.28568832696227,6,21
Correct,0.316876624038424,6,22
Correct,0.301948362661429,6,23
Correct,0.330206663274651,6,24
Correct,0.280184345177631,6,25
Correct,0.326005997896219,6,26
Correct,0.328264930927531,6,27
Correct,0.31167753868851,6,28
Correct,0.356895861449644,6,29
Correct,0.280700926115103,6,30
Correct,0.272041068003913,8,1
Correct,0.275032879757057,8,2
Correct,0.319830379870941,8,3
Correct,0.333689938414843,8,4
Correct,0.292319303280955,8,5
Correct,0.294270313516714,8,6
Correct,0.297467962840895,8,7
Correct,0.370284308986368,8,8
Correct,0.283533768276903,9,1
Correct,0.358539215691979,9,2
Correct,0.383903602174149,10,1
Correct,0.34860759582888,10,2
Correct,0.300967740968051,10,3
Correct,0.324270864176648,10,4
Correct,0.323119813026798,10,5
Correct,0.333625439216289,10,6
Correct,0.330274206907633,10,7
Correct,0.331957432539797,10,8
Correct,0.327112728011584,10,9
Correct,0.360383904249893,10,10
Correct,0.353783432787442,10,11
Correct,0.319540071242827,10,12
Correct,0.349269091120175,10,13
Correct,0.307137776550369,10,14
Correct,0.340879831995849,10,15
Correct,0.327743083947873,10,16
Correct,0.316616804455402,10,17
Correct,0.319821399752732,10,18
Correct,0.337490494930544,10,19
Correct,0.321888090409193,10,20
Correct,0.29644465193064,10,21
Correct,0.390866375799206,10,22
Correct,0.332447022787936,10,23
Correct,0.332188209905597,10,24
Correct,0.382444047188077,10,25
Correct,0.374680761119663,10,26
Correct,0.340596271555419,10,27
Correct,0.308628854504409,10,28
Correct,0.335809388056912,10,29
Correct,0.307249424432841,10,30
Correct,0.318051943927303,10,31
Correct,0.335552462501378,10,32
Correct,0.329437004031733,10,33
Correct,0.278756329955558,10,34
Correct,0.312942883765633,10,35
Correct,0.322457117379448,10,36
Correct,0.313000019966382,10,37
Correct,0.345450302097499,10,38
Correct,0.331299539652303,10,39
Correct,0.328702600999288,10,40
Correct,0.291460692377821,10,41
Correct,0.30852652221952,10,42
Correct,0.310736216953168,10,43
Correct,0.28325797265823,10,44
Correct,0.263278258173837,10,45
Correct,0.302411122943892,10,46
Correct,0.314312952663965,10,47
Correct,0.260383417413702,10,48
Correct,0.279460515021233,10,49
Correct,0.344403486630775,11,1
Correct,0.264957902184457,11,2
Correct,0.302973498419781,11,3
Correct,0.256258436813533,11,4
Correct,0.304434476853438,11,5
Correct,0.274312499341834,12,1
Correct,0.271626152833086,12,2
Correct,0.314061717710668,12,3
Correct,0.334033239980717,12,4
Correct,0.324287331869828,12,5
Correct,0.302803269369337,12,6
Correct,0.311207816443263,12,7
Correct,0.320531460127093,12,8
Correct,0.273759838625329,12,9
Correct,0.340964289312366,12,10
Correct,0.29847565303623,12,11
Correct,0.293286746803955,12,12
Correct,0.273995232525303,12,13
Correct,0.317644266793992,12,14
Correct,0.311670308373853,12,15
Correct,0.254488586021968,12,16
Correct,0.324321050184053,12,17
Correct,0.335943161180369,12,18
Correct,0.293926955005792,12,19
Correct,0.295771401815679,12,20
Correct,0.34578903411356,12,21
Correct,0.260279810073135,13,1
Correct,0.251223367038522,13,2
Correct,0.241740445716958,13,3
Correct,0.30465534101354,13,4
Correct,0.282378892891356,13,5
Correct,0.24454086209636,13,6
Correct,0.283862421477734,13,7
Correct,0.251226665847097,13,8
Correct,0.240797093493267,13,9
Correct,0.297844736982125,13,10
Correct,0.280132519684845,13,11
Correct,0.222144188341036,13,12
Correct,0.261115535490085,13,13
Correct,0.272617555533103,13,14
Correct,0.232021078943344,13,15
Correct,0.302732825446548,13,16
Correct,0.279781188573973,13,17
Correct,0.252284088261171,13,18
Correct,0.253740108834698,13,19
Correct,0.266681780805702,13,20
Correct,0.250320773760612,13,21
Correct,0.285824101497898,13,22
Correct,0.281906652384429,13,23
Correct,0.241563756226704,13,24
Correct,0.247515582213632,13,25
Correct,0.296412975765266,13,26
Correct,0.237892534221568,13,27
Correct,0.267271079154414,13,28
Correct,0.255789945313428,13,29
Correct,0.25948978094713,13,30
Correct,0.289352876132077,13,31
Correct,0.274526319481519,13,32
Correct,0.266102239590737,13,33
Correct,0.294314076294633,13,34
Correct,0.307080322196221,13,35
Correct,0.251721981272578,13,36
Correct,0.259898134719687,13,37
Correct,0.306649030084408,13,38
Correct,0.301870144566441,13,39
Correct,0.300095303336069,13,40
Correct,0.321978389085408,13,41
Correct,0.262736313645956,13,42
Correct,0.234490814573156,13,43
Correct,0.247452932370141,13,44
Correct,0.260709777604242,13,45
Correct,0.254452291794623,13,46
Correct,0.304198058546625,13,47
Correct,0.247548272247271,13,48
Correct,0.242555436967126,13,49
Correct,0.286136561857884,13,50
Correct,0.249913463249408,13,51
Correct,0.278107132668857,13,52
Correct,0.317114511193973,13,53
Correct,0.213847311349611,13,54
Correct,0.271361019667137,17,1
Correct,0.247985643731643,17,2
Correct,0.281412107775006,17,3
Correct,0.243022303120418,17,4
Correct,0.226930762155819,17,5
Correct,0.267425723210129,17,6
Correct,0.292438937447072,17,7
Correct,0.281694807945575,17,8
Correct,0.318226370346847,17,9
Correct,0.27880714270398,17,10
Correct,0.267715414947228,17,11
Correct,0.344825581668241,17,12
Correct,0.225875010233545,18,1
Correct,0.268430667378668,18,2
Correct,0.260732978227717,18,3
Correct,0.310966309280409,18,4
Correct,0.307511988374418,18,5
Correct,0.290070281374434,18,6
Correct,0.280151014985322,18,7
Correct,0.296149586995414,18,8
Correct,0.267256089098925,18,9
Correct,0.257624232065864,18,10
Correct,0.215766811644952,18,11
Correct,0.228498164000567,18,12
Correct,0.249098054974512,22,1
Correct,0.266515537080004,22,2
Correct,0.254418199664476,22,3
Correct,0.240436220585433,22,4
Correct,0.285009317434294,22,5
Correct,0.330018238640901,22,6
Correct,0.299308441364878,22,7
Correct,0.310514249454456,22,8
Correct,0.255594744951007,22,9
Correct,0.250870871971538,22,10
Correct,0.267497378813237,22,11
Correct,0.249606515959202,22,12
Correct,0.301893168388391,22,13
Correct,0.314329523866836,22,14
Correct,0.285344704310593,22,15
Correct,0.287183764055037,22,16
Correct,0.271514260202747,22,17
Correct,0.344645701962327,22,18
