Condition,PLV,Subject,Pair
Intra,0.0646432243013063,6,1
Intra,0.0620894564612743,6,2
Intra,0.0659395506000818,6,3
Intra,0.0689417182584575,6,4
Intra,0.0711615459848128,6,5
Intra,0.0661601366360769,6,6
Intra,0.0996697986290139,15,1
Intra,0.0797324302200308,15,2
Intra,0.0843320514885888,15,3
Intra,0.0826797135535718,15,4
Intra,0.0788822916113058,15,5
Intra,0.0955234856514408,20,1
Intra,0.0918998979575849,20,2
Intra,0.08088096841179,20,3
Intra,0.0716586390500842,20,4
Intra,0.0805460908755695,20,5
Intra,0.0922871838731956,20,6
Intra,0.100117374223664,20,7
Intra,0.0726446338989532,20,8
Intra,0.0868009651029114,20,9
Intra,0.0793565293676242,6,1
Intra,0.0751671878167369,6,2
Intra,0.0707472931521448,6,3
Intra,0.0890722784375301,18,1
Intra,0.0702058295255275,18,2
Intra,0.0981534787713704,18,3
Intra,0.0620387896020921,20,1
Intra,0.0562975635723735,20,2
Intra,0.0609579047771231,20,3
Intra,0.0714152395147431,6,1
Intra,0.0766030822554225,6,2
Intra,0.0803563101121296,6,3
Intra,0.0741442592511941,23,1
Intra,0.0914434839582957,3,1
Intra,0.0852726276634373,3,2
Intra,0.0651544841118698,6,1
Intra,0.0686752991615912,6,2
Intra,0.0667939580003591,6,3
Intra,0.077937839929566,6,4
Intra,0.0697841158324638,6,5
Intra,0.081716170345886,6,6
Intra,0.062300173401153,6,7
Intra,0.0639863662384819,6,8
Intra,0.0615889388582921,6,9
Intra,0.080754469647136,6,10
Intra,0.0636168020563091,6,11
Intra,0.0730030337536917,6,12
Intra,0.0745760132917394,6,13
Intra,0.0731155182126971,6,14
Intra,0.0700727069942989,6,15
Intra,0.0762634327622623,6,16
Intra,0.091706016340893,6,17
Intra,0.0942556841217509,6,18
Intra,0.0692740976169924,6,19
Intra,0.0814704594053995,6,20
Intra,0.0570909908092428,6,21
Intra,0.0787181089590771,6,22
Intra,0.0743017478506914,6,23
Intra,0.0863360467158166,6,24
Intra,0.0733999157251288,6,25
Intra,0.0742609001988985,6,26
Intra,0.0643356428160462,6,27
Intra,0.067056983031561,6,28
Intra,0.0665153648151356,6,29
Intra,0.0714447033022972,6,30
Intra,0.08136199555275,18,1
Intra,0.0914734969439893,18,2
Intra,0.0868972991661264,18,3
Intra,0.0888828992458105,18,4
Intra,0.0846041149235234,18,5
Intra,0.0812114614351577,18,6
Intra,0.0786179852680112,18,7
Intra,0.0796492504326794,18,8
Intra,0.111527480367542,18,9
Intra,0.0787245614448646,21,1
Intra,0.113546229848004,21,2
Intra,0.0833195226962498,23,1
Intra,0.0666599722353698,23,2
Intra,0.0704571102483411,23,3
Intra,0.0772693811935374,23,4
Intra,0.119108759387297,24,1
Intra,0.0586933122967968,24,2
Intra,0.151425524305352,24,3
Intra,0.0565776171775906,24,4
Intra,0.086431211216452,24,5
Intra,0.0600400289897173,24,6
Intra,0.138952684041774,24,7
Intra,0.0598577497203017,24,8
Intra,0.0919570031175228,24,9
Intra,0.076852877931498,24,10
Intra,0.0801329025242148,24,11
Intra,0.0641820098350974,24,12
Intra,0.0689020016076388,24,13
Intra,0.0607714967716087,24,14
Intra,0.0787333644592251,24,15
