Condition,PLV,Subject,Pair
Intra,0.026154033559497,6,1
Intra,0.0214385417764105,6,2
Intra,0.0236308795777646,6,3
Intra,0.0246499476801983,6,4
Intra,0.0249734671071445,6,5
Intra,0.0254118704365337,6,6
Intra,0.0313038826830948,15,1
Intra,0.0352129555663004,15,2
Intra,0.0420589127633036,15,3
Intra,0.0542940616295226,15,4
Intra,0.052821266957432,15,5
Intra,0.0347513287010752,20,1
Intra,0.0277528199563088,20,2
Intra,0.0262856555507466,20,3
Intra,0.030452031679292,20,4
Intra,0.0278665972007057,20,5
Intra,0.0233961927415818,20,6
Intra,0.0262256112076169,20,7
Intra,0.0241037754489716,20,8
Intra,0.0158295139213679,20,9
Intra,0.0213485829485855,6,1
Intra,0.0223180473996339,6,2
Intra,0.0267600086648371,6,3
Intra,0.0235777202877585,18,1
Intra,0.029012712392679,18,2
Intra,0.0249357031465504,18,3
Intra,0.0241215779902784,20,1
Intra,0.0200618642666966,20,2
Intra,0.0196113076970778,20,3
Intra,0.0258980120215386,6,1
Intra,0.027660850851497,6,2
Intra,0.025827465892864,6,3
Intra,0.0232667401774844,23,1
Intra,0.0266941286925413,3,1
Intra,0.0226391760126853,3,2
Intra,0.0238942962081673,6,1
Intra,0.0240895303804989,6,2
Intra,0.0278251299853206,6,3
Intra,0.0262455439932944,6,4
Intra,0.0282144262445962,6,5
Intra,0.0242368948655811,6,6
Intra,0.036328837643735,6,7
Intra,0.0392895918884962,6,8
Intra,0.0268545554484456,6,9
Intra,0.0313565198058039,6,10
Intra,0.0244771066441796,6,11
Intra,0.022811358731732,6,12
Intra,0.0228045394969592,6,13
Intra,0.0241973471280537,6,14
Intra,0.0224549816402833,6,15
Intra,0.0247832089773337,6,16
Intra,0.031154394227817,6,17
Intra,0.0302794319211464,6,18
Intra,0.025714760870903,6,19
Intra,0.022032719044194,6,20
Intra,0.0238845385685368,6,21
Intra,0.0243014465516584,6,22
Intra,0.0225656701817939,6,23
Intra,0.0273983249463771,6,24
Intra,0.0295481266390013,6,25
Intra,0.0186520327577657,6,26
Intra,0.0374075816997661,6,27
Intra,0.0362164456152487,6,28
Intra,0.0279796101441643,6,29
Intra,0.0244456452863222,6,30
Intra,0.0205741047208606,18,1
Intra,0.0264803295017705,18,2
Intra,0.0216841200963542,18,3
Intra,0.0250362608233255,18,4
Intra,0.0254646795696032,18,5
Intra,0.0302059100677591,18,6
Intra,0.0207755515534967,18,7
Intra,0.0217440533778227,18,8
Intra,0.0246443949016297,18,9
Intra,0.0211584046085152,21,1
Intra,0.0248478081814911,21,2
Intra,0.0240619149166327,23,1
Intra,0.023069543152344,23,2
Intra,0.0224125801009121,23,3
Intra,0.0234627797056487,23,4
Intra,0.0263057670610023,24,1
Intra,0.0198318950231849,24,2
Intra,0.0336157311271567,24,3
Intra,0.0241730202961858,24,4
Intra,0.0291724576050303,24,5
Intra,0.0216489502586971,24,6
Intra,0.0538965082375012,24,7
Intra,0.0249700632817858,24,8
Intra,0.043418636795744,24,9
Intra,0.023560877245379,24,10
Intra,0.0306975143122373,24,11
Intra,0.0269013394316641,24,12
Intra,0.0243476729071423,24,13
Intra,0.0229057337629134,24,14
Intra,0.0283521975352328,24,15
Intra,0.0245056079993023,24,16
Intra,0.0265796637586722,24,17
Intra,0.0236948468935595,24,18
Intra,0.0242910400806631,24,19
Intra,0.0205169664906837,24,20
Intra,0.0205538511975942,24,21
Intra,0.0252206272292845,24,22
Intra,0.0229732393299527,25,1
Intra,0.0259995582773652,25,2
Intra,0.02349227319114,25,3
Intra,0.0238630475677402,25,4
Intra,0.0241084551500851,25,5
Intra,0.0215922627303037,25,6
Intra,0.0250116168247788,25,7
Intra,0.02551772660373,25,8
Intra,0.0234604334576761,25,9
Intra,0.0244215114198173,25,10
Intra,0.0288826333219262,25,11
Intra,0.0237221187757291,25,12
Intra,0.0233274660263869,25,13
Intra,0.0250020633995625,25,14
Intra,0.0225862611253329,25,15
Intra,0.0254257398337655,25,16
Intra,0.0222735227417805,25,17
Intra,0.0267264019462851,25,18
Intra,0.0247344156294596,25,19
Intra,0.0227658595440665,25,20
Intra,0.023270709791345,25,21
Intra,0.0257298398318483,25,22
Intra,0.0261111693628199,25,23
Intra,0.0224739762539313,25,24
Intra,0.0266001413584487,25,25
Intra,0.0272064353084765,6,1
Intra,0.0309878613067117,6,2
Intra,0.0281164370754962,6,3
Intra,0.0213744965298226,6,4
Intra,0.0241280785485644,6,5
Intra,0.0283861300313848,6,6
Intra,0.0238251568801772,6,7
Intra,0.0293230576883533,6,8
Intra,0.0208160499953421,6,9
Intra,0.0235844083914455,10,1
Intra,0.0269831101518048,10,2
Intra,0.0247578958485805,10,3
Intra,0.0227845065780006,10,4
Intra,0.0283304372371836,10,5
Intra,0.0268089491782065,10,6
Intra,0.029078717465535,10,7
Intra,0.0271310503016403,20,1
Intra,0.0269103173099918,20,2
Intra,0.0192746572717102,20,3
Intra,0.0272413711570841,20,4
Intra,0.0192745519896892,20,5
Intra,0.0246790655431859,20,6
Intra,0.0201630535076759,25,1
Intra,0.023499413974743,25,2
Intra,0.0240381728704078,25,3
Intra,0.0251673661078285,25,4
Intra,0.0216584176849038,25,5
Intra,0.0252494758844555,3,1
Intra,0.0234036318470363,3,2
Intra,0.0356357756477793,3,3
Intra,0.0316871797423162,3,4
Intra,0.0276303555755571,3,5
Intra,0.0257174414913521,3,6
Intra,0.0243202258452021,3,7
Intra,0.0272149429705482,3,8
Intra,0.0224260646388937,3,9
Intra,0.0216256785119154,3,10
Intra,0.0258475479159998,3,11
Intra,0.0261156738041547,3,12
Intra,0.028389208049349,3,13
Intra,0.0272361300708207,3,14
Intra,0.0248827374680204,3,15
Intra,0.0223602349449589,3,16
Intra,0.0428522426923498,3,17
Intra,0.0249224677935228,3,18
Intra,0.0326948010271185,3,19
Intra,0.0243306728168989,3,20
Intra,0.0308827361705015,6,1
Intra,0.0158341830387244,6,2
Intra,0.0648719831985668,6,3
Intra,0.031301619082845,6,4
Intra,0.0281812444579711,6,5
Intra,0.0212730777140626,6,6
Intra,0.0263652961725289,6,7
Intra,0.0242636382188166,6,8
Intra,0.0243081100358607,6,9
Intra,0.0305513268751675,6,10
Intra,0.0240646039857533,6,11
Intra,0.0215704707635392,6,12
Intra,0.0265249783029392,6,13
Intra,0.0233263884230081,6,14
Intra,0.0240265284994467,6,15
Intra,0.0318647619518765,6,16
Intra,0.0255509313993868,6,17
