Condition,PLV,Subject,Pair
Recall,0.227119169096908,6,1
Recall,0.215657855806091,6,2
Recall,0.230006181964674,6,3
Recall,0.221566550754474,6,4
Recall,0.218872338370034,6,5
Recall,0.213473468814405,6,6
Recall,0.245334084818455,15,1
Recall,0.229074905667054,15,2
Recall,0.225301108952877,15,3
Recall,0.237086394893619,15,4
Recall,0.226843696614228,15,5
Recall,0.234608236161942,20,1
Recall,0.222153631486982,20,2
Recall,0.229789261141974,20,3
Recall,0.208260640414553,20,4
Recall,0.235417074075353,20,5
Recall,0.219460514771549,20,6
Recall,0.228794605569393,20,7
Recall,0.236069466122627,20,8
Recall,0.230112765047779,20,9
Recall,0.22340799039642,6,1
Recall,0.225304263078507,6,2
Recall,0.228083477931714,6,3
Recall,0.224607121506046,18,1
Recall,0.239482076112046,18,2
Recall,0.229771622156225,18,3
Recall,0.224280142370198,20,1
Recall,0.235498198458166,20,2
Recall,0.215560670943141,20,3
Recall,0.224165574507132,6,1
Recall,0.223577636736895,6,2
Recall,0.223041787612259,6,3
Recall,0.233366295152964,23,1
Recall,0.237301490491451,3,1
Recall,0.214706045707923,3,2
Recall,0.227352606396674,6,1
Recall,0.227828942118048,6,2
Recall,0.218385747584853,6,3
Recall,0.235550066332281,6,4
Recall,0.23265412473398,6,5
Recall,0.239431662238118,6,6
Recall,0.224260379240929,6,7
Recall,0.220588732805291,6,8
Recall,0.218512997741184,6,9
Recall,0.228968293826776,6,10
Recall,0.236204693818042,6,11
Recall,0.218493032502223,6,12
Recall,0.227409749582455,6,13
Recall,0.236074333914403,6,14
Recall,0.221553955351019,6,15
Recall,0.231401439644602,6,16
Recall,0.226752578902189,6,17
Recall,0.22735599070256,6,18
Recall,0.214736577339621,6,19
Recall,0.21791337826699,6,20
Recall,0.213148431670444,6,21
Recall,0.214725390471874,6,22
Recall,0.218037605266805,6,23
Recall,0.221587231432316,6,24
Recall,0.220000098469764,6,25
Recall,0.220738966852791,6,26
Recall,0.226547534151286,6,27
Recall,0.223281128740232,6,28
Recall,0.236201698803844,6,29
Recall,0.226433380999547,6,30
Recall,0.23497727116091,18,1
Recall,0.229057503549578,18,2
Recall,0.242867066739183,18,3
Recall,0.218781726675384,18,4
Recall,0.241107091884728,18,5
Recall,0.22951927033942,18,6
Recall,0.21640153997318,18,7
Recall,0.218664483262026,18,8
Recall,0.24478792771527,18,9
Recall,0.233299606710657,21,1
Recall,0.231643474615679,21,2
Recall,0.218159281210703,23,1
Recall,0.230323468937134,23,2
Recall,0.232251601555576,23,3
Recall,0.24048153145481,23,4
Recall,0.234278706608081,24,1
Recall,0.212832204863036,24,2
Recall,0.255211611166133,24,3
Recall,0.208568703200426,24,4
Recall,0.226787093379584,24,5
Recall,0.202966945966671,24,6
Recall,0.248980436384488,24,7
Recall,0.201358577188012,24,8
Recall,0.218830932923728,24,9
Recall,0.205978930983483,24,10
Recall,0.231197607739771,24,11
Recall,0.206002436188553,24,12
Recall,0.218294576319739,24,13
Recall,0.204696330419139,24,14
Recall,0.232415014828088,24,15
Recall,0.206775401563371,24,16
Recall,0.239070086784026,24,17
Recall,0.205631207868127,24,18
Recall,0.223878962513119,24,19
Recall,0.191840843467654,24,20
Recall,0.210071064650502,24,21
Recall,0.200894442513652,24,22
Recall,0.222081311573813,25,1
Recall,0.219166099233017,25,2
Recall,0.219617130633322,25,3
Recall,0.220571831609205,25,4
Recall,0.230474967091598,25,5
Recall,0.225898130971318,25,6
Recall,0.222390216276085,25,7
Recall,0.236261348707193,25,8
Recall,0.206460998736808,25,9
Recall,0.236688096143302,25,10
Recall,0.224167540051618,25,11
Recall,0.217997073840442,25,12
Recall,0.236748829435494,25,13
Recall,0.217701498225136,25,14
Recall,0.234364556059974,25,15
Recall,0.222375646078121,25,16
Recall,0.222529886385073,25,17
Recall,0.228718453582964,25,18
Recall,0.226523045841805,25,19
Recall,0.221346303914809,25,20
Recall,0.229012778387344,25,21
Recall,0.220499781184936,25,22
Recall,0.225114378242749,25,23
Recall,0.227095817075057,25,24
Recall,0.227418892628362,25,25
Recall,0.226226397458827,6,1
Recall,0.216622364854735,6,2
Recall,0.231589586817241,6,3
Recall,0.216745049395986,6,4
Recall,0.223258619225,6,5
Recall,0.232895501334029,6,6
Recall,0.220206039052007,6,7
Recall,0.224822948389408,6,8
Recall,0.223775961078201,6,9
Recall,0.231914864793285,10,1
Recall,0.21638275200478,10,2
Recall,0.225710563806922,10,3
Recall,0.304499863480521,10,4
Recall,0.228081870354575,10,5
Recall,0.22953104600666,10,6
Recall,0.26557657202653,10,7
Recall,0.209473915877898,20,1
Recall,0.229188645426862,20,2
Recall,0.198067339640129,20,3
Recall,0.219274623722579,20,4
Recall,0.253266311178988,20,5
Recall,0.240386839759217,20,6
Recall,0.224885699243078,25,1
Recall,0.225489217645199,25,2
Recall,0.226035105015518,25,3
Recall,0.222684792675731,25,4
Recall,0.22291135433708,25,5
Recall,0.24723477624417,3,1
Recall,0.237200616804798,3,2
Recall,0.243322378571431,3,3
Recall,0.242545030824159,3,4
Recall,0.219563278907345,3,5
Recall,0.235390681554868,3,6
Recall,0.226918605352186,3,7
Recall,0.229935749985176,3,8
Recall,0.219730081040835,3,9
Recall,0.231021556778977,3,10
Recall,0.222220888772525,3,11
Recall,0.234229957018247,3,12
Recall,0.217339335840043,3,13
Recall,0.225396074236781,3,14
Recall,0.213765864322885,3,15
Recall,0.219705510342824,3,16
Recall,0.228045221411939,3,17
Recall,0.206589972712678,3,18
Recall,0.217188085152761,3,19
Recall,0.225900777459635,3,20
Recall,0.218062750979052,6,1
Recall,0.219778750961853,6,2
Recall,0.246010333291352,6,3
Recall,0.217720268221526,6,4
Recall,0.229331319975219,6,5
Recall,0.22553868357851,6,6
Recall,0.217575774533921,6,7
Recall,0.227071815320819,6,8
Recall,0.200620181155649,6,9
Recall,0.222564118345586,6,10
Recall,0.221177886149906,6,11
Recall,0.221139045729152,6,12
Recall,0.219767857809836,6,13
Recall,0.220923056862011,6,14
Recall,0.22617454121402,6,15
Recall,0.209123622721225,6,16
Recall,0.22649198769161,6,17
Recall,0.216009649391673,6,18
Recall,0.223293629782106,6,19
Recall,0.198644051496636,6,20
Recall,0.229306034657483,6,21
Recall,0.241829268698308,6,22
Recall,0.227568095416182,6,23
Recall,0.233996547540624,6,24
Recall,0.219020701996537,6,25
Recall,0.218235693622283,6,26
Recall,0.21611964101708,6,27
Recall,0.223507661515865,6,28
Recall,0.23091260710097,6,29
Recall,0.222473971507358,6,30
Recall,0.260011732232585,8,1
Recall,0.26975708121165,8,2
Recall,0.236533137676951,8,3
Recall,0.240207539399576,8,4
Recall,0.256503621011997,8,5
Recall,0.229834796210797,8,6
Recall,0.233109548924581,8,7
Recall,0.237021449555872,8,8
Recall,0.240775352845478,9,1
Recall,0.243959436232142,9,2
Recall,0.216595193872054,10,1
Recall,0.2182299912214,10,2
Recall,0.216291191638412,10,3
Recall,0.227287045877413,10,4
Recall,0.222759769961066,10,5
Recall,0.215633208842807,10,6
Recall,0.222054093162141,10,7
Recall,0.226094619863009,10,8
Recall,0.22512000562763,10,9
Recall,0.22586481628447,10,10
Recall,0.223163785861433,10,11
Recall,0.232601094648561,10,12
Recall,0.229214833176316,10,13
Recall,0.221204613512288,10,14
Recall,0.214681702628226,10,15
Recall,0.219615259557295,10,16
Recall,0.217709345003231,10,17
Recall,0.208008907981595,10,18
Recall,0.231906862026833,10,19
Recall,0.217675372181198,10,20
Recall,0.222158166287148,10,21
Recall,0.430331616447173,10,22
Recall,0.402139019111367,10,23
Recall,0.35244033540958,10,24
Recall,0.36384667520081,10,25
Recall,0.269828870433535,10,26
Recall,0.27206816465835,10,27
Recall,0.367218853749681,10,28
Recall,0.235452291179086,10,29
Recall,0.238484606971808,10,30
Recall,0.229257987930619,10,31
Recall,0.22956602815724,10,32
Recall,0.221988098789941,10,33
Recall,0.226341303696021,10,34
Recall,0.241849529407232,10,35
Recall,0.228131285409711,10,36
Recall,0.232717940181793,10,37
Recall,0.234137092368811,10,38
Recall,0.226376404607128,10,39
Recall,0.226131974907519,10,40
Recall,0.233014507620173,10,41
Recall,0.243054903122875,10,42
Recall,0.339521584110867,10,43
Recall,0.347854639864758,10,44
Recall,0.320175706802271,10,45
Recall,0.296352616490861,10,46
Recall,0.263023791781553,10,47
Recall,0.237333902109919,10,48
Recall,0.290526007899039,10,49
Recall,0.22518146072504,11,1
Recall,0.231900466455763,11,2
Recall,0.240013554700143,11,3
Recall,0.251494772623633,11,4
Recall,0.273911098876624,11,5
Recall,0.244747337291535,12,1
Recall,0.220622659734999,12,2
Recall,0.22344304403343,12,3
Recall,0.232814566462563,12,4
Recall,0.234384599423218,12,5
Recall,0.228828259039228,12,6
Recall,0.212933122188285,12,7
Recall,0.223641759074424,12,8
Recall,0.224069674115852,12,9
Recall,0.240448398149583,12,10
Recall,0.230700887905329,12,11
Recall,0.231978727417318,12,12
Recall,0.232837497548143,12,13
Recall,0.226656658226381,12,14
Recall,0.233735392444234,12,15
Recall,0.220655467281143,12,16
Recall,0.242722925567621,12,17
Recall,0.225595020358086,12,18
Recall,0.234910167923258,12,19
Recall,0.227225605498805,12,20
Recall,0.229655986611176,12,21
Recall,0.255720546934898,13,1
Recall,0.24423694822306,13,2
Recall,0.219591357243951,13,3
Recall,0.220747871734493,13,4
Recall,0.226691235281704,13,5
Recall,0.225568621763858,13,6
Recall,0.254200430944579,13,7
Recall,0.290300687111934,13,8
Recall,0.239852266824221,13,9
Recall,0.234535478218627,13,10
Recall,0.220081213939853,13,11
Recall,0.228949662445571,13,12
Recall,0.252070004711776,13,13
Recall,0.276901730452016,13,14
Recall,0.24450632212097,13,15
Recall,0.247654800997848,13,16
Recall,0.232103169744015,13,17
Recall,0.23621322483709,13,18
Recall,0.236495690588985,13,19
Recall,0.26500389128223,13,20
Recall,0.227731608550571,13,21
Recall,0.223285501052874,13,22
Recall,0.224580914028161,13,23
Recall,0.22683748949467,13,24
Recall,0.302625547386242,13,25
Recall,0.361484198516397,13,26
Recall,0.255766956931993,13,27
Recall,0.242242613477823,13,28
Recall,0.234734454338642,13,29
Recall,0.24176030070584,13,30
Recall,0.311027818928846,13,31
Recall,0.338218507710928,13,32
Recall,0.258209820791331,13,33
Recall,0.244936582570888,13,34
Recall,0.238083808183279,13,35
Recall,0.23980339499111,13,36
Recall,0.249603261603297,13,37
Recall,0.261864260146398,13,38
Recall,0.240392385631072,13,39
Recall,0.235232557463133,13,40
Recall,0.233468712188076,13,41
Recall,0.243691472805574,13,42
Recall,0.277608514069574,13,43
Recall,0.296470481352648,13,44
Recall,0.255277748163867,13,45
Recall,0.258814772426822,13,46
Recall,0.236447302131433,13,47
Recall,0.262931688495116,13,48
Recall,0.320575226017253,13,49
Recall,0.379372734129667,13,50
Recall,0.267491244745878,13,51
Recall,0.29865438382964,13,52
Recall,0.261764985415425,13,53
Recall,0.248634637570695,13,54
Recall,0.227937632118067,17,1
Recall,0.220556874862983,17,2
Recall,0.219803986929968,17,3
