Condition,PLV,Subject,Pair
Recall,0.0818568660807634,6,1
Recall,0.0720504335593773,6,2
Recall,0.0745783570404886,6,3
Recall,0.0722333444395554,6,4
Recall,0.0754161668754816,6,5
Recall,0.0741933509518917,6,6
Recall,0.075251654587832,15,1
Recall,0.0753571462740868,15,2
Recall,0.0749303105424559,15,3
Recall,0.0810843860876233,15,4
Recall,0.0839613774152568,15,5
Recall,0.087325725233312,20,1
Recall,0.0879629222502014,20,2
Recall,0.0766028873214852,20,3
Recall,0.0796987563765547,20,4
Recall,0.0797640312994699,20,5
Recall,0.0770703073075775,20,6
Recall,0.0777695637399429,20,7
Recall,0.0731599054071868,20,8
Recall,0.0788612437063062,20,9
Recall,0.0706086773586507,6,1
Recall,0.0763643454748453,6,2
Recall,0.0739535640293998,6,3
Recall,0.068940105306695,18,1
Recall,0.0725937786466779,18,2
Recall,0.069795247509293,18,3
Recall,0.0719956874964862,20,1
Recall,0.0684646577635292,20,2
Recall,0.0725722429887664,20,3
Recall,0.0729394082264239,6,1
Recall,0.0776353557632004,6,2
Recall,0.0690408294251707,6,3
Recall,0.0672185625246474,23,1
Recall,0.0733391770827079,3,1
Recall,0.0710095012819689,3,2
Recall,0.0713791751724792,6,1
Recall,0.0749622516692947,6,2
Recall,0.0718935018970885,6,3
Recall,0.0717495130018119,6,4
Recall,0.0684283137659646,6,5
Recall,0.071464908648001,6,6
Recall,0.0786610096234497,6,7
Recall,0.0757945648885584,6,8
Recall,0.0784874776809864,6,9
Recall,0.0699677607183947,6,10
Recall,0.0748733044071187,6,11
Recall,0.0742775892242561,6,12
Recall,0.0691690781567041,6,13
Recall,0.0735288593966198,6,14
Recall,0.0678319076195941,6,15
Recall,0.0695123084430963,6,16
Recall,0.0712867395018757,6,17
Recall,0.07284780793167,6,18
Recall,0.0759172525789693,6,19
Recall,0.0702792995611359,6,20
Recall,0.0751750369375345,6,21
Recall,0.0740254063660254,6,22
Recall,0.0675612402133248,6,23
Recall,0.0747510382277549,6,24
Recall,0.0749040569790463,6,25
Recall,0.065304854403958,6,26
Recall,0.0766923316322372,6,27
Recall,0.0725860138320743,6,28
Recall,0.0715887918122171,6,29
Recall,0.0694101699155899,6,30
Recall,0.0841010070792066,18,1
Recall,0.0764930853995162,18,2
Recall,0.0706935582617223,18,3
Recall,0.0745205835538172,18,4
Recall,0.0713413967992006,18,5
Recall,0.0704535327729676,18,6
Recall,0.0754087321216799,18,7
Recall,0.067980810726082,18,8
Recall,0.070620658791404,18,9
Recall,0.0702120514333218,21,1
Recall,0.0727432748198899,21,2
Recall,0.0747477510336461,23,1
Recall,0.0726395652194343,23,2
Recall,0.0754448538183665,23,3
Recall,0.0734408424140748,23,4
Recall,0.073632808240847,24,1
Recall,0.0650396099633621,24,2
Recall,0.081113252856649,24,3
Recall,0.0731086808090521,24,4
Recall,0.0798846527626122,24,5
Recall,0.0699648821931504,24,6
Recall,0.0956420390727745,24,7
Recall,0.072749181425104,24,8
Recall,0.0853944335574524,24,9
Recall,0.0740376934591244,24,10
Recall,0.0808430136975325,24,11
Recall,0.0767859871348058,24,12
Recall,0.0806074080670346,24,13
Recall,0.077715267784233,24,14
Recall,0.0810870594375632,24,15
Recall,0.0771044197941707,24,16
Recall,0.0753060807365745,24,17
Recall,0.0715664091963976,24,18
Recall,0.075568928855232,24,19
Recall,0.0689025788790559,24,20
Recall,0.073095421943391,24,21
