Condition,PLV,Subject,Pair
Recall,0.293340533304236,6,1
Recall,0.307613260821926,6,2
Recall,0.274618041576677,6,3
Recall,0.290250189993314,6,4
Recall,0.29318589735299,6,5
Recall,0.284214275354427,6,6
Recall,0.251914761246448,15,1
Recall,0.246259358966951,15,2
Recall,0.245212486393388,15,3
Recall,0.258733909895944,15,4
Recall,0.265528116804619,15,5
Recall,0.310276932543491,20,1
Recall,0.28210782281474,20,2
Recall,0.293673813134009,20,3
Recall,0.265618277893436,20,4
Recall,0.304457365286324,20,5
Recall,0.28123170772406,20,6
Recall,0.246132167878441,20,7
Recall,0.292704400994552,20,8
Recall,0.285453898978886,20,9
Recall,0.339436148937332,6,1
Recall,0.308316235339451,6,2
Recall,0.293749815318336,6,3
Recall,0.320544804363592,18,1
Recall,0.285968240479939,18,2
Recall,0.288776816447674,18,3
Recall,0.22994261921841,20,1
Recall,0.229686309817982,20,2
Recall,0.228498179121792,20,3
Recall,0.252469634396388,6,1
Recall,0.260814234623151,6,2
Recall,0.266494600297404,6,3
Recall,0.254644129361251,23,1
Recall,0.251870804310766,3,1
Recall,0.262890383688372,3,2
Recall,0.307683000697145,6,1
Recall,0.271054417772788,6,2
Recall,0.305756192896145,6,3
Recall,0.301146567721703,6,4
Recall,0.305495963530138,6,5
Recall,0.328174273486978,6,6
Recall,0.261935850774509,6,7
Recall,0.262423535864326,6,8
Recall,0.306416645823681,6,9
Recall,0.295397515211453,6,10
Recall,0.275487621859579,6,11
Recall,0.256112939047104,6,12
Recall,0.292114441779306,6,13
Recall,0.281437146371206,6,14
Recall,0.275907825908996,6,15
Recall,0.281327403463179,6,16
Recall,0.240560686568682,6,17
Recall,0.240780716341438,6,18
Recall,0.287603384890945,6,19
Recall,0.273551630428783,6,20
Recall,0.275692294093921,6,21
Recall,0.265446139916014,6,22
Recall,0.280319035776784,6,23
Recall,0.287098972821473,6,24
Recall,0.271939937245236,6,25
Recall,0.293955374676807,6,26
Recall,0.255238222030397,6,27
Recall,0.251938661013616,6,28
Recall,0.285611510839609,6,29
Recall,0.260418174969119,6,30
Recall,0.344061317393802,18,1
Recall,0.242342755410612,18,2
Recall,0.165076432326626,18,3
Recall,0.27642621271799,18,4
Recall,0.29175820592446,18,5
Recall,0.22404193733374,18,6
Recall,0.31571100363305,18,7
Recall,0.266069788020436,18,8
Recall,0.199202858384742,18,9
Recall,0.259769012633711,21,1
Recall,0.273852946823573,21,2
Recall,0.227542782473483,23,1
Recall,0.241502240706421,23,2
Recall,0.233997168804447,23,3
Recall,0.241544017287688,23,4
Recall,0.291087069656045,24,1
Recall,0.250501859361844,24,2
Recall,0.408374696773045,24,3
Recall,0.259017107127186,24,4
Recall,0.298281790651422,24,5
Recall,0.257068862005444,24,6
Recall,0.376224317963075,24,7
Recall,0.259472941274953,24,8
Recall,0.287416646190241,24,9
Recall,0.243934184447559,24,10
Recall,0.319411847499607,24,11
Recall,0.265558455612709,24,12
Recall,0.339563716469603,24,13
Recall,0.266890595865127,24,14
Recall,0.251955553773626,24,15
Recall,0.255931518546835,24,16
Recall,0.293845610054469,24,17
Recall,0.242990484672709,24,18
Recall,0.251080155837571,24,19
Recall,0.238181703703642,24,20
Recall,0.274015486650867,24,21
Recall,0.259724551501754,24,22
Recall,0.258063310973998,25,1
Recall,0.242587621605938,25,2
Recall,0.243102921123419,25,3
Recall,0.253455269848613,25,4
Recall,0.251629548509179,25,5
Recall,0.25235249618915,25,6
Recall,0.257517538970223,25,7
Recall,0.249332849591443,25,8
Recall,0.252563400342652,25,9
Recall,0.250552087862174,25,10
Recall,0.286791901806792,25,11
Recall,0.243605314901586,25,12
Recall,0.251212136527397,25,13
Recall,0.246943653975797,25,14
Recall,0.253030850254614,25,15
Recall,0.270093012284662,25,16
Recall,0.251704521322204,25,17
Recall,0.2539003234854,25,18
Recall,0.255893002691173,25,19
Recall,0.262679630475989,25,20
Recall,0.255180135695935,25,21
Recall,0.241669028456307,25,22
Recall,0.237363146011955,25,23
Recall,0.251096213575961,25,24
Recall,0.246390363039253,25,25
Recall,0.282396635247975,6,1
Recall,0.265296882427009,6,2
Recall,0.290577508161015,6,3
Recall,0.268633428036717,6,4
Recall,0.260618499756097,6,5
Recall,0.280400373228735,6,6
Recall,0.267475046320516,6,7
Recall,0.248268797770657,6,8
Recall,0.255862509009312,6,9
Recall,0.271610494313614,10,1
Recall,0.228604733981815,10,2
Recall,0.263876061652966,10,3
Recall,0.292895596861508,10,4
Recall,0.247727582808351,10,5
Recall,0.251327954590131,10,6
Recall,0.275286510868564,10,7
Recall,0.283865701452306,20,1
Recall,0.30278339806904,20,2
Recall,0.320816406412863,20,3
Recall,0.327169455032988,20,4
Recall,0.300141272034075,20,5
Recall,0.324891120887058,20,6
Recall,0.270129656119722,25,1
Recall,0.257878418397934,25,2
Recall,0.264390831020846,25,3
Recall,0.25052908714047,25,4
Recall,0.256699317614766,25,5
Recall,0.247313862189263,3,1
Recall,0.246061881537934,3,2
Recall,0.261770843639877,3,3
Recall,0.264061975493272,3,4
Recall,0.260783500446621,3,5
Recall,0.254535400786455,3,6
Recall,0.25376114185236,3,7
Recall,0.264397706333334,3,8
Recall,0.248588082446095,3,9
Recall,0.263402532057126,3,10
Recall,0.25650570270286,3,11
Recall,0.265364562825834,3,12
Recall,0.281190450882015,3,13
