Condition,PLV,Subject,Pair
Intra,0.17765618448817,6,1
Intra,0.221746711259409,6,2
Intra,0.204265801278305,6,3
Intra,0.173695221470709,6,4
Intra,0.216686510023115,6,5
Intra,0.202912600961543,6,6
Intra,0.212802919984077,15,1
Intra,0.190146130028648,15,2
Intra,0.200548671261403,15,3
Intra,0.206345661774402,15,4
Intra,0.200136542058532,15,5
Intra,0.200219313575985,20,1
Intra,0.176075429848819,20,2
Intra,0.19568053486558,20,3
Intra,0.275837786579001,20,4
Intra,0.214031032223701,20,5
Intra,0.275057949780534,20,6
Intra,0.214903292778927,20,7
Intra,0.206256322633118,20,8
Intra,0.233457412408201,20,9
Intra,0.235527324947393,6,1
Intra,0.202003781509798,6,2
Intra,0.170164006108497,6,3
Intra,0.199278095687147,18,1
Intra,0.205491656189233,18,2
Intra,0.17709054358787,18,3
Intra,0.20748941926494,20,1
Intra,0.24243013931323,20,2
Intra,0.218217420172296,20,3
Intra,0.230711029036304,6,1
Intra,0.218685976940686,6,2
Intra,0.235929503947581,6,3
Intra,0.22840004323031,23,1
Intra,0.216553367322331,3,1
Intra,0.217685423852214,3,2
Intra,0.205002029553412,6,1
Intra,0.189861920442391,6,2
Intra,0.20362729217545,6,3
Intra,0.199774265200006,6,4
Intra,0.186539243788958,6,5
Intra,0.226059884377931,6,6
Intra,0.202694545976515,6,7
Intra,0.201199615231568,6,8
Intra,0.190072716665873,6,9
Intra,0.207534792426452,6,10
Intra,0.204412360792256,6,11
Intra,0.23764186084785,6,12
Intra,0.234703766816384,6,13
Intra,0.224443889018733,6,14
Intra,0.229723396469125,6,15
Intra,0.232016178213427,6,16
Intra,0.206014042331539,6,17
Intra,0.202374878418977,6,18
Intra,0.208006349044451,6,19
Intra,0.224144019690728,6,20
Intra,0.25286134495902,6,21
Intra,0.204924234386917,6,22
Intra,0.271769417025829,6,23
Intra,0.199685681764907,6,24
Intra,0.166134758948497,6,25
Intra,0.202526131708106,6,26
Intra,0.227071566371508,6,27
Intra,0.228346534128205,6,28
Intra,0.2102543777459,6,29
Intra,0.250958718873367,6,30
Intra,0.237207409792996,18,1
Intra,0.21562711571097,18,2
Intra,0.186020781240294,18,3
Intra,0.186635916641034,18,4
Intra,0.203290375750362,18,5
Intra,0.253764747722058,18,6
Intra,0.210394678335658,18,7
Intra,0.234116161300015,18,8
Intra,0.230173520285023,18,9
Intra,0.240173800283319,21,1
Intra,0.195780795624517,21,2
Intra,0.260688341332862,23,1
Intra,0.203399048534972,23,2
Intra,0.242538138472994,23,3
Intra,0.243573358662835,23,4
Intra,0.221264398554611,24,1
Intra,0.199994269073775,24,2
Intra,0.261774898059858,24,3
Intra,0.193132380403002,24,4
Intra,0.211731387619506,24,5
Intra,0.185331537818547,24,6
Intra,0.266780318323772,24,7
Intra,0.171193324658685,24,8
Intra,0.244206310207227,24,9
Intra,0.192854902515279,24,10
Intra,0.197992628762158,24,11
Intra,0.182855982531291,24,12
Intra,0.229199118324576,24,13
Intra,0.183176257762987,24,14
Intra,0.211606798076539,24,15
Intra,0.16474283251064,24,16
Intra,0.263226103841781,24,17
Intra,0.206177902662052,24,18
Intra,0.225231117822488,24,19
Intra,0.180378918977801,24,20
Intra,0.233460232664692,24,21
Intra,0.20293213867777,24,22
Intra,0.227015621140162,25,1
Intra,0.203542490196197,25,2
Intra,0.223031733762624,25,3
Intra,0.226256403065592,25,4
Intra,0.188617861683769,25,5
Intra,0.230490112259138,25,6
Intra,0.22604469944749,25,7
Intra,0.24753040077551,25,8
Intra,0.212808235889492,25,9
Intra,0.220826218772488,25,10
Intra,0.158452498506803,25,11
Intra,0.223076579060506,25,12
Intra,0.219381555139854,25,13
Intra,0.20200199762784,25,14
Intra,0.230233873481711,25,15
Intra,0.202637138581325,25,16
Intra,0.218051163135498,25,17
Intra,0.242338850841853,25,18
Intra,0.20378771954913,25,19
Intra,0.224168484315148,25,20
Intra,0.224729293455326,25,21
Intra,0.241661818725134,25,22
Intra,0.214095392099528,25,23
Intra,0.238973529716313,25,24
Intra,0.23605445246037,25,25
Intra,0.197300646983373,6,1
Intra,0.201923168270799,6,2
Intra,0.204671872488672,6,3
Intra,0.18987703029921,6,4
Intra,0.220858466071275,6,5
Intra,0.216338094868824,6,6
Intra,0.227819534740906,6,7
Intra,0.201188442698648,6,8
Intra,0.211115286367809,6,9
Intra,0.205268692877542,10,1
Intra,0.20302121479429,10,2
Intra,0.203239418690471,10,3
Intra,0.228175739072918,10,4
Intra,0.200149613109536,10,5
Intra,0.20776073566164,10,6
Intra,0.201495953762348,10,7
Intra,0.266953522708525,20,1
Intra,0.203077770692815,20,2
Intra,0.196847383929427,20,3
