Condition,PLV,Subject,Pair
Intra,0.0938051240962868,6,1
Intra,0.103488503858728,6,2
Intra,0.093868421119985,6,3
Intra,0.123552899620703,6,4
Intra,0.0990615498350788,6,5
Intra,0.100969413778581,6,6
Intra,0.123452449953934,15,1
Intra,0.129111919093258,15,2
Intra,0.118477996228565,15,3
Intra,0.112433655700406,15,4
Intra,0.120514848735363,15,5
Intra,0.123704661159166,20,1
Intra,0.108879410061984,20,2
Intra,0.098997392638,20,3
Intra,0.0993350292717474,20,4
Intra,0.098913791952843,20,5
Intra,0.113615013953407,20,6
Intra,0.101624011236903,20,7
Intra,0.102643765581892,20,8
Intra,0.0966171226977652,20,9
Intra,0.115312509053793,6,1
Intra,0.10830506882015,6,2
Intra,0.112493003299408,6,3
Intra,0.139253448794759,18,1
Intra,0.104584127354798,18,2
Intra,0.111336959030722,18,3
Intra,0.0970140947745466,20,1
Intra,0.116879487397007,20,2
Intra,0.141806199053808,20,3
Intra,0.11894862979227,6,1
Intra,0.105056274977543,6,2
Intra,0.118763724577231,6,3
Intra,0.111742690603663,23,1
Intra,0.0912251083921414,3,1
Intra,0.111600775632237,3,2
Intra,0.107703581850695,6,1
Intra,0.117374458232029,6,2
Intra,0.117485225088796,6,3
Intra,0.104433834449388,6,4
Intra,0.0947981251945317,6,5
Intra,0.10325991771102,6,6
Intra,0.114586630678142,6,7
Intra,0.104199597739249,6,8
Intra,0.111221201465112,6,9
Intra,0.0987054875764416,6,10
Intra,0.102879573664703,6,11
Intra,0.0844872009165775,6,12
Intra,0.110186004005795,6,13
Intra,0.0971609477882424,6,14
Intra,0.102489116003363,6,15
Intra,0.0977309011177464,6,16
Intra,0.0966431137037888,6,17
Intra,0.0862036392296979,6,18
Intra,0.110058150227319,6,19
Intra,0.0906385467051388,6,20
Intra,0.122967657618946,6,21
Intra,0.115878833348062,6,22
Intra,0.112853353990374,6,23
Intra,0.10339807493284,6,24
Intra,0.0963673318168364,6,25
Intra,0.118001010513309,6,26
Intra,0.120967543556934,6,27
Intra,0.116418067800783,6,28
Intra,0.109331614872064,6,29
Intra,0.0885633428140188,6,30
Intra,0.114730287563447,18,1
Intra,0.0920843579531545,18,2
Intra,0.110536275208804,18,3
Intra,0.0905975074215343,18,4
Intra,0.101407546156895,18,5
Intra,0.133805291948587,18,6
Intra,0.0943232892585378,18,7
Intra,0.104868362255308,18,8
Intra,0.142655478888506,18,9
Intra,0.0820240816800763,21,1
Intra,0.125420693527493,21,2
Intra,0.109346869244387,23,1
Intra,0.10125106976803,23,2
Intra,0.114408045550542,23,3
Intra,0.0999877300626071,23,4
Intra,0.123986203389667,24,1
Intra,0.109004778382249,24,2
Intra,0.157450250037653,24,3
Intra,0.107464130925748,24,4
Intra,0.12481621037313,24,5
Intra,0.10701867361841,24,6
Intra,0.151849676478491,24,7
Intra,0.11421912392112,24,8
Intra,0.122498129355339,24,9
Intra,0.114246837941386,24,10
Intra,0.112897026493575,24,11
Intra,0.120359213805704,24,12
Intra,0.104777737220447,24,13
Intra,0.108632015699886,24,14
Intra,0.105366345071331,24,15
Intra,0.0958237575969267,24,16
Intra,0.115803905367451,24,17
Intra,0.0997823023054194,24,18
Intra,0.115526461567713,24,19
Intra,0.102574589682322,24,20
Intra,0.127677893106898,24,21
Intra,0.112558235714349,24,22
Intra,0.126381044885996,25,1
Intra,0.0957462707045287,25,2
Intra,0.0941286397341534,25,3
Intra,0.114567584527797,25,4
Intra,0.115903434752138,25,5
Intra,0.126015561194353,25,6
Intra,0.104725359819078,25,7
Intra,0.10013177580555,25,8
Intra,0.104451158482988,25,9
Intra,0.115755350609747,25,10
Intra,0.124119594532462,25,11
Intra,0.0973645084181008,25,12
Intra,0.118117493189161,25,13
Intra,0.0871576582600917,25,14
Intra,0.0992389562483922,25,15
Intra,0.127832991007615,25,16
Intra,0.115198933494427,25,17
Intra,0.124766216231109,25,18
Intra,0.118504866791021,25,19
Intra,0.112858625114175,25,20
Intra,0.124473051183895,25,21
Intra,0.117182960146175,25,22
Intra,0.10531564701276,25,23
Intra,0.131137411469748,25,24
Intra,0.105208411866838,25,25
Intra,0.122464683443217,6,1
Intra,0.0951029930787237,6,2
Intra,0.0982627616878131,6,3
Intra,0.106034679482413,6,4
Intra,0.0979650641816889,6,5
Intra,0.115819179294721,6,6
Intra,0.109918286552416,6,7
Intra,0.0844691997812319,6,8
Intra,0.111890999588145,6,9
Intra,0.118758120324646,10,1
Intra,0.0986594850339599,10,2
Intra,0.097582813344359,10,3
Intra,0.107353404220061,10,4
Intra,0.113775503951147,10,5
Intra,0.116194271661464,10,6
Intra,0.113603827987348,10,7
Intra,0.12104864162819,20,1
Intra,0.108063573640624,20,2
Intra,0.15067285598964,20,3
Intra,0.153130615112775,20,4
Intra,0.157064553367904,20,5
Intra,0.161763379657921,20,6
Intra,0.102147200584053,25,1
Intra,0.123532000910152,25,2
Intra,0.0969588457920702,25,3
Intra,0.104931554954717,25,4
Intra,0.103238724423373,25,5
Intra,0.124297079596194,3,1
Intra,0.117515499329773,3,2
Intra,0.123120251791717,3,3
Intra,0.114735483957957,3,4
Intra,0.114575803889072,3,5
Intra,0.115263341042976,3,6
Intra,0.113989732377793,3,7
Intra,0.114983864776017,3,8
Intra,0.101944951010294,3,9
Intra,0.127177333229099,3,10
Intra,0.101377754720986,3,11
Intra,0.125916284411243,3,12
Intra,0.118965466522221,3,13
Intra,0.102177084477507,3,14
Intra,0.0988268515957547,3,15
Intra,0.112172010335825,3,16
Intra,0.101307970155545,3,17
Intra,0.113056824606426,3,18
Intra,0.118123411934927,3,19
Intra,0.107667974150294,3,20
Intra,0.120245499376503,6,1
Intra,0.102526551707873,6,2
Intra,0.107417943789066,6,3
Intra,0.0997039303578153,6,4
Intra,0.106299928823789,6,5
Intra,0.110752525432725,6,6
Intra,0.0986888123697736,6,7
Intra,0.097932761633567,6,8
Intra,0.107404707289078,6,9
Intra,0.110790507216617,6,10
Intra,0.102041039230965,6,11
Intra,0.0901652660134476,6,12
Intra,0.101065372798492,6,13
Intra,0.110356899725798,6,14
Intra,0.128582694531001,6,15
Intra,0.116910681368714,6,16
Intra,0.108157512250908,6,17
Intra,0.0998992340289363,6,18
Intra,0.0954769140344728,6,19
Intra,0.104304820770072,6,20
Intra,0.116849036455662,6,21
Intra,0.107051331560074,6,22
Intra,0.115746470614872,6,23
Intra,0.106440468347873,6,24
Intra,0.0987747185758784,6,25
Intra,0.0996778715561889,6,26
Intra,0.0985968780476082,6,27
Intra,0.0835009304043136,6,28
Intra,0.105853183212721,6,29
Intra,0.112328890898376,6,30
Intra,0.133795945691037,8,1
Intra,0.117237192607355,8,2
Intra,0.14068492028287,8,3
Intra,0.126802896178119,8,4
Intra,0.13028602801713,8,5
Intra,0.112345744658278,8,6
Intra,0.129072054719912,8,7
Intra,0.158719958262448,8,8
Intra,0.126347765345589,9,1
Intra,0.118064487778287,9,2
Intra,0.120509908102828,10,1
Intra,0.11500900466663,10,2
Intra,0.124485219934636,10,3
Intra,0.111220685572687,10,4
Intra,0.0956690117521874,10,5
Intra,0.113432662330451,10,6
Intra,0.113550022001152,10,7
Intra,0.111804065480389,10,8
Intra,0.120243945870977,10,9
Intra,0.120036781581404,10,10
Intra,0.116385000873806,10,11
Intra,0.134755055876968,10,12
Intra,0.105662053305283,10,13
Intra,0.120909816513447,10,14
Intra,0.112320407233576,10,15
Intra,0.111802753710237,10,16
Intra,0.119522530780421,10,17
Intra,0.125646314137253,10,18
Intra,0.12839703269263,10,19
Intra,0.112829486434841,10,20
Intra,0.129583840124886,10,21
Intra,0.111207443514618,10,22
Intra,0.1247388355541,10,23
Intra,0.122035800287997,10,24
Intra,0.105712856546296,10,25
Intra,0.103862068165875,10,26
Intra,0.142027123404228,10,27
Intra,0.108679863602351,10,28
Intra,0.11670365712958,10,29
Intra,0.112627788633635,10,30
Intra,0.103445159777269,10,31
Intra,0.114587599698415,10,32
Intra,0.110586419140473,10,33
Intra,0.110762596554403,10,34
Intra,0.124143247539854,10,35
Intra,0.10502299946868,10,36
Intra,0.118760767481129,10,37
Intra,0.107334213066896,10,38
Intra,0.110266677911642,10,39
Intra,0.112395891467624,10,40
Intra,0.106979473872201,10,41
Intra,0.122924812017564,10,42
Intra,0.130344535897028,10,43
Intra,0.1055941509594,10,44
Intra,0.0967342631177912,10,45
Intra,0.129050140792761,10,46
Intra,0.0995643825194205,10,47
Intra,0.102292696302199,10,48
Intra,0.103874896638852,10,49
Intra,0.0986676665401355,11,1
Intra,0.120123036130168,11,2
Intra,0.108279532020704,11,3
Intra,0.133050780433872,11,4
Intra,0.149713548901681,11,5
Intra,0.11892942085236,12,1
Intra,0.121913901625436,12,2
Intra,0.117718253741473,12,3
Intra,0.119166238809213,12,4
Intra,0.0902560409770631,12,5
Intra,0.0999217027710587,12,6
Intra,0.0872669984046535,12,7
Intra,0.123606186163608,12,8
Intra,0.135398323646913,12,9
Intra,0.103672943182682,12,10
Intra,0.103759703923106,12,11
Intra,0.105417395014146,12,12
Intra,0.105835440430051,12,13
Intra,0.085384889795512,12,14
Intra,0.107552498760704,12,15
Intra,0.131063346113421,12,16
Intra,0.104843568318101,12,17
Intra,0.120431300826121,12,18
Intra,0.0973046261419214,12,19
Intra,0.117786704745152,12,20
Intra,0.0921306649312709,12,21
Intra,0.108879573947395,13,1
Intra,0.110721812315597,13,2
Intra,0.0950909112722057,13,3
Intra,0.111379014518777,13,4
Intra,0.120063857819862,13,5
Intra,0.119949883296251,13,6
Intra,0.0946590014890069,13,7
Intra,0.102536732159096,13,8
Intra,0.122874060683198,13,9
Intra,0.113837554059996,13,10
Intra,0.121413923651871,13,11
Intra,0.113674522820337,13,12
Intra,0.108646897061589,13,13
Intra,0.110927680570592,13,14
Intra,0.0982340292306689,13,15
Intra,0.0994238735256336,13,16
Intra,0.106478249740377,13,17
Intra,0.103740046231632,13,18
Intra,0.113485600826222,13,19
Intra,0.127674805018814,13,20
Intra,0.127091777049781,13,21
Intra,0.116057116431724,13,22
Intra,0.103924063045578,13,23
Intra,0.126016858318434,13,24
Intra,0.103212146203168,13,25
Intra,0.134867240308849,13,26
Intra,0.103264991994645,13,27
Intra,0.126233516426287,13,28
Intra,0.10855072905517,13,29
Intra,0.145192839954521,13,30
Intra,0.117291021473476,13,31
Intra,0.116798820832583,13,32
Intra,0.107761730220171,13,33
Intra,0.134212191176151,13,34
Intra,0.125356222344921,13,35
Intra,0.130494686311526,13,36
Intra,0.109423554192474,13,37
Intra,0.11157176250851,13,38
Intra,0.105281197068412,13,39
Intra,0.0957958704291647,13,40
Intra,0.109336018869502,13,41
Intra,0.121105877921061,13,42
Intra,0.104271974533308,13,43
Intra,0.107851361088445,13,44
Intra,0.117629992031865,13,45
Intra,0.106920410381665,13,46
Intra,0.113896004076093,13,47
Intra,0.106927104832558,13,48
Intra,0.104087931145595,13,49
Intra,0.105337749051621,13,50
Intra,0.123584376629431,13,51
Intra,0.1225519815965,13,52
Intra,0.122521562475101,13,53
Intra,0.136285984654808,13,54
Intra,0.118220203566703,17,1
Intra,0.111653787210795,17,2
Intra,0.131187681809147,17,3
Intra,0.113120155504063,17,4
Intra,0.092065933281659,17,5
Intra,0.113868569581176,17,6
Intra,0.0999595251028558,17,7
Intra,0.127718933003173,17,8
Intra,0.112994576546445,17,9
Intra,0.127657501383146,17,10
Intra,0.128712718646247,17,11
Intra,0.100738403165769,17,12
Intra,0.104237587746992,18,1
Intra,0.105471783444258,18,2
Intra,0.129305568304789,18,3
Intra,0.108597238994299,18,4
Intra,0.114340137159091,18,5
Intra,0.120082379237471,18,6
Intra,0.112670373139512,18,7
Intra,0.0804177118132786,18,8
Intra,0.0948454335699542,18,9
Intra,0.0933774060492331,18,10
Intra,0.105427876851577,18,11
Intra,0.0842338209422844,18,12
Intra,0.096091265141008,22,1
Intra,0.110871745885497,22,2
Intra,0.104833818815847,22,3
Intra,0.107945071528411,22,4
Intra,0.109494986101963,22,5
Intra,0.101047897773572,22,6
Intra,0.0941297915348523,22,7
Intra,0.109593607702263,22,8
Intra,0.106772004837389,22,9
Intra,0.104288544355229,22,10
Intra,0.106009733588555,22,11
Intra,0.0899134839946211,22,12
Intra,0.123661320743279,22,13
Intra,0.114892288533839,22,14
Intra,0.111058376725722,22,15
Intra,0.109371321145323,22,16
Intra,0.131105543691072,22,17
Intra,0.119082831708604,22,18
Intra,0.112515103845513,22,19
Intra,0.10468721648181,22,20
Intra,0.10852767774893,23,1
Intra,0.0819886004789619,23,2
Intra,0.107479943164702,23,3
Intra,0.129606543879132,23,4
Intra,0.112884458427471,24,1
Intra,0.112725138299808,24,2
Intra,0.114929193004996,24,3
Intra,0.10579574262515,24,4
Intra,0.110112665163369,24,5
Intra,0.113014517980828,24,6
Intra,0.106302867067771,24,7
Intra,0.116960755333459,24,8
Intra,0.114034872586867,24,9
Intra,0.104275999512224,24,10
Intra,0.113524328218067,24,11
Intra,0.109804327143377,24,12
Intra,0.102838769504347,24,13
Intra,0.109650863318423,24,14
Intra,0.108012513949952,24,15
Intra,0.125863108590161,24,16
Intra,0.106228165455481,24,17
Intra,0.106210944473825,24,18
Intra,0.0809447475912167,24,19
Intra,0.0983488262590724,24,20
Intra,0.0961603700168851,24,21
Intra,0.0934201443138236,24,22
Intra,0.137611556693974,24,23
Intra,0.128879622690981,24,24
Intra,0.109611607252979,24,25
Intra,0.100939725797977,24,26
Intra,0.114209433645474,24,27
Intra,0.10355599179679,24,28
Intra,0.0995974237539977,24,29
