Condition,PLV,Subject,Pair
Intra,0.219846462074302,6,1
Intra,0.214835591757739,6,2
Intra,0.190241179691361,6,3
Intra,0.220022405190912,6,4
Intra,0.226727674478642,6,5
Intra,0.212969110462152,6,6
Intra,0.22645419948949,15,1
Intra,0.200530424939402,15,2
Intra,0.215595082222988,15,3
Intra,0.237972757876244,15,4
Intra,0.215799131604286,15,5
Intra,0.220954211373197,20,1
Intra,0.15991212956414,20,2
Intra,0.217245885472041,20,3
Intra,0.202636585271186,20,4
Intra,0.196664885642886,20,5
Intra,0.150024013863179,20,6
Intra,0.222428852309089,20,7
Intra,0.203771553699501,20,8
Intra,0.19799692867791,20,9
Intra,0.174563904517393,6,1
Intra,0.202754333923144,6,2
Intra,0.246245740268441,6,3
Intra,0.273998625767758,18,1
Intra,0.227312676579752,18,2
Intra,0.2533021586707,18,3
Intra,0.301892897661141,20,1
Intra,0.214458621752312,20,2
Intra,0.252439543377794,20,3
Intra,0.220987478535982,6,1
Intra,0.214226181364737,6,2
Intra,0.209574512400358,6,3
Intra,0.216523609459423,23,1
Intra,0.216581709602246,3,1
Intra,0.199069495661482,3,2
Intra,0.185761487986564,6,1
Intra,0.239938724345611,6,2
Intra,0.225193273789939,6,3
Intra,0.211164200276386,6,4
Intra,0.18264057360555,6,5
Intra,0.211681132355946,6,6
Intra,0.194928216400248,6,7
Intra,0.191105267581747,6,8
Intra,0.235643707434292,6,9
Intra,0.222930261841002,6,10
Intra,0.198688667042402,6,11
Intra,0.214589321114271,6,12
Intra,0.193276889347849,6,13
Intra,0.209821034126361,6,14
Intra,0.209876829921834,6,15
Intra,0.201100317156272,6,16
Intra,0.20612632793731,6,17
Intra,0.211935613762594,6,18
Intra,0.194589972051644,6,19
Intra,0.230636506607089,6,20
Intra,0.184272204563942,6,21
Intra,0.233812520866232,6,22
Intra,0.231034187500941,6,23
Intra,0.205485081096606,6,24
Intra,0.247490459086283,6,25
Intra,0.206368248494187,6,26
Intra,0.194132173974733,6,27
Intra,0.20184012695081,6,28
Intra,0.222061782147155,6,29
Intra,0.199212546844887,6,30
Intra,0.21975933061744,18,1
Intra,0.256661960150861,18,2
Intra,0.204414535603738,18,3
Intra,0.208470695369834,18,4
Intra,0.187716283877728,18,5
Intra,0.242991993999068,18,6
Intra,0.25469979427873,18,7
Intra,0.22292990286288,18,8
Intra,0.152073423468884,18,9
Intra,0.193762551370695,21,1
Intra,0.214378138847611,21,2
Intra,0.185701709031059,23,1
Intra,0.181401102948896,23,2
Intra,0.221279523224183,23,3
Intra,0.224463743137552,23,4
Intra,0.248694626972947,24,1
