Condition,PLV,Subject,Pair
Intra,0.0760574083089692,6,1
Intra,0.0775406554223389,6,2
Intra,0.0851352901197383,20,1
Intra,0.0712110332681046,20,2
Intra,0.0709111402770273,20,3
Intra,0.0771370466067736,6,1
Intra,0.0692091915339996,6,2
Intra,0.0626901203851416,6,1
Intra,0.0647608040353868,6,2
Intra,0.0652015302690687,6,3
Intra,0.0587470783712808,6,4
Intra,0.0518316272185036,6,5
Intra,0.0662436401554895,6,6
Intra,0.0544114392151725,6,7
Intra,0.0512289705695804,6,8
Intra,0.0675971136008643,6,9
Intra,0.0646848289377582,6,10
Intra,0.0857454990221701,6,11
Intra,0.0640967178377992,6,12
Intra,0.0691112156631423,6,13
Intra,0.065131950586315,6,14
Intra,0.0714719332247238,6,15
Intra,0.050192337071313,6,16
Intra,0.0629369205120169,6,17
Intra,0.0555460806644116,6,18
Intra,0.0683716262136899,6,19
Intra,0.071992472027672,6,20
Intra,0.050844894239448,27,1
Intra,0.0629410797100257,27,2
Intra,0.0661303588989763,27,3
Intra,0.0841938031005379,5,1
Intra,0.0850557267440787,5,2
Intra,0.117066063137332,5,3
Intra,0.0958859596006536,5,4
Intra,0.074782432481721,5,5
Intra,0.128227237813444,5,6
Intra,0.0764941388986864,6,1
Intra,0.0534132778700497,6,2
Intra,0.0937476791194485,6,3
Intra,0.0628061543807777,6,4
Intra,0.0650388214949664,6,5
Intra,0.0737946229487685,6,6
Intra,0.0697821548672167,20,1
Intra,0.0981889367064447,20,2
Intra,0.0642724467677879,20,3
Intra,0.0805767836980551,20,4
Intra,0.0876165829871677,20,5
Intra,0.0751409329545274,20,6
Intra,0.0726868393624122,26,1
Intra,0.0623738915086178,26,2
Intra,0.0643833800135034,26,3
Intra,0.0750437436915308,26,4
Intra,0.0783128364251836,26,5
Intra,0.0836165148715604,26,6
Intra,0.0681853235791914,26,7
Intra,0.0750642048451757,26,8
Intra,0.0714747063261727,26,9
Intra,0.0761494234690442,26,10
Intra,0.0711457712743762,26,11
Intra,0.0740903362172523,26,12
Intra,0.0768313331837211,26,13
Intra,0.0617593534954858,26,14
Intra,0.0700189562195464,26,15
Intra,0.0660897696091677,26,16
Intra,0.0682398969911117,26,17
Intra,0.0652833029807449,26,18
Intra,0.0774075005713862,26,19
Intra,0.0689952760564096,26,20
Intra,0.0595137090297533,26,21
Intra,0.0705609144195611,26,22
Intra,0.0535504971403432,6,1
Intra,0.0588075111840177,6,2
Intra,0.073840530644752,6,3
Intra,0.0860402476694151,6,4
Intra,0.0760855509678733,6,5
Intra,0.0772669424006125,6,6
Intra,0.0806463628985308,6,7
Intra,0.0774787345586517,6,8
Intra,0.068030560003093,6,9
Intra,0.0593393405177719,6,10
Intra,0.052318760161386,6,11
Intra,0.0593882933540918,6,12
Intra,0.0814669905415369,6,13
Intra,0.0589329606102205,6,14
Intra,0.0683679553484033,6,15
Intra,0.0626706056576029,6,16
Intra,0.0719324796454776,6,17
Intra,0.0691155185176047,6,18
Intra,0.0714023513979703,6,19
Intra,0.0711739315818911,6,20
Intra,0.0785185233374186,5,1
Intra,0.06327370613426,5,2
Intra,0.0768868545323716,5,3
Intra,0.0752913976989043,5,4
Intra,0.079086646466589,5,5
Intra,0.0678939135246836,5,6
Intra,0.0813462291905096,5,7
Intra,0.079991240595757,5,8
Intra,0.0661947516987442,5,9
Intra,0.0497497229185487,5,10
Intra,0.0769934502903876,5,11
Intra,0.0837669515615375,5,12
Intra,0.0773928979654529,5,13
Intra,0.0846287099153248,5,14
Intra,0.0683627388280565,5,15
Intra,0.0638019426424146,5,16
Intra,0.0725835936054756,5,17
Intra,0.0556372336696028,5,18
Intra,0.0922784084271283,5,19
Intra,0.0798742303473877,5,20
Intra,0.0854775499418237,5,21
Intra,0.055085698226223,26,1
Intra,0.0702976886128688,26,2
Intra,0.0720204278505896,26,3
Intra,0.079176788687379,26,4
Intra,0.0759104214388639,2,1
Intra,0.0694894739584816,2,2
Intra,0.0655291621113626,6,1
Intra,0.0664120504171163,6,1
Intra,0.0749012338985699,6,2
Intra,0.0712868363580842,6,3
Intra,0.071436185590612,6,4
Intra,0.0592225257990914,6,5
Intra,0.0659268109169141,6,6
Intra,0.0556215374080787,6,7
Intra,0.0507034889976382,6,8
Intra,0.0767156712651552,6,9
Intra,0.0656294468607088,6,10
Intra,0.074096928032886,18,1
Intra,0.06487089718977,18,2
Intra,0.0448824687400548,18,3
Intra,0.0835109454191506,2,1
Intra,0.0732923005826308,2,2
Intra,0.0602150833984484,6,1
Intra,0.0585312066141874,6,2
Intra,0.0689913630508194,6,3
Intra,0.0664816692750681,20,1
Intra,0.0679035337610249,20,2
Intra,0.0713829237381826,6,1
Intra,0.063560357351424,6,2
Intra,0.0601760009254024,6,3
Intra,0.0611326279932852,6,4
Intra,0.0783104816899007,6,5
Intra,0.0699908237350485,6,6
Intra,0.073940073755022,6,7
Intra,0.0631567537574515,6,8
Intra,0.0647572490351303,6,9
Intra,0.0717576349301313,6,10
Intra,0.0788982003612283,18,1
Intra,0.0762377670457396,18,2
Intra,0.0761077680189984,18,3
Intra,0.0685837533532321,18,4
Intra,0.0688923736375141,2,1
Intra,0.0793146519161003,2,2
Intra,0.0544981820071675,2,3
Intra,0.0655988748848019,2,4
Intra,0.0538295723178018,6,1
Intra,0.0709044134362135,6,2
Intra,0.0648355454786684,6,3
Intra,0.0711542105666422,6,4
Intra,0.0618681451113214,6,5
Intra,0.0724320060149274,6,6
Intra,0.0639986608462246,6,7
Intra,0.0719899991443433,6,8
