Condition,PLV,Subject,Pair
Intra,0.24619590259337,6,1
Intra,0.293396885300502,6,2
Intra,0.23860017098761,20,1
Intra,0.234192658757798,20,2
Intra,0.163404583795451,20,3
Intra,0.263821136403453,6,1
Intra,0.248938001445525,6,2
Intra,0.237675044064543,6,1
Intra,0.263218056964939,6,2
Intra,0.25564031547089,6,3
Intra,0.230388434572915,6,4
Intra,0.273681848118998,6,5
Intra,0.280937645259531,6,6
Intra,0.232481571017966,6,7
Intra,0.228453689027569,6,8
Intra,0.214613181224869,6,9
Intra,0.306802452045922,6,10
Intra,0.262970094878277,6,11
Intra,0.30367495958184,6,12
Intra,0.222504903694501,6,13
Intra,0.235270217036616,6,14
Intra,0.238812324733914,6,15
Intra,0.270217325263172,6,16
Intra,0.279887363811852,6,17
Intra,0.280363622167157,6,18
Intra,0.264912853985982,6,19
Intra,0.296785165571448,6,20
Intra,0.233050372804204,27,1
Intra,0.23404831583958,27,2
Intra,0.236573390709783,27,3
Intra,0.250360286089734,5,1
Intra,0.274400878535421,5,2
Intra,0.336451998857297,5,3
Intra,0.281014622183369,5,4
Intra,0.279854715797367,5,5
Intra,0.258849547410507,5,6
Intra,0.183457220326959,6,1
Intra,0.238919894360013,6,2
Intra,0.242928361089927,6,3
Intra,0.252501609846358,6,4
Intra,0.274734389879829,6,5
Intra,0.235981681282183,6,6
Intra,0.283949713874945,20,1
Intra,0.248205766793005,20,2
Intra,0.520541109442347,20,3
Intra,0.430673304430051,20,4
Intra,0.39422865525224,20,5
Intra,0.481796729050665,20,6
Intra,0.224833208021794,26,1
Intra,0.23137761120725,26,2
Intra,0.238106846907212,26,3
Intra,0.240990888383882,26,4
Intra,0.234784342011836,26,5
Intra,0.234789214647047,26,6
Intra,0.227347755554069,26,7
Intra,0.220271905120713,26,8
Intra,0.191332475717519,26,9
Intra,0.229699906487561,26,10
Intra,0.254233978708468,26,11
Intra,0.380065804079081,26,12
Intra,0.219416235066554,26,13
Intra,0.349120081993736,26,14
Intra,0.377518733716492,26,15
Intra,0.248083674165058,26,16
Intra,0.247194089375486,26,17
Intra,0.270544307727981,26,18
Intra,0.372729220959496,26,19
Intra,0.242226443999956,26,20
Intra,0.28782017346202,26,21
Intra,0.276485288699003,26,22
Intra,0.19635560571319,6,1
Intra,0.212183136689215,6,2
Intra,0.253851372523247,6,3
Intra,0.266344588547123,6,4
Intra,0.248775357356564,6,5
Intra,0.252251157302668,6,6
Intra,0.251715628887372,6,7
Intra,0.226193891842484,6,8
Intra,0.248496843870727,6,9
Intra,0.273795213946688,6,10
Intra,0.281988684529123,6,11
Intra,0.27252761047987,6,12
Intra,0.265283183255204,6,13
Intra,0.294457063846801,6,14
Intra,0.276284132827579,6,15
Intra,0.249381729872042,6,16
Intra,0.25077058065704,6,17
Intra,0.205477175386601,6,18
Intra,0.279306398945353,6,19
Intra,0.272667128806282,6,20
Intra,0.298666373110561,5,1
Intra,0.259994068543542,5,2
Intra,0.317011718200608,5,3
Intra,0.310873076235577,5,4
Intra,0.25639619227724,5,5
Intra,0.285347710180275,5,6
Intra,0.257864434302771,5,7
Intra,0.349512890674977,5,8
Intra,0.34836218937561,5,9
Intra,0.284656862221711,5,10
Intra,0.352978610232813,5,11
Intra,0.299715815900876,5,12
Intra,0.277855070804498,5,13
Intra,0.291735343904618,5,14
Intra,0.288172281020639,5,15
Intra,0.245893999764584,5,16
Intra,0.269305210977657,5,17
Intra,0.236227446337934,5,18
Intra,0.282141077296248,5,19
Intra,0.223077434292324,5,20
Intra,0.248372230485338,5,21
Intra,0.196499873943254,26,1
Intra,0.244607246973235,26,2
Intra,0.363423434336835,26,3
Intra,0.35514548166352,26,4
Intra,0.241584043213421,2,1
Intra,0.220186126662151,2,2
Intra,0.279923050728602,6,1
Intra,0.31748055273076,6,1
Intra,0.328968875452036,6,2
Intra,0.312765750411613,6,3
Intra,0.30111839149785,6,4
Intra,0.298448578662644,6,5
Intra,0.313892915825291,6,6
Intra,0.248150459094651,6,7
Intra,0.259796828360927,6,8
Intra,0.333440696292551,6,9
Intra,0.221895537510816,6,10
Intra,0.220034971577612,18,1
Intra,0.323921896000012,18,2
Intra,0.231666533680114,18,3
Intra,0.255372558466551,2,1
Intra,0.387125315183228,2,2
Intra,0.269479643051206,6,1
Intra,0.214284324617387,6,2
Intra,0.25010186478403,6,3
Intra,0.219710220779727,20,1
Intra,0.240531114990316,20,2
Intra,0.233452353091179,6,1
Intra,0.278519258815298,6,2
Intra,0.242343834843988,6,3
Intra,0.269274341422624,6,4
Intra,0.341418171269462,6,5
Intra,0.308970920678097,6,6
Intra,0.297450210430672,6,7
Intra,0.309159842316051,6,8
Intra,0.305632469190724,6,9
Intra,0.284694902381735,6,10
Intra,0.242250116810376,18,1
Intra,0.257146967236548,18,2
Intra,0.255876525063591,18,3
Intra,0.215004240057243,18,4
Intra,0.240308866012126,2,1
Intra,0.220478934272507,2,2
Intra,0.272407639328222,2,3
Intra,0.385818075434859,2,4
Intra,0.256173034408326,6,1
Intra,0.276023039013491,6,2
Intra,0.273424138579371,6,3
Intra,0.275724399689431,6,4
Intra,0.260683915729447,6,5
Intra,0.270738136408754,6,6
Intra,0.234005765439421,6,7
Intra,0.24909709431308,6,8
Intra,0.238935249833121,6,9
Intra,0.259977326679283,6,10
Intra,0.204612412311959,23,1
Intra,0.24858681229687,23,2
Intra,0.25224523713812,23,3
Intra,0.282634699668207,23,4
Intra,0.306856952767103,2,1
Intra,0.278476411210465,6,1
Intra,0.257388855710556,6,2
Intra,0.272315820038277,6,3
Intra,0.279753280274753,4,1
Intra,0.286726367250048,4,2
Intra,0.242195397726143,4,3
Intra,0.281820338350621,4,4
Intra,0.26890758430946,4,5
Intra,0.286544146921059,4,6
Intra,0.257461912113174,4,7
Intra,0.286235592067231,4,8
Intra,0.238300178533065,4,9
Intra,0.326576005117809,4,10
Intra,0.206861163364803,6,1
Intra,0.247016704990183,6,2
Intra,0.320644666149009,6,3
Intra,0.279227403008687,6,4
Intra,0.284871282686776,6,5
Intra,0.279447547366652,6,6
Intra,0.3068532198238,6,7
Intra,0.286865967953865,6,8
Intra,0.233920253871027,6,9
Intra,0.229539918558018,6,10
Intra,0.279184096441579,23,1
Intra,0.267497430802227,23,2
Intra,0.210804129324371,23,3
Intra,0.291076177926397,23,4
Intra,0.261218577579403,2,1
Intra,0.238161552310716,2,2
Intra,0.263481175327925,4,1
Intra,0.25284818652978,4,2
Intra,0.257636894231253,4,3
Intra,0.232932861941931,4,4
Intra,0.248365968786702,4,5
Intra,0.282220812508344,4,6
Intra,0.22457287906839,4,7
Intra,0.256317453607256,4,8
Intra,0.269345998459213,4,9
Intra,0.245853268695913,4,10
Intra,0.252790082089917,4,11
Intra,0.258960312528321,4,12
Intra,0.236882718837061,4,13
Intra,0.273084996565658,4,14
Intra,0.293644560212654,4,15
Intra,0.23735237039871,23,1
Intra,0.239038320639029,6,1
Intra,0.290494786120038,6,2
Intra,0.225627073635898,6,3
Intra,0.21704453731254,6,4
Intra,0.192287518598584,6,5
Intra,0.253124630603368,6,6
Intra,0.266107134127567,6,7
Intra,0.226352719385343,6,8
Intra,0.326434521038863,6,9
Intra,0.250513135029889,6,10
Intra,0.264310142192358,6,11
Intra,0.237908451210891,6,12
Intra,0.237590258600834,6,13
Intra,0.234286056948815,6,14
Intra,0.371229341167079,6,15
Intra,0.223321125409557,6,16
Intra,0.237857335043265,6,17
