Condition,GammaAmp,Subject,Pair
Intra,-0.0129760419655791,6,1
Intra,-0.00244412816145934,6,2
Intra,0.0229160956569199,6,3
Intra,0.000404324300496895,6,4
Intra,0.00805941390428931,6,5
Intra,-0.0260717436291555,6,6
Intra,0.00150178254790096,15,1
Intra,0.000893409957065145,15,2
Intra,-0.00733597887969177,15,3
Intra,-0.0188960875515217,15,4
Intra,0.00114993642642314,15,5
Intra,-0.00534775182650753,20,1
Intra,-0.00144792503965998,20,2
Intra,0.0133719792629521,20,3
Intra,-0.0146135550567957,20,4
Intra,0.0230085670878226,20,5
Intra,0.0549201371209203,20,6
Intra,0.0275906454980342,20,7
Intra,-0.00829255804202122,20,8
Intra,-0.0210655686046763,20,9
Intra,-0.00465337000215042,6,1
Intra,-0.00241732878736571,6,2
Intra,0.0010918329903779,6,3
Intra,0.00113962212781801,18,1
Intra,0.0243652792841532,18,2
Intra,-0.0035942592069993,18,3
Intra,0.0125520261679653,20,1
Intra,-0.00530919552966293,20,2
Intra,-0.0187058764495129,20,3
Intra,0.0173214338606859,6,1
Intra,0.0166420691865692,6,2
Intra,-0.00163001419168511,6,3
Intra,-0.0159651165001497,23,1
Intra,0.00943220494136093,3,1
Intra,0.000736901897106157,3,2
Intra,-0.000529924570636869,6,1
Intra,-0.0184277330703514,6,2
Intra,0.00272752621351747,6,3
Intra,-0.00427222034709527,6,4
Intra,0.00165348060139463,6,5
Intra,0.0109311630542186,6,6
Intra,0.00809328150135015,6,7
Intra,0.0141488586292303,6,8
Intra,-0.0100095223026709,6,9
Intra,-0.00361442277766076,6,10
Intra,0.0256013313736094,6,11
Intra,0.00581976761009666,6,12
Intra,-0.00520612482031701,6,13
Intra,-0.00621191255469252,6,14
Intra,0.0102547576655882,6,15
Intra,0.00789523842848664,6,16
Intra,-0.00528697122363774,6,17
Intra,-0.00488106872212316,6,18
Intra,0.0103057248047985,6,19
Intra,0.0221808281267573,6,20
Intra,-0.00443157645642164,6,21
Intra,4.71264201341375e-05,6,22
Intra,0.0344666584721155,6,23
Intra,0.00448375823963327,6,24
Intra,-0.0129017508251705,6,25
Intra,-0.0253287673281764,6,26
Intra,0.00234976316446621,6,27
Intra,-0.00388995991906241,6,28
Intra,0.0114270336246889,6,29
Intra,0.013249674325875,6,30
Intra,-0.0332997621350741,18,1
Intra,-0.0207800885125965,18,2
Intra,0.0205377432521352,18,3
Intra,-0.00626232837914245,18,4
Intra,-0.0059258557250825,18,5
Intra,0.00768836664579275,18,6
Intra,-0.00573518298657235,18,7
Intra,-0.00552902486561508,18,8
Intra,0.00205323878671603,18,9
Intra,-0.010921454657894,21,1
Intra,-0.0098913668258404,21,2
Intra,-0.000619236804878809,23,1
Intra,0.0015291474773847,23,2
Intra,-0.0121313665005495,23,3
Intra,-0.006672468630206,23,4
Intra,-0.0194554482933269,24,1
Intra,0.0127472350262831,24,2
Intra,-0.0416469230571515,24,3
Intra,-8.88921270667883e-05,24,4
Intra,0.0060367300483603,24,5
Intra,0.00706783216612228,24,6
Intra,0.0191531954962089,24,7
Intra,0.00635611091199995,24,8
Intra,0.00195236143857971,24,9
Intra,0.00598527465371605,24,10
Intra,0.00672612200952577,24,11
Intra,-0.0219767819357494,24,12
Intra,-0.0226144005746811,24,13
Intra,-0.0292657701973462,24,14
Intra,-0.00695435981493416,24,15
Intra,0.00799202056658599,24,16
Intra,0.0550462227760305,24,17
Intra,0.00553708861394208,24,18
Intra,-0.0174777899666564,24,19
Intra,-0.00197075074034667,24,20
Intra,-0.0263325624725664,24,21
Intra,-0.0098654447543772,24,22
Intra,0.0344400896662896,25,1
Intra,0.0157929744279902,25,2
Intra,0.0327288973033076,25,3
Intra,-0.00834175873013218,25,4
Intra,0.0585769274112195,25,5
Intra,0.00793127906815049,25,6
Intra,0.0381070081895588,25,7
Intra,0.0190842844199815,25,8
Intra,0.00753041002903413,25,9
Intra,0.0450548387042921,25,10
Intra,0.00490199861792042,25,11
Intra,0.02945167581283,25,12
Intra,0.0280188488308248,25,13
Intra,0.0330420819181152,25,14
Intra,0.0149082901775564,25,15
Intra,-0.0363890688036272,25,16
Intra,0.00735006085168338,25,17
Intra,-0.0346280081328057,25,18
Intra,-0.00565815242103035,25,19
Intra,-0.0664144304281378,25,20
Intra,0.0229266570478242,25,21
Intra,-0.00184219557217348,25,22
Intra,-0.0236334467632398,25,23
Intra,-0.0205807184939395,25,24
Intra,0.0284665160615661,25,25
Intra,-0.00584993464912515,6,1
Intra,0.00951308607050254,6,2
Intra,0.0088147589191391,6,3
Intra,-0.0156402575286213,6,4
Intra,-0.00932982980002185,6,5
Intra,0.0066165584838008,6,6
Intra,0.0123391484608794,6,7
Intra,0.0110398692201476,6,8
Intra,0.0242860062069053,6,9
Intra,0.00906029254288202,10,1
Intra,0.0259023613681687,10,2
Intra,-0.0129885305048206,10,3
Intra,0.00878774431035344,10,4
Intra,0.0099319918827534,10,5
Intra,0.00683798151895677,10,6
Intra,-0.0035916606326475,10,7
Intra,-0.0236639612553543,20,1
Intra,-0.0155919742482513,20,2
Intra,0.0147915676560001,20,3
Intra,-0.0276959556500765,20,4
Intra,-0.0341688458511172,20,5
Intra,-0.00695571936018266,20,6
Intra,-0.0074161238504528,25,1
Intra,-0.00774162287955877,25,2
Intra,-0.0372675127721672,25,3
Intra,0.0268823423390971,25,4
Intra,-0.00698061861666105,25,5
Intra,0.0163542131415116,3,1
Intra,-0.00946077335990114,3,2
Intra,0.014688452502859,3,3
Intra,0.0014682760891978,3,4
Intra,0.0100531671500538,3,5
Intra,0.0043598982053362,3,6
Intra,0.0355722867877219,3,7
Intra,0.00310197630131975,3,8
