Condition,GammaAmp,Subject,Pair
Intra,0.290296626591769,6,1
Intra,0.295517153048307,6,2
Intra,0.297755342284575,6,3
Intra,0.266342061995,6,4
Intra,0.25094070138284,6,5
Intra,0.291330693845362,6,6
Intra,0.249730029419257,15,1
Intra,0.243646834294053,15,2
Intra,0.216322450510523,15,3
Intra,0.228392293863577,15,4
Intra,0.222554756683453,15,5
Intra,0.292440546370963,20,1
Intra,0.270047140179456,20,2
Intra,0.278209713544069,20,3
Intra,0.267092565353139,20,4
Intra,0.347627586387336,20,5
Intra,0.254122638425111,20,6
Intra,0.293211255267859,20,7
Intra,0.308146328666491,20,8
Intra,0.252445656478275,20,9
Intra,0.315855959828692,6,1
Intra,0.302659610650196,6,2
Intra,0.331460330947619,6,3
Intra,0.327380586418271,18,1
Intra,0.320574680632812,18,2
Intra,0.336957742070283,18,3
Intra,0.34820589849421,20,1
Intra,0.269721422183665,20,2
Intra,0.319476300632461,20,3
Intra,0.347110297545868,6,1
Intra,0.298858363983457,6,2
Intra,0.270946986869457,6,3
Intra,0.0983330955003501,23,1
Intra,0.137124816173843,3,1
Intra,0.175954157191449,3,2
Intra,0.305645117697037,6,1
Intra,0.311444025532444,6,2
Intra,0.276218563559722,6,3
Intra,0.34425287657095,6,4
Intra,0.276535061524704,6,5
Intra,0.283782144732006,6,6
Intra,0.246748615791666,6,7
Intra,0.255752830099016,6,8
Intra,0.288117365948565,6,9
Intra,0.232942725529809,6,10
Intra,0.287633918865895,6,11
Intra,0.276197654782875,6,12
Intra,0.23937961732906,6,13
Intra,0.308442473055317,6,14
Intra,0.234068859900341,6,15
Intra,0.25754125777384,6,16
Intra,0.262144069274257,6,17
Intra,0.262084895069415,6,18
Intra,0.298372806468839,6,19
Intra,0.215199689226174,6,20
Intra,0.335737581818628,6,21
Intra,0.281055173256306,6,22
Intra,0.260282117198704,6,23
Intra,0.280313929167988,6,24
Intra,0.291200257585035,6,25
Intra,0.327882829814013,6,26
Intra,0.240339564728102,6,27
Intra,0.245632633948007,6,28
Intra,0.314086011600782,6,29
Intra,0.225726661502074,6,30
Intra,0.183144024100828,18,1
Intra,0.300252306888969,18,2
Intra,0.278349512841386,18,3
Intra,0.208074132569911,18,4
Intra,0.230628014963614,18,5
Intra,0.28088551536775,18,6
Intra,0.257374947456176,18,7
Intra,0.230923072568555,18,8
Intra,0.275865437438891,18,9
Intra,0.238810012995718,21,1
Intra,0.215290416721461,21,2
Intra,0.298115024864667,23,1
Intra,0.287714420134763,23,2
Intra,0.273142066550516,23,3
Intra,0.337395677915258,23,4
Intra,0.162701422626556,24,1
Intra,0.105152251673023,24,2
Intra,0.17968162589884,24,3
Intra,0.118324956967551,24,4
Intra,0.159088741964451,24,5
Intra,0.130829982623438,24,6
Intra,0.160582953548823,24,7
Intra,0.15174276316759,24,8
Intra,0.201842676819745,24,9
Intra,0.103425529366437,24,10
Intra,0.198088683063681,24,11
Intra,0.103735340644456,24,12
Intra,0.208242368035586,24,13
Intra,0.103765713588663,24,14
Intra,0.240200539818654,24,15
Intra,0.122141610069606,24,16
Intra,0.253302538053157,24,17
Intra,0.116103451044525,24,18
Intra,0.155490358778316,24,19
Intra,0.102184186857934,24,20
Intra,0.179536064126154,24,21
Intra,0.14518136207584,24,22
Intra,0.291459438839205,25,1
Intra,0.32378395190173,25,2
Intra,0.255990010659548,25,3
Intra,0.311862890336357,25,4
Intra,0.29681606871142,25,5
Intra,0.30470778491011,25,6
Intra,0.332542905739089,25,7
Intra,0.30151426633374,25,8
Intra,0.324949952805642,25,9
Intra,0.344871555778064,25,10
Intra,0.284326880179941,25,11
Intra,0.29614675850855,25,12
Intra,0.280745131675194,25,13
