Condition,PLV,Subject,Pair
Intra,0.126523437115119,1,1
Intra,0.140916877747023,1,2
Intra,0.136421909632615,1,3
Inter,0.165095988345858,6,1
Inter,0.156271091961888,6,2
Inter,0.185823376780151,6,3
Inter,0.146574255309779,6,4
Inter,0.190666740134739,7,1
Inter,0.221997230627639,7,2
Inter,0.190358945790501,8,1
Inter,0.163260091345625,8,2
Inter,0.166609235497214,8,3
Inter,0.157887663225157,8,4
Inter,0.189854484706869,8,5
Inter,0.149494457432375,8,6
Inter,0.167945535287014,8,7
Inter,0.295749548221572,1,1
Inter,0.190454176346252,1,2
Inter,0.19912794623438,1,3
Inter,0.187049168228234,2,1
Inter,0.258629140871404,3,1
Inter,0.210152271514737,3,2
Inter,0.197533734712752,4,1
Inter,0.196561000582623,4,2
Inter,0.184335676510838,4,3
Inter,0.177590227454899,4,4
Inter,0.253459198254131,4,5
Inter,0.196257023239916,4,6
Inter,0.207750924334586,4,7
Inter,0.21395842597216,5,1
Inter,0.198644902897568,5,2
Inter,0.473607558236664,7,1
Inter,0.159424369967461,8,1
Inter,0.150600193460996,1,1
Inter,0.17181289911111,1,2
Inter,0.165729845908552,1,3
Inter,0.181766686613881,5,1
Inter,0.159692740793205,5,2
Inter,0.158229208986202,5,3
Inter,0.148231637531947,5,4
Inter,0.168091759715344,5,5
Inter,0.176830384837788,5,6
Inter,0.165231485336009,5,7
Inter,0.151347905027543,5,8
Inter,0.176584263350129,7,1
Inter,0.157856286506751,7,2
Inter,0.156869748880493,7,3
Inter,0.164358141760066,8,1
Inter,0.175701008122443,8,2
Inter,0.172730513027157,8,3
Inter,0.159914547869729,8,4
Inter,0.160918476019141,8,5
Inter,0.15406722280564,1,1
Inter,0.180969539950614,1,2
Inter,0.1871932819437,1,3
Inter,0.176173691566733,4,1
Inter,0.189406615933032,4,2
Inter,0.170681309882004,4,3
Inter,0.172557111286823,4,4
Inter,0.159740931405226,4,5
Inter,0.189448265651314,4,6
Inter,0.195744025282714,4,7
Inter,0.165780193983205,4,8
Inter,0.172693117425807,4,9
Inter,0.174196068963112,4,10
Inter,0.181997004479594,4,11
