Condition,PLV,Subject,Pair
Intra,0.297118678050789,1,1
Intra,0.270907332016601,1,2
Intra,0.41896696412551,1,3
Inter,0.383795915646449,6,1
Inter,0.370767591476138,6,2
Inter,0.35655011535524,6,3
Inter,0.275498992858911,6,4
Inter,0.316353917543971,7,1
Inter,0.350469389885982,7,2
Inter,0.393805012626684,8,1
Inter,0.3430266263785,8,2
Inter,0.361311306369201,8,3
Inter,0.377637668361441,8,4
Inter,0.390725908521596,8,5
Inter,0.365284033963383,8,6
Inter,0.33260292601578,8,7
Inter,0.558376037245506,1,1
Inter,0.419216511672575,1,2
Inter,0.304582506935582,1,3
Inter,0.308033362397155,2,1
Inter,0.339165709429035,3,1
Inter,0.347507227725648,3,2
Inter,0.357238435208226,4,1
Inter,0.368104975081922,4,2
Inter,0.368500068453977,4,3
Inter,0.362112598425596,4,4
Inter,0.343924110549888,4,5
Inter,0.371447526715785,4,6
Inter,0.331318941153685,4,7
Inter,0.373134347906296,5,1
Inter,0.414848260671727,5,2
Inter,0.487390663058099,7,1
Inter,0.369328673595862,8,1
Inter,0.396246141101638,1,1
Inter,0.399654002672761,1,2
Inter,0.342199849567427,1,3
Inter,0.358443773098311,5,1
Inter,0.343306106464633,5,2
Inter,0.298390392183877,5,3
Inter,0.319026951739396,5,4
Inter,0.32340059487143,5,5
Inter,0.365161798710199,5,6
Inter,0.326778352634862,5,7
Inter,0.317474579174213,5,8
Inter,0.339653288335983,7,1
Inter,0.339324638862421,7,2
Inter,0.319964377855059,7,3
Inter,0.370372896482306,8,1
Inter,0.380503817591956,8,2
Inter,0.395415608126849,8,3
Inter,0.35303942077598,8,4
Inter,0.363411983468706,8,5
Inter,0.415096784446462,1,1
Inter,0.375287996857106,1,2
Inter,0.363372926703039,1,3
Inter,0.399315898771076,4,1
Inter,0.366937995410708,4,2
Inter,0.301566870985591,4,3
Inter,0.335392714750278,4,4
Inter,0.3535239232291,4,5
Inter,0.365140414111421,4,6
Inter,0.347969229929291,4,7
Inter,0.366892339849338,4,8
Inter,0.34395500580986,4,9
Inter,0.349406431505035,4,10
Inter,0.372966697501978,4,11
Inter,0.3375789975413,4,12
Inter,0.348146017103466,4,13
Inter,0.368383436459036,4,14
Inter,0.357229182032144,4,15
Inter,0.378494291606868,4,16
Inter,0.329186784316297,4,17
Inter,0.368126028082386,4,18
Inter,0.33749865309553,4,19
Inter,0.356055212393085,4,20
Inter,0.352238036949866,4,21
Inter,0.39601084315818,4,22
Inter,0.394149254750473,4,23
Inter,0.360437956376934,4,24
Inter,0.368394763396971,4,25
Inter,0.354897248817584,4,26
Inter,0.373220561571803,4,27
Inter,0.39413908800373,4,28
Inter,0.32851776720189,4,29
Inter,0.340269657686285,4,30
Inter,0.350839364795376,4,31
Inter,0.306689468134929,4,32
Inter,0.345294074031143,4,33
Inter,0.358484180479035,4,34
Inter,0.355746389115376,4,35
Inter,0.349386529405879,4,36
Inter,0.367105858971524,4,37
Inter,0.307017314487721,4,38
Inter,0.343965080438174,4,39
Inter,0.296479253762655,4,40
Inter,0.349088858240254,4,41
Inter,0.333842238744604,4,42
Inter,0.345278048445221,4,43
Inter,0.367395309825905,4,44
Inter,0.338375008839445,4,45
Inter,0.340754374440934,4,46
Inter,0.329027048690026,4,47
Inter,0.33522609264443,4,48
Inter,0.346305491295149,4,49
Inter,0.316683709965723,5,1
Inter,0.333141477429924,5,2
Inter,0.339158449168922,6,1
Inter,0.372711246783356,6,2
Inter,0.419387735773343,6,3
Inter,0.434756579409493,6,4
Inter,0.329146245425,6,5
Inter,0.230374402892212,6,6
Inter,0.31772968866386,7,1
Inter,0.327456387445165,7,2
Inter,0.365978640949459,7,3
Inter,0.323919047315589,7,4
Inter,0.334375238674327,8,1
Inter,0.335257473546328,8,2
Inter,0.315188448660743,8,3
Inter,0.368152568646053,8,4
Inter,0.308619124420322,8,5
Inter,0.380569770541783,8,6
Inter,0.331162084341628,8,7
Inter,0.290818968303212,8,8
Inter,0.411873263698132,1,1
Inter,0.461791873856213,1,2
Inter,0.435467641917404,1,3
Inter,0.39554193583595,1,4
Inter,0.457120626564648,1,5
Inter,0.384985381776281,1,6
Inter,0.413614694762478,1,7
Inter,0.45013914032535,1,8
Inter,0.370788334042,1,9
Inter,0.407416309939725,1,10
Inter,0.45707061881828,1,11
Inter,0.400613108725506,1,12
Inter,0.347240432352001,4,1
Inter,0.31748291438677,4,2
Inter,0.363099378393937,4,3
Inter,0.321827406074891,4,4
Inter,0.313880519625073,4,5
Inter,0.318265462244885,4,6
Inter,0.331478567086361,4,7
Inter,0.309726323779959,4,8
Inter,0.321035599842168,4,9
Inter,0.328494967735569,4,10
Inter,0.324751335905185,4,11
Inter,0.311175246590814,4,12
Inter,0.315938450645639,4,13
Inter,0.342074187920185,4,14
Inter,0.272010929966043,5,1
Inter,0.329054024310813,5,2
Inter,0.324045263336255,6,1
Inter,0.323410549820636,6,2
Inter,0.348957469748853,7,1
Inter,0.300278982437309,7,2
Inter,0.351648148278318,8,1
Inter,0.358815327080301,8,2
Inter,0.448976873169053,1,1
Inter,0.509571105803211,1,2
Inter,0.310938815128272,1,3
Inter,0.490023582924116,1,4
Inter,0.442915116616396,1,5
Inter,0.374050984767047,1,6
Inter,0.302593591036386,2,1
Inter,0.326868762590564,2,2
Inter,0.355371694864063,2,3
Inter,0.361267590372872,2,4
Inter,0.312799882963638,2,5
Inter,0.309732207084212,4,1
Inter,0.309169069828987,4,2
Inter,0.310216014976341,4,3
Inter,0.315646254031,4,4
Inter,0.302624951469922,4,5
Inter,0.348719645637456,4,6
Inter,0.296737148449462,4,7
Inter,0.336936515984012,4,8
Inter,0.3542413213802,4,9
Inter,0.363270993129339,4,10
Inter,0.385641110396475,4,11
Inter,0.371680988161498,4,12
Inter,0.337969716953037,4,13
Inter,0.352818221031714,4,14
Inter,0.374048286862031,4,15
Inter,0.352192558762553,4,16
Inter,0.374349891042767,4,17
Inter,0.379792179248871,4,18
Inter,0.344256924653455,4,19
Inter,0.321457772512383,4,20
Inter,0.344842427830979,4,21
Inter,0.360313488382637,4,22
Inter,0.360814222155746,4,23
Inter,0.372775158842179,4,24
Inter,0.352328730287618,4,25
Inter,0.342510214462188,4,26
Inter,0.366757326091659,4,27
Inter,0.369620969167374,4,28
Inter,0.332932944441417,5,1
Inter,0.404429129765746,5,2
Inter,0.340019496712052,5,3
Inter,0.344851948506078,5,4
Inter,0.366872801142035,5,5
Inter,0.354464910692583,5,6
Inter,0.332078553650242,5,7
Inter,0.320890862804874,5,8
Inter,0.364203251861884,5,9
Inter,0.35765483998712,5,10
Inter,0.33643586568875,5,11
Inter,0.350404175249278,5,12
Inter,0.413255829499596,5,13
Inter,0.324490016260976,5,14
Inter,0.33455653280556,6,1
Inter,0.489776792972873,6,2
Inter,0.326184901685062,6,3
Inter,0.297992227604167,6,4
Inter,0.351692616345122,6,5
Inter,0.355983888114368,6,6
Inter,0.322196610750652,6,7
Inter,0.330635378157723,6,8
Inter,0.511117160501562,6,9
Inter,0.215389900224136,6,10
Inter,0.387383898232676,6,11
Inter,0.307567974061301,6,12
Inter,0.355703217161016,6,13
Inter,0.361162103852288,6,14
Inter,0.393785296409874,6,15
Inter,0.348269185958704,6,16
Inter,0.460404738916784,6,17
Inter,0.286209075544766,6,18
Inter,0.235175994713491,6,19
Inter,0.411040737301075,6,20
Inter,0.344409235149776,6,21
Inter,0.3262078869448,6,22
Inter,0.328279195077739,7,1
Inter,0.323937649896008,7,2
Inter,0.324059179313967,7,3
Inter,0.349057102817423,8,1
Inter,0.326659092106247,8,2
Inter,0.333111267690424,8,3
Inter,0.322803056972967,8,4
Inter,0.330877705632925,8,5
Inter,0.357220769902563,8,6
Inter,0.357561071182031,8,7
Inter,0.317573400054822,8,8
Inter,0.371989727603143,8,9
Inter,0.340825702556916,8,10
Inter,0.314067055552161,8,11
