Condition,PLV,Subject,Pair
Intra,0.17246771339964,1,1
Intra,0.149120672547044,1,2
Intra,0.169108786132974,1,3
Intra,0.188482974220371,1,4
Intra,0.163388135109995,1,5
Intra,0.144123903132177,1,6
Intra,0.163434691202166,1,7
Intra,0.188581099693411,1,8
Intra,0.132597589596177,1,9
Intra,0.150109667642828,1,10
Intra,0.150140220827334,1,11
Intra,0.170870248491916,1,12
Intra,0.14537559941339,2,1
Intra,0.159097175232068,2,2
Intra,0.151852926645071,2,3
Intra,0.150126250056164,2,4
Intra,0.153584038464351,2,5
Intra,0.160290361983672,2,6
Intra,0.169157286909432,2,7
Intra,0.155496917661335,2,8
Intra,0.153467129518564,2,9
Intra,0.162609230364314,2,10
Intra,0.172820407234638,3,1
Intra,0.168624300690209,3,2
Intra,0.154732927874344,3,3
Intra,0.194087249974874,3,4
Intra,0.178359306592329,3,5
Intra,0.188419434418788,3,6
Intra,0.181328782079654,3,7
Intra,0.169433561594881,3,8
Intra,0.177344215447701,3,9
Intra,0.170100724321792,3,10
Intra,0.183538501325937,3,11
Intra,0.151098824042414,3,12
Intra,0.166764212608691,3,13
Intra,0.175858528802775,3,14
Intra,0.208676697819508,3,15
Intra,0.192586914400022,3,16
Intra,0.185840791167886,3,17
Intra,0.195486872934232,3,18
Intra,0.164183708626335,3,19
Intra,0.170750746595294,3,20
Intra,0.175196479031461,3,21
Intra,0.205669204992749,3,22
Intra,0.16611071318936,3,23
Intra,0.181905132240035,3,24
Intra,0.187661580194754,3,25
Intra,0.174090548178532,3,26
Intra,0.19647458669438,3,27
Intra,0.186945273503102,3,28
Intra,0.167901099427749,3,29
Intra,0.144473396978531,3,30
Intra,0.15584236353385,3,31
Intra,0.180552590420436,3,32
Intra,0.176653882382474,3,33
Intra,0.173685821420023,3,34
Intra,0.195920415174237,3,35
Intra,0.173125517108412,4,1
Intra,0.170076534582643,4,2
Intra,0.169848637801645,4,3
Intra,0.150864825069754,4,4
Intra,0.156425090585134,4,5
Intra,0.165888015578103,4,6
Intra,0.185629567611529,5,1
Intra,0.161264232082142,6,1
Intra,0.174398991265346,6,2
Intra,0.16650150142258,6,3
Intra,0.17004609780529,6,4
Intra,0.174464257174588,6,5
Intra,0.153240216954817,6,6
Intra,0.17183224186118,6,7
Intra,0.157415761322612,6,8
Intra,0.185975710443312,6,9
Intra,0.187045595371847,6,10
Inter,0.180298398332928,16,1
Inter,0.156593859831606,16,2
Inter,0.241327417344182,16,3
Inter,0.178909128874495,16,4
Inter,0.204426313225776,19,1
Inter,0.276337198455022,19,2
Inter,0.175694795679923,21,1
Inter,0.171702427912069,21,2
Inter,0.161746943814681,21,3
Inter,0.180523188740179,21,4
Inter,0.173078180197868,21,5
Inter,0.189106028170743,21,6
Inter,0.188871764173307,21,7
Inter,0.185834966582792,1,1
Inter,0.412697217690068,1,2
Inter,0.188754764921407,1,3
Inter,0.300326935089954,1,4
Inter,0.180836948993438,1,5
Inter,0.205035082166799,1,6
Inter,0.187274577850247,2,1
Inter,0.175987979054073,2,2
Inter,0.166872720498559,2,3
Inter,0.169572928588098,2,4
Inter,0.164335228199097,2,5
Inter,0.149906769691625,2,6
Inter,0.145076254752202,2,7
Inter,0.161344017412959,2,8
Inter,0.19136826587361,2,9
Inter,0.169269118228321,2,10
Inter,0.187715458459864,2,11
Inter,0.156500828373627,2,12
Inter,0.184453393047211,2,13
Inter,0.162642758793092,2,14
Inter,0.203509564003905,2,15
Inter,0.151661745343068,2,16
Inter,0.174537772516841,2,17
Inter,0.14836260462765,2,18
Inter,0.182552935013661,3,1
Inter,0.192355132124797,3,2
Inter,0.194534050257035,3,3
Inter,0.169085572550579,3,4
Inter,0.445542718505145,3,5
Inter,0.326025818675291,3,6
Inter,0.235778723331264,3,7
Inter,0.2067995787697,3,8
Inter,0.143183037921302,4,1
Inter,0.170125228448753,4,2
Inter,0.182776521576075,4,3
Inter,0.161301605903968,4,4
Inter,0.164450106464192,4,5
Inter,0.161752599802568,4,6
Inter,0.170811785465041,4,7
Inter,0.148576714848733,4,8
Inter,0.15112964736821,4,9
Inter,0.148546367795461,4,10
Inter,0.14832844568779,4,11
Inter,0.152081883666513,4,12
Inter,0.14225056333706,4,13
Inter,0.171798492338344,4,14
Inter,0.141691826340878,4,15
Inter,0.154165455414881,4,16
Inter,0.204143334230348,4,17
Inter,0.186224954686076,4,18
Inter,0.194543532698904,4,19
Inter,0.188686325035393,4,20
Inter,0.169470798413301,4,21
Inter,0.181509122155294,4,22
