Condition,PLV,Subject,Pair
Intra,0.108236760069305,1,1
Intra,0.114501741131456,1,2
Intra,0.110748635214415,1,3
Intra,0.103928167746197,1,4
Intra,0.107040353904995,2,1
Intra,0.105195498531942,2,2
Intra,0.119435359933176,3,1
Intra,0.116169524117863,3,2
Intra,0.112617965974925,3,3
Intra,0.114002118961168,3,4
Intra,0.116495725338196,3,5
Intra,0.111534775665513,3,6
Intra,0.106662194143448,4,1
Intra,0.101561793642446,4,2
Intra,0.106344090055246,2,1
Intra,0.103126243316876,2,1
Intra,0.111316167372356,2,2
Inter,0.135985591874076,3,1
Inter,0.111220915517941,9,1
Inter,0.11282280873583,9,2
Inter,0.111926994803838,14,1
Inter,0.104986314619037,14,2
Inter,0.108594488458967,14,3
Inter,0.117944833308497,14,4
Inter,0.28290087828254,14,5
Inter,0.112421346390381,14,6
Inter,0.16268276928075,14,7
Inter,0.112468471795093,16,1
Inter,0.105229870299251,16,2
Inter,0.169002820869835,18,1
Inter,0.0993912388917583,20,1
Inter,0.110148348696482,1,1
Inter,0.367873099665866,1,2
Inter,0.113446259357798,1,3
Inter,0.12858418876265,1,4
Inter,0.108953751450574,1,5
Inter,0.112849353580474,1,6
Inter,0.108748882355741,2,1
Inter,0.122203587047541,2,2
Inter,0.114105472300887,2,3
Inter,0.107698647311768,2,4
Inter,0.108493516027769,2,5
Inter,0.108386944018001,2,6
Inter,0.108152563761188,2,7
Inter,0.100671831683577,2,8
Inter,0.11044782569774,2,9
Inter,0.118122986142761,2,10
Inter,0.121101480618623,2,11
Inter,0.106358945049817,2,12
Inter,0.122312355216227,2,13
Inter,0.108912287471631,2,14
Inter,0.115546502564882,2,15
Inter,0.106164533698643,2,16
Inter,0.100635624697715,2,17
Inter,0.101160511126697,2,18
Inter,0.0921207389794734,4,1
Inter,0.0907056810750387,4,2
Inter,0.110864748725323,4,3
Inter,0.0971701168654948,4,4
Inter,0.190536141402177,4,5
Inter,0.0969434728615382,4,6
Inter,0.144043102964099,4,7
Inter,0.102211253439916,4,8
Inter,0.114269448103077,5,1
Inter,0.116111555399893,5,2
Inter,0.104757037431002,5,3
Inter,0.108414556877197,5,4
Inter,0.103336543834606,5,5
Inter,0.115689635550896,5,6
Inter,0.11358966204633,5,7
Inter,0.0998575892981047,5,8
Inter,0.110170641437974,5,9
Inter,0.112625998239154,5,10
Inter,0.106564327591653,5,11
Inter,0.109544580487918,5,12
Inter,0.103910689570645,5,13
Inter,0.111073850224992,5,14
Inter,0.106122186969263,5,15
Inter,0.096075393249493,5,16
Inter,0.0975900840052811,5,17
Inter,0.315359819714112,5,18
Inter,0.104813686394363,5,19
Inter,0.0997848525589816,5,20
Inter,0.104027688840917,5,21
Inter,0.115893251393775,5,22
Inter,0.0998704430591375,5,23
Inter,0.111477791753283,5,24
Inter,0.106644962238301,5,25
Inter,0.117112670813834,5,26
Inter,0.110599450713335,5,27
Inter,0.109666303547929,5,28
Inter,0.112060146699293,5,29
Inter,0.110205973937159,5,30
Inter,0.122971206265101,5,31
Inter,0.117170053034217,5,32
Inter,0.0982290285345318,5,33
Inter,0.112302566232561,5,34
Inter,0.108009947181807,5,35
Inter,0.106925348505988,6,1
Inter,0.110291863203499,6,2
Inter,0.104121444137566,6,3
Inter,0.105933542933358,6,4
Inter,0.108429439894723,6,5
Inter,0.112189454895071,6,6
Inter,0.13860273497572,6,7
Inter,0.108011569736847,6,8
Inter,0.110901696296298,6,9
Inter,0.106927495964772,6,10
Inter,0.0958525054742199,6,11
Inter,0.114562709572207,6,12
Inter,0.105564228186972,6,13
Inter,0.108343723587541,6,14
Inter,0.0999563582256403,6,15
Inter,0.104344119640923,6,16
Inter,0.111076660480473,6,17
Inter,0.104273537564124,6,18
Inter,0.0951284348240372,6,19
Inter,0.110894228946172,6,20
Inter,0.105732166972054,6,21
Inter,0.103057783000286,6,22
Inter,0.128191229239732,6,23
Inter,0.105811802688106,6,24
Inter,0.114216728908436,6,25
Inter,0.110857074637233,6,26
Inter,0.168711480729678,6,27
Inter,0.109111459081782,6,28
Inter,0.130791592522939,8,1
Inter,0.118234580967524,8,2
Inter,0.0936800710730065,8,3
Inter,0.101181722347724,8,4
Inter,0.100287810663267,8,5
Inter,0.0963594692685741,8,6
Inter,0.118499808846811,8,7
Inter,0.117311303413289,8,8
Inter,0.0984609860498728,8,9
Inter,0.15377712925578,8,10
Inter,0.134433620298435,8,11
Inter,0.0955034367842535,8,12
Inter,0.102278456763271,10,1
Inter,0.0975366648632717,10,2
Inter,0.0999248650484547,10,3
Inter,0.101362218517562,10,4
Inter,0.120943737383063,10,5
Inter,0.132164988424689,10,6
Inter,0.104176256667758,10,7
Inter,0.119424328293393,10,8
Inter,0.118863372115537,10,9
Inter,0.100458402380804,10,10
Inter,0.113823867762187,10,11
Inter,0.108626784234925,10,12
Inter,0.0949803172289513,10,13
Inter,0.107650289911763,10,14
Inter,0.105949206557972,10,15
Inter,0.104710496770543,10,16
Inter,0.0994362316113842,10,17
Inter,0.0976210330994309,10,18
Inter,0.101669365576384,10,19
Inter,0.106469898036697,10,20
Inter,0.110578151453099,10,21
Inter,0.104576066583145,10,22
Inter,0.11327710947979,10,23
Inter,0.11797999689197,10,24
Inter,0.103081479372344,10,25
Inter,0.121117100539242,10,26
Inter,0.121265420248422,10,27
Inter,0.101422395092122,10,28
Inter,0.109149513748046,10,29
Inter,0.105902465621407,10,30
Inter,0.0999223345516992,10,31
Inter,0.109404954550531,10,32
Inter,0.110077995380641,10,33
Inter,0.0986718969155304,10,34
Inter,0.110712276233969,10,35
Inter,0.115501372275411,10,36
Inter,0.0978553029860965,12,1
Inter,0.09755494918236,12,2
Inter,0.0887083217229284,13,1
Inter,0.0957583635918582,13,2
Inter,0.130808772699008,15,1
Inter,0.131533431610723,15,2
Inter,0.115944947725037,15,3
Inter,0.118687907945448,15,4
Inter,0.335611456956127,15,5
Inter,0.125460801353455,15,6
Inter,0.118956687652331,15,7
Inter,0.117651846416275,15,8
Inter,0.122619079372953,15,9
Inter,0.115013447091435,15,10
Inter,0.113999764252648,15,11
Inter,0.132651841599901,15,12
Inter,0.13304538025695,15,13
Inter,0.124891721053397,15,14
Inter,0.117079280415208,15,15
Inter,0.124441284345251,15,16
Inter,0.114043433018115,15,17
Inter,0.115531096419381,15,18
Inter,0.118394603202775,15,19
Inter,0.11847861980843,15,20
Inter,0.119952786379175,15,21
Inter,0.122768961056047,15,22
Inter,0.120441473057385,15,23
Inter,0.116667108213256,15,24
Inter,0.132703237493051,15,25
Inter,0.122445551940696,15,26
Inter,0.119819209922612,15,27
Inter,0.11079511863168,15,28
Inter,0.118715992615817,15,29
Inter,0.119312941099802,15,30
Inter,0.11255392718741,15,31
Inter,0.112788801594633,15,32
Inter,0.130242541252255,15,33
Inter,0.125471111037756,15,34
Inter,0.117168980929205,15,35
Inter,0.0993273510462008,17,1
Inter,0.110221873906339,17,2
Inter,0.104325543144545,17,3
Inter,0.10460977269331,17,4
Inter,0.101563337380766,17,5
Inter,0.117173632344032,17,6
Inter,0.103629449599016,18,1
Inter,0.0988577568108074,18,2
Inter,0.102649269178389,20,1
Inter,0.10108045505926,20,2
Inter,0.106190707479275,20,3
Inter,0.0921550572332432,20,4
Inter,0.0909371168089253,20,5
Inter,0.114162364395486,20,6
Inter,0.108903056677473,20,7
Inter,0.108555559781709,22,1
Inter,0.107860885303402,22,2
Inter,0.110326384140978,22,3
Inter,0.10121040212174,23,1
Inter,0.106948731231215,1,1
Inter,0.366671734363757,1,2
Inter,0.113480317143923,2,1
Inter,0.109432864444176,2,2
Inter,0.137450789032012,2,3
Inter,0.468069942330184,2,4
Inter,0.356399253034983,2,5
Inter,0.114324961025678,2,6
Inter,0.105713962698535,2,7
Inter,0.0986090505435007,2,8
Inter,0.119057073066774,2,9
Inter,0.108927676450659,2,10
Inter,0.0972037119981555,2,11
Inter,0.114268324636973,2,12
Inter,0.110289803713623,2,13
Inter,0.10628633368861,2,14
Inter,0.109240405500904,2,15
Inter,0.1122152665379,2,16
Inter,0.116874246299433,2,17
Inter,0.106013888272424,2,18
Inter,0.104615152445256,2,19
Inter,0.107080808318176,2,20
Inter,0.103586780721988,4,1
Inter,0.0924591013203163,4,2
Inter,0.111835606523732,5,1
Inter,0.112712546540142,5,2
Inter,0.109810051217878,5,3
Inter,0.11074313817184,5,4
Inter,0.102682053739786,5,5
Inter,0.088192931277816,5,6
Inter,0.114545919059774,5,7
Inter,0.101251990948974,5,8
Inter,0.113772181840849,5,9
Inter,0.121005960642106,5,10
Inter,0.115058982163939,5,11
Inter,0.109734734715253,5,12
Inter,0.105249337109125,5,13
Inter,0.0933852150973314,5,14
Inter,0.110277235791224,5,15
Inter,0.109669157938228,5,16
Inter,0.10157445030584,5,17
Inter,0.100059962571664,5,18
Inter,0.102820189448021,5,19
Inter,0.0957341673882538,5,20
Inter,0.104594845237875,5,21
Inter,0.153572305058315,5,22
Inter,0.0997378817819139,5,23
Inter,0.102628470559081,5,24
Inter,0.109384351606368,5,25
Inter,0.14164162423415,5,26
Inter,0.111851211695761,5,27
Inter,0.102530758004382,5,28
Inter,0.100387389774683,5,29
Inter,0.101892826949202,5,30
Inter,0.113604942483049,5,31
Inter,0.102075617092203,5,32
Inter,0.106532087994417,5,33
Inter,0.100782744383988,5,34
Inter,0.108266731433785,5,35
Inter,0.11233076471132,5,36
Inter,0.0969865962232625,5,37
Inter,0.103076576196887,5,38
Inter,0.112865800376102,5,39
Inter,0.10269558925947,5,40
Inter,0.0972168463992644,6,1
Inter,0.105270299551942,6,2
Inter,0.0988109020588363,6,3
Inter,0.10176150472273,6,4
Inter,0.109036204188132,6,5
Inter,0.101204689099692,6,6
Inter,0.128916051283763,6,7
Inter,0.0948304311051271,6,8
Inter,0.123401560939562,6,9
Inter,0.11058002697224,6,10
Inter,0.119433966062565,6,11
Inter,0.102629352439629,6,12
Inter,0.104030197871768,7,1
Inter,0.0955457306851289,7,2
Inter,0.0959196315504697,7,3
Inter,0.10108488380098,7,4
Inter,0.105134558093209,7,5
Inter,0.101519463293512,7,6
Inter,0.101481295660863,7,7
Inter,0.107244181856744,7,8
Inter,0.100268246678914,7,9
Inter,0.0939626381114451,7,10
Inter,0.110226346055229,7,11
Inter,0.102376394948982,7,12
Inter,0.102378071824293,7,13
Inter,0.103511778489315,7,14
Inter,0.103927928745274,7,15
Inter,0.103707631209289,7,16
Inter,0.0944998439515375,7,17
Inter,0.107387842864827,7,18
Inter,0.108172551673516,7,19
Inter,0.109622353107277,7,20
Inter,0.10170009879725,7,21
Inter,0.105119057945841,7,22
Inter,0.101058579107644,7,23
Inter,0.0950926005045429,7,24
Inter,0.105928195881958,7,25
Inter,0.102769400427215,7,26
Inter,0.105141233261943,7,27
Inter,0.0982307665259131,7,28
Inter,0.303241564449883,8,1
Inter,0.117251941450541,8,2
Inter,0.116428657665118,8,3
Inter,0.123684761946732,8,4
Inter,0.104417501119457,8,5
Inter,0.109421531066485,8,6
Inter,0.108993891707096,8,7
Inter,0.297302329302653,8,8
Inter,0.110275385673828,8,9
Inter,0.112784076308632,8,10
Inter,0.1214275809647,8,11
Inter,0.114054835339424,8,12
Inter,0.110347140859526,8,13
Inter,0.10705018776547,8,14
Inter,0.135221489400436,8,15
Inter,0.106955874824186,8,16
Inter,0.107763923179719,8,17
Inter,0.109259323193706,8,18
Inter,0.110154744437411,8,19
Inter,0.106490070606938,8,20
Inter,0.108735521797063,8,21
Inter,0.197069805563208,10,1
Inter,0.119417494713293,10,2
Inter,0.101513784405126,10,3
Inter,0.104890911840043,10,4
Inter,0.10814403394172,10,5
Inter,0.101969983959484,10,6
Inter,0.217659584020238,10,7
Inter,0.202886937175127,10,8
Inter,0.202555291071872,10,9
Inter,0.112252194369156,10,10
Inter,0.112225443459121,10,11
Inter,0.158448743626655,10,12
Inter,0.0946914732832673,10,13
Inter,0.109437528836863,10,14
Inter,0.126340197342407,10,15
Inter,0.110781678179944,10,16
Inter,0.102474860428439,10,17
Inter,0.098291562883367,10,18
Inter,0.106130615338623,10,19
Inter,0.129374143998357,10,20
Inter,0.116192331966302,10,21
Inter,0.161607164425935,10,22
Inter,0.10478683271022,10,23
Inter,0.106898436188384,10,24
Inter,0.119850446567303,10,25
Inter,0.0998444737422403,10,26
Inter,0.0957867717893733,10,27
Inter,0.097125126336153,10,28
Inter,0.102151337807769,10,29
Inter,0.122733910488219,10,30
Inter,0.105928506556229,11,1
Inter,0.115606109194833,11,2
Inter,0.104922506292674,12,1
Inter,0.113680471113249,12,2
Inter,0.1053410722791,12,3
Inter,0.10094824287871,12,4
Inter,0.0975899598383645,12,5
Inter,0.103841633731105,12,6
Inter,0.101665227192468,13,1
Inter,0.0992875806301018,13,2
Inter,0.0991486019807255,13,3
Inter,0.099528597868187,13,4
Inter,0.106041504607524,13,5
Inter,0.0971828540185957,13,6
Inter,0.0997297279567879,13,7
Inter,0.102119372444682,13,8
Inter,0.100379754476905,13,9
Inter,0.0975700232266846,13,10
Inter,0.107460831630901,13,11
Inter,0.102152192715251,13,12
Inter,0.0937576109565591,13,13
Inter,0.10292364293951,13,14
Inter,0.0975740863719724,13,15
Inter,0.0959003534213482,13,16
Inter,0.101462849262288,13,17
Inter,0.103209829623714,13,18
Inter,0.104451802886844,13,19
Inter,0.0994581138954325,13,20
Inter,0.104713121313939,13,21
Inter,0.100963176474158,13,22
Inter,0.0983466334097448,13,23
Inter,0.0969067355495096,13,24
Inter,0.145417901806996,15,1
Inter,0.121644760688605,15,2
Inter,0.12446711457281,15,3
Inter,0.125662792696149,15,4
Inter,0.125865134044347,15,5
Inter,0.120722474418892,15,6
Inter,0.122064406570257,15,7
Inter,0.114555953026029,15,8
Inter,0.1390567231804,15,9
Inter,0.124913042618602,15,10
Inter,0.127442570956557,15,11
Inter,0.125253964625615,15,12
Inter,0.130540277910269,15,13
Inter,0.142226667331196,15,14
Inter,0.128430813381143,15,15
Inter,0.121455902999857,15,16
Inter,0.115993657010525,15,17
Inter,0.111924748338527,15,18
Inter,0.121762617659127,15,19
Inter,0.11363161963876,15,20
Inter,0.109973435254257,15,21
Inter,0.160712193277128,15,22
Inter,0.115175341697259,15,23
Inter,0.540504027124203,15,24
Inter,0.114393181326332,15,25
Inter,0.118802804460355,15,26
Inter,0.121622297194762,15,27
Inter,0.125666082303659,15,28
Inter,0.117639345545864,15,29
Inter,0.122463396876407,15,30
Inter,0.118465637104957,15,31
Inter,0.118356350081371,15,32
Inter,0.114401583893739,15,33
Inter,0.123933203138538,15,34
Inter,0.132077944527908,15,35
Inter,0.130284496797881,15,36
Inter,0.127109184540683,15,37
Inter,0.125954454116262,15,38
Inter,0.148281058167823,15,39
Inter,0.118754988383057,15,40
Inter,0.118705557547832,15,41
Inter,0.116360246840188,15,42
Inter,0.130234597252192,15,43
Inter,0.12426772811279,15,44
Inter,0.122272276553763,15,45
Inter,0.129260276708034,15,46
Inter,0.370556225243341,15,47
Inter,0.122208838018136,15,48
Inter,0.118134076046647,15,49
Inter,0.120329471746215,15,50
Inter,0.121901252770676,15,51
Inter,0.118810922370782,15,52
Inter,0.125792781827206,15,53
Inter,0.1214183547993,15,54
Inter,0.117336973135009,15,55
Inter,0.406370821534015,15,56
Inter,0.10749213791835,16,1
Inter,0.102151662754655,16,2
Inter,0.0974721704269394,16,3
Inter,0.0992287880318898,16,4
Inter,0.115007104593342,17,1
Inter,0.109040175393997,17,2
Inter,0.108514111027192,17,3
Inter,0.103055658275267,17,4
Inter,0.10415731128239,17,5
Inter,0.106513714627113,17,6
Inter,0.0985966373425454,17,7
Inter,0.10285225757163,17,8
Inter,0.111890067500438,17,9
Inter,0.101949452620742,17,10
Inter,0.109441023114904,17,11
Inter,0.10588283683354,17,12
Inter,0.111810662589762,17,13
Inter,0.0968615624473089,17,14
Inter,0.127493963416375,17,15
Inter,0.119426967889408,17,16
Inter,0.110151672934849,17,17
Inter,0.108424440014278,17,18
Inter,0.109267714396775,17,19
Inter,0.11818370889722,17,20
Inter,0.0853876260452898,17,21
Inter,0.114298818081042,18,1
Inter,0.113281385157469,18,2
Inter,0.115899081109244,18,3
Inter,0.105178170447369,19,1
Inter,0.108360909344049,19,2
Inter,0.119333773267389,19,3
Inter,0.09396349419877,19,4
Inter,0.0959750989177274,19,5
Inter,0.100610669101451,20,1
Inter,0.0991966853790085,20,2
Inter,0.104440960315723,20,3
Inter,0.106995316208699,20,4
Inter,0.107530005808709,20,5
Inter,0.105324513034102,21,1
Inter,0.107257853954685,21,2
Inter,0.106970467946289,21,3
Inter,0.104061290476994,21,4
Inter,0.103186943970443,21,5
Inter,0.105058645429785,21,6
Inter,0.108889117056143,21,7
Inter,0.110165931963537,21,8
Inter,0.108445239121568,21,9
Inter,0.106581856150745,21,10
Inter,0.10416158126149,21,11
Inter,0.101769149198365,21,12
Inter,0.109933198455601,22,1
Inter,0.107830622865334,22,2
Inter,0.109703912498264,22,3
Inter,0.102554565158052,22,4
Inter,0.0980937113818722,23,1
Inter,0.122173064361398,23,2
Inter,0.122757056879982,23,3
Inter,0.111585175146483,23,4
Inter,0.10926322733205,23,5
Inter,0.114516021731592,2,1
Inter,0.0859621712056245,2,2
Inter,0.103984151195936,2,3
Inter,0.103778693957736,2,4
Inter,0.101383790948413,7,1
Inter,0.101438941368772,7,2
Inter,0.101665130637069,7,3
Inter,0.104596493083097,7,4
Inter,0.102885349529355,7,5
Inter,0.103642982331592,7,6
Inter,0.100963696285024,7,7
Inter,0.10621239738431,7,8
Inter,0.101977314334648,7,9
Inter,0.102909410725442,7,10
Inter,0.105054639337081,7,11
Inter,0.102492624023495,7,12
Inter,0.100953748181418,7,13
Inter,0.0979356726062102,7,14
Inter,0.10360718430761,7,15
Inter,0.0998191025540135,7,16
Inter,0.103868756052703,8,1
Inter,0.11277053752764,8,2
Inter,0.107607448435478,8,3
Inter,0.102561620693228,10,1
Inter,0.107696358490469,10,2
Inter,0.105595534946348,10,3
Inter,0.106358386771669,10,4
Inter,0.107731815268505,10,5
Inter,0.102062391379772,10,6
Inter,0.106928656113769,10,7
Inter,0.114495079915768,10,8
Inter,0.10400698627965,10,9
Inter,0.102491397406908,10,10
Inter,0.105472609204902,10,11
Inter,0.119191376090349,10,12
Inter,0.115191595058516,12,1
