Condition,PLV,Subject,Pair
Intra,0.0973490408714868,1,1
Intra,0.0953395363080419,1,2
Intra,0.127915873288371,1,3
Intra,0.112100463654474,1,4
Intra,0.107270397849595,2,1
Intra,0.112727466349623,2,2
Intra,0.123168917822979,3,1
Intra,0.114294190908577,3,2
Intra,0.11634545166305,3,3
Intra,0.123498772893208,3,4
Intra,0.134575878841348,3,5
Intra,0.134439115192286,3,6
Intra,0.116731622687167,4,1
Intra,0.120373508406733,4,2
Intra,0.102911765029624,2,1
Intra,0.0926950800993238,2,1
Intra,0.107893879748791,2,2
Inter,0.347639854339394,2,1
Inter,0.099063897254563,2,2
Inter,0.102313716397924,2,3
Inter,0.129315719392655,4,1
Inter,0.106893125393654,10,1
Inter,0.113789077146359,10,2
Inter,0.132112857657227,15,1
Inter,0.096902262138257,15,2
Inter,0.0986042713164937,15,3
Inter,0.10646627196997,15,4
Inter,0.266413038580081,15,5
Inter,0.0959736090132899,15,6
Inter,0.135524384731621,15,7
Inter,0.106929646856653,17,1
Inter,0.105331382557012,17,2
Inter,0.17648702806866,19,1
Inter,0.101945692173072,21,1
Inter,0.113801971126292,1,1
Inter,0.402486447145094,1,2
Inter,0.1142850764155,1,3
Inter,0.116665766543733,1,4
Inter,0.100350532030426,1,5
Inter,0.106547687115943,1,6
Inter,0.0956627106599923,3,1
Inter,0.0953478084597054,3,2
Inter,0.119689480882765,3,3
Inter,0.0892208616065996,3,4
Inter,0.13594231086632,3,5
Inter,0.104162913875259,3,6
Inter,0.148123971771685,3,7
Inter,0.116254619253723,3,8
Inter,0.0887351366833883,3,9
Inter,0.116866237433785,3,10
Inter,0.116229877014767,3,11
Inter,0.110933335716924,3,12
Inter,0.129943967755485,3,13
Inter,0.107819658267651,3,14
Inter,0.101016596894935,3,15
Inter,0.11360872176039,3,16
Inter,0.114474273898888,3,17
Inter,0.104198345078934,3,18
Inter,0.105208898455019,5,1
Inter,0.101849965915128,5,2
Inter,0.0926501121970546,5,3
Inter,0.0976740521788692,5,4
Inter,0.185126322894839,5,5
Inter,0.0990367798524462,5,6
Inter,0.141891257758645,5,7
Inter,0.0888581876020978,5,8
Inter,0.111643693887366,6,1
Inter,0.115670782812324,6,2
Inter,0.105317329980208,6,3
Inter,0.119807157062159,6,4
Inter,0.104448678013863,6,5
Inter,0.103759615219183,6,6
Inter,0.116997876429017,6,7
Inter,0.0892312052901758,6,8
Inter,0.0995326506731484,6,9
Inter,0.11239556328566,6,10
Inter,0.109735691544116,6,11
Inter,0.0989137396645629,6,12
Inter,0.0993675831464118,6,13
Inter,0.114751904274135,6,14
Inter,0.101007945448574,6,15
Inter,0.0965669449399735,6,16
Inter,0.0969267114690968,6,17
Inter,0.236290129257454,6,18
Inter,0.116456299740777,6,19
Inter,0.0992871945309162,6,20
Inter,0.0991510941474318,6,21
Inter,0.101144806828477,6,22
Inter,0.121451059568625,6,23
Inter,0.095668240527285,6,24
Inter,0.114033170586774,6,25
Inter,0.124862196457491,6,26
Inter,0.12826985700989,6,27
Inter,0.10739970150477,6,28
Inter,0.118064316280988,6,29
Inter,0.116373632865934,6,30
Inter,0.107773748692221,6,31
Inter,0.134205196925911,6,32
Inter,0.107258082912276,6,33
Inter,0.0955229013385782,6,34
Inter,0.116401238439105,6,35
Inter,0.105377966646101,7,1
Inter,0.105110797274932,7,2
Inter,0.0960814035940114,7,3
Inter,0.10789083866122,7,4
Inter,0.121699071980032,7,5
Inter,0.103646005727076,7,6
Inter,0.127226536348737,7,7
Inter,0.106490733310343,7,8
Inter,0.0934135809975389,7,9
Inter,0.113562766141859,7,10
Inter,0.0906320781192178,7,11
Inter,0.110561952666486,7,12
Inter,0.107402381148291,7,13
Inter,0.107151046738876,7,14
Inter,0.0988680922899711,7,15
Inter,0.102020154524541,7,16
Inter,0.125011161498945,7,17
Inter,0.108480644983511,7,18
Inter,0.109496793329744,7,19
Inter,0.113535356485556,7,20
Inter,0.111732762689395,7,21
Inter,0.11259467732742,7,22
Inter,0.117948618199584,7,23
Inter,0.0920118107728788,7,24
Inter,0.11127744984075,7,25
Inter,0.101713335562771,7,26
Inter,0.112628576819981,7,27
Inter,0.0993800492783382,7,28
Inter,0.146710719892923,9,1
Inter,0.158339764224569,9,2
Inter,0.107361965449726,9,3
Inter,0.107248823651046,9,4
Inter,0.100578965270788,9,5
Inter,0.10624506114836,9,6
Inter,0.10753241809822,9,7
Inter,0.120689071053406,9,8
Inter,0.0997633957054514,9,9
Inter,0.171642649190496,9,10
Inter,0.177508040572275,9,11
Inter,0.105368669688482,9,12
Inter,0.098877746419361,11,1
Inter,0.106395070315928,11,2
Inter,0.106166941035596,11,3
Inter,0.0773916760709625,11,4
Inter,0.101637066709649,11,5
Inter,0.0914065494195178,11,6
Inter,0.103302943547674,11,7
Inter,0.0941802560199372,11,8
Inter,0.0947803682166119,11,9
Inter,0.104162504184528,11,10
Inter,0.117298271755898,11,11
Inter,0.107042455891451,11,12
Inter,0.0942706377178527,11,13
Inter,0.106326754094785,11,14
Inter,0.105649658820337,11,15
Inter,0.108064029960914,11,16
Inter,0.110523353480422,11,17
Inter,0.102486805789574,11,18
Inter,0.106551970472646,11,19
Inter,0.106390163306644,11,20
Inter,0.0966568091513734,11,21
Inter,0.118207650377679,11,22
Inter,0.102935142824123,11,23
Inter,0.109173994269231,11,24
Inter,0.108255340514357,11,25
Inter,0.108682517931842,11,26
Inter,0.0992403210794973,11,27
Inter,0.104490173459079,11,28
Inter,0.100688175076664,11,29
Inter,0.09261504292441,11,30
Inter,0.104975627984712,11,31
Inter,0.0915923156622155,11,32
Inter,0.088993896515694,11,33
Inter,0.103202228529778,11,34
Inter,0.0937116269893282,11,35
Inter,0.110321652802258,11,36
Inter,0.0962491665548346,13,1
Inter,0.107175721475851,13,2
Inter,0.0934130025036535,14,1
Inter,0.096335459192208,14,2
Inter,0.124363046263404,16,1
Inter,0.131990365619953,16,2
Inter,0.127490596033102,16,3
Inter,0.117557186389493,16,4
Inter,0.361372612749518,16,5
Inter,0.140147495483002,16,6
Inter,0.137123033980346,16,7
Inter,0.134048672586275,16,8
Inter,0.111846565282601,16,9
Inter,0.118594514132965,16,10
Inter,0.119862741365966,16,11
Inter,0.140938209134005,16,12
Inter,0.126227181512451,16,13
Inter,0.127031593144818,16,14
Inter,0.12409394396174,16,15
Inter,0.12428845520104,16,16
Inter,0.118574371334802,16,17
Inter,0.119215589172592,16,18
Inter,0.139574738846075,16,19
Inter,0.115108241186352,16,20
Inter,0.114799271346812,16,21
Inter,0.112690985466045,16,22
Inter,0.104973962090346,16,23
