Condition,PLV,Subject,Pair
Intra,0.358005591310521,13,1
Intra,0.335961837973365,13,2
Intra,0.334940433004911,13,1
Intra,0.380120651306843,13,2
Intra,0.357910010274512,13,3
Intra,0.336437645139818,13,4
Intra,0.321635129283912,13,5
Intra,0.328171116199995,13,6
Intra,0.365863502885787,13,7
Intra,0.335356384124159,13,8
Intra,0.336266451288824,13,9
Intra,0.301774139003878,13,10
Intra,0.375489045089836,15,1
Intra,0.336687641775895,15,2
Intra,0.352917002156116,15,1
Intra,0.354121552135768,15,2
Intra,0.352522227643945,15,3
Intra,0.359047208257422,14,1
Intra,0.359938856308335,15,1
Intra,0.37687221689324,14,1
Intra,0.38279273341677,13,1
Intra,0.365226110182543,13,2
Intra,0.340809904164752,13,3
Intra,0.32702226785153,13,4
Intra,0.328803652168699,13,5
Intra,0.322190002566848,15,1
Intra,0.342626173996987,15,2
Intra,0.327565514253161,15,3
Intra,0.361250811916575,15,4
Intra,0.340325967004698,15,5
Intra,0.32162997296323,15,6
Intra,0.373007480104592,8,1
Intra,0.351292422312701,15,1
Intra,0.37316589266332,15,2
Intra,0.406949238292854,7,1
Intra,0.355110143299866,7,2
Intra,0.390390843275804,7,3
Intra,0.412939405926703,7,4
Intra,0.398971437457614,7,5
Intra,0.351013053918628,7,6
Intra,0.406723817803126,7,7
Intra,0.456212409427278,7,8
Intra,0.418367185691502,7,1
Intra,0.399565140562473,7,2
Intra,0.417158757222883,7,3
Intra,0.385219754964761,7,4
Intra,0.422851344127822,7,5
Intra,0.387128513498341,7,6
Intra,0.411521292729157,7,7
Intra,0.398235348495509,7,8
Intra,0.373474616416038,11,1
Intra,0.359014613582988,11,2
Intra,0.381255719106983,11,3
Intra,0.354228416633326,11,4
Intra,0.403131752956287,17,1
Intra,0.401733493130576,17,2
Intra,0.376213574762256,17,3
Intra,0.417324213384468,2,1
Intra,0.394332404180114,2,2
Intra,0.409921623070629,2,3
Intra,0.390024990058595,2,4
Intra,0.350517898797084,2,5
Intra,0.364824254608476,2,6
Intra,0.354203982897053,16,1
Intra,0.355185250529681,16,2
Intra,0.394102281220559,2,1
Intra,0.367219360371987,2,2
Intra,0.416287179504516,2,1
Intra,0.435046789796598,2,2
Intra,0.378620652733952,3,1
Intra,0.39486796581967,3,2
Intra,0.389122944008929,11,1
Intra,0.425475040352762,11,2
Intra,0.416336217335328,11,3
Intra,0.378570996873019,11,4
Intra,0.377089829062614,11,5
Intra,0.381292133410342,11,6
Intra,0.348200798024506,11,7
Intra,0.388129121649626,11,8
Intra,0.412777885000748,11,9
Intra,0.405673137492659,11,10
Intra,0.385175531251224,11,11
Intra,0.373886637350202,11,12
Intra,0.37407162808251,11,13
Intra,0.351004222191065,11,14
Intra,0.349954606479886,16,1
Intra,0.360248081017174,16,2
Intra,0.340802996344171,16,3
Intra,0.371910735558996,16,4
Intra,0.371084137520622,19,1
Intra,0.36723675263225,19,2
Intra,0.352102706872164,19,3
Intra,0.390288555194523,2,1
Intra,0.34959491808352,2,2
Intra,0.39399836456188,11,1
Intra,0.379598759218593,11,2
Intra,0.357953203931446,11,3
Intra,0.379276531743848,11,4
Intra,0.379961392981868,11,5
Intra,0.358160930633617,11,6
Intra,0.366668003485525,17,1
Intra,0.361077272349935,17,2
Intra,0.360256721014724,17,3
Intra,0.360908256729522,11,1
Intra,0.398700782411264,11,2
Intra,0.394518887710038,11,3
Intra,0.379547779016827,11,4
Intra,0.361537420553129,11,5
Intra,0.371776087331275,11,6
Intra,0.347012730718042,11,7
Intra,0.357975879373448,11,8
Intra,0.374629290067801,11,9
Intra,0.353358481630092,11,10
Intra,0.352165024688499,11,11
Intra,0.355025419796214,11,12
Intra,0.366163513618877,11,13
Intra,0.350866297820283,11,14
Intra,0.33693043629561,12,1
Intra,0.367550968939466,1,1
Intra,0.371153447419235,1,2
Intra,0.338534673009277,1,3
Intra,0.308502869748077,1,4
Intra,0.388547775402659,1,5
Intra,0.385289524854927,1,6
Intra,0.363028248237714,11,1
Intra,0.353719244678544,11,2
Intra,0.350013905369486,11,3
Intra,0.355646406364383,11,4
Intra,0.364007723555196,11,5
Intra,0.317920919288225,11,6
Intra,0.474455867554492,12,1
Intra,0.357991112379809,12,2
Intra,0.356091180493853,17,1
Intra,0.371025176088288,2,1
Intra,0.349564175895326,2,2
Intra,0.418223784122244,2,3
Intra,0.347077054280657,15,1
Intra,0.334218274409763,15,2
Intra,0.321437852741195,15,3
Intra,0.412424168364703,2,1
Intra,0.359876627266299,2,2
Intra,0.371688977148686,2,3
Intra,0.336006324702947,4,1
Intra,0.325088680157334,4,2
Intra,0.334132041103222,4,3
Intra,0.334416693921623,4,4
Intra,0.33923974071867,4,5
Intra,0.336438402144864,4,6
Intra,0.357276887813167,4,7
Intra,0.365753740968495,4,8
Intra,0.383025305986637,4,9
Intra,0.357345391601444,4,10
Intra,0.31974348808657,4,11
Intra,0.320772630924407,4,12
Intra,0.392978764130066,5,1
Intra,0.349276499506,5,2
Intra,0.402018120356101,5,3
Intra,0.371348869988796,5,4
Intra,0.364181157750598,5,5
Intra,0.381717271865339,5,6
Intra,0.370754535130991,9,1
Intra,0.382183407901618,9,2
Intra,0.419605879534707,10,1
Intra,0.452781766559118,10,2
Intra,0.320898918727923,16,1
Intra,0.328624718176942,16,2
Intra,0.31679906012368,18,1
Intra,0.360009850970018,18,2
Intra,0.329467223509191,18,3
Intra,0.3460365676444,18,4
Intra,0.342753464485768,18,5
Intra,0.327657805703627,18,6
Intra,0.324979208711853,18,7
Intra,0.354872724964564,18,8
Intra,0.336092165403633,18,9
Intra,0.401273998356507,2,1
Intra,0.399921779356389,2,2
Intra,0.401715398801646,2,3
Intra,0.371918365029906,2,1
Intra,0.350246502334799,2,1
Intra,0.40443726081396,14,1
Intra,0.382047733658815,2,1
Intra,0.40070062503857,6,1
Intra,0.487486345728048,7,1
Intra,0.492269079672357,7,2
Intra,0.474922313482217,7,3
Intra,0.39228453711277,7,4
Intra,0.351332807895788,7,5
Intra,0.364058535151328,7,6
Intra,0.342627489206609,7,7
Intra,0.369405531354501,7,8
Intra,0.408125308011551,7,9
Intra,0.389312897732991,7,10
Intra,0.381439131094022,7,11
Intra,0.401946025072143,7,12
Intra,0.489411689770372,7,13
Intra,0.40313875768006,7,14
Intra,0.486607812608343,7,15
Intra,0.431333719962819,7,16
Intra,0.380702534222192,11,1
Intra,0.383958990162754,11,2
Intra,0.380110429414325,11,3
Intra,0.416223589346066,11,4
Intra,0.385414446351964,11,5
Intra,0.459801805366579,11,6
Intra,0.423886961127538,11,7
Intra,0.405486056385291,11,8
Intra,0.417775408430312,11,9
Intra,0.368451961261713,11,10
Intra,0.354534532945031,11,11
Intra,0.553796075780158,11,12
Intra,0.377227921596143,11,13
Intra,0.383124431450544,11,14
Intra,0.342362897871102,11,15
Intra,0.353297092145795,11,16
Intra,0.366838734427774,11,17
Intra,0.333336205796977,11,18
Intra,0.352594471333338,11,19
Intra,0.362805195991335,11,20
Intra,0.326240583990373,11,21
Intra,0.354483379635248,12,1
Intra,0.328006590744578,12,2
Inter,0.340249625987878,20,1
Inter,0.359257618602802,20,2
Inter,0.349112885099875,20,3
Inter,0.355678927955717,20,4
Inter,0.366772433498493,20,5
Inter,0.365900383964085,20,6
Inter,0.364118930642393,20,7
Inter,0.354601086082348,20,8
Inter,0.321956195520104,23,1
Inter,0.329791833734264,23,2
Inter,0.333329672120415,23,3
Inter,0.349533523126579,26,1
Inter,0.361170216415227,26,2
Inter,0.363934790914371,26,3
Inter,0.339261774453848,26,4
Inter,0.348194419706526,26,5
Inter,0.394014981791454,1,1
Inter,0.789376652402078,1,2
Inter,0.356858571403066,1,3
Inter,0.353449280670797,2,1
Inter,0.350439703975288,2,2
Inter,0.358981875334471,2,3
Inter,0.325859440060804,2,4
Inter,0.339055673573581,2,5
Inter,0.404402990672591,2,6
Inter,0.297457693073456,2,7
Inter,0.377214908032811,2,8
Inter,0.354795514202531,2,9
Inter,0.399266991855931,2,10
Inter,0.378849201793775,2,11
Inter,0.354241465174173,2,12
Inter,0.368077506980056,2,13
Inter,0.352377658732047,2,14
Inter,0.349979606768738,2,15
Inter,0.349571972556446,2,16
Inter,0.345764817157847,2,17
Inter,0.356951650852957,2,18
Inter,0.356149229661197,2,19
Inter,0.384583044788749,2,20
Inter,0.36677956818524,2,21
Inter,0.363136933059757,2,22
Inter,0.397965273567222,2,23
Inter,0.377394067921529,2,24
Inter,0.352827374099958,2,25
Inter,0.317255338205043,2,26
Inter,0.35255369440227,2,27
Inter,0.356918513349376,2,28
Inter,0.326680027867924,2,29
Inter,0.378724162111654,2,30
Inter,0.349123856164857,2,31
Inter,0.526821654092269,2,32
Inter,0.388808083758417,2,33
Inter,0.345367529942492,2,34
Inter,0.455218796756224,2,35
Inter,0.360478384453843,2,36
Inter,0.349162985708053,2,37
Inter,0.328897616480457,2,38
Inter,0.330212195396789,2,39
Inter,0.348042873202111,2,40
Inter,0.35447567769539,2,41
Inter,0.382557878550032,2,42
Inter,0.316707376040778,2,43
Inter,0.343200687118772,2,44
Inter,0.352370288604603,2,45
Inter,0.37546056743752,2,46
Inter,0.342129988134655,2,47
Inter,0.335364574145103,2,48
Inter,0.331948329588001,2,49
Inter,0.333110910496307,2,50
Inter,0.367450567007794,2,51
Inter,0.372998867356026,2,52
Inter,0.363577012541351,2,53
Inter,0.382058377221548,2,54
Inter,0.402526283208814,2,55
Inter,0.394902138004852,2,56
Inter,0.343246962427507,2,57
Inter,0.384858765005684,2,58
Inter,0.350296085328924,2,59
Inter,0.34812534398403,2,60
Inter,0.370203200990453,2,61
Inter,0.335341566822599,2,62
