Condition,PLV,Subject,Pair
Intra,0.12311363990034,13,1
Intra,0.120505881579932,13,2
Intra,0.134791569084462,13,1
Intra,0.136168846555654,13,2
Intra,0.11565924252426,13,3
Intra,0.112662233325405,13,4
Intra,0.138218532947119,13,5
Intra,0.123644440084551,13,6
Intra,0.103726830912757,13,7
Intra,0.112119219183404,13,8
Intra,0.11137243948462,13,9
Intra,0.122182312124202,13,10
Intra,0.110105696050686,15,1
Intra,0.12724124294139,15,2
Intra,0.0914989424192421,15,1
Intra,0.104650777282151,15,2
Intra,0.095228976919426,15,3
Intra,0.112943816743551,14,1
Intra,0.0978319019593382,15,1
Intra,0.101091190993556,14,1
Intra,0.123734819043884,13,1
Intra,0.11940747757961,13,2
Intra,0.117457074890853,13,3
Intra,0.106672964584747,13,4
Intra,0.133334436253274,13,5
Intra,0.108505056856413,15,1
Intra,0.111902341292996,15,2
Intra,0.123095675892337,15,3
Intra,0.1012970412866,15,4
Intra,0.118773624538621,15,5
Intra,0.11776263432131,15,6
Intra,0.0922201188947002,8,1
Intra,0.104325628615822,15,1
Intra,0.10074256077685,15,2
Intra,0.104488002857651,7,1
Intra,0.119638974717368,7,2
Intra,0.107818878081461,7,3
Intra,0.109930215285546,7,4
Intra,0.10501967032424,7,5
Intra,0.100919824906999,7,6
Intra,0.126891779946731,7,7
Intra,0.109688470009558,7,8
Intra,0.129092267334027,7,1
Intra,0.0971398665128636,7,2
Intra,0.117728679422526,7,3
Intra,0.108459715526554,7,4
Intra,0.114021245125487,7,5
Intra,0.103767229078741,7,6
Intra,0.11657363664251,7,7
Intra,0.0998626092308524,7,8
Intra,0.110542481157101,11,1
Intra,0.106847341617579,11,2
Intra,0.118052897229929,11,3
Intra,0.125426979844673,11,4
Intra,0.103468672662785,17,1
Intra,0.0953486612805793,17,2
Intra,0.115541219128528,17,3
Intra,0.120593223287238,2,1
Intra,0.0907174421700199,2,2
Intra,0.0949950921861285,2,3
Intra,0.0911276334952691,2,4
Intra,0.10360525925423,2,5
Intra,0.106480877546648,2,6
Intra,0.0914917816727403,16,1
Intra,0.0978315223601047,16,2
Intra,0.103183682724791,2,1
Intra,0.0991671271805531,2,2
Intra,0.114137399291891,2,1
Intra,0.10268435237586,2,2
Intra,0.177646874309834,3,1
Intra,0.118316052035061,3,2
Intra,0.0863588041151682,11,1
Intra,0.104236603332504,11,2
Intra,0.099074039303702,11,3
Intra,0.107429824496405,11,4
Intra,0.094839655433947,11,5
Intra,0.102516207375316,11,6
Intra,0.10758372990741,11,7
Intra,0.103083373392224,11,8
Intra,0.107534402327279,11,9
Intra,0.103624849231389,11,10
Intra,0.115157331549565,11,11
Intra,0.0998106616015591,11,12
Intra,0.101277889671291,11,13
Intra,0.0998557472226082,11,14
Intra,0.0938982739922374,16,1
Intra,0.0936705785988161,16,2
Intra,0.0879302423783784,16,3
Intra,0.0916005865407812,16,4
Intra,0.110272564896741,19,1
Intra,0.107888670578598,19,2
Intra,0.108033205544592,19,3
Intra,0.103563854647118,2,1
Intra,0.104008525792527,2,2
Intra,0.0959865823910186,11,1
Intra,0.112916753308414,11,2
Intra,0.0970721546909127,11,3
Intra,0.0935778839656237,11,4
Intra,0.105209720732702,11,5
Intra,0.105608574695468,11,6
Intra,0.0999930339010886,17,1
Intra,0.0975441159972518,17,2
Intra,0.105351952239481,17,3
Intra,0.0972516334706648,11,1
Intra,0.106302457895494,11,2
Intra,0.106201115480023,11,3
Intra,0.121010069324421,11,4
Intra,0.113640462095984,11,5
Intra,0.114828732472198,11,6
Intra,0.110693683154006,11,7
Intra,0.109851341759103,11,8
Intra,0.102274324991329,11,9
Intra,0.105068694849666,11,10
Intra,0.110872146889699,11,11
Intra,0.118518759028849,11,12
Intra,0.116278384399228,11,13
Intra,0.113498084288276,11,14
Intra,0.10974481595647,12,1
Intra,0.106347757357355,1,1
Intra,0.133848935133428,1,2
