Condition,PLV,Subject,Pair
Intra,0.163004084651697,2,1
Intra,0.153801869491488,14,1
Intra,0.151654422996424,14,2
Intra,0.18104676928842,14,1
Intra,0.145227818590169,14,1
Intra,0.161382569885076,14,1
Intra,0.169508137733855,2,1
Intra,0.16847072090176,2,2
Intra,0.172732706586156,2,3
Intra,0.162307993023793,2,4
Intra,0.162483973940336,2,5
Intra,0.16416773789946,2,6
Intra,0.151806394323366,2,7
Intra,0.16113146764302,2,8
Intra,0.162302565157196,2,9
Intra,0.162117288934649,2,10
Intra,0.175196702240871,7,1
Intra,0.169121861717264,7,2
Intra,0.182990458656065,7,1
Intra,0.15995800231035,8,1
Intra,0.163147995611234,8,2
Intra,0.160044364481353,8,3
Intra,0.395268569515209,8,4
Intra,0.165833371416932,15,1
Intra,0.163836643678361,16,1
Intra,0.181589334167379,7,1
Intra,0.157466131844744,7,2
Intra,0.156638272855085,10,1
Intra,0.15293208964432,16,1
Intra,0.161382875526357,16,2
Intra,0.16237350606936,16,3
Intra,0.148834863506755,16,1
Intra,0.167644369704108,2,1
Intra,0.165323764486848,2,2
Intra,0.176036992316418,2,3
Intra,0.172787422595494,2,4
Intra,0.16816878975807,2,5
Intra,0.16192196306267,2,6
Intra,0.16574522531025,2,7
Intra,0.163212967695247,2,8
Intra,0.166396540067711,2,9
Intra,0.17341793485115,2,10
Intra,0.163154777725751,6,1
Intra,0.163510272437702,13,1
Intra,0.173377147277366,13,2
Intra,0.174574733139745,13,3
Intra,0.193350258833634,13,1
Intra,0.182356951411013,13,2
Intra,0.164227679053722,13,3
Intra,0.179378576166278,13,4
Intra,0.207233997222513,13,5
Intra,0.214948633926723,13,6
Intra,0.164965698255004,13,7
Intra,0.175172961101185,13,8
Intra,0.196949095350303,13,9
Intra,0.179928202734861,13,10
Intra,0.177980349498306,13,11
Intra,0.175321254263072,13,12
Intra,0.154775957042963,17,1
Intra,0.144183454577035,17,2
Intra,0.181016731700054,12,1
Intra,0.170732356095001,14,1
Intra,0.183251607520971,14,2
Intra,0.158810866337277,14,1
Intra,0.174198231236568,14,2
Intra,0.190042121589929,12,1
Intra,0.195735765486231,12,2
Intra,0.216446309211283,12,3
Intra,0.170873020712877,14,1
Intra,0.148927843270324,14,2
Intra,0.224957314262715,12,1
Intra,0.189333363597898,12,2
Intra,0.188116049880455,12,3
Intra,0.163781809115454,9,1
Intra,0.160594712142795,9,2
Intra,0.165100645689835,9,3
Intra,0.162667553810326,9,4
Intra,0.155392449747272,9,5
Intra,0.179032564573079,12,1
Intra,0.183950324711612,12,2
Intra,0.186184925624424,12,3
Intra,0.17881915605055,12,1
Intra,0.182089032452086,12,2
Intra,0.185073873339973,12,3
Intra,0.158839114501014,16,1
Intra,0.159319585018209,16,2
Intra,0.143001007286003,16,3
Intra,0.164019442332696,16,1
Intra,0.203185709033359,14,1
Intra,0.179865937154842,13,1
Intra,0.179169295426245,13,2
Intra,0.15728078040076,13,3
Intra,0.160937862612009,13,4
Intra,0.173864389731252,14,1
Intra,0.187937630706302,3,1
Intra,0.159188417330059,4,1
Intra,0.163048499838037,4,2
Intra,0.154395766956613,4,3
Intra,0.176119234354092,14,1
Intra,0.164053843261619,1,1
Intra,0.161792950683393,1,2
Intra,0.146631935909939,1,3
Intra,0.166322400876433,1,4
Intra,0.181055190400257,1,5
Intra,0.173362728670426,1,6
Intra,0.17608171304208,1,7
Intra,0.155969633459464,1,8
Intra,0.158364219661698,1,9
Intra,0.15071031813653,1,10
Intra,0.154285977759853,1,11
Intra,0.16022462831798,1,12
Intra,0.163862496600947,1,13
Intra,0.165258283966844,1,14
Intra,0.17077234861889,1,15
Intra,0.190016918358198,1,16
Intra,0.150047540789705,1,17
Intra,0.168062072509224,1,18
Intra,0.155101728882107,1,19
Intra,0.164764539900739,1,20
Intra,0.171229119232279,1,21
Intra,0.162506659811279,1,22
Intra,0.160900877219674,1,23
Intra,0.165746504226085,1,24
Intra,0.148643441507579,1,25
Intra,0.171932425566225,1,26
Intra,0.170498418333498,1,27
Intra,0.153232002337566,1,28
Intra,0.177350520232333,3,1
Intra,0.165497282222213,4,1
Intra,0.155006040450236,4,2
Intra,0.149002733769131,4,3
Intra,0.17914156501739,3,1
