Condition,PLV,Subject,Pair
Intra,0.405596677218971,3,1
Intra,0.291748153654324,15,1
Intra,0.350883154938752,15,2
Intra,0.351966411828678,15,1
Intra,0.334709559922308,15,1
Intra,0.30819991698298,15,1
Intra,0.418922331182902,3,1
Intra,0.37591905938014,3,2
Intra,0.418925656885602,3,3
Intra,0.422467748710653,3,4
Intra,0.459676727819413,3,5
Intra,0.390039982341881,3,6
Intra,0.410246525897672,3,7
Intra,0.356869700908214,3,8
Intra,0.39917031798665,3,9
Intra,0.437204167208697,3,10
Intra,0.44943956857706,8,1
Intra,0.37789528321929,8,2
Intra,0.356695104935257,8,1
Intra,0.386753349668497,9,1
Intra,0.364451723877981,9,2
Intra,0.367500983270949,9,3
Intra,0.618200707398269,9,4
Intra,0.341487459197598,16,1
Intra,0.349807886777598,17,1
Intra,0.42764926161392,8,1
Intra,0.394969494077862,8,2
Intra,0.369854114425585,11,1
Intra,0.420062929614293,17,1
Intra,0.402681062306662,17,2
Intra,0.404929660193671,17,3
Intra,0.358951860124479,17,1
Intra,0.472650736618231,3,1
Intra,0.398854855367263,3,2
Intra,0.456590679274363,3,3
Intra,0.463261881209532,3,4
Intra,0.450972458071962,3,5
Intra,0.415484039972442,3,6
Intra,0.444873413639724,3,7
Intra,0.406380377802606,3,8
Intra,0.433387766307486,3,9
Intra,0.411132786119308,3,10
Intra,0.353509141773973,7,1
Intra,0.321533161594311,14,1
Intra,0.316342259752986,14,2
Intra,0.320189961366866,14,3
Intra,0.44467075185851,1,1
Intra,0.348015908977607,1,2
Intra,0.3901705160706,1,3
Intra,0.343036920033506,1,4
Intra,0.356046574310521,14,1
Intra,0.335782643190989,14,2
Intra,0.338329539760035,14,3
Intra,0.351890194469059,14,4
Intra,0.335686165762918,14,5
Intra,0.343927836009846,14,6
Intra,0.343177866535603,14,7
Intra,0.351121556955229,14,8
Intra,0.37237789911006,14,9
Intra,0.394887485092176,14,10
Intra,0.336913502474636,14,11
Intra,0.343978848849999,14,12
Intra,0.295855023640094,18,1
Intra,0.347710689901205,18,2
Intra,0.322574322542032,13,1
Intra,0.370945895619693,15,1
Intra,0.332366028366124,15,2
Intra,0.35683300779767,15,1
Intra,0.347875844868502,15,2
Intra,0.362027264167769,13,1
Intra,0.345214346275102,13,2
Intra,0.366970837549692,13,3
Intra,0.318867959707103,15,1
Intra,0.392683744980356,15,2
Intra,0.405174597654922,13,1
Intra,0.37471030762604,13,2
Intra,0.380873844374909,13,3
Intra,0.396650378682231,10,1
Intra,0.497730476266252,10,2
Intra,0.393112363003585,10,3
Intra,0.432653577182648,10,4
Intra,0.386078543839965,10,5
Intra,0.413397814477835,13,1
Intra,0.327385207293757,13,2
Intra,0.335952234184695,13,3
Intra,0.330793660010257,13,1
Intra,0.338789341590087,13,2
Intra,0.300014440662853,13,3
Intra,0.353739562911231,17,1
Intra,0.364647453021133,17,2
Intra,0.364316392689616,17,3
Intra,0.35705638203742,17,1
Intra,0.365108685956607,15,1
Intra,0.291743466207209,14,1
Intra,0.309393252360787,14,2
Intra,0.35045441849693,14,3
Intra,0.338650428149968,14,4
Intra,0.386389954123981,15,1
Intra,0.38013056268983,4,1
Intra,0.334314474109706,5,1
Intra,0.348624779572283,5,2
Intra,0.376560243412458,5,3
Intra,0.319526387281327,15,1
Intra,0.365208472701719,2,1
Intra,0.366757707915017,2,2
Intra,0.401940812843717,2,3
Intra,0.413829965236009,2,4
Intra,0.330853127299519,2,5
Intra,0.399136929682762,2,6
Intra,0.338960839936708,2,7
