Condition,PTE,Subject,Pair
Encode,1.02505593664051,2,1
Encode,0.991034073675184,2,2
Encode,0.930662133913956,2,3
Encode,1.01257851737255,2,4
Encode,1.1040609806164,2,5
Encode,1.34013418593839,16,1
Encode,1.23209403050699,16,2
Encode,1.25726571054717,16,3
Encode,1.25579226110656,16,4
Encode,1.25090261014108,16,5
Encode,1.22446011664459,16,6
Encode,1.21141840309049,16,7
Encode,1.2781651703666,16,8
Encode,1.19034899605585,16,9
Encode,1.19130766796312,16,10
Encode,1.19570978859688,16,11
Encode,1.20351688854128,16,12
Encode,1.1808119194011,16,13
Encode,1.1577679026402,16,14
Encode,1.3802952900817,16,15
Encode,1.2634750748341,16,16
Encode,1.30988273412252,16,17
Encode,1.29581247930803,16,18
Encode,1.28622034412329,16,19
Encode,1.26310180091869,16,20
Encode,1.25001101536912,16,21
Encode,1.17542209069365,16,22
Encode,1.12411654648113,16,23
Encode,1.10021969339743,16,24
Encode,1.10664080795485,16,25
Encode,1.11800305389671,16,26
Encode,1.11193888653997,16,27
Encode,1.07552067621385,16,28
Encode,1.09549100978381,19,1
Encode,1.0639154106046,19,2
Encode,1.114582491314,19,3
Encode,1.07556986768832,19,4
Encode,0.979166480275981,19,5
Encode,0.969671611672979,19,6
Encode,1.05964511799403,19,7
Encode,1.03198622796033,19,8
Encode,0.987423285197489,19,9
Encode,0.964910842524923,19,10
Encode,1.16989812954736,19,11
Encode,1.12342385511353,19,12
Encode,1.08985061011596,19,13
Encode,1.05834218144803,19,14
Encode,1.023858603748,20,1
Encode,0.830231632474587,20,2
Encode,0.907409667382876,20,3
Encode,0.736855052102515,20,4
Encode,0.892629893697499,20,5
Encode,0.69665739857303,20,6
Encode,0.999663390063823,20,7
Encode,0.83968216103709,20,8
Encode,0.93607350295458,20,9
Encode,0.879508234677924,20,10
Encode,0.850806108813046,20,11
Encode,0.692225022845984,20,12
Encode,0.914806654245886,20,13
Encode,0.758996930074746,20,14
Encode,1.08525053634713,20,15
Encode,0.939561833472228,20,16
Encode,0.821165416765815,20,17
Encode,0.714842605745471,20,18
Encode,1.09403701526073,20,19
Encode,0.97020101534347,20,20
Encode,0.830892097948744,20,21
Encode,0.652850294047575,20,22
Encode,1.39913216954374,23,1
Encode,1.27326570316693,23,2
Encode,0.983626212539668,23,3
Encode,1.37391702923335,26,1
Encode,1.07845832567727,26,2
