Condition,Power,Subject,Pair
Power_Correct,1643.71735152922,1,1
Power_Correct,1413.83238800809,1,2
Power_Correct,625.779494691331,2,1
Power_Correct,949.083623178024,2,2
Power_Correct,567.531956759338,2,3
Power_Correct,1053.7296654846,2,4
Power_Correct,4840.47147817544,2,5
Power_Correct,71.7707222676478,3,1
Power_Correct,59.9565355996296,3,2
Power_Correct,937.915609146396,3,3
Power_Correct,18.8912962478758,3,4
Power_Correct,39.4121554438082,3,5
Power_Correct,296.438858243811,3,6
Power_Correct,239.675983900894,4,1
Power_Correct,506.59096380698,4,2
Power_Correct,293.562747849721,4,3
Power_Correct,243.5074230095,4,4
Power_Correct,936.558189967892,4,5
Power_Correct,168.138141547742,4,6
Power_Correct,95.8122172728233,4,7
Power_Correct,93.5622651203978,4,8
Power_Correct,75.6556684896397,4,9
Power_Correct,73.766415436201,4,10
Power_Correct,196.615588988708,4,11
Power_Correct,182.811451052554,4,12
Power_Correct,428.550229880924,4,13
Power_Correct,7579.9998985303,4,14
Power_Correct,176.619777096107,5,1
Power_Correct,169.904194349438,5,2
Power_Correct,235.82841355341,5,3
Power_Correct,567.734854054512,5,4
Power_Correct,429.057454420269,5,5
Power_Correct,1848.71280355064,5,6
Power_Correct,1059.89409866264,5,7
Power_Correct,1368.8639867859,5,8
Power_Correct,6864.35558881814,5,9
Power_Correct,7286.68712615432,5,10
Power_Correct,1776.44838331678,6,1
Power_Correct,910.586448717853,6,2
Power_Correct,8386.94448923288,6,3
Power_Correct,9086.44540844994,6,4
Power_Correct,483.254550553717,6,5
Power_Correct,497.07985789003,6,6
Power_Correct,44856.2566938289,6,7
Power_Correct,67.577453108843,6,8
Power_Correct,570.286177390793,6,9
Power_Correct,509.997585010526,6,10
Power_Correct,175.380087005875,6,11
Power_Correct,73.4165144817598,6,12
Power_Correct,2095.61900702885,7,1
Power_Correct,75.1601239060363,7,2
Power_Correct,337.175427696213,7,3
Power_Correct,423.716357603824,7,4
Power_Correct,355.351592267137,7,5
Power_Correct,358.432790938205,7,6
Power_Correct,254.555640527999,7,7
Power_Correct,107.164982031268,7,8
Power_Correct,185.655230093125,7,9
Power_Correct,180.559668851382,7,10
Power_Correct,493.721867901414,7,11
Power_Correct,177.903867971975,7,12
Power_Correct,366.712617252128,7,13
Power_Correct,41.1569548826305,7,14
Power_Correct,329.199769930654,7,15
Power_Correct,224.229362433993,7,16
Power_Correct,117.887955163198,7,17
Power_Correct,28.744731084835,7,18
Power_Correct,38.3088130850765,7,19
Power_Correct,151.065664825616,7,20
Power_Correct,2466.16697776758,7,21
Power_Correct,2503.34396647015,7,22
Power_Correct,414.921296014691,7,23
Power_Correct,28.9862166865955,7,24
Power_Correct,92.9240283423456,7,25
Power_Correct,141.726849331161,7,26
Power_Correct,633.966435550851,7,27
Power_Correct,1225.60592128671,7,28
Power_Correct,170.026714835395,7,29
Power_Correct,203.742011219423,7,30
Power_Correct,493.614973826318,8,1
Power_Correct,383.20145100181,8,2
Power_Correct,2352.81190728666,8,3
Power_Correct,432.522433819332,8,4
Power_Correct,1837.85603299437,8,5
Power_Correct,195.831006894146,8,6
Power_Correct,647.007348210824,8,7
Power_Correct,212.888108976065,8,8
Power_Correct,425.166844172429,8,9
Power_Correct,1302.46191897431,9,1
Power_Correct,2203.59715406196,9,2
Power_Correct,659.030836389879,9,3
Power_Correct,1438.93404307734,9,4
Power_Correct,838.208987448584,9,5
Power_Correct,3818.82844805142,9,6
Power_Correct,2024.85655274699,9,7
Power_Correct,18766.9874191732,9,8
Power_Correct,5245.42001342027,9,9
Power_Correct,738.140093288253,9,10
Power_Correct,119.70761515066,9,11
Power_Correct,20.8893441820904,9,12
Power_Correct,214.958117321392,9,13
Power_Correct,841.012757320561,9,14
Power_Correct,2083.56053230657,9,15
Power_Correct,214.954117329745,9,16
Power_Correct,2966.11953263848,10,1
Power_Correct,902.620126726748,10,2
Power_Correct,134.961705894528,10,3
Power_Correct,236.680441091605,10,4
Power_Correct,877.692857085251,11,1
Power_Correct,414.783388880567,11,2
Power_Correct,1177.76548939669,11,3
Power_Correct,707.017957732153,11,4
Power_Correct,1171.22668396036,11,5
Power_Correct,881.601962246807,11,6
Power_Correct,2828.37435847351,11,7
Power_Correct,2765.43995679427,11,8
Power_Correct,10.7090794879553,11,9
Power_Correct,278.054102304864,12,1
Power_Correct,287.703415501314,12,2
Power_Correct,808.513782205501,12,3
Power_Correct,49.2314420824154,12,4
Power_Correct,126.070154737778,12,5
Power_Correct,519.390850725185,12,6
Power_Correct,117.004407946755,12,7
Power_Correct,20.1140937229113,12,8
Power_Correct,1830.0807367599,12,9
Power_Correct,764.76793490006,12,10
Power_Correct,518.239935877235,12,11
Power_Correct,712.13489074812,12,12
Power_Correct,115.597519029976,12,13
Power_Correct,229.490294059935,12,14
Power_Correct,6375.86077695329,12,15
Power_Correct,454.639668360844,12,16
Power_Correct,420.494305069773,12,17
Power_Correct,202.205310908002,12,18
Power_Correct,71.9996364514044,12,19
Power_Correct,3368.44453585509,12,20
Power_Correct,495.777421521465,12,21
Power_Correct,15093.597482332,12,22
Power_Correct,496.57229896673,12,23
Power_Correct,7360.22322957405,12,24
Power_Correct,11663.9598026123,12,25
Power_Correct,165.187203036244,12,26
Power_Correct,301.844311532277,12,27
Power_Correct,389.794841836056,13,1
Power_Correct,892.793932030392,13,2
Power_Correct,486.863926262817,13,3
Power_Correct,83.2811079907166,13,4
Power_Correct,2540.52094746893,13,5
Power_Correct,226.873273804591,13,6
Power_Correct,788.234448040996,13,7
Power_Correct,1678.8426841617,13,8
Power_Correct,80626.1718891857,13,9
Power_Correct,408.709255285995,13,10
Power_Correct,1496.40022554523,13,11
Power_Correct,2880.36733119708,13,12
Power_Correct,5161.53241298409,13,13
Power_Correct,699.753614145554,13,14
Power_Correct,512.699850560247,14,1
Power_Correct,201.249295457844,14,2
Power_Correct,166.367392281281,14,3
Power_Correct,725.409235597453,14,4
Power_Correct,392.012845847038,14,5
Power_Correct,302.434493002363,14,6
Power_Correct,1980.05556407857,14,7
Power_Correct,725.22266958433,14,8
Power_Correct,570.730391485811,14,9
Power_Correct,718.698682440791,14,10
Power_Correct,383.609886353215,14,11
Power_Correct,1276.14746064267,15,1
Power_Correct,195.003398831002,15,2
Power_Correct,194300.593236454,15,3
Power_Correct,325.069647502119,15,4
Power_Correct,3678.37300599858,15,5
Power_Correct,103.361247283688,15,6
Power_Correct,279.838857980715,15,7
Power_Correct,187.06900450823,15,8
Power_Correct,1536.23122175377,15,9
Power_Correct,129.394845535378,15,10
Power_Correct,179.872234293251,15,11
Power_Correct,139.393134326284,15,12
Power_Correct,107.629777515583,15,13
Power_Correct,137.580378140308,15,14
Power_Correct,30.230031407286,15,15
Power_Correct,74.4764226992664,15,16
Power_Correct,15.1299646991626,15,17
Power_Correct,22.5831054197923,15,18
Power_Correct,51.0551732599011,15,19
Power_Correct,636.005326638543,16,1
Power_Correct,21954.4561422052,17,1
Power_Correct,3985.42466962716,17,2
Power_Correct,3233.95175040738,18,1
Power_Correct,1181.52879438855,18,2
Power_Correct,1003.84027132554,18,3
Power_Correct,1114.92061385342,18,4
Power_Correct,330.52440305968,19,1
Power_Correct,446.051839212011,19,2
Power_Correct,157.676465992407,19,3
Power_Correct,228.436368189678,19,4
Power_Correct,183.291600243437,19,5
Power_Correct,315.360342706183,19,6
Power_Correct,2858.49924947752,20,1
Power_Correct,558.51787417633,20,2
Power_Correct,4153.12943857937,20,3
Power_Correct,443.255581842888,20,4
Power_Correct,9264.87494732727,20,5
Power_Correct,19282.09001433,20,6
Power_Correct,110.169302785777,20,7
Power_Correct,147.365310803006,20,8
Power_Correct,1816.04302097981,20,9
Power_Correct,879.701293565511,20,10
Power_Correct,1113.72583522373,20,11
Power_Correct,257.473656206035,20,12
Power_Correct,491.804513743954,20,13
Power_Correct,287.103495901592,20,14
Power_Correct,198.087253177162,20,15
Power_Correct,428.252936958442,20,16
Power_Correct,794.216786783725,20,17
Power_Correct,435.281049278495,20,18
Power_Correct,648.718129878513,20,19
Power_Correct,1938.05487119807,20,20
Power_Correct,880.068197817325,20,21
Power_Correct,132.929481182041,21,1
Power_Correct,90.6048225658988,21,2
Power_Correct,67.2290528313478,21,3
Power_Correct,853.602455793269,21,4
Power_Correct,440.392909655675,21,5
Power_Correct,1005.90723909641,21,6
Power_Correct,184.413637022737,21,7
Power_Correct,3797.7051326046,22,1
Power_Correct,471.99044755465,22,2
Power_Correct,339.115144010811,22,3
Power_Correct,400.161232156273,22,4
Power_Correct,736.807633158955,22,5
Power_Correct,427.759369264535,22,6
Power_Correct,320.751046862456,22,7
Power_Correct,20084.71182291,22,8
Power_Correct,238.651319904167,22,9
Power_Correct,479.349301363213,22,10
Power_Correct,85.0815470416605,22,11
Power_Correct,686.011959329324,23,1
Power_Correct,796.458634668729,23,2
Power_Correct,286.318368332734,23,3
Power_Correct,1470.96672869973,23,4
Power_Correct,425.622279807796,23,5
Power_Correct,353.569493834475,23,6
