Condition,Power,Subject,Pair
Power_Encode,251.81300049276,1,1
Power_Encode,396.791188485336,1,2
Power_Encode,267.165614223344,2,1
Power_Encode,509.119736971206,2,2
Power_Encode,348.427671787777,2,3
Power_Encode,374.110857894548,2,4
Power_Encode,1196.09182305875,2,5
Power_Encode,47.1893836161419,3,1
Power_Encode,61.3983931139885,3,2
Power_Encode,51.7942070388493,3,3
Power_Encode,11.3911685860011,3,4
Power_Encode,19.0299064783807,3,5
Power_Encode,126.156297315933,3,6
Power_Encode,323.501449053403,4,1
Power_Encode,569.536443711839,4,2
Power_Encode,209.886746567478,4,3
Power_Encode,139.400813367345,4,4
Power_Encode,189.099013159584,4,5
Power_Encode,209.163985487433,4,6
Power_Encode,87.1001449909001,4,7
Power_Encode,114.328693502955,4,8
Power_Encode,43.5500623613432,4,9
Power_Encode,45.8767097993843,4,10
Power_Encode,131.792206326367,4,11
Power_Encode,55.5036961530992,4,12
Power_Encode,159.013050846164,4,13
Power_Encode,155.935123641257,4,14
Power_Encode,61.3850221153011,5,1
Power_Encode,60.431837130679,5,2
Power_Encode,61.46347279133,5,3
Power_Encode,70.1819574110143,5,4
Power_Encode,15.7777211737767,5,5
Power_Encode,108.373103474507,5,6
Power_Encode,74.5478712468083,5,7
Power_Encode,55.5716123487012,5,8
Power_Encode,227.857136920074,5,9
Power_Encode,184.339284146758,5,10
Power_Encode,141.942847315243,6,1
Power_Encode,106.109826591698,6,2
Power_Encode,146.366084994776,6,3
Power_Encode,152.921772187841,6,4
Power_Encode,83.502229087713,6,5
Power_Encode,28.176495121207,6,6
Power_Encode,442.810174307097,6,7
Power_Encode,6.65174778573749,6,8
Power_Encode,125.933996852883,6,9
Power_Encode,34.2849247709617,6,10
Power_Encode,18.5250779755633,6,11
Power_Encode,6.89421644824373,6,12
Power_Encode,1113.12241687272,7,1
Power_Encode,8.32787905035668,7,2
Power_Encode,42.6988227139607,7,3
Power_Encode,36.0206603918067,7,4
Power_Encode,68.716533727115,7,5
Power_Encode,39.1912604917322,7,6
Power_Encode,70.877977912545,7,7
Power_Encode,41.7258974779874,7,8
Power_Encode,71.5645083330651,7,9
Power_Encode,50.8989862818774,7,10
Power_Encode,61.1765029804377,7,11
Power_Encode,58.6521749300129,7,12
Power_Encode,85.3153565941999,7,13
Power_Encode,14.9246220727903,7,14
Power_Encode,51.3078141454823,7,15
Power_Encode,39.9512234979288,7,16
Power_Encode,6.44437849516434,7,17
Power_Encode,6.10925125811117,7,18
Power_Encode,5.8281280792618,7,19
Power_Encode,7.76618867125497,7,20
Power_Encode,1433.28716864284,7,21
Power_Encode,1425.38874515504,7,22
Power_Encode,42.8023607915788,7,23
Power_Encode,5.16135627032314,7,24
Power_Encode,11.248699152831,7,25
Power_Encode,125.535844559103,7,26
Power_Encode,38.8021706344423,7,27
Power_Encode,184.4017939576,7,28
Power_Encode,42.814376509965,7,29
Power_Encode,36.3477096522754,7,30
Power_Encode,50.0705878653556,8,1
Power_Encode,40.9859008860649,8,2
Power_Encode,148.819033395211,8,3
Power_Encode,64.3381570317417,8,4
Power_Encode,137.835665294327,8,5
Power_Encode,138.245996681171,8,6
Power_Encode,71.6927352648064,8,7
Power_Encode,22.1998208814244,8,8
Power_Encode,71.1896958485544,8,9
Power_Encode,258.774549288455,9,1
Power_Encode,103.764990225836,9,2
Power_Encode,52.7068279878805,9,3
Power_Encode,86.8640884087078,9,4
Power_Encode,50.5051680990806,9,5
Power_Encode,383.052166937822,9,6
Power_Encode,112.374233749945,9,7
Power_Encode,516.709253009706,9,8
Power_Encode,174.307063154336,9,9
Power_Encode,506.787375959988,9,10
Power_Encode,26.1858266212469,9,11
Power_Encode,8.38848052255879,9,12
Power_Encode,45.2533242955843,9,13
Power_Encode,56.8064624940371,9,14
Power_Encode,197.052777464973,9,15
Power_Encode,20.316954315559,9,16
Power_Encode,94.6219081291181,10,1
Power_Encode,23.2702535884027,10,2
Power_Encode,121.359643825735,10,3
Power_Encode,27.6158541273042,10,4
Power_Encode,234.487243897152,11,1
Power_Encode,115.828027473456,11,2
Power_Encode,495.161345533168,11,3
Power_Encode,331.520542247088,11,4
Power_Encode,490.640266180062,11,5
Power_Encode,385.211324416706,11,6
Power_Encode,561.545253359406,11,7
Power_Encode,572.117756160247,11,8
Power_Encode,4.14262349702915,11,9
Power_Encode,61.4896976603703,12,1
Power_Encode,46.4204311917717,12,2
Power_Encode,96.5544514299091,12,3
Power_Encode,17.1495670251074,12,4
Power_Encode,46.524628611087,12,5
Power_Encode,328.375796386331,12,6
Power_Encode,21.9216971529965,12,7
Power_Encode,3.86934854766303,12,8
Power_Encode,310.453725888729,12,9
Power_Encode,187.220232225112,12,10
Power_Encode,177.849268413041,12,11
Power_Encode,129.520371258096,12,12
Power_Encode,136.007714672563,12,13
Power_Encode,102.902564897455,12,14
Power_Encode,1010.5177342792,12,15
Power_Encode,52.6569223932703,12,16
Power_Encode,136.320018695522,12,17
Power_Encode,132.652190902667,12,18
Power_Encode,29.753785423081,12,19
Power_Encode,199.500359492865,12,20
Power_Encode,52.474603723761,12,21
Power_Encode,1334.71330196323,12,22
Power_Encode,137.606689785779,12,23
Power_Encode,791.10229491312,12,24
Power_Encode,1053.88165878126,12,25
Power_Encode,25.9555900007587,12,26
Power_Encode,232.413104453932,12,27
Power_Encode,42.2695694809783,13,1
Power_Encode,46.2602067379539,13,2
Power_Encode,44.8621209734113,13,3
Power_Encode,28.3521804818976,13,4
Power_Encode,222.349452146325,13,5
Power_Encode,22.5555712577099,13,6
Power_Encode,30.9398471500817,13,7
Power_Encode,94.7841702796664,13,8
Power_Encode,659.355231295529,13,9
Power_Encode,8.65029115904121,13,10
Power_Encode,65.2941888796414,13,11
Power_Encode,44.9219006364203,13,12
Power_Encode,232.146100710133,13,13
Power_Encode,36.7196885146171,13,14
Power_Encode,29.9199030357305,14,1
Power_Encode,23.6243514716998,14,2
Power_Encode,9.25919262231568,14,3
Power_Encode,66.4952371348914,14,4
Power_Encode,36.5119119370349,14,5
Power_Encode,8.93779894837535,14,6
Power_Encode,153.562609865236,14,7
Power_Encode,72.3226721034482,14,8
Power_Encode,38.959127940519,14,9
Power_Encode,65.2612821423849,14,10
Power_Encode,109.880682509092,14,11
Power_Encode,227.929905187965,15,1
Power_Encode,25.3532534975363,15,2
Power_Encode,850.617710073774,15,3
Power_Encode,90.854000005576,15,4
Power_Encode,345.170862895365,15,5
Power_Encode,40.3779157127196,15,6
Power_Encode,61.5223479517955,15,7
Power_Encode,45.8203743644817,15,8
Power_Encode,167.230517676281,15,9
Power_Encode,30.0793171440356,15,10
Power_Encode,19.0349838125597,15,11
Power_Encode,15.5246335185799,15,12
Power_Encode,28.6198113402398,15,13
Power_Encode,43.5167869229321,15,14
Power_Encode,16.1426372248995,15,15
Power_Encode,19.8497123299206,15,16
Power_Encode,7.50036865131543,15,17
Power_Encode,12.6007131980945,15,18
Power_Encode,9.82385807484687,15,19
Power_Encode,7.23863059702785,16,1
Power_Encode,6.82419981248714,17,1
Power_Encode,5.44389338814249,17,2
Power_Encode,367.347744219397,18,1
Power_Encode,182.263127262487,18,2
Power_Encode,88.1300831003076,18,3
Power_Encode,184.165863625437,18,4
Power_Encode,18.6062395469456,19,1
Power_Encode,10.0456580432486,19,2
Power_Encode,9.93205144906873,19,3
Power_Encode,14.587123825486,19,4
Power_Encode,10.4234669389515,19,5
Power_Encode,60.4168360881991,19,6
Power_Encode,896.336062672271,20,1
Power_Encode,123.301021232224,20,2
Power_Encode,782.6665408251,20,3
Power_Encode,282.900484347721,20,4
Power_Encode,1549.08696410445,20,5
Power_Encode,1807.95377608446,20,6
Power_Encode,120.017321611144,20,7
Power_Encode,130.707923630996,20,8
Power_Encode,3425.06698053121,20,9
Power_Encode,1080.73120275702,20,10
Power_Encode,1429.12823017384,20,11
Power_Encode,312.741805250227,20,12
Power_Encode,1003.15630407012,20,13
Power_Encode,2184.35174304237,20,14
Power_Encode,1635.33383708863,20,15
Power_Encode,2772.50719925281,20,16
Power_Encode,2671.42558121787,20,17
Power_Encode,1617.54085780664,20,18
Power_Encode,4446.81502917536,20,19
Power_Encode,8417.28336431491,20,20
Power_Encode,1810.41649238648,20,21
Power_Encode,80.6149627664337,21,1
Power_Encode,13.1413889801921,21,2
Power_Encode,23.5446095302831,21,3
Power_Encode,137.581615391661,21,4
Power_Encode,101.332426692104,21,5
Power_Encode,91.3844699449135,21,6
Power_Encode,13.3655723229601,21,7
Power_Encode,240.172192525959,22,1
Power_Encode,92.5846226595331,22,2
Power_Encode,59.9945277602926,22,3
Power_Encode,22.5755341475619,22,4
Power_Encode,26.9144795399914,22,5
Power_Encode,40.6390092699363,22,6
Power_Encode,16.7914493895154,22,7
Power_Encode,340.393975302374,22,8
Power_Encode,21.0623735282478,22,9
Power_Encode,5.16946469242983,22,10
Power_Encode,14.577630821384,22,11
Power_Encode,135.280959145892,23,1
Power_Encode,108.546377040067,23,2
Power_Encode,83.885605595798,23,3
Power_Encode,175.598181224038,23,4
Power_Encode,74.7674113594209,23,5
Power_Encode,51.4676184187828,23,6
Power_Encode,60.1045352228961,23,7
Power_Encode,4696.52832888655,24,1
Power_Encode,7022.72965880394,24,2
Power_Encode,10263.1738491099,24,3
Power_Encode,9205.07661908418,24,4
Power_Encode,23644.2436995669,24,5
Power_Encode,7264.6731095774,24,6
Power_Encode,14014.3722729911,24,7
Power_Encode,3905.62368644265,24,8
Power_Encode,119.923845410293,24,9
Power_Encode,40.4387124983126,25,1
Power_Encode,29.5484642625415,25,2
Power_Encode,99.8651784517092,25,3
Power_Encode,3597.89314460806,26,1
Power_Encode,2554.54732207377,26,2
Power_Encode,3501.68175672794,26,3
Power_Encode,7266.942291098,27,1
