Condition,Power,Subject,Pair
Power_Encode,56.6350869701144,1,1
Power_Encode,45.7118590029868,1,2
Power_Encode,25.1546339424134,2,1
Power_Encode,78.0658842872825,2,2
Power_Encode,65.0834062246171,2,3
Power_Encode,66.1843975845828,2,4
Power_Encode,87.6535448938379,2,5
Power_Encode,14.2663936033198,3,1
Power_Encode,7.85737946439151,3,2
Power_Encode,33.5937183041804,3,3
Power_Encode,3.17084112943208,3,4
Power_Encode,3.82051882909201,3,5
Power_Encode,14.0316071333484,3,6
Power_Encode,70.5046709839294,4,1
Power_Encode,110.09033450011,4,2
Power_Encode,27.7756494644329,4,3
Power_Encode,18.5006264298565,4,4
Power_Encode,27.0596744871094,4,5
Power_Encode,19.6949055778079,4,6
Power_Encode,12.6380034825199,4,7
Power_Encode,13.8009332738373,4,8
Power_Encode,8.83166872167216,4,9
Power_Encode,9.58034026289324,4,10
Power_Encode,11.9413617526494,4,11
Power_Encode,10.9223626095192,4,12
Power_Encode,93.8452371217246,4,13
Power_Encode,83.3510836363633,4,14
Power_Encode,38.6776932958597,5,1
Power_Encode,40.7275276619678,5,2
Power_Encode,38.8539549554592,5,3
Power_Encode,20.8138573068551,5,4
Power_Encode,3.20316501131123,5,5
Power_Encode,26.1929880854037,5,6
Power_Encode,20.6201029444841,5,7
Power_Encode,14.0451369378308,5,8
Power_Encode,75.8702932714003,5,9
Power_Encode,59.6868536713659,5,10
Power_Encode,21.9031027741435,6,1
Power_Encode,30.2126361050548,6,2
Power_Encode,26.2973863430418,6,3
Power_Encode,17.3542292605249,6,4
Power_Encode,18.5159254334063,6,5
Power_Encode,7.11514068433178,6,6
Power_Encode,786.008975737266,6,7
Power_Encode,8.14068133279198,6,8
Power_Encode,29.8981855363329,6,9
Power_Encode,8.53855913449254,6,10
Power_Encode,7.36818308080979,6,11
Power_Encode,3.63308379470687,6,12
Power_Encode,592.004509124057,7,1
Power_Encode,5.40219393445471,7,2
Power_Encode,16.7640846683988,7,3
Power_Encode,17.0949118688785,7,4
Power_Encode,25.3695138732323,7,5
Power_Encode,15.5404637997209,7,6
Power_Encode,24.5330502635558,7,7
Power_Encode,18.9053083035053,7,8
Power_Encode,21.9670136754675,7,9
Power_Encode,15.280408380498,7,10
Power_Encode,21.3152281621896,7,11
Power_Encode,22.3973118801234,7,12
Power_Encode,24.9371692850124,7,13
Power_Encode,6.24731456766415,7,14
Power_Encode,19.2706215533279,7,15
Power_Encode,13.3685497039827,7,16
Power_Encode,3.62505418541124,7,17
Power_Encode,3.03934455084463,7,18
Power_Encode,3.26149376050902,7,19
Power_Encode,3.4133447251949,7,20
Power_Encode,840.401082061417,7,21
Power_Encode,835.669394421912,7,22
Power_Encode,14.23743614757,7,23
Power_Encode,5.13254643266371,7,24
Power_Encode,5.64412783757792,7,25
Power_Encode,164.260752197623,7,26
Power_Encode,13.2773891031634,7,27
Power_Encode,69.024311970703,7,28
Power_Encode,13.0896504883672,7,29
Power_Encode,9.54982354134553,7,30
Power_Encode,6.2463085062242,8,1
Power_Encode,6.2192255555873,8,2
Power_Encode,27.5292245852813,8,3
Power_Encode,22.8582053840302,8,4
Power_Encode,35.9455919279431,8,5
Power_Encode,24.3012869442518,8,6
Power_Encode,7.86680957270121,8,7
Power_Encode,6.7403588462524,8,8
Power_Encode,12.7143428222115,8,9
Power_Encode,24.5946574453805,9,1
Power_Encode,13.6932011148744,9,2
Power_Encode,6.15454548080424,9,3
Power_Encode,8.36006167225974,9,4
Power_Encode,7.94097690812742,9,5
Power_Encode,47.621623906743,9,6
Power_Encode,18.3937777729328,9,7
Power_Encode,20.2021789445824,9,8
Power_Encode,9.83545974755105,9,9
Power_Encode,34.5434890053181,9,10
Power_Encode,12.1754737176853,9,11
Power_Encode,3.54944678881766,9,12
Power_Encode,5.8805576913927,9,13
Power_Encode,4.51235035011426,9,14
Power_Encode,75.1455155945655,9,15
Power_Encode,8.70578523822394,9,16
Power_Encode,3.64903397258605,10,1
Power_Encode,2.99121398542211,10,2
Power_Encode,8.657002556196,10,3
Power_Encode,10.578380229702,10,4
Power_Encode,64.2862274951257,11,1
Power_Encode,27.7201814038317,11,2
Power_Encode,144.810478737185,11,3
Power_Encode,67.3604278734863,11,4
Power_Encode,158.235719584307,11,5
Power_Encode,142.892593542221,11,6
Power_Encode,156.732322715453,11,7
Power_Encode,155.451513858865,11,8
Power_Encode,4.23946493307246,11,9
Power_Encode,18.5328138652536,12,1
Power_Encode,13.8792375639793,12,2
Power_Encode,30.0444949709262,12,3
Power_Encode,8.28963903468011,12,4
Power_Encode,17.7862116079845,12,5
Power_Encode,672.514311651156,12,6
Power_Encode,9.31351127989308,12,7
Power_Encode,3.64066208464793,12,8
Power_Encode,13.4073126187302,12,9
Power_Encode,15.7533766310613,12,10
Power_Encode,15.019701460462,12,11
Power_Encode,10.3422019676471,12,12
Power_Encode,22.9615611497816,12,13
Power_Encode,37.220700491107,12,14
Power_Encode,1853.00143774498,12,15
Power_Encode,20.0364169510252,12,16
Power_Encode,65.0730399839917,12,17
Power_Encode,26.2918222748813,12,18
Power_Encode,9.29543103658751,12,19
Power_Encode,73.4081344500333,12,20
Power_Encode,43.7891564315885,12,21
Power_Encode,3381.73415425384,12,22
Power_Encode,22.9560704887854,12,23
Power_Encode,248.713100297671,12,24
Power_Encode,337.228229300469,12,25
Power_Encode,11.6028343374632,12,26
Power_Encode,17.6296428584622,12,27
Power_Encode,11.5574819451471,13,1
Power_Encode,13.3303826437695,13,2
Power_Encode,21.5223059746231,13,3
Power_Encode,15.2344497786263,13,4
Power_Encode,36.0194690800162,13,5
Power_Encode,8.6900307875263,13,6
Power_Encode,9.77086062687321,13,7
Power_Encode,7.04402202223855,13,8
Power_Encode,287.714570126951,13,9
Power_Encode,2.57715528265422,13,10
Power_Encode,14.9869492473315,13,11
Power_Encode,7.14494348049901,13,12
Power_Encode,30.4392357867281,13,13
Power_Encode,7.61096181057467,13,14
Power_Encode,10.130976996363,14,1
Power_Encode,9.89792286312315,14,2
Power_Encode,4.65784121478587,14,3
Power_Encode,21.1769081913305,14,4
Power_Encode,9.92263091684208,14,5
Power_Encode,3.5649524554859,14,6
Power_Encode,40.5616655051365,14,7
Power_Encode,25.4008769940129,14,8
Power_Encode,15.113975679141,14,9
Power_Encode,18.3904038261765,14,10
Power_Encode,14.0940576855816,14,11
Power_Encode,92.3358109179812,15,1
Power_Encode,3.96982655217211,15,2
Power_Encode,254.468743450414,15,3
Power_Encode,58.297536531544,15,4
Power_Encode,131.994687328959,15,5
Power_Encode,10.9650636645115,15,6
Power_Encode,4.76389071209881,15,7
Power_Encode,14.7768423290632,15,8
Power_Encode,36.9539292993746,15,9
Power_Encode,3.78733792981456,15,10
Power_Encode,4.13484152425279,15,11
Power_Encode,6.23792456902454,15,12
Power_Encode,12.8780835796301,15,13
Power_Encode,23.0678869687605,15,14
Power_Encode,2.86121536870536,15,15
Power_Encode,3.93758000238182,15,16
Power_Encode,4.03390142184543,15,17
Power_Encode,4.09269200190361,15,18
Power_Encode,3.64691505208312,15,19
Power_Encode,3.73995732207483,16,1
Power_Encode,4.61315275333018,17,1
Power_Encode,6.26836839859299,17,2
Power_Encode,51.1725956535623,18,1
Power_Encode,40.7905105027905,18,2
Power_Encode,12.835786732556,18,3
Power_Encode,85.0536007687712,18,4
Power_Encode,6.51845949825424,19,1
Power_Encode,5.42058806216793,19,2
Power_Encode,4.01816615438723,19,3
Power_Encode,5.59774508060432,19,4
Power_Encode,3.97007880881972,19,5
Power_Encode,5.96904878624479,19,6
Power_Encode,30.7862731478592,20,1
Power_Encode,22.3335382688045,20,2
Power_Encode,63.9781827727067,20,3
Power_Encode,20.5288418827994,20,4
Power_Encode,94.5893630042975,20,5
Power_Encode,42.9046264431329,20,6
Power_Encode,29.6199729792411,20,7
Power_Encode,28.1842590328547,20,8
Power_Encode,386.905367838121,20,9
Power_Encode,92.5503748615035,20,10
Power_Encode,123.840252533875,20,11
Power_Encode,28.7176061735149,20,12
Power_Encode,84.9095767844887,20,13
Power_Encode,123.502862107961,20,14
Power_Encode,99.4800656972247,20,15
Power_Encode,149.822553097217,20,16
Power_Encode,219.499689106407,20,17
Power_Encode,173.352122465852,20,18
Power_Encode,360.902042905382,20,19
Power_Encode,688.968831373725,20,20
Power_Encode,121.182934632931,20,21
Power_Encode,5.67379879183526,21,1
Power_Encode,3.66486800096767,21,2
Power_Encode,5.17027844755342,21,3
Power_Encode,46.0715872247018,21,4
Power_Encode,39.0243950561942,21,5
Power_Encode,26.0906638537945,21,6
Power_Encode,7.08160478830759,21,7
Power_Encode,194.390371707642,22,1
Power_Encode,14.1278783975318,22,2
Power_Encode,10.2767683988191,22,3
Power_Encode,4.06681578655648,22,4
Power_Encode,14.3443881188029,22,5
Power_Encode,16.0576988637941,22,6
Power_Encode,6.52401604446515,22,7
Power_Encode,164.781873510254,22,8
Power_Encode,11.4463307998775,22,9
Power_Encode,2.46598350130464,22,10
Power_Encode,4.08622180647465,22,11
Power_Encode,9.0611356483245,23,1
Power_Encode,8.0402437400735,23,2
Power_Encode,7.82091960848325,23,3
Power_Encode,12.3574358589533,23,4
Power_Encode,6.53366386524636,23,5
Power_Encode,9.62918041093535,23,6
Power_Encode,10.7885139451505,23,7
Power_Encode,397.136479425941,24,1
Power_Encode,802.044738402972,24,2
Power_Encode,4337.52238869593,24,3
Power_Encode,5700.8419464687,24,4
Power_Encode,12753.8239450869,24,5
Power_Encode,914.310820721982,24,6
Power_Encode,1424.365534372,24,7
Power_Encode,934.481200531175,24,8
Power_Encode,75.1168559388113,24,9
Power_Encode,9.21670045982565,25,1
Power_Encode,6.91702018485648,25,2
Power_Encode,34.3620779053931,25,3
Power_Encode,232.652591187498,26,1
Power_Encode,141.837391187171,26,2
Power_Encode,134.693947687779,26,3
Power_Encode,3878.16087731845,27,1
Power_Encode,6597.07749745089,27,2
Power_Encode,16505.0757995914,27,3
Power_Encode,3443.73971528687,27,4
Power_Encode,8611.70747261632,27,5
Power_Encode,17690.827262475,27,6
Power_Encode,1272.62873287695,27,7
Power_Encode,2963.80142229411,27,8
Power_Encode,1156.42843067771,27,9
Power_Encode,8.12684960117491,28,1
Power_Encode,53.0096734532147,28,2
Power_Encode,12.5926599159934,28,3
Power_Encode,2.59160180712296,28,4
Power_Encode,11.8229917580099,28,5
Power_Encode,354.126212687976,28,6
Power_Encode,10.8865475407025,28,7
Power_Encode,11.8427661796231,28,8
Power_Encode,10.5027793374963,28,9
Power_Encode,6.93857249837725,28,10
Power_Encode,16.6808434785126,28,11
Power_Encode,1107.04078662702,29,1
Power_Encode,4175.55278503718,29,2
Power_Encode,2997.97183795696,29,3
Power_Encode,323.523611394795,29,4
Power_Encode,1891.75204596846,29,5
Power_Encode,2657.46024593626,29,6
Power_Encode,1731.92494272698,29,7
Power_Encode,290.887631931216,29,8
Power_Encode,1639.25612266418,29,9
Power_Encode,110.394694930168,29,10
Power_Encode,1046.03810273185,29,11
Power_Encode,42454.1854862368,29,12
Power_Encode,15789.4275595859,29,13
Power_Encode,16475.0853270943,29,14
Power_Encode,34888.1041095833,29,15
Power_Encode,4594.11725756816,29,16
Power_Encode,2886.18382320307,29,17
Power_Encode,5050.11653078105,29,18
Power_Encode,5337.60500150083,29,19
Power_Encode,1388.7410785884,29,20
Power_Encode,4916.68594198189,29,21
Power_Encode,12768.9683685861,29,22
Power_Encode,2209.29015746797,29,23
Power_Encode,1169.09361827533,29,24
Power_Encode,554.444112707804,30,1
Power_Encode,543.613098974597,30,2
Power_Encode,1451.03582165329,30,3
Power_Encode,378.250434267765,30,4
Power_Encode,1158.60568756737,30,5
Power_Encode,1332.02472608254,30,6
Power_Encode,1261.13581722938,30,7
Power_Encode,771.071242347576,30,8
Power_Encode,197.93648236928,30,9
Power_Encode,182.755800514904,30,10
Power_Encode,218.459374344022,30,11
Power_Encode,1063.71174772368,30,12
Power_Encode,565.705907450929,30,13
Power_Encode,1318.05308433724,30,14
Power_Encode,1492.21073710263,30,15
Power_Encode,822.195160968508,30,16
Power_Encode,992.028117450626,30,17
Power_Encode,366.984491743195,30,18
Power_Encode,528.38281547044,30,19
Power_Encode,566.57675877508,31,1
Power_Encode,273.603682065266,31,2
Power_Encode,190.071313979898,31,3
Power_Encode,997.620748835696,31,4
Power_Encode,1369.33372351983,31,5
Power_Encode,1648.53703733867,31,6
Power_Encode,1790.46464335581,31,7
Power_Encode,111.014839402319,31,8
Power_Encode,1166.48116732729,31,9
Power_Encode,389.997318730324,31,10
Power_Encode,225.972389459911,31,11
Power_Encode,205.381360037294,31,12
Power_Encode,12242.2306090561,31,13
Power_Encode,25231.454690737,31,14
Power_Encode,2164.27415197014,31,15
Power_Encode,267.93980227634,32,1
Power_Encode,166.823882381635,32,2
Power_Encode,326.151486648373,32,3
Power_Encode,364.338241137238,32,4
Power_Encode,408.148994086404,32,5
Power_Rest,2507.83249658554,1,1
Power_Rest,85386.0774499287,1,2
Power_Rest,55.7552981258114,2,1
Power_Rest,47.6667689354087,2,2
Power_Rest,27.0512157444455,3,1
Power_Rest,85.7088889174826,3,2
Power_Rest,73.1789358549475,3,3
Power_Rest,61.7642314628825,3,4
Power_Rest,95.346294019085,3,5
Power_Rest,16.3032079128073,4,1
Power_Rest,7.75477446317831,4,2
Power_Rest,126.436144923163,4,3
Power_Rest,3.08003180049323,4,4
Power_Rest,3.8079320570939,4,5
Power_Rest,15.0099199894051,4,6
Power_Rest,75.7602369059806,5,1
Power_Rest,125.918068927618,5,2
Power_Rest,31.3557110563583,5,3
Power_Rest,16.7749221230346,5,4
Power_Rest,28.9961073738274,5,5
Power_Rest,34.5684581804649,5,6
Power_Rest,10.1189464629239,5,7
Power_Rest,11.3121109596467,5,8
Power_Rest,8.25049410299416,5,9
Power_Rest,9.45856518743506,5,10
Power_Rest,14.0699631942793,5,11
Power_Rest,10.8549599036634,5,12
Power_Rest,87.2811903062077,5,13
Power_Rest,85.9040071630974,5,14
Power_Rest,38.567082840811,6,1
Power_Rest,39.2597195750471,6,2
Power_Rest,38.4484360720257,6,3
Power_Rest,19.6195475567692,6,4
Power_Rest,3.00365571301216,6,5
Power_Rest,27.3231650585423,6,6
Power_Rest,22.2456657489931,6,7
Power_Rest,14.0002464794554,6,8
Power_Rest,74.9961932643634,6,9
Power_Rest,58.4131071781591,6,10
Power_Rest,19.5679989644755,7,1
Power_Rest,29.3851414349522,7,2
Power_Rest,19.5613998816865,7,3
Power_Rest,15.4639849893661,7,4
Power_Rest,18.0047588876391,7,5
Power_Rest,5.8842096264154,7,6
Power_Rest,25.55413820159,7,7
Power_Rest,8.72589950520098,7,8
Power_Rest,30.2551356651499,7,9
Power_Rest,8.75927105283673,7,10
Power_Rest,8.44893956803627,7,11
Power_Rest,3.59366362739462,7,12
Power_Rest,109.923324314199,8,1
Power_Rest,5.58171693622546,8,2
Power_Rest,15.1379809240593,8,3
Power_Rest,17.1144365679384,8,4
Power_Rest,26.1717683137702,8,5
Power_Rest,15.673710653106,8,6
Power_Rest,26.1914030392945,8,7
Power_Rest,23.6269297465214,8,8
Power_Rest,25.2243905351351,8,9
Power_Rest,16.6172586566539,8,10
Power_Rest,25.6622292512278,8,11
Power_Rest,26.3080674829398,8,12
Power_Rest,29.3685030785467,8,13
Power_Rest,6.13352351786073,8,14
Power_Rest,22.0751694265339,8,15
Power_Rest,14.8855258361392,8,16
Power_Rest,3.87984381269132,8,17
Power_Rest,3.0558157650549,8,18
Power_Rest,3.23411893233894,8,19
Power_Rest,3.34446997764113,8,20
Power_Rest,174.316189514962,8,21
Power_Rest,168.506439319826,8,22
Power_Rest,16.7488291658629,8,23
Power_Rest,5.42532455969942,8,24
Power_Rest,6.24829038327044,8,25
Power_Rest,142.010092589706,8,26
Power_Rest,15.4084285665985,8,27
Power_Rest,67.0958552833051,8,28
Power_Rest,12.6857203497336,8,29
Power_Rest,10.3387055537517,8,30
Power_Rest,5.00220240480988,9,1
Power_Rest,5.88137569999702,9,2
Power_Rest,22.8695902163728,9,3
Power_Rest,19.156796223951,9,4
Power_Rest,25.7719882022683,9,5
Power_Rest,17.9162338243226,9,6
Power_Rest,7.98368377301634,9,7
Power_Rest,3.39698037005787,9,8
Power_Rest,7.51407137725011,9,9
Power_Rest,40.0379967186298,10,1
Power_Rest,14.8065174550764,10,2
Power_Rest,6.45521853703886,10,3
Power_Rest,9.89960311150249,10,4
Power_Rest,8.91223519798399,10,5
Power_Rest,47.4889760848428,10,6
Power_Rest,20.5783210136159,10,7
Power_Rest,25.9581322150575,10,8
Power_Rest,10.2058554988925,10,9
Power_Rest,37.9279845575714,10,10
Power_Rest,12.710391149425,10,11
Power_Rest,3.58935351063697,10,12
Power_Rest,5.82098372866994,10,13
Power_Rest,4.40152728376189,10,14
Power_Rest,75.2210306935721,10,15
Power_Rest,8.96679307508155,10,16
Power_Rest,3.69969470643133,11,1
Power_Rest,2.98562436682365,11,2
Power_Rest,6.76015403909866,11,3
Power_Rest,10.4482079097786,11,4
Power_Rest,63.403708881545,12,1
Power_Rest,27.9017110499636,12,2
Power_Rest,155.04995508706,12,3
Power_Rest,64.289938621256,12,4
Power_Rest,161.785240714231,12,5
Power_Rest,136.603907899698,12,6
Power_Rest,150.07174289011,12,7
Power_Rest,150.826912484162,12,8
Power_Rest,2.65336034621491,12,9
Power_Rest,17.0218308581848,13,1
Power_Rest,12.0777716610301,13,2
Power_Rest,26.5161883756544,13,3
Power_Rest,6.99305791447174,13,4
Power_Rest,18.0601604215454,13,5
Power_Rest,135.805538534408,13,6
Power_Rest,9.44544187254827,13,7
Power_Rest,2.66848900658654,13,8
Power_Rest,14.5478725398821,13,9
Power_Rest,16.3886177303349,13,10
Power_Rest,14.9546093697407,13,11
Power_Rest,8.3455672876362,13,12
Power_Rest,26.6471671112272,13,13
Power_Rest,33.5260190111524,13,14
Power_Rest,529.547613811493,13,15
Power_Rest,22.2388726646935,13,16
Power_Rest,57.9953886144004,13,17
Power_Rest,28.8038871480094,13,18
Power_Rest,9.74163766169822,13,19
Power_Rest,76.269479546028,13,20
Power_Rest,25.5169561666806,13,21
Power_Rest,580.025944852606,13,22
Power_Rest,24.5116754226776,13,23
Power_Rest,283.520276667131,13,24
Power_Rest,387.538260579354,13,25
Power_Rest,11.8213579377484,13,26
Power_Rest,19.6915377571454,13,27
Power_Rest,16.8515728295401,14,1
Power_Rest,54.281150472731,14,2
Power_Rest,31.3467394869934,14,3
Power_Rest,24.5922751336484,14,4
Power_Rest,53.1775725882945,14,5
Power_Rest,24.9529653761165,14,6
Power_Rest,10.7281078240387,14,7
Power_Rest,19.7918189944803,14,8
Power_Rest,304.297705913752,14,9
Power_Rest,3.218141952931,14,10
Power_Rest,16.9516221887168,14,11
Power_Rest,11.9548424051926,14,12
Power_Rest,32.3360083420908,14,13
Power_Rest,15.5448857184989,14,14
Power_Rest,11.5811006062435,15,1
Power_Rest,12.2567389486551,15,2
Power_Rest,4.74076130230546,15,3
Power_Rest,20.8802021277439,15,4
Power_Rest,10.4860372946199,15,5
Power_Rest,3.54968880417261,15,6
Power_Rest,42.2382851722982,15,7
Power_Rest,25.5374605829465,15,8
Power_Rest,16.1506448032908,15,9
Power_Rest,20.5343378293202,15,10
Power_Rest,14.670737974361,15,11
Power_Rest,90.6182835443909,16,1
Power_Rest,3.98802103550417,16,2
Power_Rest,649.323890272263,16,3
Power_Rest,57.6566230478286,16,4
Power_Rest,136.115208940276,16,5
Power_Rest,11.7399948153857,16,6
Power_Rest,4.91218014421911,16,7
Power_Rest,15.3568094141972,16,8
Power_Rest,38.5519999314549,16,9
Power_Rest,4.2793237329121,16,10
Power_Rest,4.7826320856051,16,11
Power_Rest,6.3378102091351,16,12
Power_Rest,13.0158320996286,16,13
Power_Rest,23.8261004354236,16,14
Power_Rest,3.02142222415479,16,15
Power_Rest,3.73404768031765,16,16
Power_Rest,3.97016283785989,16,17
Power_Rest,3.72924956799841,16,18
Power_Rest,3.61428645255129,16,19
Power_Rest,3.53238630891477,17,1
Power_Rest,2.44291591428297,18,1
Power_Rest,2.0851544487323,18,2
Power_Rest,50.3117415669846,19,1
Power_Rest,41.5991073205889,19,2
Power_Rest,13.7014130860341,19,3
Power_Rest,44.4025257164577,19,4
Power_Rest,6.58940271368217,20,1
Power_Rest,5.43324970506205,20,2
Power_Rest,3.64005612664108,20,3
Power_Rest,5.68570901027364,20,4
Power_Rest,3.99809194354433,20,5
Power_Rest,5.58314164847608,20,6
Power_Rest,32.3156378478209,21,1
Power_Rest,8.70251441586334,21,2
Power_Rest,17.1897770480739,21,3
Power_Rest,19.1398025158463,21,4
Power_Rest,80.0738753459325,21,5
Power_Rest,37.845818328734,21,6
Power_Rest,20.9731544550864,21,7
Power_Rest,19.8442691948822,21,8
Power_Rest,383.358088047697,21,9
Power_Rest,89.8891596082325,21,10
Power_Rest,104.573976013588,21,11
Power_Rest,24.5049958888847,21,12
Power_Rest,82.3731200345915,21,13
Power_Rest,106.658228326588,21,14
Power_Rest,99.3324662504804,21,15
Power_Rest,156.53619111119,21,16
Power_Rest,191.510627853297,21,17
Power_Rest,172.662075067087,21,18
Power_Rest,266.634945547097,21,19
Power_Rest,464.235024121971,21,20
Power_Rest,160.404140400746,21,21
Power_Rest,5.83774970345188,22,1
Power_Rest,3.56820752288222,22,2
Power_Rest,5.61288217799139,22,3
Power_Rest,45.2478492872036,22,4
Power_Rest,39.2452309098308,22,5
Power_Rest,26.3899705602452,22,6
Power_Rest,6.93413478963898,22,7
Power_Rest,14.7053762818486,23,1
Power_Rest,12.9111491283611,23,2
Power_Rest,10.1611501656068,23,3
Power_Rest,4.27964695414453,23,4
Power_Rest,13.8746138491389,23,5
Power_Rest,13.9913320019132,23,6
Power_Rest,5.36238599851453,23,7
Power_Rest,188.709688347853,23,8
Power_Rest,12.3924172559387,23,9
Power_Rest,2.31499019639675,23,10
Power_Rest,3.6861750351681,23,11
Power_Rest,10.0402296171512,24,1
Power_Rest,8.70635863819848,24,2
Power_Rest,8.06253161404273,24,3
Power_Rest,11.3497868612496,24,4
Power_Rest,7.28991749940397,24,5
Power_Rest,11.2893807245306,24,6
Power_Rest,12.5443880576489,24,7
Power_Rest,416.216213514372,25,1
Power_Rest,956.186247777185,25,2
Power_Rest,4451.03391745978,25,3
Power_Rest,5548.60994145376,25,4
Power_Rest,13219.2717660468,25,5
Power_Rest,928.779177851453,25,6
Power_Rest,1406.32186349426,25,7
Power_Rest,1045.12375921455,25,8
Power_Rest,74.3041550991229,25,9
Power_Rest,9.50027339876863,26,1
Power_Rest,6.82709542315674,26,2
Power_Rest,23.4864953955816,26,3
Power_Rest,219.864952403585,27,1
Power_Rest,134.573050414883,27,2
Power_Rest,126.030598899571,27,3
Power_Rest,3826.28440210204,28,1
Power_Rest,6483.42605650937,28,2
Power_Rest,190801.673228224,28,3
Power_Rest,3706.56470660081,28,4
Power_Rest,9310.23162403013,28,5
Power_Rest,10435.3964160601,28,6
Power_Rest,1313.96292595133,28,7
Power_Rest,2714.46977501752,28,8
Power_Rest,1255.41840401711,28,9
Power_Rest,8.16173557183534,29,1
Power_Rest,50.772105734751,29,2
Power_Rest,13.3625094756013,29,3
Power_Rest,2.36167209702174,29,4
Power_Rest,11.2154376066084,29,5
Power_Rest,109.770330135923,29,6
Power_Rest,11.8589519232359,29,7
Power_Rest,13.1843736357022,29,8
Power_Rest,11.1249877592792,29,9
Power_Rest,6.74892126566257,29,10
Power_Rest,15.6550709266036,29,11
Power_Rest,1172.18786005879,30,1
Power_Rest,4680.57938515646,30,2
Power_Rest,4218.04138835344,30,3
Power_Rest,600.138944729544,30,4
Power_Rest,1702.98764889811,30,5
Power_Rest,2352.7978956251,30,6
Power_Rest,1661.81196689468,30,7
Power_Rest,342.111998630528,30,8
Power_Rest,1812.09612093095,30,9
Power_Rest,113.794021642118,30,10
Power_Rest,1137.53945648118,30,11
Power_Rest,28400.5176275791,30,12
Power_Rest,9154.0930005997,30,13
Power_Rest,9769.17840344007,30,14
Power_Rest,21374.5221717328,30,15
Power_Rest,3497.95644210423,30,16
Power_Rest,2144.21469435679,30,17
Power_Rest,3273.03446595766,30,18
Power_Rest,3876.61245593628,30,19
Power_Rest,1387.54287635218,30,20
Power_Rest,243213.859288275,30,21
Power_Rest,272593.349950596,30,22
Power_Rest,2115.33868630757,30,23
Power_Rest,1182.42041939187,30,24
Power_Rest,543.224011658913,31,1
Power_Rest,589.314429815807,31,2
Power_Rest,1433.50141981175,31,3
Power_Rest,361.798753678055,31,4
Power_Rest,1168.54625580402,31,5
Power_Rest,1278.76901680788,31,6
Power_Rest,1225.67226343207,31,7
Power_Rest,702.292260501142,31,8
Power_Rest,221.582365297977,31,9
Power_Rest,192.099583664561,31,10
Power_Rest,228.040313100121,31,11
Power_Rest,1092.29800847036,31,12
Power_Rest,615.073049938906,31,13
Power_Rest,1347.36221624189,31,14
Power_Rest,1512.98556890737,31,15
Power_Rest,811.196116196624,31,16
Power_Rest,1084.10728020686,31,17
Power_Rest,455.05862277904,31,18
Power_Rest,627.363682294163,31,19
Power_Rest,473.191847876491,32,1
Power_Rest,281.857641666444,32,2
Power_Rest,192.398429143326,32,3
Power_Rest,1044.55946656589,32,4
Power_Rest,1563.71545993404,32,5
Power_Rest,1981.91035755784,32,6
Power_Rest,2012.57056163199,32,7
Power_Rest,113.51906219767,32,8
Power_Rest,1207.24986945993,32,9
Power_Rest,437.159201963887,32,10
Power_Rest,236.260295765877,32,11
Power_Rest,231.892661120754,32,12
Power_Rest,11514.3413228888,32,13
Power_Rest,7770.23824348292,32,14
Power_Rest,2345.90296003373,32,15
Power_Rest,62.7176605997072,33,1
Power_Rest,184.919490800132,33,2
Power_Rest,325.966386451297,33,3
Power_Rest,470.793034333134,33,4
Power_Rest,390.194033809458,33,5
