Condition,Power,Subject,Pair
Power_Encode,2472.935666213,1,1
Power_Encode,2094.30956973565,1,2
Power_Encode,973.185471985423,2,1
Power_Encode,1320.52411822272,2,2
Power_Encode,638.776368818673,2,3
Power_Encode,1077.46831954654,2,4
Power_Encode,5911.1215189114,2,5
Power_Encode,75.5247802606353,3,1
Power_Encode,54.4089383825386,3,2
Power_Encode,662.167294338346,3,3
Power_Encode,20.0603821084176,3,4
Power_Encode,33.6164568906196,3,5
Power_Encode,295.881443674659,3,6
Power_Encode,251.310763247784,4,1
Power_Encode,491.125781259196,4,2
Power_Encode,312.400271609171,4,3
Power_Encode,258.934346404487,4,4
Power_Encode,993.943857476653,4,5
Power_Encode,155.345026356859,4,6
Power_Encode,96.4239694265186,4,7
Power_Encode,103.919428074911,4,8
Power_Encode,83.0158061081001,4,9
Power_Encode,70.5603419289048,4,10
Power_Encode,194.493132606817,4,11
Power_Encode,169.157280476265,4,12
Power_Encode,413.012210117305,4,13
Power_Encode,6643.01229871527,4,14
Power_Encode,199.009689806107,5,1
Power_Encode,176.640665759531,5,2
Power_Encode,281.352857330599,5,3
Power_Encode,552.672993339874,5,4
Power_Encode,475.63776071903,5,5
Power_Encode,1671.67039841377,5,6
Power_Encode,1003.28094067513,5,7
Power_Encode,1211.5587595346,5,8
Power_Encode,8749.87017947446,5,9
Power_Encode,10306.926117268,5,10
Power_Encode,2723.33621120634,6,1
Power_Encode,1092.60134934399,6,2
Power_Encode,17315.4164417264,6,3
Power_Encode,18116.9614368794,6,4
Power_Encode,745.297758162763,6,5
Power_Encode,827.058566691467,6,6
Power_Encode,21006.7214532368,6,7
Power_Encode,39.0528050306432,6,8
Power_Encode,1599.82622784935,6,9
Power_Encode,741.541654689307,6,10
Power_Encode,198.552669407157,6,11
Power_Encode,88.77602080774,6,12
Power_Encode,2170.13545383252,7,1
Power_Encode,80.3282241340857,7,2
Power_Encode,365.631996301655,7,3
Power_Encode,398.734185077897,7,4
Power_Encode,373.254098389435,7,5
Power_Encode,337.648837199482,7,6
Power_Encode,273.883475945907,7,7
Power_Encode,119.979588402447,7,8
Power_Encode,204.585081305059,7,9
Power_Encode,179.886727767128,7,10
Power_Encode,482.848765441773,7,11
Power_Encode,188.148565194988,7,12
Power_Encode,362.017342031146,7,13
Power_Encode,43.7228731300881,7,14
Power_Encode,328.786511201985,7,15
Power_Encode,218.919263666834,7,16
Power_Encode,111.473581047629,7,17
Power_Encode,27.1737573422993,7,18
Power_Encode,40.2750733221127,7,19
Power_Encode,148.686772221877,7,20
Power_Encode,2625.14056622914,7,21
Power_Encode,2685.81625951465,7,22
Power_Encode,413.092732645974,7,23
Power_Encode,31.0315501543179,7,24
Power_Encode,97.4203278130703,7,25
Power_Encode,141.60116429521,7,26
Power_Encode,767.897799508206,7,27
Power_Encode,1107.08497613297,7,28
Power_Encode,161.882250780458,7,29
Power_Encode,213.943099816924,7,30
Power_Encode,574.094847527924,8,1
Power_Encode,399.702080995456,8,2
Power_Encode,2429.56708813824,8,3
Power_Encode,441.243910442278,8,4
Power_Encode,1818.6823069634,8,5
Power_Encode,211.761759984167,8,6
Power_Encode,715.780749643763,8,7
Power_Encode,339.180845818074,8,8
Power_Encode,399.41498002755,8,9
Power_Encode,1194.72291692315,9,1
Power_Encode,2039.54632973884,9,2
Power_Encode,610.900785770832,9,3
Power_Encode,1493.99106057776,9,4
Power_Encode,892.840227539386,9,5
Power_Encode,3146.19655258093,9,6
Power_Encode,1984.06264572947,9,7
Power_Encode,17664.2687288106,9,8
Power_Encode,5479.92436164328,9,9
Power_Encode,694.191299984442,9,10
Power_Encode,106.677934799891,9,11
Power_Encode,22.6978329931223,9,12
Power_Encode,214.506604425282,9,13
Power_Encode,1041.82543332692,9,14
Power_Encode,2248.14721384252,9,15
Power_Encode,214.52586518949,9,16
Power_Encode,3216.18468242222,10,1
Power_Encode,1073.11882926082,10,2
Power_Encode,118.434324495807,10,3
Power_Encode,227.841885150389,10,4
Power_Encode,829.475433165576,11,1
Power_Encode,426.274951992429,11,2
Power_Encode,1293.28202041509,11,3
Power_Encode,870.560782023752,11,4
Power_Encode,1098.86835561305,11,5
Power_Encode,888.235069048238,11,6
Power_Encode,3296.20711568007,11,7
Power_Encode,2608.07068413949,11,8
Power_Encode,10.7424218332317,11,9
Power_Encode,352.827032646917,12,1
Power_Encode,358.410873764664,12,2
Power_Encode,1297.63906668341,12,3
Power_Encode,60.4614810481814,12,4
Power_Encode,140.57750145038,12,5
Power_Encode,1102.43524801523,12,6
Power_Encode,120.11691067011,12,7
Power_Encode,17.8257407442523,12,8
Power_Encode,2544.01851146887,12,9
Power_Encode,1088.79276677899,12,10
