Condition,Power,Subject,Pair
Power_Recall,13935.5053304053,1,1
Power_Recall,8138733.27221555,1,2
Power_Recall,2338.28089167311,2,1
Power_Recall,1707.79184049099,2,2
Power_Recall,884.476340930629,3,1
Power_Recall,1337.51020377674,3,2
Power_Recall,382.487414116553,3,3
Power_Recall,887.619504610506,3,4
Power_Recall,5819.41822645692,3,5
Power_Recall,54.9239808673807,4,1
Power_Recall,54.370392614154,4,2
Power_Recall,683.99548891907,4,3
Power_Recall,17.6032863644129,4,4
Power_Recall,26.9494369201311,4,5
Power_Recall,281.392814749557,4,6
Power_Recall,211.021778009251,5,1
Power_Recall,401.861216036507,5,2
Power_Recall,276.186367985671,5,3
Power_Recall,259.894522689068,5,4
Power_Recall,538.646009385418,5,5
Power_Recall,161.717305986151,5,6
Power_Recall,83.9041829026144,5,7
Power_Recall,73.0566495515232,5,8
Power_Recall,56.0917793872136,5,9
Power_Recall,60.3441156977262,5,10
Power_Recall,145.982638343127,5,11
Power_Recall,137.440260842625,5,12
Power_Recall,326.133948915048,5,13
Power_Recall,3869.85343700914,5,14
Power_Recall,181.757025646202,6,1
Power_Recall,161.619962343028,6,2
Power_Recall,253.330277622122,6,3
Power_Recall,594.428393916312,6,4
Power_Recall,65.4262735784036,6,5
Power_Recall,1255.60722535192,6,6
Power_Recall,799.48186711387,6,7
Power_Recall,840.905571727908,6,8
Power_Recall,4743.30499239003,6,9
Power_Recall,5036.01474957578,6,10
Power_Recall,680.521346753745,7,1
Power_Recall,809.265180356422,7,2
Power_Recall,2299.79184976211,7,3
Power_Recall,1580.18983381648,7,4
Power_Recall,531.525639108083,7,5
Power_Recall,236.042635961746,7,6
Power_Recall,37477.1783259168,7,7
Power_Recall,46.0916094010399,7,8
Power_Recall,341.900516967857,7,9
Power_Recall,251.798107329304,7,10
Power_Recall,82.5239270289065,7,11
Power_Recall,67.7541852569928,7,12
Power_Recall,2626.82282958652,8,1
Power_Recall,71.5408607895838,8,2
Power_Recall,319.061673040697,8,3
Power_Recall,453.823235677259,8,4
Power_Recall,406.900967100256,8,5
Power_Recall,253.079260224082,8,6
Power_Recall,249.510960620605,8,7
Power_Recall,118.301521865419,8,8
Power_Recall,215.498483166713,8,9
Power_Recall,247.190939440403,8,10
Power_Recall,451.488988971789,8,11
Power_Recall,187.516803964539,8,12
Power_Recall,530.431497575811,8,13
Power_Recall,43.6685705025674,8,14
Power_Recall,291.463650490085,8,15
Power_Recall,185.31121416722,8,16
Power_Recall,102.722494342669,8,17
Power_Recall,25.8551589146473,8,18
Power_Recall,41.2889261298342,8,19
Power_Recall,135.647186367404,8,20
Power_Recall,19056.8568921969,8,21
Power_Recall,19276.116921599,8,22
Power_Recall,436.852233704679,8,23
Power_Recall,30.5268367416788,8,24
Power_Recall,96.3918069758022,8,25
Power_Recall,159.255899443542,8,26
Power_Recall,706.724811303505,8,27
Power_Recall,997.154989780762,8,28
Power_Recall,144.74097020375,8,29
Power_Recall,228.443227787265,8,30
Power_Recall,331.376662841828,9,1
Power_Recall,298.431882292547,9,2
Power_Recall,1702.30374799254,9,3
Power_Recall,453.875215845438,9,4
Power_Recall,1189.82884474917,9,5
Power_Recall,150.502129076947,9,6
Power_Recall,422.214772835743,9,7
Power_Recall,123.636033336856,9,8
Power_Recall,324.608063357733,9,9
Power_Recall,1394.06430966961,10,1
Power_Recall,2314.39268081595,10,2
Power_Recall,607.522086205808,10,3
Power_Recall,1745.99851912806,10,4
Power_Recall,920.928377247057,10,5
Power_Recall,3308.81333828745,10,6
Power_Recall,2032.11089380455,10,7
Power_Recall,20299.995527802,10,8
Power_Recall,6492.85204432517,10,9
Power_Recall,792.353133723238,10,10
Power_Recall,83.9502163670671,10,11
Power_Recall,19.6691166798769,10,12
Power_Recall,153.053979400961,10,13
Power_Recall,793.148896089875,10,14
Power_Recall,1787.88358696433,10,15
Power_Recall,249.029395725087,10,16
Power_Recall,3416.7605061554,11,1
Power_Recall,1211.17646136083,11,2
Power_Recall,57.98162466012,11,3
Power_Recall,211.82787082224,11,4
Power_Recall,477.100956407159,12,1
Power_Recall,262.738386165177,12,2
Power_Recall,1133.58878477662,12,3
Power_Recall,468.294556447347,12,4
Power_Recall,1163.54137413882,12,5
Power_Recall,561.894476125532,12,6
Power_Recall,1233.69204417196,12,7
Power_Recall,1321.53601336058,12,8
Power_Recall,8.23206004597892,12,9
Power_Recall,333.152173561438,13,1
Power_Recall,351.946848790392,13,2
Power_Recall,979.348593658402,13,3
Power_Recall,54.0423112265433,13,4
Power_Recall,131.532173926742,13,5
Power_Recall,945.454337534458,13,6
Power_Recall,107.694277789376,13,7
Power_Recall,17.7418268701165,13,8
Power_Recall,2169.28702137392,13,9
Power_Recall,1053.98985049065,13,10
Power_Recall,624.17028104395,13,11
Power_Recall,620.683209140719,13,12
Power_Recall,121.016099031596,13,13
Power_Recall,214.615755150072,13,14
Power_Recall,1452.67577738078,13,15
Power_Recall,462.982905842429,13,16
