Condition,PLV,Subject,Pair
Intra,0.338120012316375,6,1
Intra,0.314219388254607,6,2
Intra,0.305186264008186,6,3
Intra,0.374630659765444,6,4
Intra,0.324954588744067,6,5
Intra,0.32523732641376,6,6
Intra,0.326989993355747,15,1
Intra,0.3269577424636,15,2
Intra,0.323673526130318,15,3
Intra,0.330021489434849,15,4
Intra,0.287446399150185,15,5
Intra,0.35341029245123,20,1
Intra,0.250473332688673,20,2
Intra,0.31447002823778,20,3
Intra,0.325326099491096,20,4
Intra,0.29591711748734,20,5
Intra,0.260396115089937,20,6
Intra,0.385245842999556,20,7
Intra,0.273352514826205,20,8
Intra,0.286667890618131,20,9
Intra,0.285709045083418,6,1
Intra,0.318141331985235,6,2
Intra,0.331360160154716,6,3
Intra,0.349474691082205,18,1
Intra,0.31046361354367,18,2
Intra,0.335479145722755,18,3
Intra,0.384151353162533,20,1
Intra,0.297656587727556,20,2
Intra,0.337009953455725,20,3
Intra,0.320454018322032,6,1
Intra,0.315926459660325,6,2
Intra,0.335605190744442,6,3
Intra,0.327067445385093,23,1
Intra,0.297394813407014,3,1
Intra,0.303180944811243,3,2
Intra,0.296607471690573,6,1
Intra,0.348591817205901,6,2
Intra,0.323441013994615,6,3
Intra,0.295059254517387,6,4
Intra,0.30213917325174,6,5
Intra,0.317954311188656,6,6
Intra,0.310175166367308,6,7
Intra,0.30702227650361,6,8
Intra,0.344978571071989,6,9
Intra,0.319279722678426,6,10
Intra,0.325484738717688,6,11
Intra,0.296105411132773,6,12
Intra,0.339531249493031,6,13
Intra,0.314346735970313,6,14
Intra,0.325594498185395,6,15
Intra,0.339858853943701,6,16
Intra,0.321875005409629,6,17
Intra,0.30962854818754,6,18
Intra,0.306999039299179,6,19
Intra,0.320420996816737,6,20
Intra,0.269031512505056,6,21
Intra,0.295688896698977,6,22
Intra,0.345309374036836,6,23
Intra,0.312444719516637,6,24
Intra,0.345600059057039,6,25
Intra,0.309066791761005,6,26
Intra,0.310733116957655,6,27
Intra,0.305714434237286,6,28
Intra,0.300358874341479,6,29
Intra,0.31572809313431,6,30
Intra,0.32328216954321,18,1
Intra,0.401043363369125,18,2
Intra,0.315080386412852,18,3
Intra,0.34078229833935,18,4
Intra,0.295625275876034,18,5
Intra,0.341380706220399,18,6
Intra,0.379205197266394,18,7
Intra,0.323445600069184,18,8
Intra,0.29047277501685,18,9
Intra,0.28464593769258,21,1
Intra,0.298237296549143,21,2
Intra,0.29162856396635,23,1
Intra,0.311853671966277,23,2
Intra,0.326760232307147,23,3
Intra,0.319923236429561,23,4
Intra,0.347545625468647,24,1
Intra,0.284871613927824,24,2
Intra,0.407561245771483,24,3
Intra,0.318568384404094,24,4
Intra,0.324618159472281,24,5
Intra,0.303242298184184,24,6
Intra,0.331737506960763,24,7
Intra,0.325159897389746,24,8
Intra,0.315721229278709,24,9
