Condition,PLV,Subject,Pair
Intra_1,0.386463896710323,6,1
Intra_1,0.368626567982519,6,2
Intra_1,0.378851036439456,6,3
Intra_1,0.406653202348228,6,4
Intra_1,0.338858503765426,6,5
Intra_1,0.358367005150916,6,6
Intra_1,0.294058725221661,15,1
Intra_1,0.376903073374297,15,2
Intra_1,0.362034466167333,15,3
Intra_1,0.345070725661196,15,4
Intra_1,0.337347503104394,15,5
Intra_1,0.327978076783103,20,1
Intra_1,0.441648027975009,20,2
Intra_1,0.46248605976142,20,3
Intra_1,0.325601884383733,20,4
Intra_1,0.447770701016642,20,5
Intra_1,0.419480997039084,20,6
Intra_1,0.348040674761935,20,7
Intra_1,0.45901753198938,20,8
Intra_1,0.440534918853059,20,9
Intra_1,0.399882099270378,6,1
Intra_1,0.403188044220842,6,2
Intra_1,0.380374356322303,6,3
Intra_1,0.367738037555278,18,1
Intra_1,0.3822515113378,18,2
Intra_1,0.304637612384629,18,3
Intra_1,0.323696733539377,20,1
Intra_1,0.339345908887762,20,2
Intra_1,0.333924992547624,20,3
Intra_1,0.39726345496297,6,1
Intra_1,0.318798170992255,6,2
Intra_1,0.391224859238098,6,3
Intra_1,0.339456996585302,23,1
Intra_1,0.345011574194087,3,1
Intra_1,0.379248243504904,3,2
Intra_1,0.379177710915461,6,1
Intra_1,0.409811115601612,6,2
Intra_1,0.41009428777379,6,3
Intra_1,0.402267974593968,6,4
Intra_1,0.393695042885481,6,5
Intra_1,0.401124767100992,6,6
Intra_1,0.361524340896939,6,7
Intra_1,0.358792203151007,6,8
Intra_1,0.398197842667477,6,9
Intra_1,0.398365274827345,6,10
Intra_1,0.34422872192058,6,11
Intra_1,0.386054714562051,6,12
Intra_1,0.35510125045053,6,13
Intra_1,0.387124664952385,6,14
Intra_1,0.346671884188785,6,15
Intra_1,0.373737381494938,6,16
Intra_1,0.335197302062307,6,17
Intra_1,0.327257203641502,6,18
Intra_1,0.378871617710461,6,19
Intra_1,0.361348956075152,6,20
Intra_1,0.403597034378157,6,21
Intra_1,0.381043031803092,6,22
Intra_1,0.372532617183469,6,23
Intra_1,0.398852290893083,6,24
Intra_1,0.420448426137014,6,25
Intra_1,0.39727814502816,6,26
Intra_1,0.313025930315298,6,27
Intra_1,0.306110876745696,6,28
Intra_1,0.424444791759759,6,29
Intra_1,0.37155793577741,6,30
Intra_1,0.437116984755602,18,1
Intra_1,0.292519762862982,18,2
Intra_1,0.256466844229476,18,3
Intra_1,0.322627676328113,18,4
